,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,1.5,B,31.7525,-110.6672,20130621,20130621,4019.0,20130621,406.0,217.0,323.0,0.0,2.8317628,74.4
2,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130516,367.0,206.0,291.0,0.0,3.3488512000000004,102.2
3,0.1,A,32.38527778,-110.68694444,20150714,20150714,4019.0,20150714,378.0,244.0,304.0,43.0,2.1396554,61.0
4,0.5,B,32.3733,-112.6961,20140603,20140604,4019.0,20140604,422.0,211.0,327.0,0.0,3.1753588,88.4
5,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150704,344.0,272.0,319.0,0.0,3.0680816,61.0
6,786.0,E,32.33944444,-110.65694444,20150714,20150714,4019.0,20150714,378.0,244.0,304.0,43.0,2.1396554,61.0
7,0.8666666666666667,B,32.2348,-113.0695,20130628,20130630,4019.0,20130630,439.0,261.0,373.0,8.0,3.0289912,60.8
8,0.02,A,32.34666667,-110.725,20140812,20140816,4019.0,20140815,350.0,244.0,285.0,0.0,1.3946362,69.2
9,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130514,361.0,217.0,289.0,0.0,2.402776,102.2
10,0.0833333333333333,A,31.37777778,-110.6925,20140130,20140201,4019.0,20140201,161.0,106.0,144.0,0.0,3.6003487,66.4
11,0.1,A,31.7758,-110.6856,20130630,20130630,4019.0,20130630,439.0,261.0,373.0,8.0,3.0289912,60.8
12,4.6,B,32.44027778,-110.76277778,20150418,20150418,4019.0,20150418,283.0,94.0,184.0,0.0,2.6196373,107.8
13,0.0833333333333333,A,31.37777778,-110.6925,20140130,20140201,4019.0,20140131,228.0,144.0,199.0,0.0,4.2740474000000015,66.4
14,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150711,383.0,256.0,315.0,0.0,2.735416,61.0
15,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150703,383.0,272.0,329.0,0.0,3.7260065,61.0
16,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140910,333.0,200.0,266.0,0.0,0.8360009,69.2
17,0.05,A,32.42305556,-110.77111111,20140707,20140708,4019.0,20140707,361.0,250.0,306.0,13.0,4.558826,86.6
18,0.3,B,31.7442,-110.6844,20141019,20141019,4019.0,20141019,306.0,167.0,236.0,76.0,1.1672618,73.0
19,0.0333333333333333,A,32.395,-110.73027778,20140726,20140731,4019.0,20140727,372.0,244.0,320.0,3.0,3.9100475,62.4
20,0.05,A,32.41,-110.735,20140706,20140707,4019.0,20140706,372.0,233.0,279.0,0.0,3.1085165,86.6
21,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130519,333.0,178.0,257.0,0.0,2.6531963,102.2
22,0.5,B,32.30388889,-110.61722222,20150508,20150508,4019.0,20150508,261.0,144.0,213.0,0.0,4.4869947,107.8
23,0.0333333333333333,A,32.41722222,-110.74083333,20140705,20140707,4019.0,20140705,361.0,239.0,292.0,23.0,3.6272352,86.6
24,0.02,A,32.34666667,-110.725,20140812,20140816,4019.0,20140814,339.0,244.0,284.0,0.0,2.0276344,69.2
25,0.1,A,32.27034999,-112.96115,20140601,20140601,4019.0,20140601,394.0,206.0,310.0,0.0,2.7358615,88.4
26,185.7142857142857,F,31.636667,-111.641667,20130707,20130713,4019.0,20130708,406.0,289.0,336.0,0.0,3.1598053,60.8
27,0.025,A,32.41638889,-110.71305556,20140705,20140708,4019.0,20140705,361.0,239.0,292.0,23.0,3.6272352,86.6
29,185.7142857142857,F,31.636667,-111.641667,20130707,20130713,4019.0,20130713,378.0,256.0,310.0,0.0,3.5302253,68.8
30,0.1,A,32.41722222,-110.72916667,20140517,20140517,4019.0,20140517,383.0,189.0,293.0,0.0,3.5544891000000005,53.6
32,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140908,267.0,217.0,262.0,467.0,2.0248466,69.2
33,29.0,C,31.671016,-111.48458,20150822,20150823,4019.0,20150823,389.0,228.0,278.0,0.0,2.350133,108.6
34,0.0333333333333333,A,32.395,-110.73027778,20140726,20140731,4019.0,20140729,394.0,250.0,312.0,0.0,3.3455124,62.4
35,0.1,A,32.385,-110.72916667,20130706,20130706,4019.0,20130706,394.0,233.0,285.0,0.0,2.6968377,60.8
36,21.666666666666668,D,32.25027778,-110.58972222,20150521,20150526,4019.0,20150525,311.0,139.0,224.0,0.0,1.6935539000000002,60.6
37,0.05,A,32.42305556,-110.77111111,20140707,20140708,4019.0,20140708,378.0,239.0,286.0,0.0,3.2357962,86.6
38,21.666666666666668,D,32.25027778,-110.58972222,20150521,20150526,4019.0,20150523,261.0,117.0,196.0,0.0,2.7754505000000003,60.6
39,0.025,A,32.41722222,-110.74083333,20140705,20140708,4019.0,20140705,361.0,239.0,292.0,23.0,3.6272352,86.6
41,4.0,B,32.27722222,-110.63611111,20130623,20130623,4019.0,20130623,394.0,222.0,319.0,0.0,2.733592,74.4
42,0.025,A,32.41638889,-110.71305556,20140705,20140708,4019.0,20140708,378.0,239.0,286.0,0.0,3.2357962,86.6
43,10.55,C,31.8022,-110.6142,20150430,20150501,4019.0,20150501,361.0,167.0,267.0,0.0,1.4320004,107.8
44,0.8666666666666667,B,32.2348,-113.0695,20130628,20130630,4019.0,20130629,444.0,289.0,369.0,0.0,1.7502571,60.8
45,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140911,361.0,206.0,281.0,0.0,1.5620476,69.2
46,0.8666666666666667,B,32.2348,-113.0695,20130628,20130630,4019.0,20130628,433.0,250.0,341.0,0.0,4.9566483,60.8
47,0.02,A,32.34666667,-110.725,20140812,20140816,4019.0,20140813,344.0,222.0,264.0,0.0,1.3314619,69.2
48,0.1,A,31.85333333,-110.69638889,20130624,20130624,4019.0,20130624,394.0,222.0,318.0,0.0,2.9867046000000004,60.8
49,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150710,356.0,244.0,297.0,0.0,3.5182562000000006,61.0
50,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150629,411.0,239.0,309.0,0.0,2.481179,61.0
51,0.1,A,32.42111111,-110.73916667,20140725,20140725,4019.0,20140725,383.0,256.0,332.0,0.0,3.5870404,62.4
52,0.1,A,32.40527778,-110.75583333,20130711,20130711,4019.0,20130711,333.0,233.0,278.0,25.0,3.831301,68.8
54,0.1,A,32.45638889,-110.85611111,20150628,20150628,4019.0,20150628,394.0,250.0,312.0,0.0,0.9801148,61.0
55,0.0333333333333333,A,32.395,-110.73027778,20140726,20140731,4019.0,20140731,367.0,278.0,319.0,0.0,3.0069602000000004,62.4
56,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150705,317.0,250.0,299.0,0.0,2.0907536,61.0
57,21.666666666666668,D,32.25027778,-110.58972222,20150521,20150526,4019.0,20150522,283.0,122.0,220.0,0.0,3.9211763999999993,60.6
58,1.75,B,32.23852326,-112.95498892,20150611,20150612,4019.0,20150612,378.0,211.0,297.0,0.0,3.208777,61.0
59,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150709,350.0,256.0,312.0,0.0,4.1545906000000015,61.0
60,0.02,A,32.34666667,-110.725,20140812,20140816,4019.0,20140816,378.0,239.0,302.0,61.0,2.0796650000000003,69.2
61,0.1,A,32.41916667,-110.7275,20140510,20140510,4019.0,20140510,339.0,161.0,244.0,0.0,3.6120458,70.4
62,0.55,B,32.2664,-112.9331,20140601,20140602,4019.0,20140601,394.0,206.0,310.0,0.0,2.7358615,88.4
63,0.0333333333333333,A,32.395,-110.73027778,20140726,20140731,4019.0,20140726,378.0,233.0,288.0,0.0,3.9403543,62.4
64,0.1,A,32.5875,-110.76944444,20150826,20150826,4019.0,20150826,378.0,233.0,283.0,0.0,1.3975425,108.6
65,7.5,C,32.26138889,-110.65166667,20140503,20140506,4019.0,20140505,333.0,172.0,267.0,0.0,2.4973583,79.667
66,0.1,A,32.1617,-111.7286,20140309,20140309,4019.0,20140309,228.0,122.0,174.0,0.0,6.0415230000000015,76.667
69,0.0333333333333333,A,32.41722222,-110.74083333,20140705,20140707,4019.0,20140707,361.0,250.0,306.0,13.0,4.558826,86.6
70,7.5,C,32.26138889,-110.65166667,20140503,20140506,4019.0,20140506,317.0,161.0,251.0,0.0,4.4442043,79.667
71,0.5,B,32.3733,-112.6961,20140603,20140604,4019.0,20140603,417.0,228.0,330.0,0.0,3.3871026,88.4
72,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150702,383.0,233.0,293.0,0.0,3.8808825,61.0
73,0.025,A,32.41722222,-110.74083333,20140705,20140708,4019.0,20140706,372.0,233.0,279.0,0.0,3.1085165,86.6
75,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150713,389.0,250.0,299.0,0.0,2.8217902,61.0
76,0.1,A,32.42305556,-110.73722222,20150708,20150708,4019.0,20150708,389.0,250.0,328.0,0.0,4.597418,61.0
77,0.1,A,32.45138889,-110.88722222,20150523,20150523,4019.0,20150523,261.0,117.0,196.0,0.0,2.7754505000000003,60.6
78,0.025,A,32.41638889,-110.71305556,20140705,20140708,4019.0,20140708,378.0,239.0,286.0,0.0,3.2357962,86.6
79,25.0,C,32.27638889,-110.62305556,20150606,20150606,4019.0,20150606,372.0,200.0,292.0,0.0,3.5061555,60.6
80,0.1,A,32.37722222,-112.94527778,20130329,20130329,4019.0,20130329,289.0,117.0,214.0,0.0,0.3201542999999999,86.875
81,0.1,A,32.2713,-112.96138333,20140601,20140601,4019.0,20140601,394.0,206.0,310.0,0.0,2.7358615,88.4
83,0.1666666666666666,B,31.81333333,-111.415,20130817,20130822,4019.0,20130818,417.0,278.0,341.0,0.0,1.7353104,70.6
84,0.02,A,32.34666667,-110.725,20140812,20140816,4019.0,20140812,344.0,222.0,305.0,53.0,1.7383331999999998,62.4
85,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150630,378.0,233.0,298.0,23.0,3.6743195,61.0
86,29.7,C,31.8586,-110.6472,20140611,20140612,4019.0,20140612,406.0,244.0,325.0,0.0,2.4667697,59.4
87,0.1,A,32.39555556,-110.71916667,20130702,20130702,4019.0,20130702,389.0,217.0,321.0,8.0,2.5858893,60.8
88,185.7142857142857,F,31.636667,-111.641667,20130707,20130713,4019.0,20130712,344.0,267.0,293.0,0.0,3.9408114,68.8
89,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150707,383.0,244.0,307.0,0.0,2.528463,61.0
92,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150626,406.0,261.0,318.0,53.0,3.674915,61.0
93,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140907,344.0,233.0,275.0,5.0,2.118961,69.2
94,0.1,A,32.33361111,-110.69222222,20130419,20130419,4019.0,20130419,272.0,56.0,168.0,0.0,4.0890574,86.875
95,0.025,A,32.41722222,-110.74083333,20140705,20140708,4019.0,20140708,378.0,239.0,286.0,0.0,3.2357962,86.6
96,0.0333333333333333,A,32.41722222,-110.74083333,20140705,20140707,4019.0,20140706,372.0,233.0,279.0,0.0,3.1085165,86.6
97,10.55,C,31.8022,-110.6142,20150430,20150501,4019.0,20150430,350.0,150.0,256.0,0.0,1.8208858,107.8
99,185.7142857142857,F,31.636667,-111.641667,20130707,20130713,4019.0,20130707,422.0,261.0,328.0,5.0,3.2204745,60.8
100,0.1,A,31.7781,-110.6822,20130630,20130630,4019.0,20130630,439.0,261.0,373.0,8.0,3.0289912,60.8
101,0.1,A,32.27016666,-112.96085,20140601,20140601,4019.0,20140601,394.0,206.0,310.0,0.0,2.7358615,88.4
102,0.0833333333333333,A,31.37777778,-110.6925,20140130,20140201,4019.0,20140130,272.0,78.0,160.0,0.0,2.52686,66.4
103,21.666666666666668,D,32.25027778,-110.58972222,20150521,20150526,4019.0,20150524,283.0,139.0,212.0,0.0,2.6058830000000004,60.6
104,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140909,328.0,217.0,258.0,0.0,2.0840533,69.2
105,4.2,B,31.61386851,-111.51812851,20151124,20151124,4019.0,20151124,267.0,94.0,166.0,0.0,1.6324826,53.4
108,0.0333333333333333,A,32.395,-110.73027778,20140726,20140731,4019.0,20140730,406.0,267.0,337.0,0.0,3.806957,62.4
110,0.1,A,32.45027778,-110.73361111,20150411,20150411,4019.0,20150411,306.0,122.0,216.0,0.0,2.2388613,43.8
111,0.0333333333333333,A,32.46388889,-110.76638889,20140818,20140820,4019.0,20140820,333.0,217.0,259.0,0.0,2.4041588,69.2
113,0.0333333333333333,A,32.46388889,-110.76638889,20140818,20140820,4019.0,20140818,344.0,228.0,281.0,0.0,1.9780086,69.2
115,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150706,356.0,239.0,279.0,0.0,1.6159363000000002,61.0
116,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130512,333.0,200.0,268.0,0.0,4.373886,102.2
117,185.7142857142857,F,31.636667,-111.641667,20130707,20130713,4019.0,20130709,378.0,250.0,327.0,0.0,3.8036144,60.8
118,0.1,A,32.40583333,-110.75416667,20130711,20130711,4019.0,20130711,333.0,233.0,278.0,25.0,3.831301,68.8
119,0.1666666666666666,B,31.81333333,-111.415,20130817,20130822,4019.0,20130821,367.0,256.0,289.0,0.0,1.8317506,70.6
120,0.1,A,32.4225,-110.71666667,20130702,20130702,4019.0,20130702,389.0,217.0,321.0,8.0,2.5858893,60.8
121,0.1,A,32.5875,-110.76944444,20150827,20150827,4019.0,20150827,383.0,239.0,299.0,0.0,2.1239705,108.6
122,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130517,350.0,183.0,278.0,0.0,2.9232428,102.2
124,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130513,356.0,217.0,288.0,0.0,2.7414186000000003,102.2
125,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150625,411.0,283.0,345.0,0.0,3.9828537000000006,61.0
126,0.1666666666666666,B,31.81333333,-111.415,20130817,20130822,4019.0,20130822,389.0,256.0,314.0,0.0,1.5618535,70.6
127,0.1666666666666666,B,31.81333333,-111.415,20130817,20130822,4019.0,20130817,422.0,256.0,333.0,0.0,1.8146338,70.6
128,21.666666666666668,D,32.25027778,-110.58972222,20150521,20150526,4019.0,20150521,306.0,156.0,241.0,0.0,4.651881,60.6
129,0.1,A,32.42194444,-110.735,20130701,20130701,4019.0,20130701,417.0,261.0,322.0,0.0,3.362045,60.8
130,29.7,C,31.8586,-110.6472,20140611,20140612,4019.0,20140611,394.0,250.0,333.0,0.0,3.14282,59.4
131,0.0333333333333333,A,32.46388889,-110.76638889,20140818,20140820,4019.0,20140819,328.0,228.0,274.0,33.0,2.9433687,69.2
132,0.1,A,32.1367,-111.1625,20140606,20140606,4019.0,20140606,394.0,194.0,313.0,0.0,2.3558068,88.4
133,1.3,B,31.64063333,-111.46063333,20140630,20140630,4019.0,20140630,411.0,261.0,341.0,0.0,2.4698246,86.6
134,0.55,B,32.2664,-112.9331,20140601,20140602,4019.0,20140602,422.0,206.0,320.0,0.0,1.9432949,88.4
135,0.025,A,32.41638889,-110.71305556,20140705,20140708,4019.0,20140707,361.0,250.0,306.0,13.0,4.558826,86.6
136,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150628,394.0,250.0,312.0,0.0,0.9801148,61.0
137,0.0333333333333333,A,32.395,-110.73027778,20140726,20140731,4019.0,20140728,350.0,239.0,297.0,3.0,3.2867126000000004,62.4
138,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140905,344.0,206.0,262.0,0.0,1.4446155,69.2
140,1.6,B,31.7175,-110.5239,20150708,20150708,4019.0,20150708,389.0,250.0,328.0,0.0,4.597418,61.0
142,0.0142857142857142,A,32.43055556,-110.70833333,20140905,20140911,4019.0,20140906,339.0,233.0,286.0,18.0,0.7071046,69.2
143,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150708,389.0,250.0,328.0,0.0,4.597418,61.0
144,0.1,A,32.40111111,-110.71777778,20130705,20130705,4019.0,20130705,378.0,222.0,339.0,226.0,3.5568135,60.8
145,0.05,A,32.41,-110.735,20140706,20140707,4019.0,20140707,361.0,250.0,306.0,13.0,4.558826,86.6
146,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130518,328.0,194.0,270.0,0.0,3.17014,102.2
147,185.7142857142857,F,31.636667,-111.641667,20130707,20130713,4019.0,20130711,333.0,233.0,278.0,25.0,3.831301,68.8
148,0.1,A,32.41,-110.73,20130706,20130706,4019.0,20130706,394.0,233.0,285.0,0.0,2.6968377,60.8
150,0.1666666666666666,B,31.81333333,-111.415,20130817,20130822,4019.0,20130819,406.0,272.0,321.0,0.0,2.212087,70.6
151,4.425,C,31.735,-111.40277778,20130512,20130519,4019.0,20130515,367.0,217.0,299.0,0.0,4.393181299999998,102.2
152,0.2631578947368421,B,32.06777778,-110.60083333,20150625,20150713,4019.0,20150627,411.0,244.0,321.0,13.0,1.882817,61.0
155,0.25,A,32.4,-110.74972222,20150828,20150828,4019.0,20150828,389.0,239.0,299.0,0.0,2.7189155,108.6
156,7.5,C,32.26138889,-110.65166667,20140503,20140506,4019.0,20140504,356.0,161.0,274.0,0.0,1.8970795,79.667
157,0.025,A,32.41638889,-110.71305556,20140705,20140708,4019.0,20140706,372.0,233.0,279.0,0.0,3.1085165,86.6
