,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.75,B,33.1975,-110.7497,20150624,20150627,4021.0,20150625,433.0,322.0,377.0,0.0,3.7958038,61.0
4,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150630,417.0,294.0,359.0,0.0,4.2536016,61.0
10,11.25,C,33.34361111,-111.11444444,20140707,20140710,4021.0,20140709,383.0,283.0,332.0,0.0,2.2700043,86.6
12,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150627,422.0,322.0,368.0,3.0,2.8559148,61.0
13,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150628,433.0,306.0,366.0,0.0,1.7516064999999998,61.0
15,0.1,A,33.29527778,-111.25,20150525,20150525,4021.0,20150525,333.0,194.0,258.0,0.0,2.2619128,60.6
16,0.1,A,32.8331,-112.0497,20150419,20150419,4021.0,20150419,333.0,167.0,257.0,0.0,1.7629876,107.8
18,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150624,444.0,306.0,383.0,0.0,3.2311954,61.0
19,0.1,A,33.27,-111.19611111,20140731,20140731,4021.0,20140731,428.0,306.0,380.0,0.0,2.7225885,62.4
20,0.5,B,33.28972222,-111.25972222,20130512,20130512,4021.0,20130512,372.0,228.0,305.0,0.0,2.3654585,102.2
21,11.25,C,33.34361111,-111.11444444,20140707,20140710,4021.0,20140710,406.0,306.0,343.0,0.0,2.0536084,62.4
22,0.75,B,33.1975,-110.7497,20150624,20150627,4021.0,20150624,444.0,306.0,383.0,0.0,3.2311954,61.0
24,0.1,A,32.7997,-111.9458,20150414,20150414,4021.0,20150414,344.0,194.0,267.0,0.0,3.1258001,43.8
26,0.1,A,33.29638889,-111.26083333,20150705,20150705,4021.0,20150705,389.0,289.0,357.0,0.0,2.7323296000000004,61.0
29,0.1,A,33.29555556,-111.2625,20130808,20130808,4021.0,20130808,417.0,261.0,339.0,0.0,2.0524402,68.8
30,0.3,B,33.2989,-111.27469,20130511,20130511,4021.0,20130511,356.0,228.0,296.0,0.0,2.2493167,102.2
32,0.1,A,33.32083333,-111.035,20140526,20140526,4021.0,20140526,400.0,244.0,317.0,0.0,2.8342426,53.6
33,0.05,A,33.3325,-111.03,20150607,20150608,4021.0,20150607,378.0,217.0,308.0,0.0,0.59424317,60.6
34,34.0,C,33.29527778,-111.26027778,20150404,20150404,4021.0,20150404,317.0,167.0,239.0,0.0,0.21360013,43.8
36,0.05,A,32.7922,-112.0672,20140324,20140325,4021.0,20140324,317.0,150.0,229.0,0.0,1.9190809,85.8
40,11.25,C,33.34361111,-111.11444444,20140707,20140710,4021.0,20140707,422.0,311.0,351.0,0.0,3.5373626,86.6
41,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150626,417.0,317.0,373.0,0.0,3.794898,61.0
44,0.05,A,33.3325,-111.03,20150607,20150608,4021.0,20150608,406.0,256.0,328.0,0.0,1.831154,61.0
45,11.25,C,33.34361111,-111.11444444,20140707,20140710,4021.0,20140708,406.0,300.0,346.0,0.0,2.8111417000000003,86.6
46,1.4,B,33.295,-111.26111111,20150418,20150418,4021.0,20150418,322.0,150.0,233.0,0.0,3.2117946,107.8
47,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150625,433.0,322.0,377.0,0.0,3.7958038,61.0
48,0.1,A,33.2725,-111.24,20140413,20140413,4021.0,20140413,311.0,161.0,243.0,0.0,4.451887999999999,88.6
51,0.75,B,33.1975,-110.7497,20150624,20150627,4021.0,20150626,417.0,317.0,373.0,0.0,3.794898,61.0
52,6.6,B,33.29888889,-111.26583333,20150328,20150328,4021.0,20150328,350.0,178.0,262.0,0.0,0.6046691999999999,43.8
53,0.05,A,32.7922,-112.0672,20140324,20140325,4021.0,20140325,317.0,161.0,239.0,0.0,0.1920859,85.8
54,0.75,B,33.1975,-110.7497,20150624,20150627,4021.0,20150627,422.0,322.0,368.0,3.0,2.8559148,61.0
55,1428.0,F,33.053,-110.914,20150617,20150617,4021.0,20150617,456.0,300.0,382.0,0.0,3.2707987000000003,61.0
57,0.3285714285714285,B,33.2175,-111.2192,20150624,20150630,4021.0,20150629,433.0,300.0,368.0,13.0,2.2461078,61.0
67,1.0,B,33.46111111,-111.18611111,20130817,20130819,4021.0,20130817,456.0,311.0,382.0,0.0,1.6196585,70.6
76,3.333333333333333,C,33.46305556,-111.25444444,20130816,20130818,4021.0,20130816,450.0,328.0,382.0,0.0,1.6985245999999998,70.6
82,0.05,A,32.8233,-110.5164,20130630,20130701,4021.0,20130701,444.0,322.0,386.0,0.0,3.559847,60.8
106,3.333333333333333,C,33.46305556,-111.25444444,20130816,20130818,4021.0,20130817,456.0,311.0,382.0,0.0,1.6196585,70.6
126,1.0,B,33.46111111,-111.18611111,20130817,20130819,4021.0,20130818,439.0,300.0,365.0,0.0,0.9946311,70.6
131,3.333333333333333,C,33.46305556,-111.25444444,20130816,20130818,4021.0,20130818,439.0,300.0,365.0,0.0,0.9946311,70.6
201,0.05,A,32.8233,-110.5164,20130630,20130701,4021.0,20130630,461.0,328.0,401.0,0.0,2.7043061,60.8
276,1.0,B,33.46111111,-111.18611111,20130817,20130819,4021.0,20130819,433.0,328.0,368.0,0.0,0.6158779999999999,70.6
281,29.33333333333333,C,33.40027778,-111.30388889,20131019,20131021,4021.0,20131021,311.0,150.0,227.0,0.0,1.8384737,69.2
287,29.33333333333333,C,33.40027778,-111.30388889,20131019,20131021,4021.0,20131020,300.0,156.0,227.0,0.0,1.3440272,69.2
349,29.33333333333333,C,33.40027778,-111.30388889,20131019,20131021,4021.0,20131019,311.0,144.0,227.0,0.0,3.292791,69.2
