,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,1.0,B,32.8458,-114.4497,20150908,20150915,4027.0,20150910,339.0,272.0,323.0,0.0,2.6019223,108.6
3,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140425,344.0,178.0,263.0,0.0,3.535534,88.6
4,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140422,361.0,211.0,292.0,0.0,4.265301999999998,88.6
5,1.4,B,32.5194,-114.8008,20141005,20141008,4027.0,20141005,356.0,206.0,282.0,0.0,1.7087941999999998,115.4
8,0.1,A,32.8147,-114.4569,20130429,20130429,4027.0,20130429,389.0,211.0,298.0,0.0,3.0752792,86.875
9,0.1,A,32.7258,-113.7517,20140530,20140530,4027.0,20140530,411.0,261.0,334.0,0.0,0.9823412,88.4
13,0.1,A,32.7261,-113.7414,20150506,20150506,4027.0,20150506,322.0,206.0,264.0,0.0,2.7799504,107.8
14,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140416,339.0,156.0,251.0,0.0,2.0567925,88.6
15,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140429,300.0,200.0,257.0,0.0,7.1117997000000015,88.6
16,1.0,B,32.8458,-114.4497,20150908,20150915,4027.0,20150908,406.0,294.0,343.0,0.0,1.1792476,108.6
18,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140424,328.0,167.0,247.0,0.0,0.75590414,88.6
19,0.1,A,32.6778,-114.0422,20130507,20130507,4027.0,20130507,294.0,194.0,251.0,0.0,4.161128,86.875
22,4.166666666666667,C,32.725,-114.5533,20150409,20150414,4027.0,20150413,322.0,172.0,243.0,0.0,2.7196045,43.8
27,1.4,B,32.5194,-114.8008,20141005,20141008,4027.0,20141007,322.0,222.0,271.0,0.0,1.1005938,115.4
28,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140420,333.0,189.0,258.0,0.0,1.7920141,88.6
29,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140427,267.0,139.0,195.0,0.0,3.4507072,88.6
31,0.3333333333333333,B,32.7208,-114.4278,20140922,20140924,4027.0,20140924,400.0,250.0,323.0,0.0,1.2557424,97.6
34,1.0,B,32.8458,-114.4497,20150908,20150915,4027.0,20150914,367.0,244.0,301.0,28.0,2.5827553,108.6
35,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140502,350.0,194.0,276.0,0.0,1.4058423999999998,79.667
40,4.166666666666667,C,32.725,-114.5533,20150409,20150414,4027.0,20150414,344.0,194.0,267.0,0.0,3.1258001,43.8
41,1.0,B,32.8458,-114.4497,20150908,20150915,4027.0,20150915,361.0,261.0,300.0,0.0,3.679419,108.6
44,0.1,A,32.8631,-114.4722,20140820,20140820,4027.0,20140820,367.0,239.0,286.0,0.0,1.7569577,69.2
46,0.7619047619047619,C,32.7167,-114.55,20140415,20140505,4027.0,20140505,367.0,211.0,301.0,0.0,3.0918133,79.667
51,4.166666666666667,C,32.725,-114.5533,20150409,20150414,4027.0,20150411,300.0,156.0,233.0,0.0,1.5878445,43.8
53,1.4,B,32.5194,-114.8008,20141005,20141008,4027.0,20141008,278.0,206.0,258.0,13.0,1.0071736999999998,115.4
55,1.0,B,32.8458,-114.4497,20150908,20150915,4027.0,20150911,389.0,256.0,302.0,0.0,2.5986776000000003,108.6
56,0.1,A,32.6697,-114.1078,20140530,20140530,4027.0,20140530,411.0,261.0,334.0,0.0,0.9823412,88.4
61,2.3,B,32.8747,-113.5411,20130804,20130804,4027.0,20130804,411.0,322.0,371.0,0.0,2.0436215,68.8
62,0.1,A,32.8194,-114.4736,20130814,20130814,4027.0,20130814,428.0,300.0,360.0,0.0,1.704234,70.6
