,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,43.63861111,-121.25361111,20130802,20130802,41017.0,20130802,177.0,36.0,104.0,51.0,1.5801284,85.8
1,0.0125,A,44.3433,-121.2392,20140625,20140702,41017.0,20140629,153.0,43.0,95.0,0.0,2.2531974,113.2
2,0.0166666666666666,A,44.07094,-121.08046,20100724,20100729,41017.0,20100724,266.0,79.0,174.0,0.0,1.01138,109.0
3,0.05,A,43.93138889,-121.41,20140702,20140703,41017.0,20140703,306.0,89.0,209.0,0.0,3.0358572,113.2
4,0.05,A,44.01916667,-121.73722222,20150729,20150730,41017.0,20150730,291.0,80.0,192.0,0.0,0.4949747000000001,98.4
5,0.00125,A,43.9761,-120.9497,20150710,20150927,41017.0,20150810,194.0,85.0,143.0,0.0,2.2097793,91.2
6,0.025,A,43.6092,-119.9233,20140722,20140725,41017.0,20140725,199.0,22.0,110.0,0.0,2.3901380000000003,113.2
7,0.1,A,43.95666667,-121.30916667,20141020,20141020,41017.0,20141020,172.0,22.0,119.0,15.0,2.5935013,76.4
8,0.0333333333333333,A,43.67333333,-121.97333333,20140728,20140730,41017.0,20140728,265.0,84.0,176.0,0.0,1.8252137,96.0
9,0.6,B,43.79888889,-121.72972222,20140607,20140607,41017.0,20140607,168.0,26.0,100.0,0.0,3.9801693,121.2
10,0.4375,B,43.6317,-120.433,20140805,20140820,41017.0,20140811,273.0,138.0,197.0,0.0,1.1401821,96.0
11,0.0166666666666666,A,44.05,-121.0578,20140803,20140808,41017.0,20140803,246.0,91.0,165.0,0.0,2.3008287,96.0
12,0.1,A,43.73777778,-120.825,20150803,20150803,41017.0,20150803,311.0,156.0,253.0,3.0,1.770946,98.4
13,0.02,A,43.8625,-121.84305556,20140722,20140726,41017.0,20140725,199.0,22.0,110.0,0.0,2.3901380000000003,113.2
14,59.11627906976744,G,44.55777778,-121.60611111,20140713,20141006,41017.0,20140801,253.0,117.0,177.0,0.0,0.80306035,96.0
15,2.5,C,43.91111111,-121.37722222,20140702,20140713,41017.0,20140703,306.0,89.0,209.0,0.0,3.0358572,113.2
16,0.9,B,44.39972222,-121.63527778,20140801,20140801,41017.0,20140801,253.0,117.0,177.0,0.0,0.80306035,96.0
17,3.1,C,43.6406,-120.6439,20130804,20130813,41017.0,20130804,232.0,89.0,160.0,0.0,1.2889162,85.8
18,0.0333333333333333,A,44.3444,-121.2458,20140801,20140803,41017.0,20140803,246.0,91.0,165.0,0.0,2.3008287,96.0
19,0.1,A,43.90166667,-121.89972222,20130802,20130802,41017.0,20130802,177.0,36.0,104.0,51.0,1.5801284,85.8
20,0.1,A,43.60638889,-121.91638889,20140722,20140723,41017.0,20140722,200.0,86.0,140.0,203.0,1.1132847,113.2
21,0.1,A,43.95138889,-121.485,20130624,20130624,41017.0,20130624,100.0,47.0,72.0,51.0,2.2147222,88.8
22,0.004,A,44.3519,-121.2253,20150706,20150730,41017.0,20150730,291.0,80.0,192.0,0.0,0.4949747000000001,98.4
23,0.1,A,44.3025,-121.3336,20130921,20130921,41017.0,20130921,183.0,61.0,130.0,5.0,1.5402975,78.4
24,0.1,A,43.54277778,-121.06888889,20140713,20140713,41017.0,20140713,333.0,150.0,253.0,3.0,1.7202533,113.2
25,1.1,B,44.33916667,-121.5875,20140616,20140617,41017.0,20140617,99.0,-5.0,45.0,0.0,3.1933944,113.2
26,0.1,A,44.2522,-121.133,20140630,20140630,41017.0,20140630,229.0,34.0,129.0,0.0,2.9128966,113.2
27,0.125,B,43.00777778,-121.07888889,20151015,20151018,41017.0,20151015,200.0,22.0,114.0,0.0,0.8310385,79.0
28,0.625,B,44.2564,-121.1205,20130728,20130731,41017.0,20130729,294.0,39.0,186.0,0.0,1.9983206,85.8
30,0.15,B,44.23,-121.1855,20140802,20140803,41017.0,20140802,250.0,142.0,191.0,0.0,1.3441682,96.0
31,0.1,A,44.24916667,-121.49611111,20140614,20140614,41017.0,20140614,115.0,4.0,61.0,0.0,2.321079,121.2
32,0.1,A,43.95388889,-121.24027778,20130904,20130904,41017.0,20130904,306.0,83.0,186.0,0.0,1.4916484,81.0
33,0.1,A,43.98333333,-121.30611111,20150425,20150425,41017.0,20150425,128.0,-21.0,48.0,13.0,1.4020075,99.6
34,863.5,G,44.11833333,-121.47277778,20140607,20140614,41017.0,20140614,115.0,4.0,61.0,0.0,2.321079,121.2
35,0.1,A,44.01694444,-121.46416667,20120714,20120714,41017.0,20120714,191.0,79.0,138.0,0.0,3.1815908,104.6
36,0.25,A,44.2713889,-121.549722,20100826,20100826,41017.0,20100826,204.0,29.0,145.0,0.0,2.2902668,98.0
37,0.0125,A,44.3433,-121.2392,20140625,20140702,41017.0,20140630,229.0,34.0,129.0,0.0,2.9128966,113.2
38,0.1,A,43.71444444,-121.60666667,20130801,20130801,41017.0,20130801,158.0,54.0,116.0,0.0,2.3717005,85.8
39,0.05,A,43.81722222,-121.36666667,20140812,20140813,41017.0,20140812,267.0,128.0,216.0,94.0,1.4616511,96.0
40,3.6,B,44.3452778,-121.574722,20100826,20100826,41017.0,20100826,204.0,29.0,145.0,0.0,2.2902668,98.0
41,59.11627906976744,G,44.55777778,-121.60611111,20140713,20141006,41017.0,20140728,265.0,84.0,176.0,0.0,1.8252137,96.0
42,0.25,A,43.08361111,-121.04222222,20150416,20150416,41017.0,20150416,183.0,-66.0,51.0,0.0,2.1149764,99.6
44,0.0045454545454545,A,43.9881,-121.1028,20130825,20130915,41017.0,20130907,202.0,32.0,107.0,0.0,1.5984037,81.0
45,0.1,A,44.00194444,-121.43777778,20150429,20150429,41017.0,20150429,156.0,-16.0,103.0,0.0,3.5154126000000003,99.6
47,0.009090909090909,A,43.8983,-120.59,20150803,20150813,41017.0,20150809,188.0,90.0,137.0,0.0,1.5751983,91.2
48,0.0333333333333333,A,43.67694444,-120.97333333,20150803,20150805,41017.0,20150803,311.0,156.0,253.0,3.0,1.770946,98.4
49,0.05,A,43.89611111,-121.67722222,20140812,20140813,41017.0,20140813,250.0,106.0,157.0,8.0,2.4413075,96.0
50,59.11627906976744,G,44.55777778,-121.60611111,20140713,20141006,41017.0,20140908,197.0,38.0,117.0,0.0,2.3420103,92.4
52,0.0166666666666666,A,44.1083,-121.16,20140803,20140808,41017.0,20140803,246.0,91.0,165.0,0.0,2.3008287,96.0
53,0.1,A,43.67972222,-121.68861111,20130926,20130926,41017.0,20130926,71.0,-14.0,26.0,0.0,2.6484635,78.4
54,0.01,A,43.83166667,-121.20055556,20140725,20140725,41017.0,20140725,199.0,22.0,110.0,0.0,2.3901380000000003,113.2
55,0.0333333333333333,A,43.75416667,-121.95138889,20140730,20140801,41017.0,20140730,271.0,147.0,201.0,0.0,1.8404913,96.0
56,0.05,A,43.89111111,-121.40805556,20140729,20140730,41017.0,20140729,378.0,144.0,257.0,0.0,2.692847,96.0
57,59.11627906976744,G,44.55777778,-121.60611111,20140713,20141006,41017.0,20140904,148.0,29.0,91.0,0.0,3.337795,92.4
58,0.5,B,43.77583333,-121.36277778,20130802,20130802,41017.0,20130802,177.0,36.0,104.0,51.0,1.5801284,85.8
59,0.00125,A,43.9761,-120.9497,20150710,20150927,41017.0,20150903,108.0,-23.0,50.0,25.0,2.8236723,85.0
60,59.11627906976744,G,44.55777778,-121.60611111,20140713,20141006,41017.0,20140730,271.0,147.0,201.0,0.0,1.8404913,96.0
61,0.0166666666666666,A,44.0936,-121.1128,20140803,20140808,41017.0,20140804,339.0,133.0,241.0,0.0,2.464729,96.0
62,0.1,A,43.94777778,-121.35416667,20140813,20140813,41017.0,20140813,250.0,106.0,157.0,8.0,2.4413075,96.0
63,0.1,A,43.72,-121.40611111,20150618,20150618,41017.0,20150618,234.0,81.0,152.0,0.0,2.2810361,116.0
64,0.1,A,44.2464,-121.1169,20150810,20150810,41017.0,20150810,194.0,85.0,143.0,0.0,2.2097793,91.2
65,0.05,A,44.2467,-121.1172,20150816,20150817,41017.0,20150817,221.0,80.0,151.0,0.0,2.9348125,91.2
66,0.1,A,43.90861111,-121.89777778,20130802,20130802,41017.0,20130802,177.0,36.0,104.0,51.0,1.5801284,85.8
67,0.3,A,43.85194444,-121.68861111,20140729,20140729,41017.0,20140729,378.0,144.0,257.0,0.0,2.692847,96.0
68,3.0,B,44.16777778,-121.49277778,20140801,20140801,41017.0,20140801,253.0,117.0,177.0,0.0,0.80306035,96.0
69,0.1,A,43.97777778,-121.23416667,20140927,20140927,41017.0,20140927,189.0,56.0,124.0,0.0,3.9503136,76.4
70,0.625,B,44.2564,-121.1205,20130728,20130731,41017.0,20130730,311.0,67.0,203.0,0.0,1.6759738999999998,85.8
71,0.1,A,43.72055556,-120.8975,20150803,20150803,41017.0,20150803,311.0,156.0,253.0,3.0,1.770946,98.4
72,0.1,A,43.00805556,-121.07694444,20150920,20150920,41017.0,20150920,294.0,44.0,163.0,0.0,0.975,84.6
73,0.1,A,44.0592,-121.0164,20130702,20130702,41017.0,20130702,280.0,119.0,197.0,0.0,2.4449472,88.8
74,0.2,A,44.03138889,-121.38861111,20121005,20121005,41017.0,20121005,83.0,-26.0,24.0,0.0,1.3014622999999998,78.0
75,0.1,A,44.22805556,-121.62555556,20140720,20140720,41017.0,20140720,311.0,78.0,221.0,0.0,2.0647990000000003,113.2
