,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,B,43.13416667,-122.21194444,20140827,20140831,41019.0,20140831,215.0,74.0,138.0,0.0,2.6575892000000003,51.0
1,0.1,A,43.01138889,-122.68305556,20121028,20121028,41019.0,20121028,128.0,70.0,89.0,25.0,6.1880965,11.0
2,0.1,B,43.37777778,-122.40833333,20140730,20140803,41019.0,20140731,263.0,91.0,179.0,0.0,8.393602,47.5
3,0.25,A,43.22611111,-122.19,20130801,20130801,41019.0,20130801,166.0,74.0,123.0,0.0,4.3800054,52.0
4,0.0006369426751592,A,43.99333333,-122.71388889,20140228,20140803,41019.0,20140717,259.0,71.0,167.0,0.0,8.299596000000001,54.5
6,0.0006369426751592,A,43.99333333,-122.71388889,20140228,20140803,41019.0,20140729,326.0,123.0,219.0,0.0,6.4534726,47.5
8,261.55223880597015,G,42.8573,-123.5851,20130726,20130930,41019.0,20130830,257.0,91.0,166.0,0.0,0.6425771,52.5
9,2.8,D,42.7526,-123.4848,20130726,20130903,41019.0,20130824,228.0,79.0,146.0,0.0,2.6575892000000003,52.5
10,0.5,B,42.99166667,-122.85138889,20140801,20140801,41019.0,20140801,275.0,116.0,192.0,0.0,8.330953,47.5
11,5.4818181818181815,C,43.5982,-123.407,20130510,20130520,41019.0,20130516,96.0,24.0,57.0,25.0,3.4848828000000003,97.0
13,0.1,B,43.13416667,-122.21194444,20140827,20140831,41019.0,20140829,261.0,77.0,160.0,0.0,3.676039,51.0
14,0.1785714285714285,B,43.35777778,-122.09555556,20150626,20150709,41019.0,20150703,323.0,119.0,221.0,0.0,7.4453425000000015,68.0
15,0.1071428571428571,B,43.16222222,-122.82611111,20140811,20140817,41019.0,20140816,248.0,70.0,154.0,0.0,5.074424700000002,54.5
16,0.0006369426751592,A,43.99333333,-122.71388889,20140228,20140803,41019.0,20140622,255.0,45.0,154.0,0.0,5.8450837,83.0
17,0.2,A,43.0538889,-122.6225,20100818,20100818,41019.0,20100818,242.0,60.0,145.0,0.0,4.0224414,7.0
18,29.25925925925926,E,43.842773,-123.56288,20140905,20141001,41019.0,20140912,310.0,73.0,174.0,0.0,5.028951599999999,40.5
19,2.0,B,43.3357,-123.194,20140715,20140715,41019.0,20140715,298.0,98.0,200.0,0.0,9.880826,54.5
20,0.05,A,43.48166667,-122.7,20140813,20140814,41019.0,20140813,159.0,87.0,112.0,0.0,3.6583338,54.5
21,0.1,A,43.0197,-123.2736,20090918,20090918,41019.0,20090918,254.0,49.0,148.0,0.0,3.9989092,51.0
23,0.05,A,43.29972222,-122.29972222,20140814,20140815,41019.0,20140814,153.0,65.0,108.0,0.0,3.9874134,54.5
24,0.1,A,43.0518,-123.1962,20140813,20140813,41019.0,20140813,159.0,87.0,112.0,0.0,3.6583338,54.5
25,0.1,A,43.2586,-123.5456,20150610,20150610,41019.0,20150610,252.0,80.0,169.0,0.0,9.087527,76.5
26,0.373134328358209,C,42.8434,-123.5906,20130726,20130930,41019.0,20130801,166.0,74.0,123.0,0.0,4.3800054,52.0
27,0.0833333333333333,B,43.23583333,-122.80027778,20140811,20140816,41019.0,20140814,153.0,65.0,108.0,0.0,3.9874134,54.5
28,0.0006369426751592,A,43.99333333,-122.71388889,20140228,20140803,41019.0,20140611,245.0,26.0,139.0,0.0,6.627208,82.5
30,0.373134328358209,C,42.8434,-123.5906,20130726,20130930,41019.0,20130810,162.0,55.0,102.0,0.0,3.569774,52.5
31,6.4375,D,42.8676,-123.0795,20130505,20130605,41019.0,20130530,149.0,45.0,87.0,0.0,3.4223583,75.5
33,2.8,D,42.7526,-123.4848,20130726,20130903,41019.0,20130731,241.0,102.0,164.0,0.0,4.452533,52.0
35,0.373134328358209,C,42.8434,-123.5906,20130726,20130930,41019.0,20130905,163.0,96.0,115.0,51.0,3.6329582,52.5
36,0.0006369426751592,A,43.99333333,-122.71388889,20140228,20140803,41019.0,20140703,243.0,63.0,150.0,0.0,7.0560064,83.0
37,5.4818181818181815,C,43.5982,-123.407,20130510,20130520,41019.0,20130517,82.0,18.0,44.0,0.0,3.5354564,97.0
38,261.55223880597015,G,42.8573,-123.5851,20130726,20130930,41019.0,20130727,282.0,88.0,180.0,0.0,9.291893,56.0
39,0.1,A,43.26333333,-122.37833333,20150715,20150715,41019.0,20150715,259.0,72.0,162.0,0.0,8.844667,68.0
41,0.373134328358209,C,42.8434,-123.5906,20130726,20130930,41019.0,20130921,103.0,47.0,70.0,0.0,2.1600418,52.5
42,0.1,B,43.13416667,-122.21194444,20140827,20140831,41019.0,20140828,239.0,86.0,158.0,0.0,5.074694999999998,51.0
43,0.02,A,43.09,-122.43305556,20140812,20140821,41019.0,20140817,247.0,73.0,163.0,0.0,7.648322599999998,54.5
44,0.0333333333333333,A,43.32444444,-122.21916667,20140810,20140812,41019.0,20140810,280.0,98.0,182.0,0.0,9.219542,54.5
45,0.15,A,43.4061,-122.7931,20150708,20150709,41019.0,20150709,223.0,93.0,148.0,0.0,3.2649658,68.0
47,0.125,A,42.9,-122.89444444,20140723,20140724,41019.0,20140724,202.0,38.0,116.0,0.0,5.934543,47.5
49,0.0044776119402985,B,42.719,-123.4984,20130726,20130930,41019.0,20130821,310.0,120.0,201.0,0.0,8.453544,52.5
51,0.15,B,42.9535,-122.9198,20140722,20140723,41019.0,20140722,223.0,95.0,153.0,0.0,1.5250522,54.5
52,6.4375,D,42.8676,-123.0795,20130505,20130605,41019.0,20130517,82.0,18.0,44.0,0.0,3.5354564,97.0
53,0.1,A,43.6139,-123.2178,20090918,20090918,41019.0,20090918,254.0,49.0,148.0,0.0,3.9989092,51.0
54,0.1,A,43.1817,-123.5539,20120926,20120926,41019.0,20120926,256.0,33.0,129.0,0.0,8.949997,40.0
56,0.1571428571428571,B,43.07333333,-122.41888889,20150801,20150807,41019.0,20150801,297.0,127.0,190.0,0.0,5.8620067,68.0
58,0.3333333333333333,B,42.94333333,-122.73472222,20150710,20150712,41019.0,20150710,154.0,115.0,127.0,25.0,4.114912,68.0
59,0.1,A,43.4557,-122.7501,20140813,20140813,41019.0,20140813,159.0,87.0,112.0,0.0,3.6583338,54.5
60,11.538461538461538,D,43.32472222,-122.17444444,20150626,20150708,41019.0,20150705,310.0,122.0,211.0,0.0,1.6250001,68.0
61,0.1,A,43.74833333,-124.17944444,20150801,20150801,41019.0,20150801,297.0,127.0,190.0,0.0,5.8620067,68.0
62,0.0333333333333333,A,43.11638889,-122.48944444,20140812,20140814,41019.0,20140812,217.0,94.0,133.0,127.0,1.6243142,54.5
63,261.55223880597015,G,42.8573,-123.5851,20130726,20130930,41019.0,20130917,96.0,52.0,70.0,51.0,5.7451987,52.5
64,0.1,A,43.12,-122.179444,20100903,20100903,41019.0,20100903,251.0,92.0,163.0,0.0,5.1147647,17.0
65,0.05,A,43.34916667,-122.41083333,20140730,20140731,41019.0,20140731,263.0,91.0,179.0,0.0,8.393602,47.5
66,0.1,A,43.13416667,-122.35027778,20150717,20150717,41019.0,20150717,230.0,35.0,137.0,0.0,10.975655,68.0
67,0.0333333333333333,A,43.29777778,-122.32638889,20140731,20140802,41019.0,20140731,263.0,91.0,179.0,0.0,8.393602,47.5
68,0.8294117647058823,C,43.6553,-123.8281,20090704,20090720,41019.0,20090716,259.0,88.0,176.0,0.0,4.983817,14.0
70,0.0333333333333333,A,43.24333333,-122.59527778,20140731,20140802,41019.0,20140731,263.0,91.0,179.0,0.0,8.393602,47.5
71,11.538461538461538,D,43.32472222,-122.17444444,20150626,20150708,41019.0,20150703,323.0,119.0,221.0,0.0,7.4453425000000015,68.0
