,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,1133.1935483870968,G,42.0478,-122.345,20140730,20140829,41035.0,20140814,147.0,81.0,108.0,0.0,1.7564987,54.5
1,0.25,A,43.04083333,-121.60444444,20150626,20150626,41035.0,20150626,322.0,67.0,194.0,0.0,1.9851007,68.0
2,0.0909090909090909,B,42.5525,-122.25888889,20140729,20140808,41035.0,20140730,249.0,143.0,188.0,0.0,1.8404913,47.5
3,1.6333333333333333,B,42.52222222,-121.76111111,20150609,20150611,41035.0,20150611,256.0,63.0,162.0,0.0,3.5227833,76.5
4,0.1,A,43.24972222,-121.87555556,20140702,20140702,41035.0,20140702,253.0,104.0,172.0,0.0,4.022730999999999,83.0
5,0.6970588235294117,C,42.5575,-122.28361111,20140729,20141107,41035.0,20140915,228.0,73.0,133.0,0.0,1.0770307,40.5
6,0.1,A,42.5875,-122.1875,20150719,20150719,41035.0,20150719,244.0,137.0,186.0,0.0,2.1709733,68.0
8,0.1,A,43.61638889,-121.79972222,20140813,20140813,41035.0,20140813,160.0,81.0,115.0,0.0,2.4413075,54.5
9,0.0055555555555555,A,42.1841,-121.5071,20150525,20150611,41035.0,20150611,256.0,63.0,162.0,0.0,3.5227833,76.5
10,0.8666666666666667,B,42.52222222,-121.76111111,20150609,20150611,41035.0,20150609,250.0,104.0,168.0,0.0,2.304886,76.5
11,0.125,A,42.34694444,-122.1375,20141012,20141013,41035.0,20141013,190.0,78.0,128.0,0.0,2.5701822999999995,40.5
12,0.05,A,42.72,-122.18277778,20140910,20140911,41035.0,20140911,184.0,52.0,111.0,0.0,2.754082,40.5
13,1.75,B,42.36666667,-122.275,20150731,20150803,41035.0,20150801,323.0,126.0,206.0,0.0,1.2209115,68.0
15,0.25,B,42.76833333,-122.17861111,20140731,20140801,41035.0,20140801,281.0,77.0,182.0,0.0,0.80306035,47.5
16,0.05,A,43.05111111,-122.01222222,20150702,20150703,41035.0,20150703,327.0,106.0,216.0,0.0,2.183031,68.0
17,0.1,A,43.16055556,-121.94305556,20140702,20140702,41035.0,20140702,253.0,104.0,172.0,0.0,4.022730999999999,83.0
18,0.1,A,42.62361111,-121.69916667,20130505,20130505,41035.0,20130505,190.0,30.0,97.0,0.0,3.4441964999999994,97.0
19,1.0,B,42.88361111,-121.44361111,20150609,20150610,41035.0,20150609,250.0,104.0,168.0,0.0,2.304886,76.5
20,1133.1935483870968,G,42.0478,-122.345,20140730,20140829,41035.0,20140810,247.0,93.0,161.0,25.0,1.4577307,54.5
22,0.565625,C,42.47361111,-122.25277778,20140728,20141015,41035.0,20140818,274.0,100.0,185.0,0.0,2.9316983,54.5
23,0.6970588235294117,C,42.5575,-122.28361111,20140729,20141107,41035.0,20140730,249.0,143.0,188.0,0.0,1.8404913,47.5
24,0.25,B,42.7975,-122.16666667,20140801,20140802,41035.0,20140801,281.0,77.0,182.0,0.0,0.80306035,47.5
25,0.565625,C,42.47361111,-122.25277778,20140728,20141015,41035.0,20141012,158.0,-74.0,32.0,0.0,0.96165484,40.5
26,0.1,A,42.68444444,-121.36,20140606,20140606,41035.0,20140606,219.0,67.0,135.0,0.0,3.8301983,93.0
27,0.6970588235294117,C,42.5575,-122.28361111,20140729,20141107,41035.0,20140814,147.0,81.0,108.0,0.0,1.7564987,54.5
28,0.1,A,42.4375,-121.14194444,20130718,20130718,41035.0,20130718,289.0,21.0,164.0,0.0,2.3385694,60.5
29,0.7666666666666666,B,43.08166667,-121.63333333,20150609,20150611,41035.0,20150610,211.0,100.0,150.0,0.0,3.422353,76.5
30,0.0047619047619047,A,42.55972222,-122.03583333,20130703,20130723,41035.0,20130719,280.0,143.0,200.0,0.0,3.0816245,60.5
31,0.25,B,42.0222,-122.0829,20140731,20140803,41035.0,20140803,247.0,127.0,183.0,0.0,2.3008287,47.5
32,1.2727272727272727,C,42.58722222,-122.27194444,20140729,20140819,41035.0,20140810,247.0,93.0,161.0,25.0,1.4577307,54.5
33,0.1,A,42.29611111,-122.25611111,20140722,20140722,41035.0,20140722,220.0,79.0,131.0,25.0,1.1132847,54.5
34,0.0047619047619047,A,42.55972222,-122.03583333,20130703,20130723,41035.0,20130720,283.0,144.0,203.0,0.0,3.4832268,56.0
35,0.565625,C,42.47361111,-122.25277778,20140728,20141015,41035.0,20140813,160.0,81.0,115.0,0.0,2.4413075,54.5
36,1133.1935483870968,G,42.0478,-122.345,20140730,20140829,41035.0,20140818,274.0,100.0,185.0,0.0,2.9316983,54.5
37,0.1,A,42.87916667,-121.97277778,20150801,20150801,41035.0,20150801,323.0,126.0,206.0,0.0,1.2209115,68.0
38,0.25,A,43.5583333,-122.093333,20101020,20101020,41035.0,20101020,164.0,10.0,70.0,0.0,2.5539240000000003,20.0
39,0.1,A,43.60416667,-122.5475,20140810,20140810,41035.0,20140810,247.0,93.0,161.0,25.0,1.4577307,54.5
40,0.1,A,42.7125,-121.18611111,20140914,20140914,41035.0,20140914,263.0,33.0,153.0,0.0,0.45705312,40.5
41,0.6970588235294117,C,42.5575,-122.28361111,20140729,20141107,41035.0,20140818,274.0,100.0,185.0,0.0,2.9316983,54.5
42,0.565625,C,42.47361111,-122.25277778,20140728,20141015,41035.0,20140913,274.0,36.0,151.0,0.0,1.3892403,40.5
