,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0833333333333333,A,43.93583333,-122.14833333,20140702,20140704,41039.0,20140703,213.0,121.0,156.0,0.0,3.0358572,83.0
1,4.158730158730159,D,43.39055556,-122.31138889,20140731,20141001,41039.0,20140817,250.0,110.0,174.0,0.0,2.0398269,54.5
2,0.1,A,43.97527778,-121.85472222,20130801,20130801,41039.0,20130801,131.0,85.0,102.0,51.0,2.3717005,52.0
3,0.0068181818181818,B,43.85222222,-122.07833333,20140822,20141004,41039.0,20140917,217.0,139.0,188.0,0.0,1.0718676,40.5
4,80.44,G,43.73638889,-122.57388889,20140811,20141024,41039.0,20140830,244.0,122.0,192.0,0.0,2.2016880000000003,51.0
5,0.25,A,43.69833333,-122.03444444,20150729,20150729,41039.0,20150729,320.0,135.0,231.0,0.0,2.3032584,68.0
6,0.0038461538461538,A,43.50694444,-122.25027778,20140822,20140916,41039.0,20140827,350.0,128.0,242.0,0.0,0.66212285,51.0
7,0.0333333333333333,A,44.1403,-122.5767,20140702,20140704,41039.0,20140703,213.0,121.0,156.0,0.0,3.0358572,83.0
8,0.0038461538461538,A,43.50694444,-122.25027778,20140822,20140916,41039.0,20140902,217.0,92.0,148.0,0.0,1.5802866000000002,51.0
9,1.096774193548387,C,43.72666667,-122.06777778,20140810,20140909,41039.0,20140820,145.0,86.0,114.0,25.0,2.8308663,54.5
10,0.05,A,43.91916667,-122.085,20140713,20140714,41039.0,20140713,239.0,144.0,197.0,28.0,1.7202533,54.5
11,80.44,G,43.73638889,-122.57388889,20140811,20141024,41039.0,20140902,217.0,92.0,148.0,0.0,1.5802866000000002,51.0
12,0.8675,B,44.11111111,-122.17194444,20150627,20150630,41039.0,20150627,310.0,170.0,233.0,0.0,1.1752659,68.0
13,0.1,A,44.1497222,-121.950833,20100826,20100826,41039.0,20100826,226.0,99.0,164.0,0.0,2.2902668,53.0
14,0.1,A,44.081451,-123.04526,20150618,20150618,41039.0,20150618,294.0,122.0,204.0,0.0,2.2810361,76.5
15,0.0147058823529411,A,43.67888889,-122.49916667,20140815,20140831,41039.0,20140830,244.0,122.0,192.0,0.0,2.2016880000000003,51.0
16,0.1875,B,44.13111111,-121.88805556,20140818,20140821,41039.0,20140818,259.0,99.0,179.0,0.0,2.9316983,54.5
17,0.045,B,44.27305556,-124.05194444,20140901,20140920,41039.0,20140917,217.0,139.0,188.0,0.0,1.0718676,40.5
18,0.0333333333333333,A,44.12944444,-121.89833333,20140818,20140820,41039.0,20140818,259.0,99.0,179.0,0.0,2.9316983,54.5
19,0.0428571428571428,B,43.7225,-122.46638889,20140812,20141020,41039.0,20140917,217.0,139.0,188.0,0.0,1.0718676,40.5
21,0.1,A,44.0417,-123.1794,20140727,20140727,41039.0,20140727,317.0,117.0,212.0,0.0,1.3703306999999998,47.5
22,0.0428571428571428,B,43.7225,-122.46638889,20140812,20141020,41039.0,20140921,289.0,139.0,213.0,0.0,1.1768691999999998,40.5
23,0.1,A,44.088281,-123.03514,20150702,20150702,41039.0,20150702,308.0,138.0,211.0,0.0,1.9456682,68.0
24,0.0333333333333333,A,44.17666667,-121.81833333,20140915,20140917,41039.0,20140917,217.0,139.0,188.0,0.0,1.0718676,40.5
25,0.028169014084507,B,43.72027778,-122.55,20140811,20141020,41039.0,20140921,289.0,139.0,213.0,0.0,1.1768691999999998,40.5
26,0.1,A,43.5375,-122.47722222,20150711,20150711,41039.0,20150711,159.0,86.0,117.0,0.0,1.9851006,68.0
