,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
479,0.1,A,42.4468,-117.8765,20030529,20030529,41045.0,20030529,350.0,189.0,272.0,0.0,1.0470896,110.0
480,13410.4,G,42.629,-117.4971,20010809,20010813,41045.0,20010811,356.0,122.0,239.0,0.0,1.5126705,65.0
481,55.5,D,44.4588,-117.5019,20000622,20000623,41045.0,20000622,328.0,100.0,217.0,0.0,3.073655,116.667
482,1.0,B,43.619,-117.2516,20000813,20000813,41045.0,20000813,344.0,178.0,261.0,0.0,2.7115438,55.0
486,0.15,B,42.7713,-117.0435,19990805,19990806,41045.0,19990805,333.0,161.0,250.0,0.0,2.4429512000000004,87.0
489,54.05,D,42.7629,-118.0699,20040625,20040628,41045.0,20040625,339.0,111.0,228.0,0.0,2.7301614,182.0
492,30.0,C,43.7318,-117.0957,19990624,19990625,41045.0,19990624,317.0,94.0,206.0,0.0,2.7171264,121.5
496,150.0,E,46.066,-116.9615,20010519,20010522,41045.0,20010522,311.0,61.0,189.0,0.0,2.0462892,156.667
498,1082.5,G,43.254,-117.3413,20020714,20020721,41045.0,20020717,361.0,139.0,250.0,3.0,0.05000305,92.0
499,0.3333333333333333,B,44.0518,-118.2016,20010811,20010813,41045.0,20010811,356.0,122.0,239.0,0.0,1.5126705,65.0
504,2.5,B,44.0763,-118.1408,20050728,20050729,41045.0,20050728,367.0,150.0,261.0,0.0,0.78102964,106.0
506,1112.0,F,44.0554,-117.2571,20000625,20000626,41045.0,20000625,289.0,94.0,194.0,0.0,3.1082067,116.667
508,4687.428571428572,G,43.3943,-117.2002,20020715,20020721,41045.0,20020717,361.0,139.0,250.0,3.0,0.05000305,92.0
510,1.0,B,42.7499,-117.0343,19990805,19990806,41045.0,19990805,333.0,161.0,250.0,0.0,2.4429512000000004,87.0
514,0.3,B,44.1768,-117.1199,20000620,20000620,41045.0,20000620,283.0,22.0,156.0,0.0,1.525031,116.667
519,1.5,B,42.844,-117.3501,19990805,19990806,41045.0,19990805,333.0,161.0,250.0,0.0,2.4429512000000004,87.0
520,7.0,C,43.708128,-117.918422,20030707,20030718,41045.0,20030718,411.0,194.0,306.0,0.0,0.7262149999999999,78.0
521,55.5,D,44.4588,-117.5019,20000622,20000623,41045.0,20000623,328.0,83.0,206.0,0.0,3.220251,116.667
528,0.1,A,43.5768,-117.1032,20030529,20030529,41045.0,20030529,350.0,189.0,272.0,0.0,1.0470896,110.0
530,0.3,B,43.0099,-117.0593,20001002,20001002,41045.0,20001002,211.0,94.0,156.0,0.0,3.0792346,69.0
533,0.5,B,44.1357,-118.2355,20010811,20010812,41045.0,20010811,356.0,122.0,239.0,0.0,1.5126705,65.0
541,0.15,B,43.603483,-117.20031,20030729,20030730,41045.0,20030729,394.0,144.0,272.0,0.0,2.4194577,96.0
542,117.25,D,43.4438,-117.9357,20010912,20010913,41045.0,20010912,294.0,111.0,206.0,5.0,1.5339445,64.667
552,2.0,B,43.6468,-117.2291,20030729,20030730,41045.0,20030729,394.0,144.0,272.0,0.0,2.4194577,96.0
553,707.5,F,43.8749,-117.1185,19990624,19990625,41045.0,19990624,317.0,94.0,206.0,0.0,2.7171264,121.5
554,1998.3333333333333,G,43.021,-117.6135,20010809,20010811,41045.0,20010811,356.0,122.0,239.0,0.0,1.5126705,65.0
555,8508.6,G,43.4649,-117.0727,20020713,20020717,41045.0,20020717,361.0,139.0,250.0,3.0,0.05000305,92.0
563,4687.428571428572,G,43.3943,-117.2002,20020715,20020721,41045.0,20020719,294.0,122.0,211.0,30.0,1.8840859,92.0
566,221.0,E,43.5843,-118.1238,20020720,20020723,41045.0,20020720,333.0,94.0,217.0,3.0,2.5775135,92.0
571,36.66666666666666,D,44.079112,-118.173671,20050731,20050802,41045.0,20050731,367.0,144.0,256.0,0.0,0.30806306,106.0
575,15.0,C,43.6182,-117.1979,20030729,20030730,41045.0,20030729,394.0,144.0,272.0,0.0,2.4194577,96.0
576,0.02,A,42.5649,-117.6726,20010809,20010813,41045.0,20010811,356.0,122.0,239.0,0.0,1.5126705,65.0
578,6.0,B,43.9199,-117.1774,20050822,20050822,41045.0,20050822,367.0,144.0,256.0,0.0,2.4329777000000004,81.0
580,1082.5,G,43.254,-117.3413,20020714,20020721,41045.0,20020720,333.0,94.0,217.0,3.0,2.5775135,92.0
585,0.1,A,42.8649,-117.5377,20000717,20000717,41045.0,20000717,328.0,183.0,256.0,0.0,3.4070065,101.0
586,150.0,E,46.066,-116.9615,20010519,20010522,41045.0,20010521,250.0,50.0,150.0,0.0,2.1745062,156.667
