,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
18,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050728,317.0,128.0,222.0,3.0,3.4071195,102.0
30,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050723,344.0,217.0,283.0,0.0,4.232654599999999,102.0
34,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050721,344.0,144.0,244.0,272.0,2.0991464,102.0
35,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050712,311.0,167.0,239.0,0.0,2.2224731,102.0
37,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050725,239.0,139.0,189.0,23.0,0.070714995,102.0
39,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050801,339.0,172.0,256.0,0.0,2.3906908,107.0
41,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050709,383.0,222.0,306.0,0.0,4.457864,102.0
43,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050716,411.0,183.0,300.0,0.0,4.567551,102.0
45,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050713,339.0,178.0,261.0,0.0,1.9972222,102.0
50,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050731,339.0,172.0,256.0,0.0,1.2170806,107.0
52,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050719,389.0,161.0,278.0,0.0,4.1777120000000005,102.0
56,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050727,278.0,94.0,189.0,0.0,1.5473860000000002,102.0
57,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050711,289.0,172.0,233.0,0.0,3.0276053,102.0
63,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050722,311.0,167.0,239.0,3.0,2.4703221,102.0
64,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050708,350.0,167.0,261.0,0.0,3.4349384,102.0
65,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050803,339.0,172.0,256.0,0.0,0.4272066,107.0
67,4.25,B,44.36527778,-103.49833333,20050709,20050710,46093.0,20050709,383.0,222.0,306.0,0.0,4.457864,102.0
68,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050715,311.0,128.0,222.0,0.0,1.673862,102.0
71,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050714,311.0,144.0,228.0,0.0,3.4634337,102.0
76,4.25,B,44.36527778,-103.49833333,20050709,20050710,46093.0,20050710,344.0,206.0,278.0,0.0,5.557418,102.0
81,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050718,294.0,128.0,211.0,0.0,1.3479203000000002,102.0
82,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050726,206.0,111.0,161.0,8.0,5.050984,102.0
83,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050720,306.0,161.0,233.0,0.0,2.2537527,102.0
84,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050729,333.0,156.0,244.0,0.0,4.490263,102.0
85,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050730,339.0,206.0,272.0,0.0,3.6773012,102.0
86,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050717,267.0,150.0,211.0,0.0,0.7778218000000001,102.0
88,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050710,344.0,206.0,278.0,0.0,5.557418,102.0
89,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050724,333.0,200.0,267.0,5.0,1.5741111,102.0
90,146.62962962962962,F,44.19361111,-103.39388889,20050708,20050803,46093.0,20050802,339.0,172.0,256.0,0.0,2.6801758,107.0
