,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.2,A,30.43807,-97.95092,20130906,20130906,48453.0,20130906,356.0,222.0,283.0,0.0,1.2628925,94.5
1,0.925,B,30.5711,-98.01746,20140408,20140411,48453.0,20140411,294.0,128.0,211.0,0.0,4.0240426,101.0
4,0.6666666666666666,B,30.50506,-97.95467,20140827,20140829,48453.0,20140828,361.0,211.0,286.0,0.0,1.3328146,93.0
5,0.1,A,30.48333,-98.05722,20130903,20130903,48453.0,20130903,389.0,222.0,306.0,0.0,2.3526149,82.0
6,0.6666666666666666,B,30.50506,-97.95467,20140827,20140829,48453.0,20140829,356.0,228.0,282.0,0.0,2.0912495,93.0
7,0.925,B,30.5711,-98.01746,20140408,20140411,48453.0,20140408,244.0,72.0,154.0,0.0,3.28197,101.0
8,0.925,B,30.5711,-98.01746,20140408,20140411,48453.0,20140409,283.0,33.0,152.0,0.0,2.8212419,101.0
9,0.6666666666666666,B,30.50506,-97.95467,20140827,20140829,48453.0,20140827,361.0,217.0,289.0,0.0,0.3201542999999999,93.0
11,0.925,B,30.5711,-98.01746,20140408,20140411,48453.0,20140410,300.0,89.0,198.0,0.0,5.6978045,101.0
12,0.3,B,30.58674,-97.98395,20150810,20150810,48453.0,20150810,394.0,217.0,302.0,0.0,1.2298373,101.667
13,0.8,B,30.56856,-98.01762,20140410,20140410,48453.0,20140410,300.0,89.0,198.0,0.0,5.6978045,101.0
14,0.2,A,30.55128,-97.99913,20150826,20150826,48453.0,20150826,350.0,206.0,272.0,0.0,1.982738,93.667
15,1.3,B,30.61396,-97.94825,20150813,20150813,48453.0,20150813,389.0,239.0,307.0,0.0,1.6486738,93.667
16,0.5,B,30.44893,-97.98756,20151013,20151013,48453.0,20151013,339.0,128.0,283.0,0.0,3.8801577,79.667
