,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.025,A,38.2158,-113.8664,20130818,20130821,49001.0,20130820,228.0,85.0,146.0,0.0,0.9709874,45.333
1,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130826,152.0,93.0,112.0,127.0,2.7487166000000003,51.833
2,0.1,A,38.53166667,-112.58611111,20140708,20140708,49001.0,20140708,217.0,90.0,129.0,0.0,0.81049746,44.0
3,0.75,B,38.1722,-112.8917,20130628,20130629,49001.0,20130629,245.0,109.0,167.0,0.0,0.76485175,49.5
4,0.05,A,38.1761,-113.6894,20150826,20150827,49001.0,20150827,209.0,57.0,124.0,0.0,0.1457737999999999,35.5
5,0.1,A,38.27527778,-112.46972222,20150323,20150323,49001.0,20150323,90.0,-7.0,45.0,0.0,2.522028,120.0
6,0.2,A,38.4728,-113.41,20120707,20120707,49001.0,20120707,245.0,62.0,151.0,0.0,1.6673578999999998,36.667
7,0.025,A,38.2158,-113.8664,20130818,20130821,49001.0,20130818,190.0,59.0,102.0,51.0,1.9847883,45.333
8,0.1,A,38.5303,-112.6497,20120525,20120525,49001.0,20120525,169.0,70.0,113.0,0.0,7.4003406,95.333
9,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130911,83.0,49.0,62.0,25.0,1.7236278000000005,53.333
10,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150913,196.0,55.0,102.0,25.0,1.5110013,36.667
11,480.44444444444446,F,38.1661,-112.8906,20130702,20130710,49001.0,20130703,275.0,112.0,191.0,0.0,1.69098,49.5
12,0.1,A,38.2633,-112.5853,20150718,20150718,49001.0,20150718,185.0,75.0,109.0,203.0,2.427061,119.0
13,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150918,139.0,5.0,53.0,0.0,2.86007,36.667
14,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130820,228.0,85.0,146.0,0.0,0.9709874,45.333
15,0.1,A,38.2156,-112.8714,20120826,20120826,49001.0,20120826,183.0,64.0,98.0,51.0,2.6065512,30.333
16,0.05,A,38.26,-112.8664,20130820,20130821,49001.0,20130820,228.0,85.0,146.0,0.0,0.9709874,45.333
17,0.0999999999999999,B,38.2006,-112.7467,20100726,20100728,49001.0,20100726,214.0,77.0,122.0,25.0,1.6519475,54.5
18,31.2,D,38.4678,-112.7292,20140816,20140820,49001.0,20140816,240.0,56.0,144.0,0.0,0.12207475,54.333
19,0.05,A,38.1678,-112.8922,20130628,20130629,49001.0,20130629,245.0,109.0,167.0,0.0,0.76485175,49.5
20,0.05,A,38.3103,-113.3083,20130820,20130821,49001.0,20130820,228.0,85.0,146.0,0.0,0.9709874,45.333
21,0.1,A,38.5103,-113.5497,20140820,20140820,49001.0,20140820,159.0,52.0,96.0,152.0,3.3021839,24.833
22,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130831,200.0,106.0,139.0,102.0,0.16554084,51.833
23,0.025,A,38.2158,-113.8664,20130818,20130821,49001.0,20130821,201.0,75.0,116.0,0.0,0.5346024,45.333
24,0.05,A,38.2594,-113.7375,20130629,20130630,49001.0,20130629,245.0,109.0,167.0,0.0,0.76485175,49.5
25,0.1,A,38.31638889,-112.27916667,20140728,20140728,49001.0,20140728,143.0,79.0,101.0,127.0,1.3277463,54.333
26,0.1,A,38.25,-112.53333333,20130616,20130616,49001.0,20130616,222.0,42.0,130.0,0.0,3.5017834000000003,65.5
27,0.3,B,38.3989,-112.9042,20150605,20150605,49001.0,20150605,112.0,12.0,50.0,0.0,3.520032,139.0
28,4.2,B,38.2831,-112.6119,20120609,20120609,49001.0,20120609,174.0,-10.0,90.0,0.0,3.855196,57.833
29,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130915,143.0,38.0,77.0,0.0,1.869435,53.333
30,0.05,A,38.3933,-113.1856,20130817,20130818,49001.0,20130818,190.0,59.0,102.0,51.0,1.9847883,45.333
31,0.15,B,38.4989,-113.1633,20150821,20150822,49001.0,20150821,243.0,67.0,155.0,0.0,3.4539833,44.5
32,1.0,B,38.3678,-112.9831,20130814,20130814,49001.0,20130814,242.0,58.0,146.0,0.0,2.0201032,45.333
33,0.15,B,38.1603,-112.6883,20140707,20140708,49001.0,20140707,255.0,100.0,141.0,0.0,1.1510805,44.0
34,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130821,201.0,75.0,116.0,0.0,0.5346024,45.333
35,0.1,A,38.2653,-113.63,20140611,20140611,49001.0,20140611,212.0,68.0,140.0,0.0,0.2817823,57.667
36,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130917,160.0,65.0,99.0,0.0,5.070047,53.333
37,0.1,A,38.2492,-113.81,20130818,20130818,49001.0,20130818,190.0,59.0,102.0,51.0,1.9847883,45.333
38,0.05,A,38.3644,-112.8831,20100719,20100720,49001.0,20100720,213.0,96.0,132.0,25.0,1.3536695,54.5
39,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150920,179.0,35.0,89.0,0.0,0.9823442,36.667
40,0.1,A,38.4014,-113.1531,20130818,20130818,49001.0,20130818,190.0,59.0,102.0,51.0,1.9847883,45.333
41,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150928,206.0,65.0,125.0,0.0,2.1023796000000003,29.0
42,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130825,170.0,54.0,107.0,0.0,4.1150155,51.833
43,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130830,192.0,80.0,118.0,25.0,1.0889505,51.833
44,0.5,B,38.3497,-112.7719,20130811,20130812,49001.0,20130812,213.0,64.0,131.0,0.0,2.514467,45.333
45,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150914,132.0,46.0,76.0,25.0,4.677673,36.667
46,0.1,A,38.3133,-113.3181,20130821,20130821,49001.0,20130821,201.0,75.0,116.0,0.0,0.5346024,45.333
47,480.44444444444446,F,38.1661,-112.8906,20130702,20130710,49001.0,20130707,176.0,70.0,108.0,0.0,2.3202012,112.333
48,0.0333333333333333,A,38.1536,-112.9083,20140920,20140922,49001.0,20140922,170.0,50.0,108.0,25.0,1.0704278,53.833
49,0.1,A,38.23,-113.5925,20150630,20150630,49001.0,20150630,229.0,94.0,135.0,51.0,0.6408003000000001,50.167
50,1.5,B,38.4964,-112.6167,20140714,20140715,49001.0,20140714,213.0,100.0,146.0,25.0,0.9604629,39.333
51,0.1,A,38.49,-112.8611,20120723,20120723,49001.0,20120723,207.0,95.0,136.0,25.0,2.330195,37.833
52,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150924,228.0,50.0,128.0,0.0,1.417965,29.0
53,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130914,109.0,40.0,66.0,0.0,1.0510925,53.333
54,0.1,A,38.3058,-113.7714,20120731,20120731,49001.0,20120731,183.0,64.0,105.0,178.0,1.9918061,37.833
55,0.1,A,38.5325,-112.56277778,20120514,20120514,49001.0,20120514,209.0,-8.0,101.0,0.0,2.3688226,79.333
56,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130910,80.0,50.0,63.0,0.0,1.7240894,53.333
57,0.0172413793103448,B,38.335,-113.5589,20130820,20130917,49001.0,20130902,153.0,73.0,98.0,25.0,2.29996,51.833
58,0.1,A,38.34888889,-112.54472222,20150810,20150810,49001.0,20150810,181.0,67.0,100.0,25.0,2.6279743,44.5
59,0.005,A,38.3625,-112.43416667,20150912,20151001,49001.0,20150916,147.0,82.0,104.0,0.0,4.4275417,36.667
60,0.05,A,38.1678,-112.8922,20130628,20130629,49001.0,20130628,283.0,95.0,170.0,0.0,1.8867885,49.5
