,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
44,0.1,A,40.4791667,-112.546389,20100721,20100721,49003.0,20100721,137.0,48.0,85.0,0.0,2.2897427,80.0
45,35.8,D,41.9533,-113.6789,20100807,20100811,49003.0,20100807,137.0,48.0,85.0,0.0,1.877479,80.0
64,0.5,B,41.3942,-113.9689,20100823,20100823,49003.0,20100823,144.0,18.0,71.0,0.0,4.134648,80.0
78,35.8,D,41.9533,-113.6789,20100807,20100811,49003.0,20100809,137.0,48.0,85.0,0.0,2.3760843,80.0
81,35.8,D,41.9533,-113.6789,20100807,20100811,49003.0,20100811,137.0,48.0,85.0,0.0,2.3730633,80.0
89,35.8,D,41.9533,-113.6789,20100807,20100811,49003.0,20100808,137.0,48.0,85.0,0.0,3.186983,80.0
96,50.0,D,41.1925,-112.9922,20100725,20100726,49003.0,20100726,137.0,48.0,85.0,0.0,0.66098785,80.0
97,0.1,A,41.4625,-111.946389,20100828,20100828,49003.0,20100828,163.0,37.0,100.0,25.0,3.3464828,80.0
107,35.8,D,41.9533,-113.6789,20100807,20100811,49003.0,20100810,137.0,48.0,85.0,0.0,3.300382,80.0
108,3.0,B,41.8211,-113.4,20100806,20100806,49003.0,20100806,137.0,48.0,85.0,0.0,3.8741784,80.0
111,50.0,D,41.1925,-112.9922,20100725,20100726,49003.0,20100725,137.0,48.0,85.0,0.0,1.9235328,80.0
137,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100719,137.0,48.0,85.0,0.0,3.3800793,80.0
139,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100730,137.0,48.0,85.0,0.0,2.777138,80.0
143,22.6,D,41.9319444,-112.153889,20100816,20100820,49003.0,20100820,197.0,93.0,143.0,0.0,2.4558864,80.0
148,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100801,137.0,48.0,85.0,0.0,2.2823963,80.0
194,22.6,D,41.9319444,-112.153889,20100816,20100820,49003.0,20100816,216.0,107.0,146.0,0.0,1.6802605,80.0
206,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100802,137.0,48.0,85.0,0.0,0.7638076,80.0
238,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100725,137.0,48.0,85.0,0.0,1.9235328,80.0
255,0.05,A,41.4975,-111.968611,20100707,20100708,49003.0,20100708,137.0,48.0,85.0,0.0,2.8398583,80.0
278,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100720,137.0,48.0,85.0,0.0,1.4355826,80.0
279,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100723,186.0,52.0,107.0,0.0,2.250089,80.0
311,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100724,137.0,48.0,85.0,0.0,2.667167,80.0
328,0.05,A,41.9108333,-112.116389,20100823,20100824,49003.0,20100824,190.0,41.0,112.0,0.0,1.4327843999999998,80.0
331,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100729,137.0,48.0,85.0,0.0,1.6385615000000002,80.0
342,22.6,D,41.9319444,-112.153889,20100816,20100820,49003.0,20100818,227.0,110.0,156.0,0.0,2.472428,80.0
343,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100722,137.0,48.0,85.0,0.0,2.2496417,80.0
431,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100728,137.0,48.0,85.0,0.0,2.4459136000000004,80.0
438,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100721,137.0,48.0,85.0,0.0,2.2897427,80.0
462,0.05,A,41.9108333,-112.116389,20100823,20100824,49003.0,20100823,144.0,18.0,71.0,0.0,4.134648,80.0
486,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100731,137.0,48.0,85.0,0.0,2.1411169,80.0
511,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100727,137.0,48.0,85.0,0.0,2.071831,80.0
524,22.6,D,41.9319444,-112.153889,20100816,20100820,49003.0,20100819,167.0,67.0,113.0,152.0,0.41879785,80.0
544,0.05,A,41.4975,-111.968611,20100707,20100708,49003.0,20100707,137.0,48.0,85.0,0.0,4.1464233,80.0
559,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100803,137.0,48.0,85.0,0.0,1.6949668999999998,80.0
572,0.125,B,41.7394444,-111.741667,20100719,20100803,49003.0,20100726,137.0,48.0,85.0,0.0,0.66098785,80.0
577,22.6,D,41.9319444,-112.153889,20100816,20100820,49003.0,20100817,231.0,103.0,155.0,0.0,0.9533607,80.0
