,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,37.8642,-113.9497,20130821,20130822,49021.0,20130822,178.0,57.0,109.0,102.0,0.6264221,51.833
1,0.0333333333333333,A,37.67027778,-112.79666667,20140731,20140802,49021.0,20140802,217.0,115.0,156.0,25.0,0.7964885,54.333
2,0.05,A,37.6742,-113.8925,20130830,20130831,49021.0,20130831,196.0,116.0,139.0,229.0,1.2621115,51.833
3,0.15,B,37.6808,-113.9097,20150828,20150829,49021.0,20150828,209.0,51.0,124.0,0.0,0.93708324,35.5
4,1.25,B,38.0392,-113.5344,20130628,20130701,49021.0,20130628,246.0,119.0,173.0,25.0,0.18680918,49.5
5,0.05,A,38.1222,-113.6331,20140726,20140727,49021.0,20140727,223.0,60.0,135.0,51.0,1.3940201,54.333
6,0.05,A,37.5194,-113.2653,20100729,20100730,49021.0,20100730,195.0,82.0,137.0,0.0,1.264911,55.333
7,1.0,B,37.8828,-112.7606,20150728,20150728,49021.0,20150728,186.0,33.0,118.0,0.0,1.4545188999999998,48.667
8,0.1,A,37.7028,-113.24,20150708,20150708,49021.0,20150708,206.0,67.0,123.0,0.0,2.8251104,50.167
9,0.5,B,37.7206,-113.0839,20101001,20101001,49021.0,20101001,192.0,47.0,111.0,0.0,0.5894119999999999,39.667
10,0.05,A,38.1075,-113.9997,20130722,20130723,49021.0,20130723,189.0,109.0,140.0,25.0,2.4813201,51.0
11,0.1,A,37.765,-113.1714,20140731,20140731,49021.0,20140731,202.0,94.0,139.0,102.0,0.8633044,54.333
12,0.05,A,38.1222,-113.6331,20140726,20140727,49021.0,20140726,176.0,80.0,129.0,0.0,2.1639214,54.333
13,0.1,A,37.5383,-113.2347,20120910,20120910,49021.0,20120910,171.0,77.0,116.0,0.0,2.8861763,32.0
14,0.1,A,37.76944444,-112.75611111,20120804,20120804,49021.0,20120804,192.0,74.0,128.0,102.0,2.2192156,39.667
15,0.15,B,37.7483,-113.9117,20130726,20130727,49021.0,20130727,175.0,96.0,119.0,178.0,2.7186081000000004,46.333
16,0.05,A,38.0336,-114.0003,20090530,20090531,49021.0,20090531,137.0,1.0,69.0,0.0,1.1412726999999998,71.833
17,0.75,B,38.04467,-113.51631,20100719,20100722,49021.0,20100719,246.0,137.0,190.0,0.0,3.3245294000000003,54.5
18,0.0333333333333333,A,37.9064,-112.9717,20100806,20100808,49021.0,20100806,223.0,87.0,149.0,0.0,2.5262234,55.333
19,0.05,A,37.6433,-112.9592,20130831,20130901,49021.0,20130831,196.0,116.0,139.0,229.0,1.2621115,51.833
20,0.1,A,37.7506,-113.2461,20140619,20140619,49021.0,20140619,175.0,27.0,106.0,0.0,1.5502892,53.5
21,0.15,B,37.6339,-112.9331,20100718,20100719,49021.0,20100719,246.0,137.0,190.0,0.0,3.3245294000000003,54.5
22,0.0071428571428571,A,37.4872,-113.195,20090529,20090611,49021.0,20090531,137.0,1.0,69.0,0.0,1.1412726999999998,71.833
23,0.3,B,38.0319,-113.8286,20140703,20140703,49021.0,20140703,253.0,98.0,178.0,0.0,3.0160244,44.0
24,0.1,A,37.7406,-113.2331,20140917,20140917,49021.0,20140917,208.0,50.0,113.0,0.0,1.6446923,24.833
25,2.625,C,38.0467,-113.5664,20130628,20130701,49021.0,20130628,246.0,119.0,173.0,25.0,0.18680918,49.5
26,0.1,A,37.6581,-113.2694,20140726,20140726,49021.0,20140726,176.0,80.0,129.0,0.0,2.1639214,54.333
