,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,121.2846153846154,F,39.7683,-112.3019,20130815,20130827,49023.0,20130821,223.0,98.0,152.0,0.0,0.5346024,31.6669999999999
1,0.1,A,39.7442,-112.27239,20130628,20130628,49023.0,20130628,314.0,100.0,197.0,0.0,1.8867885,42.0
2,3.38,C,39.4336,-111.865,20130817,20130826,49023.0,20130820,256.0,84.0,164.0,0.0,0.9709874,31.6669999999999
3,0.5,B,39.89756,-112.62031,20130628,20130628,49023.0,20130628,314.0,100.0,197.0,0.0,1.8867885,42.0
4,0.1,A,39.8414,-112.1386,20130818,20130818,49023.0,20130818,287.0,79.0,181.0,0.0,1.9847883,31.6669999999999
5,1.0666666666666669,B,39.7722,-112.3961,20130628,20130630,49023.0,20130628,314.0,100.0,197.0,0.0,1.8867885,42.0
6,0.0142857142857142,B,39.89544,-112.69169,20130609,20130629,49023.0,20130626,280.0,65.0,170.0,0.0,1.9103159,51.833
7,0.03,B,39.7536,-112.2881,20130406,20130415,49023.0,20130412,112.0,-50.0,22.0,0.0,1.4807069,87.5
8,0.0142857142857142,A,39.6249,-112.26283,20150701,20150707,49023.0,20150703,229.0,117.0,167.0,0.0,0.6932712,45.5
9,0.0142857142857142,B,39.89544,-112.69169,20130609,20130629,49023.0,20130627,313.0,87.0,199.0,0.0,0.104393944,42.0
11,0.03,B,39.7536,-112.2881,20130406,20130415,49023.0,20130411,94.0,-32.0,20.0,51.0,1.0735428,87.5
12,0.03,B,39.7536,-112.2881,20130406,20130415,49023.0,20130413,130.0,-32.0,59.0,0.0,3.080174,87.5
13,0.0142857142857142,B,39.89544,-112.69169,20130609,20130629,49023.0,20130628,314.0,100.0,197.0,0.0,1.8867885,42.0
14,0.1,A,39.82386,-112.22564,20130818,20130818,49023.0,20130818,287.0,79.0,181.0,0.0,1.9847883,31.6669999999999
15,0.5,B,39.439269,-111.9967,20140709,20140709,49023.0,20140709,227.0,115.0,157.0,25.0,2.379695,34.5
18,4.666666666666667,C,39.7428,-112.0447,20130818,20130823,49023.0,20130821,223.0,98.0,152.0,0.0,0.5346024,31.6669999999999
19,0.0052631578947368,A,39.845,-112.1261,20130817,20130904,49023.0,20130827,217.0,112.0,152.0,0.0,2.2894945,42.5
20,0.05,A,39.3811,-111.9278,20130629,20130630,49023.0,20130630,306.0,104.0,196.0,0.0,1.72046,42.0
21,289.53333333333336,F,39.5297,-111.8649,20140724,20140807,49023.0,20140730,179.0,77.0,128.0,0.0,1.8965188,40.5
23,1.0666666666666669,B,39.7722,-112.3961,20130628,20130630,49023.0,20130630,306.0,104.0,196.0,0.0,1.72046,42.0
25,145.2346153846154,C,39.8472,-113.4261,20130817,20130818,49023.0,20130818,287.0,79.0,181.0,0.0,1.9847883,31.6669999999999
26,25.58125,B,39.78322,-111.27239,20130630,20130715,49023.0,20130630,306.0,104.0,196.0,0.0,1.72046,42.0
27,0.75,B,39.8125,-111.8339,20130630,20130701,49023.0,20130701,315.0,106.0,209.0,0.0,2.1315222,42.0
28,0.06,B,39.6097,-111.7706,20150822,20150826,49023.0,20150824,297.0,86.0,187.0,0.0,1.3695347,36.0
29,0.1,A,39.7847,-112.3292,20130907,20130907,49023.0,20130907,238.0,82.0,131.0,559.0,0.8828305000000001,42.833
