,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,163.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140720,262.0,90.0,163.0,0.0,1.8034711,66.167
1,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140725,269.0,130.0,194.0,0.0,2.1370108,85.0
2,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140722,281.0,124.0,197.0,0.0,2.0087152,66.167
3,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140724,287.0,95.0,191.0,0.0,4.2652574,66.167
4,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140729,183.0,121.0,136.0,152.0,1.3897545,85.0
5,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140728,266.0,124.0,165.0,25.0,0.7505997,85.0
6,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140721,257.0,79.0,167.0,0.0,4.123107,66.167
7,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140723,312.0,65.0,196.0,0.0,2.6559057,66.167
8,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140727,313.0,92.0,199.0,0.0,1.7220078999999997,85.0
9,160.0,F,41.049,-111.58759,20140720,20140729,49029.0,20140726,270.0,136.0,194.0,0.0,1.4420068,85.0
10,3.0,B,40.99639,-111.62689,20140720,20140721,49029.0,20140721,257.0,79.0,167.0,0.0,4.123107,66.167
11,0.05,A,41.0639,-111.5664,20120830,20120831,49029.0,20120831,243.0,105.0,158.0,25.0,1.7739537,80.0
12,75.0,D,41.0578,-111.73,20070723,20070724,49029.0,20070723,287.0,164.0,204.0,0.0,1.9506379,102.667
13,0.05,A,41.0639,-111.5664,20120830,20120831,49029.0,20120830,262.0,120.0,186.0,0.0,0.5185639,80.0
14,75.0,D,41.0578,-111.73,20070723,20070724,49029.0,20070724,225.0,140.0,173.0,51.0,3.3676248,102.667
