,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
9,0.01,A,41.45333333,-111.50277778,20130707,20130707,49033.0,20130707,259.0,73.0,155.0,0.0,4.154621,187.0
12,0.01,A,41.38472222,-111.47388889,20130622,20130622,49033.0,20130622,150.0,36.0,90.0,0.0,0.12999667,187.0
13,0.01,A,41.40694444,-111.49722222,20130616,20130616,49033.0,20130616,241.0,24.0,127.0,0.0,1.1672572,187.0
16,24.8,D,41.3222,-111.1466,20070718,20070722,49033.0,20070721,273.0,127.0,196.0,0.0,1.2093018,89.0
21,24.8,D,41.3222,-111.1466,20070718,20070722,49033.0,20070722,291.0,123.0,207.0,0.0,3.037276,89.0
23,24.8,D,41.3222,-111.1466,20070718,20070722,49033.0,20070719,274.0,131.0,201.0,0.0,2.1255121,89.0
28,24.8,D,41.3222,-111.1466,20070718,20070722,49033.0,20070720,271.0,127.0,196.0,0.0,1.731411,89.0
30,0.1,A,41.98722222,-111.49055556,20070729,20070729,49033.0,20070729,273.0,110.0,188.0,0.0,0.5315066999999999,89.0
32,0.3,B,41.77833333,-111.46083333,20050726,20050727,49033.0,20050726,242.0,39.0,129.0,0.0,0.88255584,83.0
33,0.25,B,41.77833333,-111.46083333,20050726,20050727,49033.0,20050727,264.0,55.0,147.0,0.0,0.44598547,83.0
35,0.05,A,41.67777778,-111.34583333,20050726,20050727,49033.0,20050727,264.0,55.0,147.0,0.0,0.44598547,83.0
43,0.1,A,41.5772,-111.1103,20070814,20070814,49033.0,20070814,275.0,145.0,197.0,0.0,2.2722945,87.0
46,0.1,A,41.25388889,-111.48777778,20070725,20070725,49033.0,20070725,207.0,117.0,140.0,76.0,2.5811825,89.0
55,0.1,A,41.60277778,-111.40944444,20070905,20070905,49033.0,20070905,153.0,59.0,98.0,25.0,2.7425032000000003,76.0
56,0.105,A,41.57944444,-111.39472222,20050909,20050910,49033.0,20050910,103.0,1.0,47.0,0.0,3.6275232,83.0
58,0.01,A,41.88555556,-111.47083333,20080730,20080730,49033.0,20080730,241.0,118.0,172.0,0.0,3.335999,149.0
64,189.66666666666663,E,41.85516,-111.14359,20070628,20070630,49033.0,20070628,269.0,120.0,188.0,0.0,2.3654585,119.0
66,189.66666666666663,E,41.85516,-111.14359,20070628,20070630,49033.0,20070629,262.0,110.0,181.0,0.0,2.9820254,119.0
69,189.66666666666663,E,41.85516,-111.14359,20070628,20070630,49033.0,20070630,255.0,101.0,175.0,0.0,1.5044678,119.0
71,1.0,B,41.7478,-111.0539,20070716,20070717,49033.0,20070716,276.0,145.0,190.0,0.0,3.5128338,119.0
74,221.75,E,41.88288,-111.25948,20030810,20030813,49033.0,20030811,316.0,126.0,220.0,0.0,1.4266405,83.0
75,221.75,E,41.88288,-111.25948,20030810,20030813,49033.0,20030810,318.0,134.0,209.0,0.0,1.2628946,83.0
79,0.1,A,41.59166667,-111.39305556,20070918,20070918,49033.0,20070918,136.0,20.0,71.0,25.0,3.1531768,76.0
81,24.85,D,41.3222,-111.1466,20070718,20070722,49033.0,20070718,268.0,97.0,188.0,0.0,5.057560400000002,87.0
89,0.05,A,41.574903,-111.117797,20070717,20070718,49033.0,20070717,220.0,106.0,161.0,25.0,0.8002530999999999,119.0
91,0.105,A,41.57944444,-111.39472222,20050909,20050910,49033.0,20050909,225.0,66.0,124.0,0.0,4.9820585,83.0
94,1.0,B,41.7478,-111.0539,20070716,20070717,49033.0,20070717,220.0,106.0,161.0,25.0,0.8002530999999999,119.0
99,221.75,E,41.88288,-111.25948,20030810,20030813,49033.0,20030812,284.0,155.0,202.0,0.0,2.1272044,83.0
101,221.75,E,41.88288,-111.25948,20030810,20030813,49033.0,20030813,310.0,132.0,208.0,0.0,1.8662478,83.0
