,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.025,A,39.43555556,-111.40694444,20140928,20141001,49039.0,20141001,42.0,-29.0,12.0,25.0,2.571485,61.143
2,0.0166666666666666,A,39.22723,-111.80283,20100923,20100928,49039.0,20100926,238.0,72.0,155.0,0.0,0.7738802,109.714
5,0.0999999999999999,B,39.26805556,-111.37694444,20150803,20150805,49039.0,20150804,208.0,82.0,144.0,0.0,1.0796411,62.75
6,0.0124999999999999,B,39.62677,-111.59634,20100816,20100908,49039.0,20100822,254.0,96.0,175.0,0.0,4.00251,106.142999999999
8,0.0111111111111111,A,39.26694444,-111.37666667,20140830,20140907,49039.0,20140903,205.0,74.0,135.0,0.0,3.8762133,70.714
12,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140805,155.0,67.0,115.0,0.0,2.8230023,61.0
13,0.0111111111111111,A,39.26694444,-111.37666667,20140830,20140907,49039.0,20140906,189.0,40.0,113.0,0.0,1.3911871,70.714
16,0.0333333333333333,A,39.3192,-111.8197,20140715,20140717,49039.0,20140715,212.0,90.0,156.0,0.0,2.661309,63.5
18,0.0124999999999999,B,39.62677,-111.59634,20100816,20100908,49039.0,20100821,208.0,77.0,152.0,0.0,3.408731,106.142999999999
19,0.05,A,39.340303,-111.969497,20150706,20150707,49039.0,20150706,189.0,67.0,107.0,76.0,1.6867127,71.5
20,0.0124999999999999,B,39.62677,-111.59634,20100816,20100908,49039.0,20100902,204.0,71.0,132.0,0.0,1.8243878,67.5
21,0.0714285714285714,B,39.3661,-111.54212,20090821,20090910,49039.0,20090902,179.0,80.0,131.0,0.0,0.38639694,104.6
22,0.0111111111111111,A,39.26694444,-111.37666667,20140830,20140907,49039.0,20140830,170.0,82.0,134.0,0.0,3.1052294,70.714
24,0.0333333333333333,A,39.3192,-111.8197,20140715,20140717,49039.0,20140716,220.0,76.0,148.0,0.0,2.6392787,63.5
25,0.0111111111111111,A,39.26694444,-111.37666667,20140830,20140907,49039.0,20140907,196.0,80.0,130.0,0.0,1.7593466,70.714
26,0.1766666666666666,B,39.58277778,-111.3325,20151001,20151003,49039.0,20151003,98.0,1.0,47.0,25.0,0.8189169,58.125
27,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140726,235.0,110.0,158.0,51.0,1.931978,65.5
28,0.0111111111111111,A,39.26694444,-111.37666667,20140830,20140907,49039.0,20140831,127.0,86.0,104.0,0.0,2.425394,70.714
29,0.05,A,39.33916667,-111.33861111,20140723,20140724,49039.0,20140724,220.0,98.0,156.0,0.0,4.2928877,63.5
30,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140801,183.0,52.0,117.0,0.0,0.94413996,65.5
31,0.05,A,39.3591,-111.829003,20150707,20150708,49039.0,20150708,157.0,54.0,102.0,51.0,0.9222933,71.5
33,0.0333333333333333,A,39.3192,-111.8197,20140715,20140717,49039.0,20140717,187.0,90.0,140.0,0.0,2.0949720000000003,63.5
35,0.05,A,39.3591,-111.829003,20150707,20150708,49039.0,20150707,133.0,77.0,100.0,25.0,1.8575858,71.5
37,5.0,C,39.61285,-111.53885,20100923,20100930,49039.0,20100925,172.0,43.0,114.0,0.0,1.3895625,109.714
39,0.3,B,39.2661,-111.7967,20140708,20140709,49039.0,20140709,230.0,104.0,156.0,0.0,2.9138362,83.667
40,5.0,C,39.61285,-111.53885,20100923,20100930,49039.0,20100926,238.0,72.0,155.0,0.0,0.7738802,109.714
44,0.0714285714285714,B,39.3661,-111.54212,20090821,20090910,49039.0,20090903,215.0,87.0,132.0,0.0,0.55972743,104.6
45,0.25,A,39.355,-111.453333,20100902,20100902,49039.0,20100902,204.0,71.0,132.0,0.0,1.8243878,67.5
47,0.0124999999999999,B,39.62677,-111.59634,20100816,20100908,49039.0,20100831,185.0,35.0,109.0,0.0,0.72200435,67.5
48,0.01,A,39.37777778,-111.42388889,20140811,20140820,49039.0,20140820,153.0,64.0,93.0,25.0,2.150587,93.0
49,0.05,A,39.340303,-111.969497,20150706,20150707,49039.0,20150707,133.0,77.0,100.0,25.0,1.8575858,71.5
50,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140811,209.0,88.0,148.0,0.0,1.0999908,93.0
52,0.0166666666666666,A,39.22723,-111.80283,20100923,20100928,49039.0,20100925,172.0,43.0,114.0,0.0,1.3895625,109.714
55,0.025,A,39.434503,-111.651703,20150710,20150713,49039.0,20150712,200.0,75.0,134.0,0.0,4.1534624,63.25
56,0.1,A,39.7111111,-111.293056,20100724,20100724,49039.0,20100724,206.0,84.0,160.0,0.0,1.0124168,119.857
57,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140804,157.0,59.0,109.0,25.0,2.0702245,65.5
58,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140729,183.0,87.0,122.0,76.0,1.1299943,65.5
59,0.0124999999999999,B,39.62677,-111.59634,20100816,20100908,49039.0,20100817,242.0,90.0,164.0,0.0,1.8631659,106.142999999999
60,0.1,A,39.31333333,-111.35222222,20120710,20120710,49039.0,20120710,250.0,89.0,168.0,0.0,1.7029359,97.333
61,0.1,A,39.34706,-111.92225,20150904,20150904,49039.0,20150904,185.0,80.0,130.0,0.0,4.8472285,58.125
63,0.1,A,39.1294,-111.9886,20140825,20140825,49039.0,20140825,144.0,34.0,94.0,0.0,4.330412,70.714
64,0.0999999999999999,B,39.19032,-112.01452,20100929,20101001,49039.0,20100930,212.0,44.0,123.0,0.0,0.7280072,109.714
66,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140731,207.0,87.0,133.0,0.0,1.5814207,65.5
67,0.05,A,39.06861111,-111.55388889,20140911,20140912,49039.0,20140911,126.0,63.0,95.0,0.0,2.4667697,61.143
68,0.0333333333333333,A,39.56027778,-111.32722222,20140804,20140806,49039.0,20140804,157.0,59.0,109.0,25.0,2.0702245,65.5
69,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140728,217.0,122.0,153.0,51.0,0.93508804,65.5
70,0.0333333333333333,A,39.50376,-111.65486,20100818,20100820,49039.0,20100819,159.0,64.0,96.0,76.0,1.5160477,106.142999999999
72,0.1,B,39.6383,-111.4556,20100715,20100719,49039.0,20100715,231.0,78.0,159.0,0.0,1.4035612,124.571
73,27.8,C,39.3581,-111.9472,20150621,20150622,49039.0,20150622,201.0,109.0,157.0,0.0,2.4872172000000004,73.0
74,0.01,A,39.37777778,-111.42388889,20140811,20140820,49039.0,20140819,131.0,84.0,101.0,25.0,1.932592,93.0
76,0.15,B,39.306703,-111.9496,20150904,20150905,49039.0,20150904,185.0,80.0,130.0,0.0,4.8472285,58.125
77,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140723,249.0,96.0,158.0,0.0,2.2731736,63.5
78,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140810,249.0,107.0,168.0,0.0,2.0634353,93.0
82,0.0714285714285714,B,39.3661,-111.54212,20090821,20090910,49039.0,20090822,236.0,92.0,171.0,0.0,2.8480353,104.6
83,5.0,C,39.61285,-111.53885,20100923,20100930,49039.0,20100929,239.0,100.0,155.0,0.0,1.6620765,109.714
84,0.05,A,39.33916667,-111.33861111,20140723,20140724,49039.0,20140723,249.0,96.0,158.0,0.0,2.2731736,63.5
85,0.0714285714285714,B,39.3661,-111.54212,20090821,20090910,49039.0,20090824,153.0,58.0,108.0,25.0,1.0001951,104.6
86,0.1,B,39.6383,-111.4556,20100715,20100719,49039.0,20100719,255.0,146.0,190.0,0.0,2.0024986,119.857
87,0.1,A,39.385,-111.39388889,20150815,20150815,49039.0,20150815,225.0,96.0,160.0,0.0,1.9342312,62.125
90,0.0111111111111111,A,39.26694444,-111.37666667,20140830,20140907,49039.0,20140902,199.0,69.0,136.0,25.0,1.6538825,70.714
93,0.0714285714285714,B,39.3661,-111.54212,20090821,20090910,49039.0,20090821,289.0,106.0,194.0,0.0,1.7102564999999998,104.6
94,0.025,A,39.43555556,-111.40694444,20140928,20141001,49039.0,20140929,92.0,6.0,40.0,0.0,0.66850126,61.143
97,0.01,A,39.37777778,-111.42388889,20140811,20140820,49039.0,20140813,153.0,98.0,125.0,0.0,1.3086276,93.0
98,0.15,B,39.3549,-111.706597,20150821,20150822,49039.0,20150822,202.0,92.0,147.0,0.0,2.8783677000000005,62.125
99,0.05,A,39.10472222,-111.41555556,20150821,20150822,49039.0,20150821,234.0,70.0,156.0,0.0,3.4601300000000004,62.125
100,0.1,A,39.22861111,-111.50611111,20120824,20120824,49039.0,20120824,206.0,63.0,133.0,25.0,2.1044743,81.857
101,0.3653846153846153,B,39.3053,-111.8378,20140721,20140815,49039.0,20140813,153.0,98.0,125.0,0.0,1.3086276,93.0
102,0.0124999999999999,B,39.62677,-111.59634,20100816,20100908,49039.0,20100827,173.0,95.0,134.0,0.0,3.1842268,67.5
103,0.1,B,39.6383,-111.4556,20100715,20100719,49039.0,20100718,253.0,97.0,175.0,0.0,1.1092322,119.857
105,0.01,A,39.37777778,-111.42388889,20140811,20140820,49039.0,20140818,233.0,83.0,164.0,0.0,1.5229548000000002,93.0
107,0.35,B,39.21416667,-111.56972222,20140724,20140725,49039.0,20140725,227.0,126.0,172.0,0.0,2.9702768,63.5
