,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.02,A,38.6986,-112.0164,20130811,20130815,49041.0,20130815,216.0,121.0,161.0,0.0,1.7084756999999997,54.0
1,0.7666666666666666,B,38.86861111,-111.84055556,20150715,20150717,49041.0,20150717,213.0,108.0,156.0,0.0,3.4670773,69.231
2,0.05,A,38.5625,-111.72277778,20140729,20140730,49041.0,20140730,202.0,70.0,131.0,0.0,1.1672552,64.571
3,0.1,A,38.80305556,-111.64416667,20130728,20130728,49041.0,20130728,190.0,62.0,118.0,51.0,1.7267909,65.143
4,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140813,128.0,95.0,110.0,51.0,1.3086276,57.0
5,0.02,A,38.836103,-111.904503,20150708,20150712,49041.0,20150711,163.0,73.0,109.0,0.0,3.7832692,69.231
6,2.8,B,38.52472222,-111.57527778,20130404,20130404,49041.0,20130404,149.0,-1.0,74.0,0.0,2.3127682000000003,68.4
7,0.1,A,38.7614,-111.9606,20100719,20100719,49041.0,20100719,251.0,110.0,171.0,203.0,2.0024986,72.846
8,0.7666666666666666,B,38.86861111,-111.84055556,20150715,20150717,49041.0,20150716,241.0,68.0,158.0,0.0,3.0996976000000003,69.231
9,0.025,A,38.87,-111.3392,20130809,20130812,49041.0,20130809,174.0,90.0,130.0,0.0,2.1668967999999995,54.0
10,0.025,A,38.83101,-111.89816,20100805,20100808,49041.0,20100807,139.0,75.0,109.0,76.0,4.0753956,69.5
11,0.1,A,38.88277778,-111.76638889,20120728,20120728,49041.0,20120728,213.0,98.0,154.0,0.0,2.3838046000000004,65.833
12,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140725,233.0,131.0,167.0,25.0,2.9702768,64.571
14,0.0499999999999999,B,38.7228,-111.9722,20130809,20130814,49041.0,20130809,174.0,90.0,130.0,0.0,2.1668967999999995,54.0
15,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140802,175.0,99.0,132.0,51.0,1.0727998,64.571
16,0.02,A,38.6986,-112.0164,20130811,20130815,49041.0,20130813,210.0,111.0,157.0,0.0,1.5041563999999998,54.0
17,0.1,A,38.8244,-111.9575,20120612,20120612,49041.0,20120612,216.0,65.0,144.0,0.0,0.5303773,65.143
18,216.9,D,38.7725,-111.96825,20120821,20120821,49041.0,20120821,226.0,126.0,163.0,0.0,0.9541537,68.571
19,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140727,214.0,71.0,135.0,76.0,1.0440315,64.571
20,2.5,B,38.5461,-112.1325,20140705,20140705,49041.0,20140705,217.0,113.0,153.0,0.0,1.570125,56.571
21,1.0,B,38.7178,-112.0028,20130809,20130809,49041.0,20130809,174.0,90.0,130.0,0.0,2.1668967999999995,54.0
22,0.025,A,38.83101,-111.89816,20100805,20100808,49041.0,20100805,174.0,89.0,125.0,25.0,2.472511,69.5
23,0.1,A,38.5633,-112.2083,20100623,20100623,49041.0,20100623,241.0,52.0,152.0,0.0,0.93005556,78.7689999999999
24,8.545454545454545,D,38.95222222,-111.76722222,20140722,20140812,49041.0,20140807,225.0,64.0,143.0,0.0,0.4639997,64.571
25,0.1,A,38.63082,-112.16947,20100623,20100623,49041.0,20100623,241.0,52.0,152.0,0.0,0.93005556,78.7689999999999
26,0.05,A,38.96972222,-111.38361111,20150902,20150903,49041.0,20150902,183.0,90.0,131.0,0.0,3.965476,61.286
27,0.05,A,38.59114,-112.10702,20100807,20100808,49041.0,20100807,139.0,75.0,109.0,76.0,4.0753956,69.5
28,0.02,A,38.836103,-111.904503,20150708,20150712,49041.0,20150708,183.0,73.0,121.0,102.0,0.9222933,74.333
29,8.545454545454545,D,38.95222222,-111.76722222,20140722,20140812,49041.0,20140725,233.0,131.0,167.0,25.0,2.9702768,64.571
30,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140728,210.0,111.0,149.0,51.0,0.93508804,64.571
31,0.1,A,38.84055556,-111.73666667,20130818,20130818,49041.0,20130818,190.0,113.0,148.0,51.0,1.2902718,54.0
33,8.545454545454545,D,38.95222222,-111.76722222,20140722,20140812,49041.0,20140722,252.0,43.0,149.0,0.0,1.4466931,59.4289999999999
34,8.545454545454545,D,38.95222222,-111.76722222,20140722,20140812,49041.0,20140802,175.0,99.0,132.0,51.0,1.0727998,64.571
35,0.1,A,38.85555556,-111.71888889,20150715,20150715,49041.0,20150715,203.0,43.0,117.0,0.0,3.6138623,69.231
36,0.1,A,38.60277778,-112.10277778,20120713,20120713,49041.0,20120713,213.0,102.0,148.0,127.0,1.4720147,65.429
37,0.1,A,38.77888889,-112.18472222,20150629,20150629,49041.0,20150629,278.0,116.0,196.0,0.0,0.38242647,68.429
38,8.545454545454545,D,38.95222222,-111.76722222,20140722,20140812,49041.0,20140728,210.0,111.0,149.0,51.0,0.93508804,64.571
39,8.545454545454545,D,38.95222222,-111.76722222,20140722,20140812,49041.0,20140804,205.0,96.0,139.0,0.0,2.0702245,64.571
40,0.5,B,38.5175,-111.51833333,20130404,20130404,49041.0,20130404,149.0,-1.0,74.0,0.0,2.3127682000000003,68.4
41,0.05,A,38.5269,-112.2586,20130817,20130818,49041.0,20130818,190.0,113.0,148.0,51.0,1.2902718,54.0
42,0.1,A,38.83101,-111.89816,20100806,20100806,49041.0,20100806,199.0,122.0,148.0,0.0,3.2163723,69.5
43,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140807,225.0,64.0,143.0,0.0,0.4639997,64.571
44,0.075,B,38.4117,-111.9497,20130628,20130701,49041.0,20130630,261.0,157.0,204.0,0.0,1.6800224999999998,64.0
45,0.1,A,38.7692,-111.9664,20140725,20140725,49041.0,20140725,233.0,131.0,167.0,25.0,2.9702768,64.571
46,0.1,A,38.76972222,-111.42833333,20120720,20120720,49041.0,20120720,216.0,116.0,151.0,0.0,1.2731085,65.429
47,0.0499999999999999,B,38.7228,-111.9722,20130809,20130814,49041.0,20130812,149.0,79.0,114.0,25.0,1.4224339,54.0
48,0.1,A,39.7742,-111.9903,20130714,20130714,49041.0,20130714,187.0,73.0,119.0,25.0,0.12207475,61.4289999999999
49,0.3,B,38.761903,-111.761903,20120612,20120612,49041.0,20120612,216.0,65.0,144.0,0.0,0.5303773,65.143
50,0.0089285714285714,A,38.98611111,-111.64972222,20140724,20140820,49041.0,20140804,205.0,96.0,139.0,0.0,2.0702245,64.571
51,0.1,A,38.83039,-112.035089,20130603,20130603,49041.0,20130603,193.0,42.0,128.0,0.0,1.9779847,72.0
52,0.0333333333333333,A,38.90833333,-111.40055556,20140724,20140726,49041.0,20140725,233.0,131.0,167.0,25.0,2.9702768,64.571
53,0.05,A,38.5625,-111.72277778,20140729,20140730,49041.0,20140729,200.0,95.0,136.0,178.0,1.1299943,64.571
54,0.05,A,38.7436,-111.4008,20130724,20130725,49041.0,20130724,239.0,120.0,172.0,0.0,1.1962016000000002,54.0
55,70.28571428571429,E,38.5045,-111.783203,20150414,20150420,49041.0,20150417,26.0,-48.0,-6.0,25.0,3.1474197,62.167
