,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,240.0,F,40.7953,-111.396697,20130813,20130820,49043.0,20130819,231.0,56.0,128.0,0.0,1.6391718000000002,89.667
1,0.1,A,40.81666667,-110.375,20150923,20150923,49043.0,20150923,200.0,-7.0,82.0,0.0,1.7220991,57.167
2,0.05,A,40.86388889,-110.88083333,20140830,20140831,49043.0,20140831,157.0,12.0,94.0,25.0,2.5283434,83.333
3,0.5,B,40.88222222,-110.81694444,20151007,20151007,49043.0,20151007,145.0,51.0,92.0,0.0,1.4372281999999998,68.667
4,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141006,136.0,7.0,66.0,0.0,3.5152335,105.0
5,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141007,185.0,-6.0,72.0,0.0,2.1435764,105.0
6,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141010,119.0,-24.0,47.0,0.0,0.50990313,105.0
7,0.1,A,40.8672222,-110.835,20100725,20100725,49043.0,20100725,236.0,80.0,154.0,0.0,1.7259543000000002,62.667
8,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20140929,98.0,0.0,39.0,0.0,0.94999695,105.0
9,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141009,160.0,-9.0,57.0,0.0,0.4304613000000001,105.0
10,0.01,A,40.58388889,-111.06416667,20141002,20141002,49043.0,20141002,116.0,-20.0,30.0,51.0,2.9905539,105.0
11,0.1,A,40.70416667,-110.88305556,20120915,20120915,49043.0,20120915,194.0,27.0,109.0,0.0,2.3759277,80.667
13,1.1,B,40.23419,-110.99719,20140709,20140710,49043.0,20140710,190.0,93.0,138.0,229.0,2.5982535,108.5
14,0.1,A,40.5575,-111.42583333,20120912,20120912,49043.0,20120912,187.0,14.0,92.0,0.0,2.110668,80.667
15,0.1,A,40.8588889,-110.634167,20100817,20100817,49043.0,20100817,227.0,113.0,160.0,0.0,1.9779847,82.667
16,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141003,109.0,-9.0,39.0,0.0,0.6887639,105.0
17,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141005,119.0,10.0,57.0,0.0,3.1484184,105.0
18,0.1,A,40.92,-110.73722222,20120721,20120721,49043.0,20120721,204.0,67.0,131.0,25.0,1.1720899,77.5
19,0.25,A,40.64416667,-111.22888889,20120927,20120927,49043.0,20120927,131.0,37.0,73.0,0.0,0.8193908000000001,75.333
20,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141004,104.0,2.0,39.0,0.0,2.3650172,105.0
21,0.01,A,40.845,-110.93805556,20140807,20140807,49043.0,20140807,169.0,44.0,101.0,25.0,0.6103313,83.333
22,12.2,C,40.94722222,-110.42,20151014,20151014,49043.0,20151014,161.0,-20.0,52.0,0.0,1.7410485,68.667
23,240.0,F,40.7953,-111.396697,20130813,20130820,49043.0,20130817,204.0,51.0,121.0,0.0,2.1889307,89.667
24,0.01,A,40.95611111,-110.57861111,20130907,20130907,49043.0,20130907,230.0,86.0,135.0,0.0,0.7102074,84.667
25,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20141001,43.0,-38.0,3.0,0.0,3.4082785,105.0
26,1.1,B,40.23419,-110.99719,20140709,20140710,49043.0,20140709,233.0,102.0,163.0,0.0,3.5559933,57.9
27,0.0007692307692307,A,40.76916667,-111.11305556,20140928,20141010,49043.0,20140930,66.0,6.0,32.0,25.0,2.747071,105.0
28,240.0,F,40.7953,-111.396697,20130813,20130820,49043.0,20130820,179.0,67.0,103.0,152.0,1.6001312,89.667
29,3.0,B,40.6533,-112.4997,20100826,20100826,49043.0,20100826,272.0,84.0,177.0,0.0,2.2102072,73.286
