,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,249.7142857142857,F,40.003744,-112.690592,20130629,20130705,49045.0,20130702,253.0,126.0,193.0,0.0,2.7441502,96.75
1,117.0,F,39.93546,-112.71972,20140721,20140729,49045.0,20140725,259.0,112.0,185.0,0.0,0.8746412,37.333
2,0.1,A,40.0733,-112.3789,20100727,20100727,49045.0,20100727,210.0,96.0,140.0,25.0,0.48763895,84.25
3,0.3,B,40.103803,-112.640403,20130628,20130628,49045.0,20130628,278.0,140.0,198.0,0.0,2.3062482,86.25
4,2.6,B,40.2661,-112.7925,20100808,20100809,49045.0,20100809,177.0,91.0,137.0,0.0,3.600131,78.5
5,196.57142857142856,F,40.581903,-112.951697,20101001,20101007,49045.0,20101007,100.0,24.0,57.0,51.0,3.6608396,65.0
6,563.8181818181819,G,40.3413,-112.6699,20130810,20131003,49045.0,20130822,215.0,106.0,158.0,0.0,1.7226117,56.1
7,0.1,A,40.1969,-112.6036,20100721,20100721,49045.0,20100721,244.0,143.0,198.0,0.0,4.0115423,53.333
8,0.1,A,40.2997,-112.5894,20130822,20130822,49045.0,20130822,215.0,106.0,158.0,0.0,1.7226117,56.1
9,0.1,A,40.0358,-112.783,20120901,20120901,49045.0,20120901,188.0,91.0,130.0,152.0,3.0379753,73.5
10,2.0,B,39.910094,-112.648486,20140724,20140726,49045.0,20140725,259.0,112.0,185.0,0.0,0.8746412,37.333
11,0.2,A,40.3697,-112.3197,20100703,20100703,49045.0,20100703,204.0,72.0,138.0,0.0,3.2860951000000003,106.75
12,0.05,A,40.2503,-112.7831,20100720,20100721,49045.0,20100721,244.0,143.0,198.0,0.0,4.0115423,53.333
13,2.5,B,40.567194,-112.27899,20140801,20140801,49045.0,20140801,203.0,107.0,154.0,0.0,0.81049746,37.333
14,325.55555555555554,F,40.098697,-112.631091,20140721,20140729,49045.0,20140722,273.0,106.0,181.0,0.0,2.001246,79.25
15,0.1,A,40.1703,-112.6042,20100828,20100828,49045.0,20100828,226.0,123.0,169.0,0.0,5.4502263,40.0
16,0.1,A,40.3175,-112.5508,20100728,20100728,49045.0,20100728,212.0,114.0,154.0,0.0,2.0427632,84.25
17,0.1,A,40.0033,-113.9064,20130822,20130822,49045.0,20130822,215.0,106.0,158.0,0.0,1.7226117,56.1
18,563.8181818181819,G,40.3413,-112.6699,20130810,20131003,49045.0,20130815,253.0,111.0,173.0,0.0,1.7182810000000002,29.5
19,117.0,F,39.93546,-112.71972,20140721,20140729,49045.0,20140727,247.0,121.0,176.0,0.0,1.9238737,37.333
20,0.2,A,40.338194,-112.620585,20120901,20120901,49045.0,20120901,188.0,91.0,130.0,152.0,3.0379753,73.5
21,0.2,A,40.47083333,-112.60083333,20151024,20151024,49045.0,20151024,156.0,30.0,69.0,0.0,1.3043199,88.0
22,0.1,A,40.28239,-112.578,20140915,20140915,49045.0,20140915,213.0,100.0,146.0,0.0,1.2389196000000002,53.833
23,23.33333333333333,D,39.9801,-113.8388,20150814,20150819,49045.0,20150816,241.0,145.0,189.0,0.0,1.6592543999999998,92.5
24,37.0,C,40.8397,-112.5012,20150629,20150629,49045.0,20150629,264.0,139.0,209.0,51.0,1.2539936,111.0
25,1.05,B,39.93154,-112.68463,20100829,20100830,49045.0,20100829,164.0,49.0,108.0,25.0,3.2013104,40.0
26,142.5,F,40.5452,-112.2405,20140720,20140727,49045.0,20140722,273.0,106.0,181.0,0.0,2.001246,79.25
27,0.2,A,40.4128,-112.4282,20130720,20130720,49045.0,20130720,258.0,120.0,176.0,0.0,1.300157,34.667
28,142.5,F,40.5452,-112.2405,20140720,20140727,49045.0,20140725,259.0,112.0,185.0,0.0,0.8746412,37.333
29,0.1,A,40.6875,-112.9039,20100711,20100711,49045.0,20100711,253.0,128.0,193.0,0.0,1.1456077,90.0
30,249.7142857142857,F,40.003744,-112.690592,20130629,20130705,49045.0,20130629,270.0,157.0,215.0,0.0,1.7140055,96.75
31,24.09090909090909,D,40.3088,-112.5211,20150814,20150824,49045.0,20150823,248.0,104.0,161.0,0.0,1.3536986999999998,79.75
32,348.0,E,40.3375,-111.3708,20100716,20100717,49045.0,20100716,271.0,145.0,210.0,0.0,1.6332239,88.25
33,196.57142857142856,F,40.581903,-112.951697,20101001,20101007,49045.0,20101004,89.0,50.0,72.0,25.0,4.220582,46.0
34,4.75,C,40.028294,-112.729685,20140720,20140727,49045.0,20140723,283.0,156.0,209.0,0.0,2.9805045,79.25
35,563.8181818181819,G,40.3413,-112.6699,20130810,20131003,49045.0,20130921,238.0,136.0,186.0,0.0,4.5893917,98.5
36,24.09090909090909,D,40.3088,-112.5211,20150814,20150824,49045.0,20150819,240.0,82.0,159.0,0.0,0.8253787,31.6669999999999
37,24.09090909090909,D,40.3088,-112.5211,20150814,20150824,49045.0,20150818,225.0,98.0,165.0,25.0,2.5828764,92.5
