,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150913,240.0,91.0,152.0,0.0,2.54583,75.667
1,0.1,A,40.6491667,-110.9675,20100815,20100815,49051.0,20100815,256.0,107.0,180.0,0.0,1.7090672999999998,82.667
2,0.1,A,40.5375,-111.0075,20100928,20100928,49051.0,20100928,247.0,67.0,149.0,0.0,1.3946027,70.0
3,0.2,A,40.20166667,-111.25777778,20150711,20150711,49051.0,20150711,190.0,74.0,123.0,0.0,3.8885245,117.75
4,0.1,A,40.33,-111.26333333,20150805,20150805,49051.0,20150805,233.0,106.0,165.0,0.0,3.3288512000000003,46.8
5,0.1,A,40.2811111,-111.243333,20100718,20100718,49051.0,20100718,261.0,101.0,185.0,0.0,2.7884276000000003,96.25
6,2.85,B,40.08888889,-111.12833333,20150626,20150627,49051.0,20150626,267.0,106.0,187.0,0.0,2.2484717,79.3
7,1.7,B,40.35527778,-111.27027778,20120827,20120827,49051.0,20120827,239.0,103.0,161.0,0.0,2.4523017000000005,80.0
8,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150419,119.0,-15.0,48.0,0.0,1.0446291,126.0
9,0.25,A,40.1280556,-111.525,20100719,20100719,49051.0,20100719,261.0,106.0,185.0,0.0,2.8300753,96.25
10,0.1,A,39.90472222,-110.97555556,20120902,20120902,49051.0,20120902,213.0,33.0,112.0,0.0,1.5845519,53.833
11,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150908,200.0,56.0,131.0,0.0,2.475505,52.833
12,0.1,A,40.20277778,-111.19972222,20151014,20151014,49051.0,20151014,195.0,44.0,118.0,0.0,1.7410485,68.667
13,0.1,A,40.5597222,-111.096667,20100610,20100610,49051.0,20100610,203.0,38.0,114.0,0.0,1.5001407,96.5
14,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150909,222.0,43.0,136.0,0.0,1.8141803,52.833
15,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151016,185.0,81.0,123.0,0.0,1.5093458999999998,57.167
16,0.25,A,40.51583333,-111.06916667,20140603,20140603,49051.0,20140603,193.0,78.0,147.0,0.0,2.6953688,62.667
17,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150910,238.0,72.0,149.0,0.0,2.4261593999999995,52.833
18,0.1,A,40.33,-111.291667,20100711,20100711,49051.0,20100711,216.0,90.0,139.0,152.0,1.8360057,40.75
19,0.1,A,40.21444444,-111.31111111,20130809,20130809,49051.0,20130809,212.0,23.0,106.0,0.0,2.4509969,55.167
20,0.1,A,40.39805556,-111.65305556,20150707,20150707,49051.0,20150707,202.0,56.0,114.0,76.0,1.7613915,117.75
21,0.01,A,40.46333333,-111.12972222,20120721,20120721,49051.0,20120721,239.0,122.0,162.0,25.0,1.1720899,77.5
22,0.1,A,40.1202778,-111.336389,20100707,20100707,49051.0,20100707,211.0,72.0,142.0,0.0,2.6943069,40.75
23,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150416,44.0,-108.0,-30.0,51.0,3.6359317,126.0
24,0.1,A,40.28833333,-111.245,20120916,20120916,49051.0,20120916,213.0,18.0,117.0,0.0,2.4529338,51.333
25,65.0,C,40.315,-111.4075,20120905,20120905,49051.0,20120905,214.0,81.0,149.0,0.0,2.6846704,53.833
26,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151023,122.0,-33.0,46.0,0.0,1.7170106,68.667
27,0.1,A,40.44833333,-111.58888889,20140730,20140730,49051.0,20140730,165.0,97.0,127.0,25.0,1.5852096000000002,85.0
28,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151021,103.0,24.0,49.0,0.0,3.2978212999999994,68.667
29,0.01,A,40.32888889,-111.07611111,20120616,20120616,49051.0,20120616,213.0,74.0,149.0,0.0,1.3692752,96.333
30,0.1,A,40.55916667,-111.55833333,20150711,20150711,49051.0,20150711,190.0,74.0,123.0,0.0,3.8885245,117.75
31,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150414,147.0,-52.0,35.0,0.0,4.633168,126.0
32,0.1,A,40.05361111,-110.91694444,20150716,20150716,49051.0,20150716,235.0,67.0,151.0,25.0,2.4587853,76.437
33,0.1,A,40.24694444,-111.23416667,20130706,20130706,49051.0,20130706,234.0,92.0,148.0,0.0,2.2652433,111.667
34,0.1,A,40.4672222,-111.093889,20100817,20100817,49051.0,20100817,252.0,39.0,139.0,0.0,1.9779847,82.667
35,0.1,A,40.33361111,-111.37833333,20120608,20120608,49051.0,20120608,227.0,64.0,153.0,0.0,4.0478473,59.833
36,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151022,114.0,10.0,51.0,25.0,0.7558108,68.667
37,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150420,128.0,-11.0,58.0,0.0,0.88459027,126.0
38,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150418,134.0,-19.0,43.0,0.0,1.7867569,126.0
39,110.0,D,40.08583333,-111.28138889,20130806,20130806,49051.0,20130806,253.0,109.0,166.0,0.0,2.2679098,96.0
40,0.1,A,40.2225,-111.268333,20100727,20100727,49051.0,20100727,249.0,84.0,163.0,0.0,1.7065990000000002,34.5
41,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150914,164.0,82.0,117.0,25.0,4.010767,75.667
42,0.1,A,40.52055556,-110.94694444,20130805,20130805,49051.0,20130805,253.0,60.0,163.0,0.0,2.635034,96.0
43,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150916,148.0,32.0,79.0,25.0,4.508672,75.667
44,2.0,B,39.97861111,-111.68388889,20130817,20130817,49051.0,20130817,262.0,64.0,141.0,25.0,2.1889307,89.667
45,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150915,150.0,70.0,93.0,152.0,4.909748,75.667
46,0.05,A,40.42111111,-111.13055556,20140709,20140710,49051.0,20140710,231.0,111.0,156.0,25.0,2.5982535,108.5
47,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150907,205.0,6.0,102.0,0.0,2.30895,52.833
48,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151019,101.0,16.0,51.0,51.0,3.4935653,68.667
49,0.01,A,40.67166667,-110.95083333,20140706,20140706,49051.0,20140706,270.0,130.0,194.0,0.0,1.5852096000000002,153.333
50,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150911,257.0,31.0,138.0,0.0,1.4426538,75.667
51,0.1,A,40.2405556,-111.156944,20100704,20100704,49051.0,20100704,146.0,44.0,86.0,0.0,2.7041636,100.667
52,135.0,D,40.18583333,-111.03916667,20150414,20150414,49051.0,20150414,147.0,-52.0,35.0,0.0,4.633168,126.0
53,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150417,72.0,-25.0,21.0,0.0,3.9753146,126.0
54,0.01,A,40.23305556,-111.0775,20140720,20140720,49051.0,20140720,234.0,113.0,158.0,51.0,1.8034711,66.167
55,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151017,144.0,59.0,90.0,51.0,2.761906,68.667
56,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151018,144.0,63.0,89.0,25.0,2.8289793,68.667
57,0.05,A,40.42111111,-111.13055556,20140709,20140710,49051.0,20140709,237.0,127.0,167.0,25.0,3.5559933,57.9
58,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150421,152.0,-49.0,60.0,0.0,0.88600224,126.0
59,64.0,E,40.403,-111.5502,20150907,20150916,49051.0,20150912,248.0,72.0,155.0,0.0,2.316247,75.667
60,1.5,C,40.22138889,-111.10277778,20150414,20150421,49051.0,20150415,-1.0,-110.0,-65.0,0.0,4.631752,126.0
61,0.1,A,40.445,-111.195556,20100712,20100712,49051.0,20100712,242.0,47.0,146.0,0.0,3.7967658,40.75
62,2.0,B,40.4975,-111.13416667,20120909,20120909,49051.0,20120909,223.0,74.0,147.0,0.0,2.4282484,81.75
63,0.1,A,40.4625,-111.13194444,20130731,20130731,49051.0,20130731,253.0,111.0,180.0,0.0,2.7200787,96.0
64,7.0,B,40.155,-111.05944444,20150420,20150420,49051.0,20150420,128.0,-11.0,58.0,0.0,0.88459027,126.0
65,2.85,B,40.08888889,-111.12833333,20150626,20150627,49051.0,20150627,286.0,111.0,186.0,0.0,1.2311072,79.3
66,3.675,C,39.93583333,-110.89222222,20151016,20151023,49051.0,20151020,112.0,-22.0,35.0,0.0,1.4916433,68.667
67,0.1,A,40.27666667,-111.21833333,20130807,20130807,49051.0,20130807,237.0,109.0,154.0,0.0,1.116835,55.167
68,1.0,B,40.33166667,-111.37388889,20120630,20120630,49051.0,20120630,261.0,117.0,191.0,0.0,2.3771656,88.333
69,0.2,A,40.0275,-111.20888889,20140815,20140815,49051.0,20140815,235.0,52.0,138.0,0.0,2.7862027,83.333
70,0.1,A,37.3333,-113.6167,20060722,20060722,49051.0,20060722,287.0,145.0,209.0,0.0,0.37854546,84.667
71,0.05,A,40.34777778,-111.28,20130807,20130808,49051.0,20130808,231.0,52.0,133.0,25.0,2.356966,55.167
72,0.05,A,40.31194444,-111.25027778,20060704,20060705,49051.0,20060704,223.0,118.0,149.0,25.0,0.47422412,106.333
73,24.4,D,40.4178,-111.338,20120819,20120828,49051.0,20120826,235.0,107.0,151.0,25.0,2.0163858,38.0
74,0.05,A,40.50083333,-111.03472222,20130819,20130820,49051.0,20130819,256.0,101.0,170.0,0.0,1.6391718000000002,89.667
75,0.2045454545454545,B,40.4675,-110.96194444,20130815,20130927,49051.0,20130927,40.0,-39.0,-7.0,25.0,2.7965925,86.0
76,0.125,A,40.30666667,-111.05638889,20080916,20080917,49051.0,20080917,212.0,60.0,116.0,0.0,1.6132056,94.0
77,0.25,A,40.62416667,-111.18805556,20090807,20090807,49051.0,20090807,178.0,34.0,109.0,0.0,3.4495537000000005,100.5
78,0.1,A,40.62194444,-111.11333333,20070714,20070714,49051.0,20070714,274.0,110.0,187.0,25.0,0.15620515,87.333
79,0.0238095238095238,B,40.37027778,-111.18916667,20130907,20130927,49051.0,20130908,164.0,42.0,107.0,25.0,1.80178,84.667
80,0.1,A,40.3225,-111.26694444,20090806,20090806,49051.0,20090806,224.0,83.0,149.0,25.0,5.0768504,100.5
81,0.125,A,40.1875,-111.29777778,20130831,20130901,49051.0,20130831,244.0,71.0,134.0,25.0,1.3595558,83.0
82,0.1,A,37.3328,-113.7344,20060811,20060811,49051.0,20060811,244.0,72.0,157.0,0.0,2.5069804,84.667
83,0.1307692307692307,B,40.05666667,-110.94166667,20121102,20121114,49051.0,20121108,126.0,29.0,73.0,0.0,5.176039,74.667
84,0.125,A,40.30944444,-111.2475,20090807,20090808,49051.0,20090808,142.0,20.0,83.0,0.0,2.9811826,66.25
85,0.2045454545454545,B,40.4675,-110.96194444,20130815,20130927,49051.0,20130906,232.0,104.0,161.0,25.0,2.2926888,83.0
86,24.4,D,40.4178,-111.338,20120819,20120828,49051.0,20120822,189.0,118.0,145.0,0.0,2.3277447,51.167
87,0.2045454545454545,B,40.4675,-110.96194444,20130815,20130927,49051.0,20130828,222.0,69.0,143.0,0.0,1.6650866000000002,83.0
89,0.0238095238095238,B,40.37027778,-111.18916667,20130907,20130927,49051.0,20130924,162.0,-19.0,75.0,0.0,4.0150814,86.0
90,0.2045454545454545,B,40.4675,-110.96194444,20130815,20130927,49051.0,20130905,238.0,105.0,157.0,25.0,1.0746706,83.0
91,0.05,A,40.31194444,-111.25027778,20060704,20060705,49051.0,20060705,205.0,79.0,147.0,25.0,1.1759692,106.333
92,0.005,A,40.18166667,-111.1975,20120821,20120822,49051.0,20120821,245.0,86.0,169.0,0.0,1.2291836,51.167
93,0.1307692307692307,B,40.05666667,-110.94166667,20121102,20121114,49051.0,20121105,142.0,-13.0,60.0,0.0,1.5532198999999998,74.667
94,0.0033333333333333,A,40.51583333,-111.19444444,20120721,20120723,49051.0,20120721,239.0,122.0,162.0,25.0,1.1720899,77.5
95,0.0238095238095238,B,40.37027778,-111.18916667,20130907,20130927,49051.0,20130927,40.0,-39.0,-7.0,25.0,2.7965925,86.0
96,0.125,A,40.30944444,-111.2475,20090807,20090808,49051.0,20090807,178.0,34.0,109.0,0.0,3.4495537000000005,100.5
97,0.5,B,40.4725,-111.06638889,20081101,20081101,49051.0,20081101,150.0,17.0,69.0,0.0,2.990464,74.333
98,0.0238095238095238,B,40.37027778,-111.18916667,20130907,20130927,49051.0,20130917,194.0,80.0,133.0,0.0,4.7443447,84.667
99,0.2045454545454545,B,40.4675,-110.96194444,20130815,20130927,49051.0,20130823,159.0,87.0,117.0,102.0,2.5465546000000003,60.667
100,0.1,A,40.31805556,-111.40555556,20060610,20060610,49051.0,20060610,194.0,56.0,120.0,0.0,2.2496488,106.0
101,24.4,D,40.4178,-111.338,20120819,20120828,49051.0,20120821,245.0,86.0,169.0,0.0,1.2291836,51.167
102,0.0238095238095238,B,40.37027778,-111.18916667,20130907,20130927,49051.0,20130922,124.0,32.0,73.0,102.0,4.339226,84.667
103,0.0008333333333333,A,40.34888889,-111.13388889,20120714,20120725,49051.0,20120720,251.0,113.0,159.0,25.0,1.5717531,77.5
104,0.2045454545454545,B,40.4675,-110.96194444,20130815,20130927,49051.0,20130922,124.0,32.0,73.0,102.0,4.339226,84.667
105,0.1307692307692307,B,40.05666667,-110.94166667,20121102,20121114,49051.0,20121104,128.0,8.0,53.0,0.0,1.8850163,74.667
107,24.4,D,40.4178,-111.338,20120819,20120828,49051.0,20120824,237.0,103.0,160.0,0.0,2.920837,38.0
108,0.0008333333333333,A,40.34888889,-111.13388889,20120714,20120725,49051.0,20120715,158.0,61.0,105.0,25.0,4.2882376,89.667
