,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,41.38055556,-111.48333333,20150621,20150621,49057.0,20150621,143.0,129.0,137.0,0.0,2.4135036,87.286
1,0.1,A,41.41305556,-111.54027778,20120603,20120603,49057.0,20120603,215.0,151.0,181.0,0.0,1.2587395,92.429
2,0.1,A,41.41972222,-111.96916667,20150816,20150816,49057.0,20150816,227.0,119.0,172.0,0.0,1.6592543999999998,74.0
3,0.01,A,41.40916667,-111.54055556,20130616,20130616,49057.0,20130616,251.0,43.0,144.0,0.0,1.9212741,73.857
4,0.01,A,41.41527778,-111.54194444,20130728,20130728,49057.0,20130728,205.0,127.0,151.0,0.0,1.5811388000000002,65.571
5,0.1,A,41.39666667,-111.4775,20120617,20120617,49057.0,20120617,224.0,92.0,165.0,0.0,2.8132584,79.429
6,0.1,A,41.41166667,-111.53777778,20120930,20120930,49057.0,20120930,180.0,111.0,145.0,0.0,1.6096262,69.429
7,28.5,C,41.23194444,-111.92638889,20140719,20140720,49057.0,20140719,242.0,170.0,204.0,0.0,1.6734421000000002,71.0
8,0.1,A,41.66638889,-111.80527778,20120701,20120701,49057.0,20120701,289.0,85.0,186.0,0.0,2.2005723,70.857
9,0.1,A,41.30416667,-111.90111111,20150506,20150506,49057.0,20150506,112.0,11.0,48.0,76.0,0.23048864,92.667
10,0.1,A,41.24222222,-111.31277778,20120805,20120805,49057.0,20120805,270.0,146.0,201.0,0.0,2.1876864,71.714
11,0.08,A,41.28027778,-111.82166667,20140707,20140707,49057.0,20140707,256.0,151.0,202.0,0.0,2.4957519,69.143
12,0.1,A,41.2480556,-111.918333,20100917,20100917,49057.0,20100917,235.0,104.0,158.0,0.0,2.1700902,69.714
13,0.01,A,41.4,-111.51694444,20140719,20140719,49057.0,20140719,242.0,170.0,204.0,0.0,1.6734421000000002,71.0
14,0.1,A,41.2775,-111.65777778,20120728,20120728,49057.0,20120728,269.0,133.0,189.0,0.0,4.299418,77.143
15,0.01,A,41.38194444,-111.48305556,20140719,20140719,49057.0,20140719,242.0,170.0,204.0,0.0,1.6734421000000002,71.0
16,0.01,A,41.40055556,-111.47583333,20140614,20140614,49057.0,20140614,108.0,36.0,70.0,0.0,4.481349,84.857
17,0.25,A,41.20805556,-111.90583333,20120711,20120711,49057.0,20120711,276.0,163.0,210.0,0.0,0.36688474,70.429
19,0.1,A,41.38111111,-111.48166667,20120918,20120918,49057.0,20120918,183.0,83.0,128.0,0.0,1.3078215,63.571
20,0.1,A,41.40833333,-111.53861111,20120617,20120617,49057.0,20120617,224.0,92.0,165.0,0.0,2.8132584,79.429
21,0.1,A,41.23916667,-111.87277778,20120901,20120901,49057.0,20120901,212.0,80.0,131.0,279.0,3.0379753,67.0
22,0.1,A,41.2430556,-111.834167,20100806,20100806,49057.0,20100806,285.0,113.0,184.0,25.0,4.89875,74.143
23,0.1,A,41.3975,-111.96027778,20150816,20150816,49057.0,20150816,227.0,119.0,172.0,0.0,1.6592543999999998,74.0
24,0.01,A,41.38138889,-111.48138889,20140704,20140704,49057.0,20140704,257.0,145.0,204.0,0.0,3.1771648,69.143
25,0.1,A,41.35527778,-111.51888889,20151004,20151004,49057.0,20151004,146.0,53.0,89.0,25.0,2.0907538,73.571
26,0.1,A,41.24833333,-111.77333333,20140606,20140606,49057.0,20140606,195.0,98.0,146.0,0.0,1.526438,84.857
27,0.2,A,41.27638889,-111.7775,20150704,20150704,49057.0,20150704,256.0,137.0,197.0,0.0,1.4357053999999998,74.0
28,0.01,A,41.40138889,-111.45194444,20130902,20130902,49057.0,20130902,185.0,130.0,155.0,102.0,2.7241337000000003,68.0
29,0.1,A,41.41527778,-111.54166667,20120628,20120628,49057.0,20120628,249.0,118.0,183.0,0.0,3.2314823,70.857
30,0.01,A,41.40944444,-111.54083333,20130721,20130721,49057.0,20130721,308.0,104.0,201.0,0.0,1.5556328,63.4289999999999
31,0.1,A,41.25138889,-111.76916667,20151016,20151016,49057.0,20151016,211.0,32.0,110.0,0.0,1.9764234,73.571
32,0.1,A,41.3125,-111.89527778,20130930,20130930,49057.0,20130930,164.0,44.0,105.0,0.0,4.3149076,66.0
33,0.01,A,41.40083333,-111.53388889,20140808,20140808,49057.0,20140808,192.0,78.0,132.0,0.0,0.43863958,71.0
34,28.5,C,41.23194444,-111.92638889,20140719,20140720,49057.0,20140720,276.0,104.0,173.0,0.0,1.7084756999999997,71.0
35,0.1,A,41.3975,-111.525,20120721,20120721,49057.0,20120721,260.0,165.0,205.0,0.0,0.23323295,77.143
36,0.01,A,41.38166667,-111.48138889,20130826,20130826,49057.0,20130826,213.0,138.0,174.0,0.0,3.5024135000000003,68.0
37,0.1,A,41.41527778,-111.54166667,20130704,20130704,49057.0,20130704,226.0,119.0,162.0,102.0,2.4896574,72.0
38,0.1,A,41.1811111,-111.862778,20100724,20100724,49057.0,20100724,246.0,117.0,180.0,0.0,2.0486276,115.8
39,0.1,A,41.65027778,-111.66666667,20140719,20140719,49057.0,20140719,242.0,170.0,204.0,0.0,1.6734421000000002,71.0
40,0.82,B,41.28166667,-111.77944444,20140707,20140707,49057.0,20140707,256.0,151.0,202.0,0.0,2.4957519,69.143
41,0.1,A,41.40416667,-111.48861111,20120624,20120624,49057.0,20120624,254.0,140.0,197.0,0.0,5.2286150000000005,70.857
42,0.01,A,41.41166667,-111.53666667,20130811,20130811,49057.0,20130811,228.0,110.0,155.0,25.0,3.3996787000000004,65.571
43,0.1,A,41.43555556,-111.50138889,20120610,20120610,49057.0,20120610,97.0,-1.0,53.0,0.0,3.4731138,79.429
44,0.1,A,40.51194444,-111.55583333,20120629,20120629,49057.0,20120629,249.0,124.0,185.0,0.0,2.035781,70.857
45,0.1,A,41.27527778,-111.78305556,20150905,20150905,49057.0,20150905,165.0,43.0,115.0,0.0,3.4951754,63.571
46,0.1,A,41.13833333,-111.87666667,20150801,20150801,49057.0,20150801,258.0,168.0,213.0,0.0,1.3086252,92.0
47,0.1,A,41.43666667,-111.50111111,20120923,20120923,49057.0,20120923,195.0,99.0,157.0,25.0,3.3948555,63.571
48,0.1,A,41.28722222,-111.64222222,20120707,20120707,49057.0,20120707,231.0,89.0,157.0,0.0,2.4401867000000004,70.429
49,0.01,A,41.41166667,-111.53611111,20130811,20130811,49057.0,20130811,228.0,110.0,155.0,25.0,3.3996787000000004,65.571
50,0.01,A,41.41444444,-111.53055556,20130623,20130623,49057.0,20130623,195.0,68.0,141.0,0.0,2.0874126,73.857
51,0.1,A,41.235,-111.82305556,20120609,20120609,49057.0,20120609,109.0,6.0,56.0,0.0,4.630601,79.429
52,0.1,A,41.40944444,-111.54111111,20120624,20120624,49057.0,20120624,254.0,140.0,197.0,0.0,5.2286150000000005,70.857
53,0.1,A,41.4158333,-111.524167,20100922,20100922,49057.0,20100922,227.0,55.0,139.0,0.0,3.5449724,69.714
54,0.01,A,41.415,-111.53388889,20130707,20130707,49057.0,20130707,233.0,131.0,176.0,0.0,3.3272886,72.0
55,0.1,A,41.25,-111.76777778,20120811,20120811,49057.0,20120811,231.0,135.0,179.0,0.0,0.69635403,71.714
56,0.01,A,41.40861111,-111.54194444,20130623,20130623,49057.0,20130623,195.0,68.0,141.0,0.0,2.0874126,73.857
57,0.1,A,41.40166667,-111.54388889,20150801,20150801,49057.0,20150801,258.0,168.0,213.0,0.0,1.3086252,92.0
58,1.0,B,41.25305556,-111.76833333,20150420,20150420,49057.0,20150420,166.0,1.0,82.0,0.0,1.6250001,92.667
59,0.1,A,41.38055556,-111.48333333,20150621,20150621,49057.0,20150621,143.0,129.0,137.0,0.0,2.4135036,87.286
60,0.1,A,41.41444444,-111.53472222,20150722,20150722,49057.0,20150722,199.0,114.0,155.0,25.0,2.7518177,92.0
61,0.01,A,41.41388889,-111.53638889,20130721,20130721,49057.0,20130721,308.0,104.0,201.0,0.0,1.5556328,63.4289999999999
62,1.0,B,41.13861111,-111.87416667,20070814,20070814,49057.0,20070814,267.0,181.0,219.0,0.0,0.8043048,97.5
63,12.5,C,41.26333333,-111.90055556,20080810,20080811,49057.0,20080810,225.0,98.0,166.0,0.0,1.6278886,100.0
64,0.05,A,41.2863889,-111.643889,20100905,20100906,49057.0,20100906,138.0,-24.0,59.0,0.0,2.3691528,67.857
66,2.533333333333333,C,41.1825,-111.88583333,20051017,20051031,49057.0,20051020,108.0,31.0,61.0,0.0,1.6568127,96.0
67,0.125,A,41.22638889,-111.90555556,20070723,20070724,49057.0,20070723,271.0,187.0,218.0,0.0,2.4068513,121.0
68,0.1,A,40.96305556,-111.86194444,20120622,20120623,49057.0,20120623,247.0,152.0,200.0,0.0,4.774195,70.857
69,2.533333333333333,C,41.1825,-111.88583333,20051017,20051031,49057.0,20051031,42.0,-45.0,13.0,0.0,1.5921427,96.0
70,0.25,A,41.32666667,-111.70055556,20030722,20030722,49057.0,20030722,361.0,127.0,243.0,0.0,1.3453583,101.0
71,2.533333333333333,C,41.1825,-111.88583333,20051017,20051031,49057.0,20051021,142.0,27.0,71.0,0.0,0.20099491,96.0
72,3.0,B,41.27277778,-111.65,20020902,20020903,49057.0,20020903,292.0,68.0,167.0,0.0,2.6219025,100.0
73,30.0,C,41.275,-111.94611111,20060626,20060628,49057.0,20060626,261.0,92.0,164.0,0.0,1.0124167,126.5
74,300.0,E,41.24416667,-111.92111111,20070912,20070912,49057.0,20070912,207.0,120.0,169.0,0.0,1.2794211000000002,89.0
75,0.25,B,41.4225,-111.9575,20080831,20080902,49057.0,20080831,247.0,79.0,155.0,305.0,5.53705,95.0
77,12.5,C,41.26333333,-111.90055556,20080810,20080811,49057.0,20080811,241.0,81.0,160.0,0.0,2.581175,100.0
78,2.95,B,41.27908,-111.9453,20120826,20120827,49057.0,20120826,279.0,115.0,194.0,25.0,2.8885007000000003,103.75
79,3.0,B,41.27277778,-111.65,20020902,20020903,49057.0,20020902,280.0,73.0,173.0,0.0,1.6823863999999995,99.0
80,2.533333333333333,C,41.1825,-111.88583333,20051017,20051031,49057.0,20051028,42.0,-2.0,23.0,51.0,1.7902507,96.0
81,2.533333333333333,C,41.1825,-111.88583333,20051017,20051031,49057.0,20051026,139.0,33.0,76.0,0.0,1.5352302,96.0
82,0.25,B,41.4225,-111.9575,20080831,20080902,49057.0,20080901,77.0,10.0,35.0,102.0,3.5263731,95.0
84,0.1,A,41.25416667,-111.85694444,20030616,20030616,49057.0,20030616,241.0,105.0,157.0,0.0,1.0259121999999998,140.0
85,0.05,A,41.37277778,-111.95416667,20060727,20060728,49057.0,20060728,282.0,162.0,217.0,0.0,0.13928953,120.5
86,27.0,C,41.22166667,-111.92805556,20070605,20070605,49057.0,20070605,243.0,94.0,172.0,0.0,3.6292242999999993,146.0
87,0.01,A,41.29111111,-111.53361111,20080808,20080808,49057.0,20080808,223.0,131.0,173.0,0.0,2.6200714,100.0
88,0.25,A,41.22805556,-111.92777778,20031010,20031010,49057.0,20031010,135.0,-25.0,41.0,0.0,3.116693,97.0
89,0.1,A,41.36555556,-111.93583333,20060826,20060826,49057.0,20060826,151.0,41.0,87.0,127.0,2.2111762,104.5
90,2.533333333333333,C,41.1825,-111.88583333,20051017,20051031,49057.0,20051024,185.0,81.0,122.0,0.0,2.6342797000000004,96.0
92,0.1,A,40.96305556,-111.86194444,20120622,20120623,49057.0,20120622,233.0,120.0,179.0,0.0,4.1309032,70.857
93,2.0,B,41.13527778,-111.88916667,20070925,20070925,49057.0,20070925,87.0,-19.0,32.0,0.0,0.582575,89.0
94,0.05,A,41.36527778,-111.51722222,20060806,20060807,49057.0,20060807,273.0,88.0,162.0,25.0,3.0304115,110.0
95,0.1,A,41.25833333,-111.84972222,20050811,20050811,49057.0,20050811,227.0,93.0,161.0,25.0,1.9557583,105.5
96,30.0,C,41.275,-111.94611111,20060626,20060628,49057.0,20060627,247.0,127.0,186.0,0.0,0.55713844,126.5
