,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,3.8,C,46.22222222,-117.36777778,20140723,20140726,53003.0,20140726,265.0,134.0,203.0,25.0,0.54571056,111.5
1,0.0833333333333333,A,46.17527778,-117.45611111,20150711,20150713,53003.0,20150713,215.0,137.0,169.0,25.0,1.9224008,136.333
2,3.8,C,46.22222222,-117.36777778,20140723,20140726,53003.0,20140723,296.0,108.0,180.0,25.0,1.6650766,111.5
3,0.1,A,46.13861111,-117.38916667,20130711,20130711,53003.0,20130711,247.0,156.0,194.0,0.0,2.624574,81.316
4,0.0833333333333333,A,46.17527778,-117.45611111,20150711,20150713,53003.0,20150712,219.0,135.0,164.0,76.0,1.825,136.333
5,3.8,C,46.22222222,-117.36777778,20140723,20140726,53003.0,20140725,223.0,87.0,157.0,0.0,1.2417011999999998,111.5
6,80212.0,G,46.06861111,-117.76277778,20150813,20150813,53003.0,20150813,323.0,213.0,264.0,0.0,1.7392528000000005,87.2
7,0.1,A,46.05166667,-117.45416667,20150628,20150628,53003.0,20150628,318.0,185.0,254.0,0.0,2.1646302000000004,96.842
8,0.0833333333333333,A,46.17527778,-117.45611111,20150711,20150713,53003.0,20150711,221.0,138.0,170.0,0.0,3.0799758,136.333
9,1.0,B,46.12027778,-117.4425,20150813,20150813,53003.0,20150813,323.0,213.0,264.0,0.0,1.7392528000000005,87.2
10,52.5,D,46.0775,-116.9775,20151002,20151003,53003.0,20151003,164.0,70.0,115.0,0.0,2.6140244,66.8
11,0.05,A,46.08861111,-117.31861111,20141027,20141028,53003.0,20141027,81.0,28.0,48.0,0.0,2.1286732999999995,65.4
12,0.1,A,46.10888889,-117.32416667,20150812,20150812,53003.0,20150812,332.0,220.0,269.0,0.0,1.7343947,87.2
13,3.8,C,46.22222222,-117.36777778,20140723,20140726,53003.0,20140724,202.0,78.0,138.0,0.0,3.3245294000000003,111.5
14,0.1,A,46.22666667,-117.47388889,20120720,20120720,53003.0,20120720,253.0,134.0,196.0,0.0,2.5544114,64.85
15,52.5,D,46.0775,-116.9775,20151002,20151003,53003.0,20151002,209.0,118.0,159.0,0.0,3.232066,66.8
16,0.1,A,46.10194444,-117.45472222,20130708,20130708,53003.0,20130708,255.0,150.0,198.0,0.0,2.621553,60.0
17,0.05,A,46.08861111,-117.31861111,20141027,20141028,53003.0,20141028,122.0,57.0,81.0,51.0,4.0219707,65.4
18,0.1,A,46.24027778,-117.48833333,20120419,20120419,53003.0,20120419,109.0,27.0,74.0,25.0,1.6090118,85.258
19,0.05,A,46.12777778,-117.41666667,20030819,20030820,53003.0,20030820,245.0,140.0,193.0,0.0,2.84946,94.0
20,0.0333333333333333,A,46.12583333,-117.30027778,20020820,20020822,53003.0,20020820,191.0,98.0,138.0,51.0,4.2687907,59.5
22,0.1,A,46.125,-117.39777778,20061003,20061003,53003.0,20061003,163.0,89.0,122.0,0.0,0.43863055,93.5
23,0.0333333333333333,A,46.12583333,-117.30027778,20020820,20020822,53003.0,20020821,152.0,90.0,111.0,51.0,2.9652123,94.0
24,0.05,A,46.12,-117.45444444,20030819,20030820,53003.0,20030819,288.0,169.0,230.0,0.0,2.5743783,94.0
25,0.1,A,46.12583333,-117.38416667,20020825,20020825,53003.0,20020825,226.0,131.0,184.0,127.0,2.057669,69.5
27,0.1666666666666666,B,46.09,-117.4775,20080811,20080813,53003.0,20080811,223.0,102.0,161.0,0.0,1.7986968,86.0
28,1133.0,F,46.27166667,-117.35833333,20070818,20070820,53003.0,20070820,139.0,95.0,118.0,0.0,2.0122957,70.8
29,0.1,A,46.11083333,-117.30472222,20060810,20060810,53003.0,20060810,266.0,138.0,184.0,25.0,1.5822143999999998,72.667
30,0.05,A,46.10277778,-117.31111111,20020825,20020826,53003.0,20020826,205.0,135.0,164.0,0.0,3.113277,59.333
31,0.25,B,46.07899,-116.97987,20070618,20070619,53003.0,20070619,246.0,91.0,177.0,25.0,0.7566361,64.3
33,0.05,A,46.17388889,-117.375,20090815,20090816,53003.0,20090816,195.0,113.0,150.0,0.0,1.2419739,74.75
34,0.05,A,46.05638889,-117.46972222,20070630,20070701,53003.0,20070701,250.0,115.0,190.0,25.0,0.7516649999999999,89.8
35,0.4,B,46.14916667,-117.385,20090830,20090831,53003.0,20090831,241.0,151.0,194.0,25.0,0.74524623,90.6
36,0.05,A,46.11361111,-117.29111111,20060809,20060810,53003.0,20060810,266.0,138.0,184.0,25.0,1.5822143999999998,72.667
37,1133.0,F,46.27166667,-117.35833333,20070818,20070820,53003.0,20070818,217.0,117.0,167.0,0.0,2.2098494,70.8
38,0.05,A,46.11166667,-117.34222222,20011006,20011007,53003.0,20011006,167.0,67.0,111.0,0.0,1.7220025,78.167
39,0.4,B,46.14916667,-117.385,20090830,20090831,53003.0,20090830,221.0,119.0,169.0,51.0,2.4159694,90.75
40,0.1,A,46.11166667,-117.34222222,20020725,20020725,53003.0,20020725,268.0,160.0,222.0,0.0,3.1910026,78.571
42,0.05,A,46.20833333,-117.36027778,20090715,20090716,53003.0,20090715,262.0,144.0,201.0,0.0,0.788927,97.0
44,0.05,A,46.125,-117.375,20030819,20030820,53003.0,20030820,245.0,140.0,193.0,0.0,2.84946,94.0
45,0.0333333333333333,A,46.12583333,-117.30027778,20020820,20020822,53003.0,20020822,184.0,96.0,130.0,0.0,1.336893,94.0
46,0.15,B,46.11388889,-117.2875,20030819,20030820,53003.0,20030820,245.0,140.0,193.0,0.0,2.84946,94.0
47,0.0666666666666666,A,46.01305556,-117.7225,20130817,20130819,53003.0,20130817,256.0,147.0,203.0,0.0,2.0112226000000004,104.333
49,0.05,A,46.12,-117.45444444,20030819,20030820,53003.0,20030820,245.0,140.0,193.0,0.0,2.84946,94.0
50,0.05,A,46.10027778,-117.43361111,20130708,20130709,53003.0,20130708,255.0,150.0,198.0,0.0,2.621553,60.0
51,0.05,A,46.11166667,-117.30027778,20020820,20020821,53003.0,20020821,152.0,90.0,111.0,51.0,2.9652123,94.0
52,0.15,B,46.12527778,-117.25861111,20081027,20081028,53003.0,20081027,183.0,100.0,136.0,0.0,2.7176795,76.25
53,0.25,B,46.07899,-116.97987,20070618,20070619,53003.0,20070618,189.0,83.0,132.0,0.0,3.192642,64.3
54,0.3333333333333333,B,46.0941667,-117.435,20100730,20100801,53003.0,20100730,284.0,185.0,233.0,0.0,2.0254393,89.75
55,0.1,A,46.08305556,-117.42583333,20010721,20010721,53003.0,20010721,202.0,105.0,140.0,0.0,3.1402733,119.0
57,0.1,A,46.14027778,-117.27944444,20020820,20020820,53003.0,20020820,191.0,98.0,138.0,51.0,4.2687907,59.5
58,0.05,A,46.11666667,-117.45444444,20030819,20030820,53003.0,20030819,288.0,169.0,230.0,0.0,2.5743783,94.0
59,0.15,B,46.05,-117.45027778,20130708,20130709,53003.0,20130708,255.0,150.0,198.0,0.0,2.621553,60.0
60,0.05,A,46.09722222,-117.44694444,20020825,20020826,53003.0,20020826,205.0,135.0,164.0,0.0,3.113277,59.333
61,0.3333333333333333,B,46.0941667,-117.435,20100730,20100801,53003.0,20100731,239.0,142.0,198.0,0.0,3.274282,89.75
62,0.05,A,46.125,-117.375,20030819,20030820,53003.0,20030819,288.0,169.0,230.0,0.0,2.5743783,94.0
63,0.15,B,46.12527778,-117.25861111,20081027,20081028,53003.0,20081028,190.0,76.0,132.0,0.0,1.5273792,76.25
64,0.0333333333333333,A,46.09722222,-117.36305556,20060808,20060810,53003.0,20060810,266.0,138.0,184.0,25.0,1.5822143999999998,72.667
65,0.3333333333333333,B,46.0941667,-117.435,20100730,20100801,53003.0,20100801,250.0,130.0,182.0,0.0,2.5743806,109.5
68,0.0333333333333333,A,46.09722222,-117.36305556,20060808,20060810,53003.0,20060809,250.0,123.0,184.0,0.0,2.8861763,72.667
69,0.1,A,46.12583333,-117.27944444,20020726,20020726,53003.0,20020726,258.0,149.0,202.0,25.0,4.232655,78.571
