,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,46.25444444,-117.65083333,20140722,20140723,53023.0,20140723,214.0,58.0,129.0,25.0,1.6650766,111.5
1,0.025,A,46.28666667,-117.53333333,20150425,20150428,53023.0,20150425,57.0,-29.0,5.0,25.0,1.3157698,42.0
2,0.1111111111111111,B,46.17722222,-117.45472222,20140925,20141003,53023.0,20140928,156.0,63.0,104.0,25.0,4.2851405,77.4
3,0.0625,A,46.23777778,-117.49111111,20140726,20140729,53023.0,20140729,284.0,181.0,231.0,0.0,2.3016927000000003,57.214
4,0.0142857142857142,A,46.1775,-117.60027778,20140722,20140728,53023.0,20140726,232.0,109.0,169.0,25.0,0.54571056,111.5
5,0.025,A,46.28666667,-117.53333333,20150425,20150428,53023.0,20150428,194.0,55.0,126.0,0.0,2.1639085,154.0
6,0.1111111111111111,B,46.17722222,-117.45472222,20140925,20141003,53023.0,20140930,72.0,25.0,46.0,0.0,4.330412,77.4
7,0.025,A,46.28666667,-117.53333333,20150425,20150428,53023.0,20150427,125.0,12.0,82.0,0.0,1.8045083,154.0
8,0.0142857142857142,A,46.1775,-117.60027778,20140722,20140728,53023.0,20140725,192.0,60.0,125.0,0.0,1.2417011999999998,111.5
9,0.1111111111111111,B,46.17722222,-117.45472222,20140925,20141003,53023.0,20140927,132.0,56.0,87.0,0.0,3.3048968,77.4
10,1.025,B,46.21277778,-117.53472222,20140724,20140724,53023.0,20140724,143.0,40.0,84.0,25.0,3.3245294000000003,111.5
11,0.025,A,46.12333333,-117.60666667,20140722,20140725,53023.0,20140722,197.0,99.0,140.0,279.0,0.71063393,111.5
12,0.025,A,46.28666667,-117.53333333,20150425,20150428,53023.0,20150426,75.0,-34.0,22.0,25.0,2.1037169,42.0
13,0.1,A,46.2197222,-117.484722,20100728,20100728,53023.0,20100728,248.0,116.0,167.0,51.0,1.2073954,87.5
14,0.0625,A,46.23777778,-117.49111111,20140726,20140729,53023.0,20140727,270.0,149.0,204.0,25.0,1.5692291,57.214
15,0.025,A,46.12333333,-117.60666667,20140722,20140725,53023.0,20140725,192.0,60.0,125.0,0.0,1.2417011999999998,111.5
16,0.1111111111111111,B,46.17722222,-117.45472222,20140925,20141003,53023.0,20141002,120.0,15.0,58.0,25.0,1.003195,74.143
17,0.05,A,46.25444444,-117.65083333,20140722,20140723,53023.0,20140722,197.0,99.0,140.0,279.0,0.71063393,111.5
