,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,2.0,C,47.90972222,-123.02583333,20150812,20150817,53031.0,20150812,258.0,146.0,190.0,0.0,2.502249,101.875
1,0.1,A,47.685,-123.03972222,20120729,20120729,53031.0,20120729,178.0,84.0,125.0,0.0,2.6928394,128.333
2,2.0,C,47.90972222,-123.02583333,20150812,20150817,53031.0,20150817,194.0,84.0,131.0,0.0,2.3345234,92.2
3,2.0,C,47.90972222,-123.02583333,20150812,20150817,53031.0,20150815,110.0,49.0,80.0,0.0,3.7253356,101.875
4,0.1,A,47.62305556,-123.16027778,20150621,20150621,53031.0,20150621,177.0,63.0,112.0,0.0,1.4128872,122.047999999999
5,2.0,C,47.90972222,-123.02583333,20150812,20150817,53031.0,20150814,153.0,49.0,108.0,51.0,3.5763981,101.875
6,2.0,C,47.90972222,-123.02583333,20150812,20150817,53031.0,20150816,148.0,73.0,102.0,0.0,2.5550196,101.875
7,2.0,C,47.90972222,-123.02583333,20150812,20150817,53031.0,20150813,255.0,142.0,184.0,0.0,2.010286,101.875
9,0.0038461538461538,A,47.65083333,-123.00055556,19990805,19990830,53031.0,19990807,173.0,102.0,128.0,0.0,1.5352566,93.333
10,4.983050847457627,D,47.63444444,-123.11916667,19990912,19991109,53031.0,19990917,203.0,63.0,121.0,0.0,2.138616,103.0
11,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030718,214.0,105.0,153.0,0.0,1.9343697,97.333
12,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030713,155.0,58.0,98.0,0.0,3.6283636,97.333
13,0.05,A,47.78444444,-122.95527778,20130717,20130718,53031.0,20130717,197.0,103.0,152.0,0.0,1.7307271,103.2
14,0.1,A,47.71555556,-123.0075,20010623,20010623,53031.0,20010623,82.0,35.0,51.0,0.0,2.0200043,101.333
15,4.983050847457627,D,47.63444444,-123.11916667,19990912,19991109,53031.0,19990912,213.0,97.0,140.0,0.0,4.3881836,103.0
16,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030722,233.0,124.0,171.0,0.0,3.0386405,63.5
17,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030715,144.0,71.0,101.0,0.0,1.0735428,97.333
18,0.1,A,47.56722222,-123.11888889,19990805,19990805,53031.0,19990805,245.0,109.0,159.0,0.0,1.9163764,93.333
22,4.983050847457627,D,47.63444444,-123.11916667,19990912,19991109,53031.0,19990914,216.0,124.0,153.0,0.0,0.7543188,103.0
23,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030719,234.0,109.0,165.0,0.0,0.5004,63.5
24,4.983050847457627,D,47.63444444,-123.11916667,19990912,19991109,53031.0,19990913,235.0,127.0,160.0,0.0,3.5285277,103.0
26,2.1,C,47.63444444,-123.13416667,20061004,20061013,53031.0,20061008,86.0,41.0,61.0,0.0,1.6735915,115.333
27,2.1,C,47.63444444,-123.13416667,20061004,20061013,53031.0,20061005,135.0,60.0,84.0,0.0,1.2971096000000002,115.333
28,0.1666666666666666,B,47.68361111,-123.10166667,19990911,19990913,53031.0,19990913,235.0,127.0,160.0,0.0,3.5285277,103.0
29,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030716,89.0,54.0,75.0,0.0,1.9572501,97.333
30,0.0038461538461538,A,47.65083333,-123.00055556,19990805,19990830,53031.0,19990808,156.0,81.0,110.0,25.0,1.1819037,93.333
32,0.003125,A,47.68416667,-123.10972222,20030629,20030730,53031.0,20030720,185.0,113.0,145.0,0.0,2.4177082000000003,63.5
33,4.983050847457627,D,47.63444444,-123.11916667,19990912,19991109,53031.0,19990918,226.0,112.0,155.0,51.0,2.029706,103.0
34,0.1,A,47.62333333,-123.15527778,20061005,20061005,53031.0,20061005,135.0,60.0,84.0,0.0,1.2971096000000002,115.333
35,0.025,A,47.61666667,-122.99722222,20070905,20070908,53031.0,20070906,103.0,72.0,92.0,25.0,3.5710664,107.5
37,4.983050847457627,D,47.63444444,-123.11916667,19990912,19991109,53031.0,19990919,224.0,137.0,163.0,0.0,2.1790376,103.0
