,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
25,1.1,B,46.46666667,-91.28333333,19980412,19980413,55007.0,19980413,167.0,83.0,128.0,20.0,3.4438405,165.0
26,63.0,C,46.62166667,-91.05,19980412,19980412,55007.0,19980412,244.0,111.0,178.0,3.0,2.9908200000000003,165.0
28,0.1,A,46.19833333,-91.13472222,20050630,20050630,55007.0,20050630,233.0,150.0,194.0,30.0,0.4301212,106.0
31,1.1,B,46.46666667,-91.28333333,19980412,19980413,55007.0,19980412,244.0,111.0,178.0,3.0,2.9908200000000003,165.0
36,0.1,A,46.21666667,-91.03333333,19980523,19980523,55007.0,19980523,217.0,50.0,133.0,0.0,2.9364097,193.0
40,5.0,B,46.255,-91.06833333,19980412,19980412,55007.0,19980412,244.0,111.0,178.0,3.0,2.9908200000000003,165.0
43,4.5,B,46.24666667,-91.12166667,19980412,19980412,55007.0,19980412,244.0,111.0,178.0,3.0,2.9908200000000003,165.0
52,1.0,B,46.33916667,-90.92972222,20050415,20050415,55007.0,20050415,217.0,22.0,122.0,0.0,2.4908807,204.0
61,35.0,C,46.585,-91.08333333,19980417,19980417,55007.0,19980417,133.0,-44.0,44.0,0.0,0.73762226,197.0
79,0.1,A,46.65,-91.05,19980427,19980427,55007.0,19980427,167.0,-44.0,61.0,0.0,0.95999146,197.0
85,0.5,B,46.20333333,-91.08611111,20050505,20050505,55007.0,20050505,228.0,28.0,128.0,8.0,4.2718115,235.0
86,0.1,A,46.20333333,-91.08611111,20050828,20050828,55007.0,20050828,344.0,194.0,272.0,0.0,2.675989,105.0
89,0.2,A,46.55833333,-91.13333333,19980905,19980905,55007.0,19980905,300.0,94.0,200.0,0.0,3.3531702000000005,143.0
102,0.1,A,46.31583333,-91.29527778,20050503,20050503,55007.0,20050503,122.0,-83.0,22.0,0.0,0.66850126,59.4
104,0.1,A,46.66083333,-91.04555556,20050619,20050619,55007.0,20050619,306.0,144.0,228.0,0.0,0.8321616,125.0
109,0.1,A,46.66666667,-91.28333333,19980429,19980429,55007.0,19980429,233.0,-33.0,100.0,0.0,1.5201359,197.0
110,0.2,A,46.61666667,-91.26666667,19980720,19980720,55007.0,19980720,306.0,128.0,217.0,0.0,2.6369703,139.0
114,0.1,A,46.58777778,-91.08027778,20050402,20050402,55007.0,20050402,128.0,-61.0,33.0,0.0,0.95802546,202.0
