,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,42.30694444,-105.35666667,20130814,20130814,56001.0,20130814,205.0,18.0,105.0,0.0,0.58599895,106.0
1,0.1,A,42.32583333,-105.33888889,20120921,20120921,56001.0,20120921,153.0,20.0,93.0,0.0,4.271142,53.0
2,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150806,200.0,72.0,130.0,0.0,3.4323826,105.071
3,1.35,B,41.9464,-105.3636,20100701,20100702,56001.0,20100702,195.0,62.0,122.0,25.0,4.494999,119.929
4,0.04,A,41.0702778,-106.146389,20100926,20100926,56001.0,20100926,252.0,92.0,177.0,0.0,2.383144,77.25
5,0.1,A,41.125,-105.9903,20100817,20100817,56001.0,20100817,178.0,46.0,118.0,0.0,1.9773226,71.375
6,0.5,B,41.08361111,-106.15277778,20150910,20150910,56001.0,20150910,196.0,20.0,103.0,0.0,1.3667936,106.786
7,45.0,E,41.16305556,-106.11444444,20140707,20140716,56001.0,20140710,212.0,85.0,141.0,0.0,1.7001146,105.571
8,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150807,227.0,122.0,158.0,0.0,1.5323592,105.071
10,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150809,222.0,84.0,148.0,0.0,1.8602755,106.786
11,0.1,A,42.2980556,-105.333611,20100816,20100816,56001.0,20100816,200.0,86.0,133.0,25.0,2.6043139,71.375
12,0.2,B,41.9225,-105.2825,20100817,20100818,56001.0,20100817,178.0,46.0,118.0,0.0,1.9773226,71.375
13,0.05,A,41.00194444,-106.18722222,20150630,20150701,56001.0,20150701,196.0,73.0,125.0,25.0,0.8678278,118.429
14,45.0,E,41.16305556,-106.11444444,20140707,20140716,56001.0,20140711,187.0,87.0,123.0,0.0,2.1998692,105.571
15,0.1,A,42.07361111,-105.28583333,20120722,20120722,56001.0,20120722,274.0,119.0,191.0,0.0,2.7211773,45.8889999999999
16,1.35,B,41.9464,-105.3636,20100701,20100702,56001.0,20100701,241.0,120.0,177.0,0.0,4.1517434,119.929
19,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150816,205.0,63.0,113.0,51.0,4.1551924,106.786
21,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150811,232.0,109.0,153.0,76.0,4.1196175,106.786
23,0.1,A,42.22,-105.33027778,20150816,20150816,56001.0,20150816,205.0,63.0,113.0,51.0,4.1551924,106.786
24,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150815,269.0,128.0,193.0,0.0,1.175266,106.786
25,2.0,B,41.7983,-105.34696,20130618,20130619,56001.0,20130618,223.0,77.0,138.0,25.0,4.642784,37.375
26,0.1,A,41.19111111,-105.39666667,20130512,20130512,56001.0,20130512,140.0,26.0,85.0,0.0,2.4186869,39.75
27,0.1,A,41.21944444,-105.89472222,20140712,20140712,56001.0,20140712,211.0,109.0,153.0,0.0,2.0023224,105.571
28,1.5333333333333332,B,42.07222222,-105.34888889,20150723,20150725,56001.0,20150723,217.0,49.0,129.0,0.0,4.3965893,116.642999999999
29,2.0,B,41.7983,-105.34696,20130618,20130619,56001.0,20130619,233.0,47.0,134.0,0.0,5.276635,37.375
30,0.1,A,41.27,-105.36916667,20130513,20130513,56001.0,20130513,232.0,85.0,167.0,0.0,3.6572483,39.75
31,0.5,B,42.38722222,-105.65222222,20120712,20120712,56001.0,20120712,212.0,80.0,143.0,0.0,1.8479085,106.3
32,0.25,A,41.1477778,-106.134167,20100910,20100910,56001.0,20100910,106.0,6.0,40.0,0.0,5.2851230000000005,98.6429999999999
33,0.1,A,42.395,-105.66222222,20140811,20140811,56001.0,20140811,185.0,31.0,113.0,0.0,3.4082785,105.571
34,0.35,A,42.0688889,-105.301667,20101008,20101008,56001.0,20101008,109.0,28.0,72.0,0.0,2.7218385,83.0
35,45.0,E,41.16305556,-106.11444444,20140707,20140716,56001.0,20140712,211.0,109.0,153.0,0.0,2.0023224,105.571
36,3.3000000000000003,B,42.41555556,-105.3175,20120706,20120706,56001.0,20120706,170.0,84.0,108.0,0.0,3.3193102,106.3
37,0.1,A,42.20611111,-105.49722222,20120627,20120627,56001.0,20120627,287.0,130.0,202.0,0.0,4.1774297,104.0
38,0.1,A,41.15,-105.36666667,20120629,20120629,56001.0,20120629,261.0,88.0,160.0,0.0,2.1924715,104.0
39,27.31052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150814,229.0,85.0,146.0,0.0,2.269912,106.786
40,27.21052631578948,E,42.41333333,-105.59583333,20150806,20150824,56001.0,20150824,239.0,53.0,140.0,0.0,0.66001886,106.786
