,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.3,B,44.27656,-107.93053,20130401,20130401,56003.0,20130401,44.0,-61.0,-20.0,0.0,1.4983282,59.333
2,0.1,A,44.23305556,-107.23277778,20130817,20130817,56003.0,20130817,226.0,131.0,171.0,0.0,1.8866323,57.333
3,251.4333333333333,F,44.86286,-108.29522,20130427,20130502,56003.0,20130427,97.0,-28.0,42.0,25.0,5.2519755,59.333
4,4.0,B,44.50814,-108.27969,20120703,20120703,56003.0,20120703,223.0,70.0,149.0,0.0,2.46289,65.333
5,0.5,B,44.45642,-108.08614,20130327,20130328,56003.0,20130327,17.0,-102.0,-43.0,0.0,1.8425369,59.333
7,1.4375,C,44.77111111,-107.88166667,20140723,20140807,56003.0,20140805,163.0,78.0,115.0,0.0,0.5852368,72.286
9,62.0,C,44.51686,-107.87011,20140707,20140707,56003.0,20140707,146.0,57.0,107.0,0.0,1.8388323,83.5
10,1.4375,C,44.77111111,-107.88166667,20140723,20140807,56003.0,20140728,215.0,83.0,141.0,0.0,1.084619,72.286
13,1.0,B,44.81553,-108.47378,20130427,20130427,56003.0,20130427,97.0,-28.0,42.0,25.0,5.2519755,59.333
14,1.4375,C,44.77111111,-107.88166667,20140723,20140807,56003.0,20140804,175.0,89.0,119.0,51.0,0.9799957,72.286
15,0.1,A,44.80166667,-107.80138889,20150629,20150630,56003.0,20150630,199.0,112.0,153.0,0.0,2.683398,91.0
16,0.1,A,44.25333333,-107.21638889,20150628,20150628,56003.0,20150628,209.0,102.0,133.0,0.0,1.4267533,97.25
17,40.0,C,44.3545,-108.34758,20120828,20120828,56003.0,20120828,231.0,125.0,170.0,0.0,2.262258,45.0
18,0.24,B,44.8883,-108.5547,20150424,20150428,56003.0,20150428,119.0,-32.0,49.0,25.0,1.4075688,103.333
19,251.4333333333333,F,44.86286,-108.29522,20130427,20130502,56003.0,20130429,71.0,-64.0,10.0,51.0,4.6424623,90.667
20,11.0,C,44.8872,-108.5532,20140713,20140714,56003.0,20140714,153.0,78.0,113.0,0.0,3.0372458,82.333
21,0.0333333333333333,A,44.18944444,-107.25305556,20140908,20140910,56003.0,20140909,131.0,33.0,74.0,0.0,1.1433666,73.0
22,0.025,A,44.84416667,-107.97055556,20151002,20151005,56003.0,20151004,25.0,2.0,15.0,0.0,2.5465662,70.0
23,0.2,A,44.8381,-108.2933,20130418,20130418,56003.0,20130418,-37.0,-189.0,-98.0,0.0,3.7753055,59.333
24,2.7,B,43.99672,-107.87236,20120605,20120605,56003.0,20120605,207.0,57.0,146.0,0.0,2.3725467,89.333
25,0.1,A,44.80166667,-107.80138889,20150629,20150630,56003.0,20150629,230.0,124.0,168.0,0.0,1.1876973,97.25
26,1.4375,C,44.77111111,-107.88166667,20140723,20140807,56003.0,20140729,130.0,59.0,100.0,0.0,1.1374587,72.286
27,0.05,A,44.94067,-108.16308,20130705,20130706,56003.0,20130705,167.0,65.0,107.0,25.0,2.1242483,95.0
28,0.9,B,44.27572,-107.90842,20130401,20130401,56003.0,20130401,44.0,-61.0,-20.0,0.0,1.4983282,59.333
30,2.3,B,44.58681,-107.7783,20120810,20120810,56003.0,20120810,206.0,82.0,138.0,0.0,1.5883613,49.333
31,0.0333333333333333,A,44.78555556,-107.93277778,20140611,20140613,56003.0,20140611,87.0,3.0,38.0,0.0,1.7664613,88.0
32,251.4333333333333,F,44.86286,-108.29522,20130427,20130502,56003.0,20130502,38.0,-110.0,-33.0,51.0,2.115396,59.333
33,0.1,A,44.7827778,-107.783889,20100905,20100905,56003.0,20100905,125.0,-16.0,66.0,0.0,2.9029078,61.0
34,40.5,C,44.287103,-107.570397,20140721,20140722,56003.0,20140722,211.0,83.0,143.0,51.0,1.2819118,82.333
