,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,44.66222222,-104.30972222,20120721,20120721,56011.0,20120721,294.0,158.0,214.0,0.0,2.2514176,64.333
1,0.1,A,44.52222222,-104.43666667,20130715,20130715,56011.0,20130715,245.0,140.0,190.0,0.0,3.2204745,110.333
2,1.0,B,44.44916667,-104.43305556,20120821,20120821,56011.0,20120821,269.0,135.0,197.0,0.0,1.3462912,51.667
3,0.1,A,44.5838889,-104.491667,20101002,20101002,56011.0,20101002,153.0,60.0,106.0,0.0,4.276497,68.6
4,0.1,A,44.4375,-104.17055556,20130707,20130707,56011.0,20130707,228.0,108.0,166.0,25.0,2.3305383,110.333
9,0.1,A,44.5725,-104.42805556,20120730,20120730,56011.0,20120730,280.0,130.0,209.0,0.0,1.1521218999999998,64.833
10,0.1,A,44.35277778,-104.06916667,20120727,20120727,56011.0,20120727,265.0,141.0,191.0,0.0,2.7225842,64.333
11,0.1,A,44.55222222,-104.39361111,20130708,20130708,56011.0,20130708,243.0,107.0,170.0,25.0,2.4586337000000005,110.333
12,1.0,B,44.56638889,-104.33972222,20120728,20120728,56011.0,20120728,288.0,157.0,214.0,0.0,0.4554224,64.833
13,0.1,A,44.7516667,-104.394167,20100802,20100802,56011.0,20100802,253.0,125.0,181.0,0.0,0.5385153,73.0
14,1.0,B,44.68583333,-105.02888889,20120727,20120727,56011.0,20120727,265.0,141.0,191.0,0.0,2.7225842,64.333
15,0.53,B,44.57666667,-104.42611111,20120718,20120718,56011.0,20120718,300.0,157.0,229.0,0.0,0.60415506,64.333
18,0.1,A,44.60888889,-104.23694444,20120727,20120727,56011.0,20120727,265.0,141.0,191.0,0.0,2.7225842,64.333
19,0.1,A,44.45083333,-104.14777778,20130707,20130707,56011.0,20130707,228.0,108.0,166.0,25.0,2.3305383,110.333
21,0.7,B,44.45027778,-104.4325,20120818,20120818,56011.0,20120818,202.0,87.0,138.0,0.0,2.7718084,51.667
23,0.2,A,44.575,-104.42805556,20120722,20120722,56011.0,20120722,308.0,162.0,226.0,0.0,1.7741761000000005,64.333
24,0.1,A,44.44833333,-104.39722222,20120625,20120625,56011.0,20120625,313.0,168.0,239.0,0.0,5.4397564,92.5
25,0.1,A,44.49138889,-104.57666667,20120717,20120717,56011.0,20120717,222.0,124.0,159.0,127.0,1.5565667,64.333
27,0.1,A,44.21361111,-104.34972222,20130710,20130710,56011.0,20130710,273.0,111.0,199.0,0.0,1.8284999,110.333
29,0.1,A,44.59444444,-104.42722222,20120721,20120721,56011.0,20120721,294.0,158.0,214.0,0.0,2.2514176,64.333
30,0.1,A,44.551693,-104.872289,20120717,20120717,56011.0,20120717,222.0,124.0,159.0,127.0,1.5565667,64.333
33,0.1,A,44.28527778,-104.11138889,20130704,20130704,56011.0,20130704,254.0,136.0,188.0,0.0,1.0241632,110.333
35,0.16,B,44.47055556,-104.59944444,20060713,20060717,56011.0,20060714,308.0,135.0,226.0,0.0,1.2501601,96.0
36,173.97142857142856,G,44.8092,-104.8058,20000811,20000914,56011.0,20000901,250.0,111.0,158.0,0.0,3.9905884,42.6
37,2.3,C,43.9364,-104.0631,20070724,20070728,56011.0,20070726,161.0,120.0,146.0,127.0,3.7854965,118.0
38,2.6,B,44.61861111,-104.29388889,20050906,20050906,56011.0,20050906,196.0,77.0,141.0,0.0,3.8347056,46.5
39,0.6666666666666666,B,44.54777778,-104.55833333,20060706,20060708,56011.0,20060706,267.0,144.0,189.0,0.0,5.2844367,54.333
41,605.0,F,44.37194444,-104.17416667,20050723,20050727,56011.0,20050724,284.0,104.0,200.0,0.0,1.3473238,120.0
42,173.97142857142856,G,44.8092,-104.8058,20000811,20000914,56011.0,20000817,218.0,88.0,149.0,0.0,2.1689875,41.0
43,173.97142857142856,G,44.8092,-104.8058,20000811,20000914,56011.0,20000903,251.0,118.0,185.0,0.0,1.0107466,42.6
44,173.97142857142856,G,44.8092,-104.8058,20000811,20000914,56011.0,20000816,224.0,102.0,167.0,0.0,0.587964,41.0
