,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,43.81394,-106.8915,20130619,20130620,56019.0,20130620,181.0,63.0,119.0,0.0,1.6172186000000002,77.4
1,8.42,C,43.93114,-106.92747,20130830,20130903,56019.0,20130903,204.0,125.0,156.0,0.0,2.4291735,98.4
2,2.65,C,43.97764,-106.08881,20140520,20140527,56019.0,20140526,202.0,59.0,121.0,102.0,1.0653285,87.4
4,1.26,B,43.91353,-106.90864,20130810,20130814,56019.0,20130811,207.0,65.0,127.0,0.0,2.3086822,87.667
5,0.5,B,43.6976,-106.542397,20120702,20120702,56019.0,20120702,201.0,71.0,132.0,25.0,1.8642328,119.333
6,0.25,A,44.1761111,-107.051389,20100912,20100912,56019.0,20100912,161.0,-18.0,66.0,0.0,1.7240970000000002,125.0
7,0.125,B,44.33209,-106.81659,20140726,20140729,56019.0,20140727,174.0,10.0,105.0,0.0,2.1423721,103.0
8,18.1,C,44.20689,-106.22408,20120830,20120830,56019.0,20120830,248.0,73.0,152.0,0.0,2.347534,91.5
9,8.42,C,43.93114,-106.92747,20130830,20130903,56019.0,20130831,195.0,59.0,122.0,0.0,4.4951496,98.4
10,0.2,B,43.76106,-106.83989,20130611,20130612,56019.0,20130612,207.0,73.0,131.0,0.0,2.5350342,77.4
11,0.05,A,43.74344,-106.99828,20130809,20130810,56019.0,20130810,198.0,72.0,129.0,0.0,3.4204233,87.667
12,5.96,C,43.8,-107.0289,20150813,20150817,56019.0,20150815,256.0,91.0,184.0,0.0,3.405877,95.4
13,8.42,C,43.93114,-106.92747,20130830,20130903,56019.0,20130830,262.0,125.0,183.0,0.0,2.192097,98.4
15,2.95,C,44.100683,-106.2511,20150830,20150902,56019.0,20150830,232.0,123.0,167.0,0.0,2.3005433,95.4
17,2.65,C,43.97764,-106.08881,20140520,20140527,56019.0,20140521,155.0,-22.0,63.0,0.0,2.8219485,87.4
18,5.96,C,43.8,-107.0289,20150813,20150817,56019.0,20150817,155.0,21.0,80.0,25.0,0.8961724,95.4
19,5.8,B,43.64867,-106.33225,20100907,20100907,56019.0,20100907,161.0,-39.0,77.0,0.0,2.808002,125.0
20,34.4,C,43.69961,-106.64592,20120608,20120608,56019.0,20120608,217.0,63.0,139.0,0.0,1.6144339,92.667
21,55.5,D,43.8997,-106.610383,20150727,20150728,56019.0,20150728,130.0,0.0,57.0,0.0,7.5804024,124.6
22,2.65,C,43.97764,-106.08881,20140520,20140527,56019.0,20140527,179.0,31.0,105.0,0.0,1.4230154,87.4
23,4.5,B,43.81839,-106.07561,20101001,20101001,56019.0,20101001,152.0,10.0,77.0,25.0,1.8443953,116.0
24,8.42,C,43.93114,-106.92747,20130830,20130903,56019.0,20130901,254.0,87.0,162.0,0.0,0.38326827,98.4
