,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,42.81387,-106.39185,20150828,20150828,56025.0,20150828,294.0,106.0,201.0,0.0,1.6999999,99.333
1,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20150921,191.0,72.0,126.0,0.0,3.6418571,64.0
2,0.05,A,42.68444,-106.39425,20130730,20130731,56025.0,20130731,227.0,96.0,155.0,0.0,0.78101796,134.0
3,0.0333333333333333,A,42.45575,-107.24153,20130518,20130520,56025.0,20130519,54.0,18.0,36.0,838.0,4.039661,155.25
4,539.0,E,42.9083,-106.3692,20150727,20150727,56025.0,20150727,344.0,100.0,253.0,5.0,3.9841094,69.667
5,468.8,E,42.95008,-106.40406,20100731,20100731,56025.0,20100731,261.0,147.0,194.0,0.0,2.5902324,103.667
6,0.05,A,42.68444,-106.39425,20130730,20130731,56025.0,20130730,211.0,87.0,144.0,51.0,1.9679718,134.0
7,27.05,C,42.80464,-106.81897,20100731,20100801,56025.0,20100801,232.0,107.0,167.0,0.0,0.6862305999999999,103.667
8,0.1444444444444444,B,42.6006,-106.1316,20150930,20151008,56025.0,20151002,156.0,30.0,80.0,0.0,3.0229332,64.0
9,1.7,B,43.1238,-106.3339,20150714,20150714,56025.0,20150714,217.0,98.0,151.0,0.0,0.09013877,101.75
10,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20150929,175.0,64.0,101.0,76.0,1.2522482,64.0
11,8.833333333333334,C,42.59748,-106.18685,20150821,20150823,56025.0,20150823,193.0,27.0,115.0,0.0,0.70577973,107.75
12,0.3,B,42.68625,-106.38114,20100822,20100822,56025.0,20100822,276.0,120.0,197.0,0.0,5.3010316,103.0
13,0.1444444444444444,B,42.6006,-106.1316,20150930,20151008,56025.0,20151005,222.0,67.0,104.0,0.0,2.0126164,64.0
14,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20151003,65.0,13.0,40.0,25.0,1.2522479,64.0
15,0.3,B,42.81645,-106.30473,20150716,20150716,56025.0,20150716,223.0,90.0,160.0,0.0,3.4966053999999995,101.75
16,2.8,B,43.40594,-106.42169,20100905,20100905,56025.0,20100905,195.0,16.0,119.0,0.0,4.199459,88.333
17,0.05,A,42.541,-106.8182,20150625,20150626,56025.0,20150626,294.0,111.0,197.0,0.0,1.6509467,117.0
18,0.15,B,42.6978,-106.3997,20130731,20130801,56025.0,20130731,227.0,96.0,155.0,0.0,0.78101796,134.0
19,1.15,B,42.3839,-107.4619,20150731,20150801,56025.0,20150731,339.0,67.0,218.0,0.0,1.831154,69.667
20,0.1,A,42.7122,-106.565,20100809,20100809,56025.0,20100809,219.0,97.0,149.0,25.0,3.3703585,107.0
21,296.0,D,42.99044,-106.35822,20100905,20100905,56025.0,20100905,195.0,16.0,119.0,0.0,4.199459,88.333
22,0.0142857142857142,A,42.65755,-106.45402,20130812,20130818,56025.0,20130813,283.0,100.0,188.0,18.0,1.0841627,127.5
23,0.1,A,42.76514,-106.54229,20120529,20120529,56025.0,20120529,147.0,11.0,89.0,0.0,0.5185522,128.5
24,0.1,A,42.7277,-106.9772,20130731,20130731,56025.0,20130731,227.0,96.0,155.0,0.0,0.78101796,134.0
25,75.55,D,42.5722,-106.7125,20150830,20150831,56025.0,20150831,311.0,156.0,229.0,0.0,1.5813365,84.0
26,7.1,B,43.11475,-106.09236,20150803,20150803,56025.0,20150803,220.0,89.0,143.0,152.0,1.4484905,69.667
27,1.0833333333333333,B,42.98683,-106.86338,20140528,20140602,56025.0,20140529,207.0,106.0,150.0,0.0,1.3963485,166.25
28,0.1444444444444444,B,42.6006,-106.1316,20150930,20151008,56025.0,20150930,191.0,81.0,130.0,0.0,1.1884863,64.0
29,1.0,B,42.8714,-106.3786,20120615,20120615,56025.0,20120615,194.0,47.0,120.0,0.0,1.4088974,144.25
30,1.4,B,42.93233,-106.50764,20100911,20100911,56025.0,20100911,166.0,8.0,90.0,0.0,3.8029628,88.333
31,2073.0,F,42.94863,-106.40922,20110825,20110825,56025.0,20110825,270.0,140.0,188.0,0.0,1.473399,92.667
32,0.95,A,42.61119,-106.40111,20150727,20150728,56025.0,20150727,344.0,100.0,253.0,5.0,3.9841094,69.667
33,6.0,B,42.7728,-106.3936,20150803,20150803,56025.0,20150803,220.0,89.0,143.0,152.0,1.4484905,69.667
34,0.05,A,42.70642,-106.41419,20130730,20130731,56025.0,20130731,227.0,96.0,155.0,0.0,0.78101796,134.0
35,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20150916,261.0,106.0,182.0,0.0,4.2030497,64.0
36,9.0,B,42.90877,-106.20137,20120627,20120627,56025.0,20120627,252.0,106.0,186.0,0.0,1.4516481,112.75
37,0.3,B,42.86569,-106.29519,20140720,20140720,56025.0,20140720,361.0,133.0,246.0,0.0,2.9204264,114.25
38,29.0,C,43.0633,-106.1864,20120625,20120625,56025.0,20120625,279.0,155.0,211.0,0.0,2.3433597,112.75
39,20.0,C,42.6633,-106.59828,20100930,20100930,56025.0,20100930,203.0,63.0,129.0,0.0,2.4185371,95.333
40,0.1,A,43.4165,-106.0957,20120709,20120709,56025.0,20120709,230.0,97.0,157.0,0.0,2.6239238,112.75
42,1.6,B,43.0238,-106.8692,20150714,20150714,56025.0,20150714,217.0,98.0,151.0,0.0,0.09013877,101.75
43,0.0142857142857142,A,42.65755,-106.45402,20130812,20130818,56025.0,20130814,208.0,70.0,139.0,0.0,0.46572104,127.5
44,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20150920,174.0,39.0,109.0,25.0,3.3057716,64.0
45,0.1,A,43.1755,-106.3422,20130602,20130602,56025.0,20130602,289.0,17.0,151.0,0.0,3.4722292,140.0
46,0.1,A,42.8808,-106.2806,20140730,20140730,56025.0,20140730,175.0,89.0,127.0,0.0,1.4665918,100.667
47,0.1,A,43.2853,-106.1913,20130813,20130813,56025.0,20130813,283.0,100.0,188.0,18.0,1.0841627,127.5
48,8.833333333333334,C,42.59748,-106.18685,20150821,20150823,56025.0,20150822,194.0,33.0,175.0,0.0,4.136726,107.75
49,2.7,B,43.4236,-106.30086,20100820,20100820,56025.0,20100820,216.0,72.0,150.0,0.0,2.9748626,103.0
50,0.1,A,42.4852,-106.7878,20150816,20150816,56025.0,20150816,216.0,75.0,126.0,0.0,2.0155642,107.75
51,0.0142857142857142,A,42.65755,-106.45402,20130812,20130818,56025.0,20130812,289.0,100.0,202.0,0.0,1.1708636,127.5
52,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20150918,183.0,22.0,120.0,0.0,2.650118,64.0
53,0.6666666666666666,B,42.4917,-107.2747,20130715,20130720,56025.0,20130719,245.0,117.0,165.0,0.0,1.9258541,134.0
54,0.1444444444444444,B,42.6006,-106.1316,20150930,20151008,56025.0,20151001,239.0,89.0,164.0,0.0,1.1581235,64.0
55,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20150927,317.0,83.0,202.0,0.0,1.3932875,64.0
56,0.2037037037037037,B,43.2402,-106.1886,20150912,20151008,56025.0,20151008,206.0,39.0,124.0,0.0,1.4553778,64.0
