,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,7.3,B,43.23277778,-104.8925,20120814,20120814,56027.0,20120814,242.0,91.0,164.0,0.0,2.0690331000000004,123.0
1,48.66666666666666,D,42.60648,-104.59528,20150730,20150801,56027.0,20150731,250.0,111.0,180.0,0.0,0.41608292,102.0
3,153.0,E,43.402,-104.797,20150901,20150902,56027.0,20150902,245.0,96.0,172.0,0.0,1.2188622,80.0
4,48.66666666666666,D,42.60648,-104.59528,20150730,20150801,56027.0,20150801,249.0,119.0,180.0,0.0,0.9086391,102.0
9,324.0,E,43.3656,-104.8044,20151102,20151102,56027.0,20151102,120.0,24.0,71.0,0.0,0.8062258000000001,77.0
11,48.66666666666666,D,42.60648,-104.59528,20150730,20150801,56027.0,20150730,236.0,76.0,162.0,0.0,0.74999994,102.0
12,153.0,E,43.402,-104.797,20150901,20150902,56027.0,20150901,243.0,73.0,163.0,0.0,0.5482928,80.0
13,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120804,213.0,34.0,135.0,0.0,1.2256002,123.0
17,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120820,215.0,95.0,150.0,0.0,1.4892325000000002,123.0
18,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120814,242.0,91.0,164.0,0.0,2.0690331000000004,123.0
20,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120816,186.0,65.0,114.0,0.0,1.2410133,123.0
21,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120722,274.0,121.0,177.0,0.0,1.3066812,111.0
22,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120817,232.0,71.0,147.0,0.0,1.975683,123.0
23,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120809,283.0,143.0,203.0,0.0,1.0155311,123.0
24,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120801,258.0,128.0,183.0,0.0,2.1664042,111.0
26,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120811,207.0,73.0,134.0,0.0,1.2417011999999998,123.0
28,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120721,282.0,132.0,190.0,0.0,1.1672572,111.0
29,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120810,280.0,112.0,189.0,0.0,0.6887639,123.0
30,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120802,270.0,116.0,185.0,0.0,2.44935,111.0
31,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120726,223.0,71.0,155.0,0.0,1.1690118,111.0
35,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120822,232.0,114.0,171.0,0.0,1.8117682,104.0
38,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120819,232.0,41.0,142.0,0.0,0.13891622,123.0
39,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120821,248.0,77.0,172.0,0.0,1.1344108999999998,104.0
41,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120807,258.0,104.0,181.0,0.0,1.5352184,123.0
42,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120818,202.0,62.0,129.0,0.0,1.0766995,123.0
44,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120729,248.0,114.0,166.0,0.0,1.2525575,111.0
45,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120725,207.0,79.0,128.0,0.0,0.60440177,111.0
46,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120724,259.0,97.0,172.0,0.0,0.6435036999999999,111.0
51,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120723,268.0,127.0,186.0,0.0,1.9096808,111.0
52,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120727,287.0,132.0,193.0,0.0,0.6774263,111.0
53,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120812,230.0,60.0,153.0,0.0,0.47202015,123.0
54,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120815,190.0,70.0,121.0,0.0,1.4340131,123.0
57,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120808,283.0,106.0,195.0,0.0,0.73164403,123.0
58,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120730,251.0,99.0,173.0,0.0,0.9183097,111.0
59,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120803,252.0,62.0,144.0,0.0,2.5859964,111.0
62,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120806,255.0,129.0,187.0,0.0,0.88142437,123.0
63,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120805,278.0,94.0,193.0,0.0,1.2020794,123.0
64,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120813,240.0,104.0,169.0,0.0,1.4294816,123.0
67,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120731,257.0,124.0,181.0,0.0,1.5181922,111.0
68,3.0303030303030303,D,43.41517,-104.07781,20120721,20120822,56027.0,20120728,283.0,99.0,190.0,0.0,1.0307772,111.0
