,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150912,222.0,63.0,142.0,0.0,1.2260201000000002,137.0
1,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150924,232.0,70.0,147.0,0.0,1.6727596999999998,137.0
2,1.0,B,42.26194444,-105.2325,20120725,20120725,56031.0,20120725,207.0,79.0,128.0,0.0,2.7957942000000005,117.0
3,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150926,249.0,99.0,162.0,0.0,3.5784074999999995,137.0
5,0.1,A,42.31388889,-105.25,20150816,20150816,56031.0,20150816,229.0,83.0,146.0,51.0,4.1551924,142.0
7,2.0,B,42.07833333,-105.24194444,20120724,20120724,56031.0,20120724,259.0,97.0,172.0,0.0,0.44598547,117.0
9,82.0,C,42.27805556,-105.11361111,20120625,20120625,56031.0,20120625,292.0,136.0,216.0,0.0,3.6444561,109.0
12,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150922,243.0,88.0,151.0,0.0,4.8752565,137.0
13,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150930,198.0,58.0,126.0,0.0,1.372953,137.0
14,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151008,142.0,32.0,75.0,0.0,2.263018,137.0
15,135.0,D,42.22027778,-105.0925,20120901,20120901,56031.0,20120901,227.0,98.0,156.0,0.0,4.0301943,111.0
17,0.1,A,42.31361111,-105.23694444,20120702,20120702,56031.0,20120702,250.0,120.0,185.0,0.0,0.43864587,102.0
18,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150916,177.0,47.0,104.0,0.0,2.9817152,137.0
20,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151005,167.0,34.0,96.0,0.0,2.651061,137.0
21,8.0,C,42.4121,-104.73935,20130820,20130822,56031.0,20130821,224.0,95.0,151.0,25.0,1.8051032,92.0
23,6.0,B,42.09861111,-105.27722222,20120724,20120724,56031.0,20120724,259.0,97.0,172.0,0.0,0.44598547,117.0
24,8.0,C,42.4121,-104.73935,20130820,20130822,56031.0,20130820,253.0,127.0,187.0,0.0,0.30478978,92.0
25,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150921,213.0,52.0,134.0,0.0,3.5855613,137.0
26,0.6666666666666666,B,42.41708,-104.74824,20130820,20130822,56031.0,20130820,253.0,127.0,187.0,0.0,0.30478978,92.0
28,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150918,121.0,19.0,62.0,0.0,1.4910146999999998,137.0
30,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150919,159.0,23.0,86.0,25.0,1.502706,137.0
31,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150917,150.0,36.0,78.0,0.0,1.9565597,137.0
32,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150920,185.0,27.0,113.0,51.0,3.520032,137.0
33,0.1,A,42.22972222,-105.21194444,20120702,20120702,56031.0,20120702,250.0,120.0,185.0,0.0,0.43864587,102.0
34,1.0,B,42.55638889,-105.27527778,20120711,20120711,56031.0,20120711,277.0,103.0,174.0,0.0,2.8939476,110.0
36,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151007,165.0,36.0,90.0,0.0,2.223876,137.0
37,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150923,242.0,71.0,149.0,0.0,1.4080127,137.0
38,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150928,155.0,74.0,107.0,0.0,2.470956,137.0
39,0.6666666666666666,B,42.41708,-104.74824,20130820,20130822,56031.0,20130821,224.0,95.0,151.0,25.0,1.8051032,92.0
40,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150925,237.0,91.0,157.0,0.0,3.146923,137.0
41,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150915,193.0,73.0,122.0,0.0,5.422465,137.0
42,0.5,B,42.12027778,-105.26277778,20120722,20120722,56031.0,20120722,274.0,121.0,177.0,0.0,2.7211773,117.0
45,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150927,225.0,90.0,158.0,0.0,0.8877639,137.0
46,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150911,192.0,47.0,112.0,0.0,2.223876,137.0
47,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151001,193.0,78.0,136.0,0.0,2.6025229,137.0
48,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151003,110.0,42.0,70.0,0.0,5.138701,137.0
49,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150913,230.0,88.0,152.0,0.0,2.7232792000000003,137.0
50,0.6666666666666666,B,42.41708,-104.74824,20130820,20130822,56031.0,20130822,246.0,94.0,156.0,0.0,2.786268,92.0
51,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150929,196.0,51.0,110.0,0.0,2.8692336,137.0
52,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20150914,225.0,77.0,140.0,0.0,3.2367036,137.0
53,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151006,159.0,56.0,97.0,0.0,1.9029582,137.0
54,2.0,B,42.29472222,-104.95888889,20120722,20120722,56031.0,20120722,274.0,121.0,177.0,0.0,2.7211773,117.0
56,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151004,116.0,30.0,57.0,0.0,3.2865257000000003,137.0
57,8.0,C,42.4121,-104.73935,20130820,20130822,56031.0,20130822,246.0,94.0,156.0,0.0,2.786268,92.0
58,9.128571428571428,D,42.204103,-104.650397,20150911,20151008,56031.0,20151002,208.0,63.0,128.0,0.0,6.3730383,137.0
64,351.25,F,42.2844,-104.7555,20120609,20120616,56031.0,20120609,239.0,58.0,156.0,0.0,3.2931848,92.0
81,0.5,B,42.07333333,-105.24777778,20130829,20130830,56031.0,20130829,261.0,112.0,187.0,0.0,1.6984931,108.0
87,351.25,F,42.2844,-104.7555,20120609,20120616,56031.0,20120616,203.0,60.0,132.0,0.0,1.7455304,109.0
89,1571.111111111111,G,42.3961,-104.86,20120714,20120722,56031.0,20120719,297.0,134.0,215.0,0.0,2.0447283,110.0
