,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,14.666666666666666,C,43.55428,-107.59172,20130801,20130806,56043.0,20130805,249.0,103.0,170.0,0.0,1.820141,68.667
1,0.15,B,44.8767,-108.0969,20100811,20100812,56043.0,20100812,188.0,42.0,104.0,0.0,2.8217845,68.0
3,0.1,A,44.0231,-107.9867,20140704,20140704,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
5,0.2,A,44.0231,-107.9853,20140704,20140704,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
6,0.1,A,44.024569,-107.986219,20130704,20130704,56043.0,20130704,246.0,109.0,165.0,0.0,1.0727998,83.667
7,0.1,A,44.0231,-107.9867,20140704,20140704,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
8,14.666666666666666,C,43.55428,-107.59172,20130801,20130806,56043.0,20130806,191.0,64.0,117.0,0.0,1.6484207,68.667
9,3.0,B,44.24478,-107.81602,20140902,20140902,56043.0,20140902,156.0,14.0,83.0,0.0,3.4472318,72.333
10,0.55,B,44.08656,-107.9344,20100808,20100809,56043.0,20100808,213.0,64.0,130.0,0.0,1.4051421999999998,76.667
11,8.5,C,43.95175,-107.41486,20100831,20100905,56043.0,20100905,203.0,29.0,123.0,0.0,2.9029078,68.0
12,0.1,A,44.023578,-107.988678,20130704,20130704,56043.0,20130704,246.0,109.0,165.0,0.0,1.0727998,83.667
13,2.6,C,44.01158,-107.22914,20150809,20150813,56043.0,20150809,176.0,76.0,125.0,0.0,2.0107522,76.667
14,0.1,A,44.0228,-107.9853,20140704,20140704,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
16,1.6,B,43.85456,-107.88839,20140728,20140729,56043.0,20140729,140.0,84.0,106.0,432.0,1.1374587,81.0
17,5.0,B,43.765744,-107.604897,20100811,20100811,56043.0,20100811,201.0,74.0,124.0,0.0,2.7064834,76.667
19,2.3,B,44.02936,-107.47769,20150727,20150728,56043.0,20150727,248.0,62.0,155.0,0.0,2.3644502,77.333
20,1.7,B,43.98419,-107.17842,20150703,20150703,56043.0,20150703,254.0,111.0,166.0,0.0,1.785532,101.667
21,0.009090909090909,A,44.0228,-107.9867,20140704,20140714,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
22,0.1,A,44.0206,-107.9897,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
23,75.0,C,43.9835,-107.9014,20150817,20150817,56043.0,20150817,187.0,43.0,107.0,0.0,1.6592543000000002,76.667
24,0.55,B,44.04697,-107.81589,20150726,20150727,56043.0,20150727,248.0,62.0,155.0,0.0,2.3644502,77.333
25,0.1,A,44.55744,-107.70108,20120524,20120524,56043.0,20120524,19.0,-50.0,-18.0,102.0,2.0511906000000004,97.333
26,2.3,B,44.02936,-107.47769,20150727,20150728,56043.0,20150728,116.0,0.0,48.0,0.0,6.1668973,77.333
27,44.0,C,44.07236,-107.80328,20150727,20150728,56043.0,20150727,248.0,62.0,155.0,0.0,2.3644502,77.333
28,0.05,A,44.024789,-107.987983,20130704,20130705,56043.0,20130704,246.0,109.0,165.0,0.0,1.0727998,83.667
29,0.1,A,44.11277778,-107.27111111,20140703,20140703,56043.0,20140703,255.0,109.0,178.0,76.0,2.073962,104.0
30,12.5,C,43.73889,-107.845555,20150727,20150728,56043.0,20150727,248.0,62.0,155.0,0.0,2.3644502,77.333
31,0.1,A,44.02208,-107.98656,20150705,20150705,56043.0,20150705,161.0,77.0,111.0,102.0,1.2349088,101.667
33,0.05,A,44.024939,-107.987106,20130704,20130705,56043.0,20130705,223.0,93.0,143.0,0.0,2.1242483,83.667
34,0.05,A,44.03394,-107.43986,20130706,20130707,56043.0,20130706,189.0,64.0,114.0,0.0,0.42106813,83.667
35,0.05,A,44.024789,-107.987983,20130704,20130705,56043.0,20130705,223.0,93.0,143.0,0.0,2.1242483,83.667
36,0.1,A,44.02181,-107.98442,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
37,1.0,B,44.0069,-107.9825,20150727,20150727,56043.0,20150727,248.0,62.0,155.0,0.0,2.3644502,77.333
38,0.1,A,44.03814,-107.92825,20150702,20150702,56043.0,20150702,192.0,82.0,126.0,25.0,2.6355739,101.667
39,2.0,B,44.02589,-107.87769,20120621,20120621,56043.0,20120621,179.0,11.0,102.0,76.0,2.0300071,86.0
40,0.1,A,43.98111,-107.39253,20150808,20150808,56043.0,20150808,200.0,79.0,131.0,0.0,0.8609588,76.667
41,0.1,A,44.02208,-107.98656,20150705,20150705,56043.0,20150705,161.0,77.0,111.0,102.0,1.2349088,101.667
42,0.55,B,44.08656,-107.9344,20100808,20100809,56043.0,20100809,210.0,73.0,128.0,0.0,2.7108877,76.667
43,0.4,B,44.4069,-109.355,20101019,20101020,56043.0,20101020,121.0,43.0,81.0,25.0,1.1768691999999998,56.333
44,2.3,B,44.03736,-107.68953,20120824,20120824,56043.0,20120824,213.0,63.0,136.0,0.0,3.2743359,58.333
45,0.1,A,44.02181,-107.98431,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
47,0.1,A,44.0231,-107.9922,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
48,0.3,B,44.03303,-107.92914,20130713,20130713,56043.0,20130713,222.0,78.0,140.0,0.0,2.0214865,80.0
49,0.1,A,44.024939,-107.987106,20130704,20130705,56043.0,20130704,246.0,109.0,165.0,0.0,1.0727998,83.667
50,0.2,A,44.02047,-107.98572,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
51,12.5,C,43.73889,-107.845555,20150727,20150728,56043.0,20150728,116.0,0.0,48.0,0.0,6.1668973,77.333
52,0.55,B,44.04697,-107.81589,20150726,20150727,56043.0,20150726,269.0,143.0,199.0,0.0,1.0738366,77.333
53,0.009090909090909,A,44.0228,-107.9867,20140704,20140714,56043.0,20140705,236.0,93.0,159.0,0.0,2.1612358,104.0
54,4.7,B,44.0502,-107.8959,20140425,20140425,56043.0,20140425,100.0,-32.0,29.0,0.0,1.8337163,108.667
55,0.4,B,44.4069,-109.355,20101019,20101020,56043.0,20101019,89.0,32.0,61.0,0.0,2.500008,56.333
56,1.7,B,43.85183,-108.18975,20101007,20101008,56043.0,20101008,103.0,17.0,63.0,0.0,1.8706635,56.333
57,0.9,B,43.93433,-108.05619,20150927,20150927,56043.0,20150927,173.0,53.0,98.0,0.0,1.1149552,59.667
58,0.05,A,44.02347,-107.984239,20130704,20130705,56043.0,20130705,223.0,93.0,143.0,0.0,2.1242483,83.667
59,0.6818181818181818,B,43.77136,-108.22169,20150905,20150915,56043.0,20150915,185.0,63.0,117.0,0.0,3.0855508,59.667
60,0.1,A,44.02181,-107.9844,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
61,0.1,A,44.0232,-107.9861,20140703,20140703,56043.0,20140703,255.0,109.0,178.0,76.0,2.073962,104.0
62,9.5,B,44.05308,-107.71339,20120603,20120603,56043.0,20120603,176.0,56.0,113.0,152.0,1.1006397,100.333
64,1.1,A,44.0219,-107.9853,20140704,20140704,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
65,0.6818181818181818,B,43.77136,-108.22169,20150905,20150915,56043.0,20150908,147.0,20.0,94.0,0.0,1.8277376,69.333
66,0.6818181818181818,B,43.77136,-108.22169,20150905,20150915,56043.0,20150909,175.0,75.0,125.0,0.0,2.9759450000000003,59.667
67,0.05,A,44.03394,-107.43986,20130706,20130707,56043.0,20130707,206.0,66.0,123.0,0.0,1.7535453999999997,83.667
68,7.5,B,44.0382,-107.928597,20140703,20140703,56043.0,20140703,255.0,109.0,178.0,76.0,2.073962,104.0
69,0.1,A,44.02356,-107.8755,20120829,20120829,56043.0,20120829,278.0,172.0,216.0,0.0,3.1441686,58.333
70,0.1,A,43.88472,-107.296,20120705,20120705,56043.0,20120705,199.0,74.0,132.0,51.0,0.53159434,72.0
71,0.2,A,44.0228,-107.9944,20120704,20120704,56043.0,20120704,231.0,87.0,161.0,0.0,0.47169387,72.0
72,44.0,C,44.07236,-107.80328,20150727,20150728,56043.0,20150728,116.0,0.0,48.0,0.0,6.1668973,77.333
73,0.2,A,44.0225,-107.9872,20140704,20140704,56043.0,20140704,242.0,127.0,181.0,25.0,1.4583848999999998,104.0
