,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.2,A,44.008,-104.06633,20100909,20100909,56045.0,20100909,238.0,70.0,144.0,0.0,3.74712,55.0
1,4.0,B,43.92777778,-104.6275,20120802,20120802,56045.0,20120802,256.0,86.0,163.0,0.0,1.1734543,54.0
2,1.0,B,43.6925,-104.0836,20100806,20100807,56045.0,20100807,251.0,101.0,181.0,0.0,1.7808503,60.0
3,0.6,B,43.76175,-104.05542,20100823,20100823,56045.0,20100823,154.0,31.0,101.0,25.0,4.9265895,5.0
5,1.0,B,43.6925,-104.0836,20100806,20100807,56045.0,20100806,260.0,106.0,179.0,0.0,2.9934773,60.0
7,15.6,C,43.6947222,-104.765833,20100806,20100806,56045.0,20100806,260.0,106.0,179.0,0.0,2.9934773,60.0
11,38.0,C,43.99666667,-104.86555556,20120731,20120731,56045.0,20120731,289.0,131.0,193.0,25.0,1.1180393999999998,56.8
13,44.2,C,43.8469444,-104.748056,20100827,20100827,56045.0,20100827,286.0,110.0,194.0,0.0,1.9358282,5.0
14,0.1,A,43.7728,-104.105203,20120724,20120724,56045.0,20120724,275.0,126.0,194.0,102.0,1.3152951000000002,56.8
15,0.5,B,43.78361111,-104.47555556,20120423,20120423,56045.0,20120423,213.0,17.0,120.0,0.0,3.0131116,76.25
16,0.5,B,43.8302,-104.0617,20120724,20120724,56045.0,20120724,275.0,126.0,194.0,102.0,1.3152951000000002,56.8
17,40.0,C,43.65361111,-104.98861111,20120917,20120917,56045.0,20120917,123.0,8.0,66.0,0.0,2.163933,38.8
19,0.6,B,44.12666667,-104.43277778,20120802,20120802,56045.0,20120802,256.0,86.0,163.0,0.0,1.1734543,54.0
22,0.25,A,43.695,-104.825278,20100811,20100811,56045.0,20100811,274.0,106.0,188.0,0.0,2.517936,60.0
23,0.1,A,43.75383,-104.07792,20100702,20100702,56045.0,20100702,259.0,128.0,194.0,0.0,5.047323,77.4
24,0.1,A,44.0913889,-104.548056,20100905,20100905,56045.0,20100905,232.0,69.0,146.0,0.0,1.1772026000000002,55.0
34,6.6,B,43.97361111,-104.34388889,20120608,20120608,56045.0,20120608,232.0,48.0,166.0,0.0,3.063996,81.8
35,11.9,C,43.80277778,-104.63027778,20120910,20120910,56045.0,20120910,274.0,83.0,173.0,0.0,3.3058863,38.8
36,0.1,A,43.64861111,-104.08194444,20120717,20120717,56045.0,20120717,262.0,109.0,161.0,25.0,1.2201653,54.4
39,1.0,B,44.0072222,-104.448333,20100913,20100913,56045.0,20100913,227.0,53.0,141.0,0.0,1.4665918,55.0
41,26.0,C,43.72527778,-104.68388889,20120621,20120621,56045.0,20120621,200.0,19.0,123.0,25.0,1.1926911,73.6
43,6.527777777777778,D,44.0727,-104.590103,20120904,20121009,56045.0,20120907,157.0,16.0,77.0,25.0,1.9168966,47.6
44,596.2718446601941,G,43.9148,-104.2844,20120629,20121009,56045.0,20120710,250.0,95.0,182.0,0.0,3.7974827000000007,54.4
45,6.527777777777778,D,44.0727,-104.590103,20120904,20121009,56045.0,20120921,177.0,24.0,98.0,0.0,4.5609736,38.8
46,596.2718446601941,G,43.9148,-104.2844,20120629,20121009,56045.0,20120908,216.0,38.0,115.0,0.0,1.0653186,38.8
