,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.46,B,37.02305556,-119.02722222,20131116,20131116,6019.0,20131116,206.0,72.0,128.0,0.0,2.21931,65.5
1,0.1,A,37.06805556,-119.23333333,20150702,20150702,6019.0,20150702,367.0,256.0,311.0,10.0,3.0759146,86.8
2,0.1,A,36.99805556,-118.99166667,20131016,20131016,6019.0,20131016,294.0,117.0,197.0,0.0,1.7392478999999998,53.5
3,0.1,A,37.41472222,-119.07805556,20150703,20150703,6019.0,20150703,389.0,222.0,301.0,0.0,3.4234486000000004,86.8
4,0.33,B,36.98861111,-119.12583333,20130610,20130610,6019.0,20130610,300.0,167.0,241.0,0.0,4.454868,98.714
5,0.05,A,37.30444444,-118.98305556,20140720,20140721,6019.0,20140720,378.0,228.0,301.0,0.0,3.481221,64.0
6,0.25,A,37.06416667,-119.16638889,20130814,20130814,6019.0,20130814,389.0,206.0,295.0,0.0,2.4824462000000005,64.0
7,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150815,378.0,194.0,278.0,0.0,1.7553490000000005,64.167
8,0.1,A,36.99777778,-119.11638889,20150722,20150722,6019.0,20150722,361.0,222.0,293.0,0.0,3.0427167,66.0
9,0.1,A,36.98861111,-118.81944444,20130820,20130820,6019.0,20130820,400.0,250.0,328.0,0.0,1.6531558999999998,53.0
10,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151106,189.0,61.0,118.0,0.0,3.668276,18.0
12,0.00625,A,37.4675,-119.10055556,20150731,20150815,6019.0,20150805,311.0,167.0,235.0,0.0,2.1037169,55.333
13,0.1,A,37.32916667,-119.17277778,20150703,20150703,6019.0,20150703,389.0,222.0,301.0,0.0,3.4234486000000004,86.8
14,0.1,A,36.9725,-119.16138889,20150722,20150722,6019.0,20150722,361.0,222.0,293.0,0.0,3.0427167,66.0
15,0.43,B,37.03722222,-119.14972222,20140813,20140813,6019.0,20140813,356.0,200.0,287.0,0.0,2.5969944,50.0
16,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150908,372.0,172.0,263.0,0.0,0.5852350000000001,48.0
18,11.666666666666666,C,37.08972222,-119.37555556,20150810,20150812,6019.0,20150811,344.0,178.0,260.0,0.0,1.845603,55.333
19,0.00625,A,37.4675,-119.10055556,20150731,20150815,6019.0,20150804,289.0,178.0,249.0,0.0,2.9943697,55.333
20,0.1,A,36.94833333,-118.96638889,20140713,20140713,6019.0,20140713,394.0,217.0,302.0,0.0,1.1112684,57.75
21,0.1,A,37.23416667,-119.06694444,20150606,20150606,6019.0,20150606,322.0,172.0,252.0,0.0,1.4396178999999998,109.8
23,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150827,389.0,217.0,302.0,0.0,1.7077031000000005,48.0
24,0.1,A,37.28333333,-119.00888889,20150606,20150606,6019.0,20150606,322.0,172.0,252.0,0.0,1.4396178999999998,109.8
25,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151030,244.0,111.0,168.0,0.0,2.5161974,18.0
26,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151011,328.0,178.0,254.0,0.0,1.3677078,48.75
27,0.1,A,37.37416667,-119.15194444,20150703,20150703,6019.0,20150703,389.0,222.0,301.0,0.0,3.4234486000000004,86.8
28,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150915,289.0,183.0,237.0,8.0,3.606418,62.0
29,0.00625,A,37.4675,-119.10055556,20150731,20150815,6019.0,20150811,344.0,178.0,260.0,0.0,1.845603,55.333
30,0.05,A,37.5225,-119.06222222,20140721,20140722,6019.0,20140722,361.0,211.0,283.0,0.0,2.2327752,64.0
31,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150907,350.0,156.0,247.0,0.0,1.8671502,48.0
32,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151019,244.0,133.0,187.0,0.0,1.4577379,18.0
33,0.0142857142857142,A,36.68388889,-118.73444444,20150702,20150708,6019.0,20150706,344.0,206.0,282.0,0.0,2.5932605,86.8
34,0.12,A,36.73166667,-118.86194444,20151020,20151020,6019.0,20151020,244.0,128.0,186.0,0.0,3.7447464,18.0
35,0.0869565217391304,B,37.23305556,-118.89972222,20140716,20140807,6019.0,20140807,372.0,228.0,297.0,0.0,1.0700478999999998,45.0
37,0.59,B,37.04333333,-119.0775,20131014,20131014,6019.0,20131014,267.0,117.0,182.0,0.0,2.690727,53.5
38,0.1,A,37.11388889,-118.91555556,20130723,20130723,6019.0,20130723,372.0,250.0,296.0,0.0,3.6740937000000007,65.5
39,0.0869565217391304,B,37.23305556,-118.89972222,20140716,20140807,6019.0,20140729,400.0,244.0,317.0,0.0,2.8895237000000003,45.0
40,0.3,B,37.05916667,-119.0125,20130721,20130721,6019.0,20130721,411.0,244.0,328.0,0.0,2.994568,65.5
41,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150901,356.0,189.0,271.0,0.0,2.611154,48.0
42,0.25,B,36.96361111,-119.18305556,20150722,20150723,6019.0,20150723,339.0,178.0,260.0,0.0,3.1664255,66.0
43,0.1,A,37.05527778,-118.97916667,20130720,20130720,6019.0,20130720,411.0,239.0,314.0,0.0,2.1107905,65.5
45,0.0166666666666666,A,36.71694444,-118.76694444,20150703,20150708,6019.0,20150704,400.0,233.0,315.0,0.0,2.1991475,86.8
46,0.2,A,37.03583333,-119.20222222,20150702,20150702,6019.0,20150702,367.0,256.0,311.0,10.0,3.0759146,86.8
47,0.1,A,37.08527778,-119.17916667,20140712,20140712,6019.0,20140712,367.0,189.0,269.0,0.0,1.5554456,57.75
48,0.35,A,37.17944444,-119.19694444,20130723,20130723,6019.0,20130723,372.0,250.0,296.0,0.0,3.6740937000000007,65.5
49,0.025,A,37.00027778,-118.90055556,20150816,20150817,6019.0,20150816,406.0,228.0,309.0,0.0,2.2373254,64.167
51,0.1,A,37.16638889,-119.12416667,20130903,20130903,6019.0,20130903,344.0,222.0,277.0,0.0,1.6502373,53.0
52,0.1,A,37.04972222,-119.19777778,20140921,20140921,6019.0,20140921,328.0,189.0,259.0,0.0,0.98737806,60.0
53,0.5,B,37.41444444,-119.0925,20130723,20130723,6019.0,20130723,372.0,250.0,296.0,0.0,3.6740937000000007,65.5
54,0.0333333333333333,A,37.29277778,-119.15111111,20150731,20150802,6019.0,20150802,372.0,206.0,289.0,0.0,3.169385,55.333
56,0.0142857142857142,A,36.68388889,-118.73444444,20150702,20150708,6019.0,20150703,389.0,222.0,301.0,0.0,3.4234486000000004,86.8
57,0.05,A,37.38361111,-119.06805556,20150630,20150701,6019.0,20150701,389.0,261.0,332.0,8.0,2.605403,86.8
58,0.1,A,37.31055556,-119.0325,20140720,20140720,6019.0,20140720,378.0,228.0,301.0,0.0,3.481221,64.0
59,0.1,A,37.15416667,-118.9425,20130911,20130911,6019.0,20130911,328.0,183.0,264.0,0.0,2.8988676,8.0
60,0.1,A,37.29972222,-119.30361111,20140414,20140414,6019.0,20140414,306.0,139.0,216.0,0.0,2.163637,128.857
61,0.0869565217391304,B,37.23305556,-118.89972222,20140716,20140807,6019.0,20140803,311.0,256.0,311.0,0.0,1.6077651000000002,45.0
62,1.0666666666666669,B,37.00138889,-119.13361111,20150702,20150704,6019.0,20150703,389.0,222.0,301.0,0.0,3.4234486000000004,86.8
63,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151015,306.0,200.0,252.0,41.0,0.6490376999999999,48.75
64,11.666666666666666,C,37.08972222,-119.37555556,20150810,20150812,6019.0,20150812,356.0,178.0,262.0,0.0,1.4230249,55.333
65,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150912,361.0,233.0,301.0,0.0,0.7267220999999999,62.0
66,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151017,272.0,183.0,236.0,0.0,0.62948394,48.75
67,0.05,A,36.90027778,-118.98333333,20150701,20150702,6019.0,20150701,389.0,261.0,332.0,8.0,2.605403,86.8
69,0.05,A,37.44611111,-119.10388889,20150721,20150722,6019.0,20150722,361.0,222.0,293.0,0.0,3.0427167,66.0
70,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150731,406.0,261.0,328.0,0.0,1.3601469,55.333
71,0.1,A,37.34611111,-119.24527778,20150802,20150802,6019.0,20150802,372.0,206.0,289.0,0.0,3.169385,55.333
72,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20150905,300.0,133.0,212.0,0.0,2.236068,48.0
73,0.0333333333333333,A,37.36361111,-118.96638889,20140614,20140616,6019.0,20140615,339.0,189.0,268.0,0.0,4.1099157,105.75
74,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151031,278.0,111.0,186.0,0.0,0.7458218000000001,18.0
75,0.05,A,37.5225,-119.06222222,20140721,20140722,6019.0,20140721,356.0,206.0,275.0,0.0,2.5418327,64.0
76,1531.5454545454545,G,36.87361111,-118.90472222,20150731,20151106,6019.0,20151008,322.0,189.0,247.0,0.0,1.4512926000000002,61.0
77,0.25,A,37.37555556,-119.25777778,20130723,20130723,6019.0,20130723,372.0,250.0,296.0,0.0,3.6740937000000007,65.5
78,0.05,A,37.26666667,-119.23361111,20150605,20150606,6019.0,20150605,311.0,144.0,226.0,0.0,0.20615527,109.8
