,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,39.440083,-122.010472,20140803,20140803,6021.0,20140803,356.0,183.0,284.0,0.0,4.457019,84.4
1,0.3,B,39.58222222,-122.74527778,20130610,20130610,6021.0,20130610,217.0,156.0,217.0,0.0,3.8457549,87.0
2,0.25,B,39.411407,-121.991208,20150716,20150717,6021.0,20150717,394.0,206.0,311.0,0.0,4.0707035000000005,79.5
4,0.2666666666666666,B,39.74833333,-122.92638889,20150708,20150710,6021.0,20150710,283.0,167.0,216.0,0.0,2.0917995,59.0
5,0.1,A,39.766168,-122.030422,20150420,20150420,6021.0,20150420,311.0,111.0,214.0,0.0,1.3606063999999998,111.0
6,0.2,A,39.4175,-121.993333,20140711,20140711,6021.0,20140711,356.0,211.0,280.0,3.0,1.8902212,64.5
7,0.5,B,39.41111111,-122.00777778,20130615,20130615,6021.0,20130615,339.0,128.0,244.0,0.0,6.0277944,87.0
8,0.1,A,39.439194,-122.010528,20140803,20140803,6021.0,20140803,356.0,183.0,284.0,0.0,4.457019,84.4
9,0.1,A,39.56416667,-122.68305556,20130610,20130610,6021.0,20130610,217.0,156.0,217.0,0.0,3.8457549,87.0
10,84.36666666666666,D,39.413431,-122.180744,20140917,20140919,6021.0,20140918,294.0,183.0,249.0,0.0,4.764547,54.5
11,0.2666666666666666,B,39.74833333,-122.92638889,20150708,20150710,6021.0,20150708,322.0,189.0,263.0,0.0,4.248014,85.0
13,1.1,B,39.53388889,-122.63305556,20130610,20130610,6021.0,20130610,217.0,156.0,217.0,0.0,3.8457549,87.0
14,0.25,B,39.411407,-121.991208,20150716,20150717,6021.0,20150716,406.0,211.0,306.0,0.0,6.0438495,79.5
15,10.3,C,39.46916667,-122.77555556,20130704,20130704,6021.0,20130704,444.0,289.0,365.0,0.0,8.439713000000001,77.0
16,3.5,B,39.55611111,-122.75972222,20150722,20150723,6021.0,20150722,333.0,200.0,281.0,0.0,4.715533,79.5
17,0.1,A,39.465,-121.99222222,20130315,20130315,6021.0,20130315,194.0,100.0,138.0,0.0,3.6319282,75.0
18,6.0,B,39.435,-122.65805556,20150417,20150417,6021.0,20150417,294.0,83.0,187.0,0.0,4.2274404,111.0
19,0.2666666666666666,B,39.74833333,-122.92638889,20150708,20150710,6021.0,20150709,256.0,189.0,225.0,8.0,3.4807506,59.0
20,84.36666666666666,D,39.413431,-122.180744,20140917,20140919,6021.0,20140919,383.0,161.0,248.0,0.0,2.693118,54.5
21,0.6,A,39.72111111,-122.83305556,20130703,20130703,6021.0,20130703,467.0,244.0,352.0,0.0,5.0809846,77.0
22,84.36666666666666,D,39.413431,-122.180744,20140917,20140919,6021.0,20140917,339.0,161.0,244.0,0.0,4.700101,54.5
23,3.5,B,39.55611111,-122.75972222,20150722,20150723,6021.0,20150723,306.0,150.0,241.0,0.0,4.7846107,79.5
24,0.5,B,39.46277778,-121.99277778,20130701,20130701,6021.0,20130701,439.0,233.0,332.0,0.0,4.879114599999999,77.0
25,3.5,B,39.41138889,-122.78305556,20130810,20130811,6021.0,20130810,322.0,156.0,233.0,0.0,2.553315,68.5
92,56.5,D,39.75,-122.68888889,20130612,20130615,6021.0,20130614,344.0,167.0,253.0,0.0,7.6925473,87.0
126,0.0833333333333333,A,39.66916667,-122.68472222,20131020,20131022,6021.0,20131020,328.0,78.0,183.0,0.0,2.5811863,54.5
133,56.5,D,39.75,-122.68888889,20130612,20130615,6021.0,20130613,311.0,172.0,240.0,0.0,9.315037,87.0
168,56.5,D,39.75,-122.68888889,20130612,20130615,6021.0,20130615,339.0,128.0,244.0,0.0,6.0277944,87.0
191,3.5,B,39.41138889,-122.78305556,20130810,20130811,6021.0,20130811,344.0,161.0,250.0,0.0,3.5163772000000004,61.5
201,56.5,D,39.75,-122.68888889,20130612,20130615,6021.0,20130612,322.0,156.0,246.0,0.0,8.989024,87.0
274,0.0833333333333333,A,39.66916667,-122.68472222,20131020,20131022,6021.0,20131021,294.0,94.0,191.0,0.0,2.517936,54.5
363,0.0833333333333333,A,39.66916667,-122.68472222,20131020,20131022,6021.0,20131022,300.0,78.0,179.0,0.0,1.5853413,54.5
