,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
107,0.3333333333333333,B,32.705,-114.978,20050305,20050307,6025.0,20050306,233.0,94.0,167.0,3.0,1.8195819,136.0
108,0.25,B,32.7659,-115.2705,20050119,20050120,6025.0,20050119,267.0,78.0,172.0,0.0,5.122269,111.5
110,0.25,B,32.7659,-115.2705,20050119,20050120,6025.0,20050120,244.0,94.0,172.0,0.0,2.7455423,111.5
112,0.05,A,33.9067,-115.6589,20040322,20040323,6025.0,20040322,356.0,172.0,267.0,0.0,0.5200043,100.5
113,0.1,A,32.7192,-114.9491,20040321,20040321,6025.0,20040321,378.0,144.0,261.0,0.0,2.76587,100.5
116,0.05,A,33.0359,-115.1297,20030504,20030505,6025.0,20030505,289.0,117.0,206.0,0.0,4.661410299999999,112.5
117,0.05,A,33.0359,-115.1297,20030504,20030505,6025.0,20030504,272.0,133.0,206.0,0.0,5.2196655,112.5
121,0.1,A,32.7125,-114.9169,20041231,20041231,6025.0,20041231,172.0,67.0,122.0,0.0,3.037276,101.5
126,0.1,A,33.1257,-114.764781,20040724,20040724,6025.0,20040724,411.0,267.0,339.0,0.0,1.722449,54.5
128,0.1,A,32.9498,-115.1672,20021228,20021228,6025.0,20021228,200.0,17.0,111.0,0.0,1.0100048,73.5
130,0.1,A,33.1603,-115.87,20050611,20050611,6025.0,20050611,361.0,211.0,289.0,0.0,4.416388,106.0
131,0.1,A,32.7575,-114.9686,20050220,20050220,6025.0,20050220,206.0,111.0,161.0,3.0,2.9024906,136.0
132,0.1,A,32.9487,-115.2383,20031026,20031026,6025.0,20031026,317.0,139.0,228.0,0.0,6.2024946,59.0
133,0.1,A,32.9714,-115.205,20021228,20021228,6025.0,20021228,200.0,17.0,111.0,0.0,1.0100048,73.5
135,0.3333333333333333,B,32.705,-114.978,20050305,20050307,6025.0,20050305,200.0,111.0,156.0,33.0,0.6000061,136.0
137,0.1,A,32.9931,-115.0844,20021201,20021201,6025.0,20021201,211.0,78.0,144.0,0.0,1.2080489,69.0
143,2.0,B,33.2831,-115.4933,20021120,20021120,6025.0,20021120,294.0,122.0,211.0,0.0,5.613235,59.5
145,7.5,C,33.1664,-115.4005,20050708,20050709,6025.0,20050709,428.0,233.0,333.0,0.0,3.2581282000000003,79.0
150,7.5,C,33.1664,-115.4005,20050708,20050709,6025.0,20050708,428.0,250.0,339.0,0.0,3.3596022000000003,79.0
153,0.1,A,32.629,-116.1486,20010520,20010520,6025.0,20010520,389.0,211.0,300.0,0.0,4.05278,147.5
156,5.0,C,33.0667,-115.2675,20030825,20030827,6025.0,20030825,394.0,278.0,339.0,0.0,2.9710810000000003,62.0
161,0.1,A,32.7142,-115.935,20050707,20050707,6025.0,20050707,417.0,194.0,306.0,0.0,2.382105,79.0
163,18.0,C,32.6306,-116.0892,20010717,20010717,6025.0,20010717,400.0,206.0,306.0,0.0,2.0278614,60.5
164,0.1,A,32.9834,-115.0675,20041126,20041126,6025.0,20041126,217.0,61.0,139.0,0.0,1.6196946,101.5
165,2.0,B,32.863581,-116.028561,20040611,20040611,6025.0,20040611,372.0,161.0,267.0,0.0,2.8017883,70.0
166,0.05,A,33.9067,-115.6589,20040322,20040323,6025.0,20040323,333.0,189.0,261.0,0.0,2.950065,100.5
167,0.1,A,32.9448,-115.1491,20021130,20021130,6025.0,20021130,211.0,94.0,156.0,0.0,1.154348,69.0
168,0.1,A,32.9331,-115.1339,20021231,20021231,6025.0,20021231,206.0,22.0,117.0,0.0,2.6208649,73.5
169,0.3333333333333333,B,32.705,-114.978,20050305,20050307,6025.0,20050307,267.0,89.0,178.0,0.0,1.8034711,136.0
177,0.1,A,32.7164,-114.9344,20031126,20031126,6025.0,20031126,206.0,61.0,133.0,0.0,2.1050880000000003,71.0
178,1.5,B,32.7048,-114.9577,20031127,20031128,6025.0,20031127,211.0,33.0,122.0,0.0,5.4392347,71.0
179,1.5,B,32.7048,-114.9577,20031127,20031128,6025.0,20031128,211.0,28.0,122.0,0.0,4.1961080000000015,71.0
180,0.1,A,32.9817,-115.0611,20040103,20040103,6025.0,20040103,183.0,33.0,111.0,0.0,4.866399,77.0
181,0.1,A,32.9978,-115.0777,20031128,20031128,6025.0,20031128,211.0,28.0,122.0,0.0,4.1961080000000015,71.0
183,0.1,A,32.9536,-115.8517,20050815,20050815,6025.0,20050815,411.0,289.0,350.0,0.0,0.8732177,66.5
186,0.05,A,32.9023,-115.1186,20040103,20040104,6025.0,20040103,183.0,33.0,111.0,0.0,4.866399,77.0
188,0.1,A,32.9978,-115.0839,20040102,20040102,6025.0,20040102,189.0,22.0,106.0,0.0,2.8676488,77.0
189,0.1,A,32.9706,-115.2522,20031130,20031130,6025.0,20031130,228.0,39.0,133.0,0.0,0.5503667,71.0
190,0.2,A,32.9664,-115.1711,20040214,20040214,6025.0,20040214,194.0,6.0,100.0,0.0,0.95858765,100.5
193,0.1,A,32.9334,-115.1341,20031231,20031231,6025.0,20031231,183.0,-6.0,89.0,0.0,1.5707861,77.0
197,2.0,B,33.125739,-114.801261,20040910,20040910,6025.0,20040910,411.0,283.0,350.0,0.0,2.1396563,57.5
202,5.0,C,33.0667,-115.2675,20030825,20030827,6025.0,20030826,389.0,283.0,339.0,0.0,2.6846704,62.0
207,5.0,C,33.0667,-115.2675,20030825,20030827,6025.0,20030827,383.0,267.0,328.0,251.0,1.6585854,62.0
209,1.0,B,33.125739,-114.801261,20040910,20040910,6025.0,20040910,411.0,283.0,350.0,0.0,2.1396563,57.5
211,2.0,B,33.125739,-114.801261,20040910,20040910,6025.0,20040910,411.0,283.0,350.0,0.0,2.1396563,57.5
212,0.1,A,32.9887,-115.0605,20021102,20021102,6025.0,20021102,278.0,106.0,194.0,0.0,1.654689,54.5
213,0.05,A,32.9023,-115.1186,20040103,20040104,6025.0,20040104,150.0,0.0,78.0,0.0,3.7124667,77.0
214,1.0,B,32.7164,-115.1839,20040131,20040131,6025.0,20040131,211.0,67.0,139.0,0.0,5.9591002,100.5
