,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,37.29388889,-118.13333333,20130904,20130904,6027.0,20130904,356.0,117.0,222.0,0.0,1.9206531,8.0
1,0.1,A,36.44388889,-118.18694444,20150702,20150702,6027.0,20150702,361.0,211.0,289.0,0.0,3.0759146,169.0
2,0.025,A,36.2375,-118.19638889,20150607,20150610,6027.0,20150608,344.0,111.0,235.0,0.0,1.0440307,158.25
6,0.5,B,36.23131,-117.98158,20130619,20130619,6027.0,20130619,317.0,139.0,233.0,0.0,4.032679,120.0
7,0.05,A,36.43583333,-118.135,20140721,20140722,6027.0,20140722,378.0,156.0,282.0,0.0,2.2327752,88.667
8,0.01,A,37.13555556,-118.4575,20141122,20141122,6027.0,20141122,194.0,-16.0,72.0,0.0,2.658007,89.8
9,0.1,A,36.57488,-118.04637,20130728,20130728,6027.0,20130728,322.0,133.0,228.0,3.0,3.073281,7.0
12,0.1,A,37.32722222,-118.58472222,20130910,20130910,6027.0,20130910,339.0,111.0,244.0,0.0,1.0781502,67.333
13,18.0,C,37.25119,-118.35736,20140820,20140820,6027.0,20140820,328.0,100.0,232.0,0.0,3.497774,85.667
15,0.1,A,37.167783,-118.311572,20140506,20140506,6027.0,20140506,150.0,50.0,125.0,0.0,4.5799975,10.0
16,0.05,A,36.29666667,-118.15861111,20140721,20140722,6027.0,20140722,378.0,156.0,282.0,0.0,2.2327752,88.667
18,0.1,A,36.3091,-117.6542,20130819,20130819,6027.0,20130819,339.0,122.0,222.0,0.0,1.6561377,123.5
19,0.5,B,36.3133,-118.0264,20140801,20140801,6027.0,20140801,383.0,156.0,264.0,0.0,0.9289319,47.6
20,0.1,A,36.77527778,-118.3225,20150910,20150910,6027.0,20150910,372.0,139.0,261.0,0.0,0.45276925,83.0
21,0.1,A,36.2008,-117.9792,20140926,20140926,6027.0,20140926,317.0,100.0,239.0,0.0,2.708002,119.5
22,0.1,A,36.84138889,-118.26222222,20150721,20150721,6027.0,20150721,344.0,167.0,239.0,0.0,3.4000921,11.0
23,1.0,B,37.1614,-118.2839,20130915,20130915,6027.0,20130915,350.0,122.0,247.0,0.0,1.7506971000000002,67.0
24,0.1,A,37.4125,-118.515403,20140912,20140912,6027.0,20140912,356.0,111.0,245.0,0.0,0.3201542999999999,98.5
25,0.0333333333333333,A,36.28277778,-118.24888889,20140721,20140723,6027.0,20140722,378.0,156.0,282.0,0.0,2.2327752,88.667
26,0.2,A,35.84086,-117.87736,20130526,20130526,6027.0,20130526,300.0,72.0,202.0,0.0,4.051237,101.333
27,0.025,A,36.2375,-118.19638889,20150607,20150610,6027.0,20150607,306.0,106.0,192.0,0.0,0.7566373000000001,158.25
28,0.05,A,36.07777778,-118.07527778,20140812,20140813,6027.0,20140812,350.0,128.0,224.0,0.0,1.7220025,120.5
29,0.025,A,36.2375,-118.19638889,20150607,20150610,6027.0,20150610,294.0,144.0,239.0,84.0,3.903924500000001,158.25
31,0.1,A,36.59023,-118.0668,20140520,20140520,6027.0,20140520,194.0,83.0,154.0,18.0,4.725176,142.5
35,0.01,A,36.52638889,-118.16305556,20140411,20140411,6027.0,20140411,283.0,78.0,194.0,0.0,2.2005653,75.333
36,0.1,A,36.3847,-118.0275,20130702,20130702,6027.0,20130702,406.0,222.0,314.0,0.0,2.2924492,6.667
37,0.05,A,36.5658,-118.1222,20140607,20140608,6027.0,20140607,367.0,133.0,263.0,0.0,2.1505814,155.75
41,0.1,A,36.6539,-118.0861,20150124,20150124,6027.0,20150124,206.0,-43.0,79.0,0.0,6.3384733,89.5
42,0.0333333333333333,A,36.28277778,-118.24888889,20140721,20140723,6027.0,20140723,400.0,111.0,267.0,0.0,2.3535993,88.667
43,0.1,A,36.27333333,-118.07083333,20150702,20150702,6027.0,20150702,361.0,211.0,289.0,0.0,3.0759146,169.0
44,0.05,A,37.19444444,-118.62944444,20150801,20150802,6027.0,20150801,389.0,150.0,267.0,5.0,2.147673,126.5
45,0.0333333333333333,A,36.28277778,-118.24888889,20140721,20140723,6027.0,20140721,356.0,128.0,248.0,0.0,2.5418327,88.667
46,0.025,A,36.2375,-118.19638889,20150607,20150610,6027.0,20150609,344.0,117.0,252.0,0.0,1.9474342,158.25
47,0.1,A,35.9983,-117.9383,20140308,20140308,6027.0,20140308,228.0,-10.0,104.0,0.0,3.1341367,75.333
48,0.1,A,37.1275,-118.42416667,20130704,20130704,6027.0,20130704,389.0,172.0,291.0,0.0,1.8760022,86.0
52,0.1,A,36.42138889,-118.14916667,20151010,20151010,6027.0,20151010,311.0,78.0,213.0,0.0,2.8933113,63.667
53,0.1,A,37.4131,-118.5181,20140321,20140321,6027.0,20140321,217.0,17.0,129.0,0.0,1.0012493,75.333
54,0.05,A,36.32333333,-118.39,20140721,20140722,6027.0,20140722,378.0,156.0,282.0,0.0,2.2327752,88.667
56,0.1,A,35.98531,-117.91897,20130616,20130616,6027.0,20130616,344.0,89.0,239.0,0.0,3.2262063,6.0
57,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150216,267.0,-27.0,114.0,0.0,1.627882,130.5
59,0.05,A,36.07777778,-118.07527778,20140812,20140813,6027.0,20140813,356.0,133.0,256.0,0.0,2.5969944,120.5
61,1.0,B,36.5065,-118.1017,20140523,20140523,6027.0,20140523,317.0,56.0,161.0,0.0,2.5927844,142.5
62,0.05,A,36.32333333,-118.39,20140721,20140722,6027.0,20140721,356.0,128.0,248.0,0.0,2.5418327,88.667
63,0.3,B,36.5266,-117.913497,20140422,20140422,6027.0,20140422,206.0,67.0,191.0,0.0,3.6073456,149.0
64,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150211,217.0,-21.0,82.0,0.0,4.491102,89.5
66,0.05,A,36.5658,-118.1222,20140607,20140608,6027.0,20140608,361.0,178.0,279.0,0.0,1.5811379,155.75
67,6.1,B,37.3164,-118.4208,20130818,20130818,6027.0,20130818,378.0,122.0,258.0,41.0,2.2192438,123.5
69,0.1,A,36.22944444,-118.10611111,20151010,20151010,6027.0,20151010,311.0,78.0,213.0,0.0,2.8933113,63.667
70,0.05,A,36.64833333,-118.24055556,20140921,20140922,6027.0,20140922,322.0,100.0,212.0,0.0,0.34482056,98.5
71,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150208,178.0,0.0,78.0,0.0,1.162164,89.5
72,0.25,A,37.28638889,-118.60944444,20131027,20131027,6027.0,20131027,244.0,6.0,125.0,0.0,2.3584947999999994,80.0
73,0.05,A,37.19444444,-118.62944444,20150801,20150802,6027.0,20150802,356.0,133.0,231.0,0.0,3.169385,126.5
74,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150209,211.0,56.0,144.0,0.0,2.370654,89.5
75,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150207,183.0,33.0,147.0,33.0,3.3448656000000003,89.5
76,1.55,B,36.90638889,-118.32694444,20140314,20140315,6027.0,20140315,244.0,61.0,149.0,0.0,2.279226,75.333
77,0.1,A,36.10333333,-118.03444444,20150702,20150702,6027.0,20150702,361.0,211.0,289.0,0.0,3.0759146,169.0
78,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150214,244.0,6.0,119.0,0.0,0.5129570999999999,89.5
80,1.55,B,36.90638889,-118.32694444,20140314,20140315,6027.0,20140314,244.0,-38.0,101.0,0.0,1.2999972,75.333
81,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150213,256.0,0.0,111.0,0.0,1.5054069,89.5
82,0.05,A,36.29666667,-118.15861111,20140721,20140722,6027.0,20140721,356.0,128.0,248.0,0.0,2.5418327,88.667
83,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150215,244.0,17.0,128.0,0.0,3.252403,130.5
84,0.1,A,35.8025,-117.8761,20140616,20140616,6027.0,20140616,317.0,100.0,222.0,0.0,4.786586799999999,6.667
85,0.05,A,36.64833333,-118.24055556,20140921,20140922,6027.0,20140921,294.0,117.0,212.0,0.0,0.98737806,98.5
86,0.1,A,36.36,-118.16277778,20140720,20140720,6027.0,20140720,317.0,161.0,263.0,3.0,3.481221,88.667
87,0.1,A,36.62,-118.1394,20130630,20130630,6027.0,20130630,428.0,161.0,312.0,0.0,1.7745143,6.667
90,0.1,A,37.25361111,-118.42444444,20140720,20140720,6027.0,20140720,317.0,161.0,263.0,3.0,3.481221,88.667
91,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150212,222.0,-21.0,94.0,0.0,2.3881216,89.5
92,1.0,B,36.5583,-118.0942,20141025,20141025,6027.0,20141025,278.0,39.0,216.0,0.0,3.5066009,89.8
94,0.2,A,37.28055556,-118.15,20140720,20140720,6027.0,20140720,317.0,161.0,263.0,3.0,3.481221,88.667
95,0.1,A,37.4308,-118.4225,20140603,20140603,6027.0,20140603,333.0,56.0,221.0,0.0,2.4375777000000003,6.667
96,0.1,A,37.21083333,-118.3825,20140720,20140720,6027.0,20140720,317.0,161.0,263.0,3.0,3.481221,88.667
99,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150210,194.0,11.0,107.0,0.0,3.3286633,89.5
100,593.9090909090909,G,37.4536,-118.5842,20150206,20150216,6027.0,20150206,267.0,11.0,131.0,0.0,2.9004312000000003,89.5
101,0.1,A,37.32916667,-118.55333333,20140816,20140816,6027.0,20140816,372.0,111.0,257.0,0.0,1.6909839,85.667
