,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,1680.0,F,35.64222222,-118.14833333,20140711,20140711,6029.0,20140711,350.0,217.0,284.0,0.0,2.6699982,60.667
1,0.5,B,35.38777778,-118.30333333,20130928,20130928,6029.0,20130928,289.0,128.0,198.0,0.0,1.0111865,53.667
2,0.05,A,34.89333333,-119.22666667,20150910,20150911,6029.0,20150911,383.0,256.0,322.0,0.0,1.6985289,56.0
5,0.1,A,35.78138889,-118.44861111,20140529,20140529,6029.0,20140529,300.0,150.0,229.0,0.0,2.2804391,97.087
6,0.25,A,34.8275,-119.04388889,20140814,20140814,6029.0,20140814,367.0,206.0,286.0,0.0,1.7112556,61.0
7,0.1,A,35.48277778,-118.71138889,20130724,20130724,6029.0,20130724,378.0,233.0,304.0,0.0,2.933392,46.333
9,1.6,B,35.43472222,-118.40027778,20151016,20151016,6029.0,20151016,306.0,178.0,219.0,0.0,0.8620469999999999,63.0
12,0.025,A,35.41,-118.34722222,20150424,20150425,6029.0,20150424,244.0,133.0,194.0,0.0,3.520032,78.667
13,0.1,A,35.37277778,-118.37972222,20130926,20130926,6029.0,20130926,233.0,117.0,174.0,0.0,3.5092642,53.667
16,0.1,A,35.45944444,-118.59805556,20131020,20131020,6029.0,20131020,283.0,111.0,198.0,0.0,1.2529913,45.0
17,0.1,A,35.72277778,-118.335,20130726,20130726,6029.0,20130726,367.0,244.0,307.0,0.0,2.7297077,46.333
19,0.25,A,35.52888889,-118.42388889,20150613,20150613,6029.0,20150613,406.0,244.0,317.0,0.0,3.4514487000000003,65.667
29,0.1,A,34.82805556,-119.19916667,20150912,20150912,6029.0,20150912,383.0,239.0,324.0,0.0,2.0700243,56.0
32,5.0,B,35.44333333,-118.65388889,20130819,20130819,6029.0,20130819,422.0,256.0,324.0,0.0,0.58309674,48.333
33,0.05,A,34.86833333,-119.15194444,20150730,20150731,6029.0,20150730,372.0,267.0,337.0,0.0,1.8537124,61.0
35,0.1,A,35.64138889,-118.59361111,20130629,20130629,6029.0,20130629,411.0,261.0,338.0,0.0,2.6391149,49.0
36,0.1,A,35.59138889,-118.52916667,20130623,20130623,6029.0,20130623,311.0,178.0,268.0,0.0,3.3501406000000005,53.0
37,0.1,A,35.2303,-118.0664,20130329,20130329,6029.0,20130329,233.0,106.0,154.0,0.0,0.88600814,62.333
38,0.005,A,34.84111111,-118.9175,20141027,20141028,6029.0,20141027,217.0,94.0,159.0,0.0,1.5662456,67.391
40,0.1,A,35.68333333,-118.43333333,20150627,20150627,6029.0,20150627,383.0,239.0,323.0,0.0,3.2882366000000003,62.333
