,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,34.29527778,-118.35611111,20140416,20140416,6037.0,20140416,194.0,144.0,158.0,0.0,5.331046,123.333
1,330.0,F,34.165,-117.84777778,20140116,20140121,6037.0,20140120,256.0,94.0,159.0,0.0,1.6043026000000002,61.8
2,0.1,A,34.38583333,-117.71333333,20131003,20131003,6037.0,20131003,211.0,172.0,186.0,0.0,5.851603,55.059
3,0.1,A,34.59972222,-118.71083333,20140607,20140607,6037.0,20140607,228.0,167.0,187.0,0.0,6.7670174,70.0
4,0.1,A,34.16777778,-117.8475,20131017,20131017,6037.0,20131017,272.0,156.0,212.0,0.0,2.7580385,55.647
5,0.1,A,34.70444444,-118.79472222,20140314,20140314,6037.0,20140314,189.0,117.0,157.0,0.0,4.6735945,74.889
6,0.1,A,34.6175,-118.71555556,20130701,20130701,6037.0,20130701,272.0,189.0,224.0,0.0,1.5096024,52.111
7,0.1,A,34.36,-117.68722222,20131003,20131003,6037.0,20131003,211.0,172.0,186.0,0.0,5.851603,55.059
8,0.1,A,34.48333333,-118.375,20130228,20130228,6037.0,20130228,200.0,133.0,161.0,0.0,2.0167580000000003,143.267
9,0.05,A,34.20388889,-117.86611111,20140607,20140608,6037.0,20140607,228.0,167.0,187.0,0.0,6.7670174,70.0
10,0.1,A,34.61111111,-118.71166667,20140608,20140608,6037.0,20140608,256.0,161.0,196.0,0.0,4.503598,76.786
11,0.025,A,34.38944444,-117.82111111,20150730,20150802,6037.0,20150802,283.0,206.0,234.0,0.0,3.9932756,71.333
13,0.1,A,34.55472222,-118.51944444,20140809,20140809,6037.0,20140809,278.0,194.0,220.0,0.0,2.311474,58.133
14,0.1,A,34.38888889,-118.1125,20130302,20130302,6037.0,20130302,217.0,133.0,161.0,0.0,1.5402901000000002,123.267
