,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
198,0.5,B,37.3812,-119.661281,20040423,20040423,6039.0,20040423,278.0,83.0,183.0,0.0,1.4983215,117.0
202,6.0,B,37.133889,-119.68645,20000701,20000701,6039.0,20000701,333.0,122.0,228.0,0.0,2.838106,126.0
211,0.1,A,37.308219,-119.626219,20020914,20020914,6039.0,20020914,367.0,128.0,250.0,0.0,0.6815448000000001,91.0
220,0.1,A,37.047131,-119.631669,20050904,20050904,6039.0,20050904,394.0,189.0,294.0,0.0,1.6070213,97.0
225,1.0,B,37.352239,-119.734689,20040421,20040421,6039.0,20040421,250.0,100.0,178.0,0.0,3.0045588,117.0
226,15.0,C,37.133889,-119.68645,19990520,19990520,6039.0,19990520,250.0,94.0,172.0,0.0,3.3720238,97.5
262,1.0,B,37.3812,-119.67945,20010925,20010925,6039.0,20010925,278.0,128.0,206.0,5.0,2.1900938,87.0
265,1.0,B,37.2648,-119.717369,20020924,20020924,6039.0,20020924,383.0,139.0,261.0,0.0,0.73409766,65.0
269,0.1,A,37.322831,-119.662289,20020925,20020925,6039.0,20020925,367.0,167.0,267.0,0.0,0.859592,86.0
282,0.5,B,37.322831,-119.662289,20010612,20010612,6039.0,20010612,306.0,111.0,211.0,0.0,3.6597834,96.0
298,0.1,A,37.191831,-120.006819,20040403,20040403,6039.0,20040403,267.0,67.0,167.0,0.0,1.840898,122.25
304,0.1,A,37.032561,-119.667311,20010527,20010527,6039.0,20010527,306.0,128.0,217.0,0.0,2.2631853,136.0
309,0.1,A,37.2941,-119.717239,20050830,20050830,6039.0,20050830,383.0,183.0,283.0,0.0,1.2070154,97.0
314,0.1,A,37.337681,-119.734831,20020929,20020929,6039.0,20020929,256.0,89.0,172.0,0.0,2.6800172000000004,86.0
332,4.0,B,37.264789,-119.699419,19990628,19990628,6039.0,19990628,378.0,156.0,267.0,0.0,2.305871,92.5
335,1.0,B,37.308219,-119.626219,20050907,20050907,6039.0,20050907,394.0,189.0,294.0,0.0,1.0688803,71.0
368,1.0,B,37.104719,-119.560131,20040620,20040620,6039.0,20040620,328.0,128.0,228.0,0.0,3.4216053,94.0
398,0.1,A,37.3229,-119.680331,20000711,20000711,6039.0,20000711,361.0,150.0,256.0,0.0,2.2699122000000003,111.0
401,0.1,A,37.191831,-120.006819,20040620,20040620,6039.0,20040620,328.0,128.0,228.0,0.0,3.4216053,94.0
403,1.0,B,37.191831,-120.006819,20040725,20040725,6039.0,20040725,389.0,156.0,272.0,0.0,2.3036745,63.0
425,0.1,A,37.279469,-119.698789,20020823,20020823,6039.0,20020823,300.0,128.0,217.0,0.0,2.923848,68.5
435,3.0,B,37.192481,-119.681061,20050628,20050628,6039.0,20050628,306.0,128.0,217.0,0.0,2.309825,126.0
455,0.1,A,37.43361111,-119.46888889,20011023,20011023,6039.0,20011023,256.0,83.0,172.0,0.0,3.0200233,87.0
456,0.1,A,37.352239,-119.734689,20011022,20011022,6039.0,20011022,244.0,56.0,150.0,0.0,1.7987726000000002,87.0
463,0.1,A,37.206711,-119.699339,20010909,20010909,6039.0,20010909,306.0,122.0,217.0,0.0,0.587964,88.0
469,0.1,A,37.308031,-119.608711,19980901,19980901,6039.0,19980901,417.0,206.0,311.0,0.0,0.5515424,80.5
483,0.05,A,37.032561,-119.667311,19980808,19980809,6039.0,19980809,417.0,206.0,311.0,0.0,0.8988874,119.0
494,0.5,B,37.047069,-119.649119,20020908,20020908,6039.0,20020908,294.0,89.0,194.0,0.0,1.5754703,91.0
535,0.5,B,37.191961,-119.626619,20000706,20000706,6039.0,20000706,306.0,122.0,217.0,0.0,2.710643,92.0
537,0.1,A,37.206711,-119.699339,20020815,20020815,6039.0,20020815,389.0,156.0,272.0,0.0,2.678601,96.0
560,0.5,B,37.221119,-119.645289,19990621,19990621,6039.0,19990621,339.0,178.0,261.0,0.0,2.1068757,130.0
562,8.0,B,37.133961,-119.920511,20050602,20050602,6039.0,20050602,306.0,106.0,206.0,0.0,3.5714612,129.5
563,0.1,A,37.264789,-119.699419,19990523,19990523,6039.0,19990523,289.0,133.0,211.0,0.0,3.2715333,97.5
580,0.1,A,37.322831,-119.662289,20031021,20031021,6039.0,20031021,333.0,122.0,228.0,0.0,1.0770307,59.75
584,2.0,B,37.11905,-119.776581,20000709,20000709,6039.0,20000709,339.0,139.0,239.0,0.0,1.7904797,111.0
590,1.0,B,37.191831,-120.006819,19980830,19980830,6039.0,19980830,417.0,206.0,311.0,0.0,1.2643579,80.5
596,0.05,A,37.032561,-119.667311,19980808,19980809,6039.0,19980808,417.0,206.0,311.0,0.0,1.5498708,91.5
597,0.1,A,37.2648,-119.717369,20030531,20030531,6039.0,20030531,339.0,111.0,228.0,0.0,2.1810298,123.0
599,0.1,A,37.3812,-119.67945,20040508,20040508,6039.0,20040508,261.0,133.0,200.0,0.0,2.704146,104.75
612,0.1,A,37.3812,-119.661281,20020827,20020827,6039.0,20020827,350.0,156.0,256.0,0.0,1.1597365,68.5
622,0.1,A,37.133919,-119.902419,20050603,20050603,6039.0,20050603,322.0,128.0,228.0,0.0,2.7144852000000004,129.5
647,0.1,A,37.322831,-119.662289,20020610,20020610,6039.0,20020610,322.0,100.0,211.0,0.0,1.9694601000000005,103.5
668,91.66666666666669,E,37.1778,-119.685819,20050725,20050730,6039.0,20050726,394.0,161.0,278.0,0.0,0.5000091,107.0
690,0.1,A,37.2648,-119.717369,20040709,20040709,6039.0,20040709,306.0,150.0,228.0,0.0,2.0248466,69.75
715,0.1,A,37.308219,-119.626219,20020603,20020603,6039.0,20020603,306.0,106.0,206.0,0.0,2.9375150000000003,107.667
726,0.1,A,37.206839,-119.681531,20030713,20030713,6039.0,20030713,356.0,150.0,256.0,0.0,2.9060168,88.25
736,0.1,A,37.308219,-119.626219,20030713,20030713,6039.0,20030713,356.0,150.0,256.0,0.0,2.9060168,88.25
768,91.66666666666669,E,37.1778,-119.685819,20050725,20050730,6039.0,20050725,383.0,167.0,278.0,0.0,2.1015255,105.5
790,91.66666666666669,E,37.1778,-119.685819,20050725,20050730,6039.0,20050729,378.0,183.0,283.0,0.0,1.4722183,107.0
797,1.0,B,37.047069,-119.649119,20030823,20030823,6039.0,20030823,333.0,156.0,244.0,0.0,0.75026673,71.5
810,0.1,A,37.308219,-119.626219,20010624,20010624,6039.0,20010624,328.0,150.0,239.0,0.0,2.2510889,123.0
830,0.05,A,37.308219,-119.626219,20000810,20000811,6039.0,20000811,356.0,128.0,244.0,0.0,1.4167567,73.5
842,0.05,A,37.308219,-119.626219,20000810,20000811,6039.0,20000810,333.0,139.0,239.0,0.0,2.4318705,73.5
847,0.3,B,37.264789,-119.699419,19981018,19981018,6039.0,19981018,250.0,44.0,150.0,0.0,2.1683068,75.5
854,91.66666666666669,E,37.1778,-119.685819,20050725,20050730,6039.0,20050730,383.0,183.0,283.0,0.0,1.8668215,107.0
855,0.1,A,37.381439,-119.752831,19991110,19991110,6039.0,19991110,200.0,56.0,128.0,0.0,1.188099,57.0
868,5.0,B,37.047111,-119.614481,20030814,20030814,6039.0,20030814,361.0,156.0,261.0,0.0,2.306705,71.5
876,91.66666666666669,E,37.1778,-119.685819,20050725,20050730,6039.0,20050727,389.0,183.0,289.0,0.0,1.4577447,107.0
893,0.1,A,37.177461,-119.631939,20030825,20030825,6039.0,20030825,389.0,167.0,278.0,0.0,1.5845519,71.5
918,0.1,A,37.279469,-119.698789,20050826,20050826,6039.0,20050826,394.0,189.0,294.0,0.0,1.2539941,97.0
922,0.1,A,37.322831,-119.662289,20001012,20001012,6039.0,20001012,189.0,100.0,144.0,0.0,0.8002530999999999,97.0
926,0.5,B,37.352239,-119.734689,20020701,20020701,6039.0,20020701,394.0,194.0,294.0,0.0,1.5241083,103.667
929,0.1,A,37.119211,-119.758369,20030802,20030802,6039.0,20030802,322.0,200.0,261.0,0.0,2.3759255,109.0
