,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,133.88888888888889,F,37.93,-118.98,20100726,20100803,6051.0,20100728,216.0,103.0,158.0,0.0,1.9906083,157.0
1,46.53164556962025,F,37.87805556,-119.15916667,20150814,20151031,6051.0,20150909,210.0,94.0,143.0,0.0,0.26925823,83.0
2,0.01,A,37.79888889,-119.07444444,20140611,20140611,6051.0,20140611,185.0,89.0,131.0,0.0,3.6744094,108.8
3,0.0178571428571428,A,37.53583333,-118.69361111,20151120,20151203,6051.0,20151127,-69.0,-148.0,-124.0,0.0,3.7303653,122.5
4,0.1,A,37.63305556,-118.8775,20140611,20140611,6051.0,20140611,185.0,89.0,131.0,0.0,3.6744094,108.8
5,2.1538461538461537,C,38.1572,-119.219703,20150912,20150924,6051.0,20150914,195.0,82.0,127.0,25.0,3.3900592000000005,97.5
6,0.1,A,37.56277778,-118.67083333,20150426,20150426,6051.0,20150426,54.0,-61.0,-1.0,76.0,4.1494727,109.0
7,0.1,A,37.53444444,-118.59805556,20150401,20150401,6051.0,20150401,100.0,-75.0,15.0,0.0,1.3428049,141.0
8,0.1,A,38.37333333,-119.47333333,20140721,20140721,6051.0,20140721,173.0,66.0,117.0,0.0,2.5418327,88.667
9,63.625,E,38.2153,-119.2333,20150206,20150213,6051.0,20150208,91.0,-4.0,44.0,406.0,1.162164,89.5
10,0.1,A,37.7208333,-118.879722,20100726,20100726,6051.0,20100726,242.0,75.0,153.0,0.0,2.4606597000000003,157.0
11,5.0,C,38.34138889,-119.48916667,20140721,20140722,6051.0,20140722,168.0,80.0,122.0,0.0,2.2327752,88.667
12,133.88888888888889,F,37.93,-118.98,20100726,20100803,6051.0,20100730,217.0,119.0,164.0,25.0,1.9581618000000005,157.0
13,133.88888888888889,F,37.93,-118.98,20100726,20100803,6051.0,20100802,210.0,88.0,139.0,0.0,2.506976,4.0
14,0.3,B,37.83333333,-119.15,20121001,20121001,6051.0,20121001,262.0,34.0,135.0,0.0,1.9756727,6.667
15,63.625,E,38.2153,-119.2333,20150206,20150213,6051.0,20150206,75.0,-17.0,25.0,127.0,2.9004312000000003,89.5
16,7.909090909090909,C,38.36694444,-119.34611111,20140717,20140727,6051.0,20140720,172.0,81.0,115.0,51.0,3.481221,88.667
17,0.2,A,38.1567,-118.8008,20150801,20150801,6051.0,20150801,259.0,82.0,150.0,0.0,2.147673,126.5
