,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.01,A,36.06111111,-121.59027778,20130512,20130512,6053.0,20130512,244.0,106.0,149.0,0.0,5.3626266,59.9289999999999
4,0.25,A,36.02416667,-121.55277778,20140816,20140816,6053.0,20140816,228.0,139.0,173.0,0.0,2.5283434,42.5
5,1.0333333333333334,B,35.91472222,-121.43944444,20150613,20150615,6053.0,20150615,183.0,122.0,146.0,0.0,5.888814,54.273
6,0.01,A,36.26861111,-121.80888889,20140322,20140322,6053.0,20140322,172.0,94.0,119.0,0.0,2.9851146,52.571
7,0.1866666666666666,B,36.01027778,-121.43472222,20150820,20150822,6053.0,20150822,228.0,161.0,182.0,0.0,4.7636642,38.75
8,0.1866666666666666,B,36.01027778,-121.43472222,20150820,20150822,6053.0,20150820,233.0,172.0,196.0,0.0,3.0742884,38.75
9,206.0,D,35.9716,-121.2663,20140623,20140623,6053.0,20140623,189.0,122.0,143.0,0.0,6.4224157,51.667
13,0.005,A,36.20444444,-121.73055556,20150705,20150706,6053.0,20150705,222.0,156.0,180.0,0.0,2.6260712,39.5
14,0.01,A,36.23861111,-121.71416667,20150822,20150824,6053.0,20150822,228.0,161.0,182.0,0.0,4.7636642,38.75
16,0.52,B,36.25222222,-121.78888889,20140530,20140530,6053.0,20140530,178.0,106.0,139.0,0.0,2.5914125,77.333
17,0.01,A,36.23861111,-121.71416667,20150822,20150824,6053.0,20150823,228.0,156.0,180.0,0.0,1.6486737,38.75
18,0.1,A,36.24722222,-121.78027778,20140904,20140904,6053.0,20140904,211.0,156.0,175.0,0.0,3.8393884,37.5
19,0.25,A,35.82527778,-121.38111111,20150327,20150327,6053.0,20150327,200.0,106.0,149.0,0.0,4.79544,84.167
20,0.01,A,36.21805556,-121.76055556,20140922,20140922,6053.0,20140922,244.0,161.0,188.0,0.0,4.8825054,20.333
21,1.0333333333333334,B,35.91472222,-121.43944444,20150613,20150615,6053.0,20150613,200.0,139.0,160.0,0.0,4.30356,85.333
23,0.005,A,36.08694444,-121.61777778,20150704,20150705,6053.0,20150704,222.0,144.0,172.0,0.0,3.755829,39.5
24,0.25,A,36.12916667,-121.61972222,20150206,20150206,6053.0,20150206,211.0,106.0,155.0,51.0,9.573956,46.25
25,500.0,E,35.9646,-121.2787,20140630,20140630,6053.0,20140630,211.0,117.0,164.0,0.0,5.6803493,68.167
27,0.1333333333333333,B,36.22,-121.7525,20150630,20150702,6053.0,20150701,250.0,122.0,169.0,0.0,2.8010042,39.5
28,700.0,E,35.9707,-121.2691,20150611,20150611,6053.0,20150611,228.0,133.0,167.0,0.0,2.881189,4625.5
31,0.2,A,36.6739,-121.6164,20140612,20140612,6053.0,20140612,189.0,128.0,150.0,5.0,3.1484003,69.5
33,0.01,A,36.01194444,-121.45027778,20140803,20140803,6053.0,20140803,211.0,150.0,168.0,0.0,3.9541044,44.5
34,0.1,A,36.1725,-121.69166667,20130907,20130907,6053.0,20130907,289.0,144.0,201.0,0.0,1.2220082,40.5
35,0.1333333333333333,B,36.22,-121.7525,20150630,20150702,6053.0,20150630,239.0,133.0,178.0,0.0,1.992486,39.5
36,0.005,A,36.20555556,-121.73444444,20150331,20150401,6053.0,20150331,200.0,106.0,151.0,0.0,4.571925,87.417
37,0.1,A,35.8875,-121.45861111,20150807,20150807,6053.0,20150807,228.0,161.0,183.0,0.0,2.1644862,41.5
39,0.1,A,36.07638889,-121.60666667,20130401,20130401,6053.0,20130401,178.0,117.0,152.0,18.0,2.2079237000000003,70.071
40,0.005,A,36.20444444,-121.73055556,20150705,20150706,6053.0,20150706,228.0,150.0,180.0,0.0,3.6449451,39.5
41,0.005,A,36.08694444,-121.61777778,20150704,20150705,6053.0,20150705,222.0,156.0,180.0,0.0,2.6260712,39.5
42,0.01,A,36.23861111,-121.71416667,20150822,20150824,6053.0,20150824,233.0,139.0,183.0,0.0,5.477796,38.75
44,0.01,A,36.20083333,-121.725,20151026,20151026,6053.0,20151026,261.0,94.0,168.0,0.0,1.1876973,34.5
45,28.0,C,36.570633,-121.749533,20150920,20150921,6053.0,20150921,317.0,156.0,223.0,0.0,2.8584306,37.9
46,0.005,A,36.20555556,-121.73444444,20150331,20150401,6053.0,20150401,194.0,89.0,141.0,0.0,10.443928,45.25
47,28.0,C,36.570633,-121.749533,20150920,20150921,6053.0,20150920,350.0,156.0,231.0,0.0,0.625,37.9
48,0.1866666666666666,B,36.01027778,-121.43472222,20150820,20150822,6053.0,20150821,217.0,167.0,183.0,0.0,5.011237599999999,38.75
49,0.1333333333333333,B,36.22,-121.7525,20150630,20150702,6053.0,20150702,239.0,133.0,171.0,0.0,3.6689577,39.5
51,0.01,A,36.24138889,-121.77777778,20150704,20150704,6053.0,20150704,222.0,144.0,172.0,0.0,3.755829,39.5
52,1.0333333333333334,B,35.91472222,-121.43944444,20150613,20150615,6053.0,20150614,194.0,122.0,158.0,0.0,2.9470322,65.714
89,0.5,B,36.21833333,-121.75138889,20130906,20130907,6053.0,20130906,294.0,117.0,193.0,0.0,5.944149,40.5
91,0.5,B,36.21833333,-121.75138889,20130906,20130907,6053.0,20130907,289.0,144.0,201.0,0.0,1.2220082,40.5
139,71.0,D,36.24305556,-121.56638889,20130717,20130719,6053.0,20130717,217.0,133.0,170.0,0.0,2.7657413,61.667
159,71.0,D,36.24305556,-121.56638889,20130717,20130719,6053.0,20130718,206.0,122.0,154.0,0.0,3.2442324,48.0
