,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
4,0.01,A,39.03416667,-120.44972222,20150605,20150605,6061.0,20150605,137.0,43.0,84.0,0.0,2.3400054,132.5
29,0.1,A,39.30277778,-120.1825,20150619,20150619,6061.0,20150619,254.0,119.0,180.0,0.0,2.5142095,132.5
37,0.1,A,39.17638889,-120.58638889,20150605,20150605,6061.0,20150605,137.0,43.0,84.0,0.0,2.3400054,132.5
38,0.325,A,39.25527778,-120.19972222,20150627,20150627,6061.0,20150627,300.0,142.0,208.0,0.0,2.7277508,132.5
39,0.125,A,39.25972222,-120.00805556,20150627,20150628,6061.0,20150628,233.0,92.0,161.0,0.0,2.15,132.5
48,0.05,A,39.20722222,-120.18555556,20150709,20150710,6061.0,20150709,111.0,53.0,80.0,152.0,3.4807506,132.5
66,0.05,A,39.20722222,-120.18555556,20150709,20150710,6061.0,20150710,183.0,55.0,111.0,0.0,2.4581497000000003,132.5
93,0.1,A,39.09944444,-120.78111111,20150706,20150706,6061.0,20150706,241.0,81.0,157.0,0.0,3.2284863,132.5
110,0.1,A,39.1325,-120.80555556,20150703,20150703,6061.0,20150703,262.0,134.0,194.0,0.0,3.592353,132.5
129,0.1,A,39.13138889,-120.79888889,20150607,20150607,6061.0,20150607,166.0,82.0,128.0,0.0,1.7408689999999998,132.5
135,0.1,A,39.17833333,-120.64083333,20150501,20150501,6061.0,20150501,193.0,43.0,116.0,0.0,0.4451123,98.0
173,0.1,A,39.22722222,-120.18888889,20150404,20150404,6061.0,20150404,95.0,-17.0,35.0,0.0,2.2484717,98.0
184,0.1,B,39.26638889,-120.385,20150420,20150424,6061.0,20150424,15.0,-21.0,0.0,127.0,3.6828148,98.0
185,0.1,B,39.26638889,-120.385,20150420,20150424,6061.0,20150423,160.0,12.0,75.0,102.0,2.7799506000000003,98.0
186,0.1,B,39.26638889,-120.385,20150420,20150424,6061.0,20150422,138.0,28.0,69.0,25.0,3.2742364,98.0
190,0.1,B,39.26638889,-120.385,20150420,20150424,6061.0,20150420,177.0,24.0,91.0,0.0,0.94140846,98.0
194,0.1,B,39.26638889,-120.385,20150420,20150424,6061.0,20150421,166.0,-4.0,70.0,0.0,2.7681222,98.0
