,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,40.17527778,-120.88333333,20150717,20150717,6063.0,20150717,251.0,75.0,157.0,25.0,2.353322,102.5
1,0.125,A,39.87472222,-120.35611111,20150627,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
2,0.1,A,39.69138889,-120.41638889,20150807,20150807,6063.0,20150807,183.0,62.0,116.0,0.0,1.9659604,77.0
3,0.355,B,39.99055556,-120.27583333,20150628,20150629,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
4,0.1,A,40.23805556,-120.63361111,20150803,20150803,6063.0,20150803,245.0,60.0,148.0,25.0,2.0374618000000004,77.0
5,0.1,A,40.20388889,-121.12333333,20150621,20150621,6063.0,20150621,176.0,78.0,138.0,0.0,3.8029594,91.5
6,0.05,A,39.84833333,-120.30083333,20150627,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
7,0.1,A,40.06333333,-120.61638889,20150709,20150710,6063.0,20150709,158.0,37.0,88.0,25.0,1.3986601,78.0
8,0.01,A,39.73333333,-121.01666667,20130822,20130822,6063.0,20130822,210.0,79.0,149.0,0.0,2.0661364,108.333
9,0.25,A,39.94611111,-121.30638889,20120422,20120422,6063.0,20120422,187.0,16.0,91.0,0.0,1.8260417,78.667
10,0.1,A,39.7913889,-120.490833,20100703,20100703,6063.0,20100703,200.0,15.0,107.0,0.0,3.2633233,144.333
11,0.4,B,39.80083333,-120.67944444,20120610,20120610,6063.0,20120610,179.0,-21.0,85.0,0.0,3.077218,102.0
12,0.05,A,40.04833333,-120.29166667,20150627,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
13,0.1,A,39.81,-120.65361111,20150620,20150620,6063.0,20150620,255.0,9.0,138.0,0.0,1.015197,72.0
14,0.25,A,39.93416667,-120.36055556,20150628,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
15,0.375,B,39.83888889,-121.21333333,20150709,20150710,6063.0,20150709,158.0,37.0,88.0,25.0,1.3986601,78.0
16,0.1,A,39.7225,-120.38611111,20120619,20120619,6063.0,20120619,189.0,43.0,121.0,0.0,1.9824513,142.4
17,0.25,A,39.785,-121.2525,20150710,20150710,6063.0,20150710,145.0,49.0,97.0,152.0,2.776801,78.0
18,0.125,A,39.87472222,-120.35611111,20150627,20150628,6063.0,20150627,270.0,106.0,181.0,0.0,2.4738634,91.5
19,0.05,A,40.06333333,-120.61638889,20150709,20150710,6063.0,20150710,145.0,49.0,97.0,152.0,2.776801,78.0
20,0.1,A,40.0525,-120.41972222,20150628,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
21,2.17,B,39.84305556,-120.89972222,20150612,20150616,6063.0,20150615,247.0,15.0,133.0,0.0,2.4531868,72.0
22,0.1,A,39.77138889,-120.43305556,20150807,20150807,6063.0,20150807,183.0,62.0,116.0,0.0,1.9659604,77.0
23,0.7,B,39.84305556,-120.89972222,20150612,20150616,6063.0,20150616,250.0,13.0,135.0,0.0,1.3612953,72.0
24,0.05,A,40.28805556,-120.77833333,20150709,20150710,6063.0,20150710,145.0,49.0,97.0,152.0,2.776801,78.0
25,0.1,A,39.92972222,-120.84388889,20141013,20141013,6063.0,20141013,229.0,-7.0,110.0,0.0,3.4363353,76.667
26,0.1,A,40.05305556,-120.93861111,20150617,20150617,6063.0,20150617,228.0,44.0,141.0,25.0,2.2373254,72.0
27,0.1,A,39.8325,-120.74277778,20130822,20130822,6063.0,20130822,210.0,79.0,149.0,0.0,2.0661364,108.333
28,0.0047619047619047,A,39.7,-121.06666667,20141101,20141121,6063.0,20141104,133.0,-32.0,37.0,0.0,1.6387876,76.667
29,0.375,B,39.83888889,-121.21333333,20150709,20150710,6063.0,20150710,145.0,49.0,97.0,152.0,2.776801,78.0
30,0.25,A,39.91583333,-120.35833333,20150628,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
31,0.05,A,39.84833333,-120.30083333,20150627,20150628,6063.0,20150627,270.0,106.0,181.0,0.0,2.4738634,91.5
32,0.1,A,39.98138889,-120.94166667,20120619,20120619,6063.0,20120619,189.0,43.0,121.0,0.0,1.9824513,142.4
33,0.0047619047619047,A,39.7,-121.06666667,20141101,20141121,6063.0,20141103,87.0,-55.0,5.0,0.0,1.6712645000000002,76.667
34,0.1,A,40.12638889,-120.55638889,20150626,20150626,6063.0,20150626,297.0,66.0,187.0,0.0,0.65048057,91.5
35,0.8,B,39.80027778,-120.50305556,20120409,20120409,6063.0,20120409,147.0,-19.0,66.0,0.0,1.2369294,78.667
36,0.25,A,40.13111111,-120.56583333,20150717,20150717,6063.0,20150717,251.0,75.0,157.0,25.0,2.353322,102.5
37,0.1,A,40.19138889,-120.4775,20150628,20150628,6063.0,20150628,241.0,110.0,167.0,0.0,3.0516388,91.5
38,0.1,A,40.26472222,-120.625,20150709,20150709,6063.0,20150709,158.0,37.0,88.0,25.0,1.3986601,78.0
39,0.0047619047619047,A,39.7,-121.06666667,20141101,20141121,6063.0,20141102,39.0,-34.0,-5.0,0.0,1.9224008,76.667
40,0.1,A,39.73555556,-120.58388889,20120511,20120511,6063.0,20120511,188.0,-14.0,91.0,0.0,2.8813899,76.667
41,0.125,A,39.99416667,-121.21972222,20150708,20150709,6063.0,20150709,158.0,37.0,88.0,25.0,1.3986601,78.0
