,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
501,0.6,B,33.711789,-117.310181,20050830,20050830,6065.0,20050830,389.0,300.0,344.0,0.0,2.1786246,66.5
506,0.2,A,33.668025,-115.654228,20050831,20050831,6065.0,20050831,406.0,278.0,344.0,0.0,0.68542576,66.5
507,0.1,A,33.736769,-116.207969,20040609,20040609,6065.0,20040609,311.0,200.0,256.0,0.0,5.0290623,70.0
508,0.1,A,33.735761,-117.214919,20000117,20000117,6065.0,20000117,250.0,133.0,194.0,0.0,1.5200043,63.5
511,0.1,A,33.676242,-116.307981,20050831,20050831,6065.0,20050831,406.0,278.0,344.0,0.0,0.68542576,66.5
517,0.1,A,33.60565,-114.899139,19980607,19980607,6065.0,19980607,311.0,161.0,239.0,0.0,6.431869,81.667
518,0.1,A,33.778531,-117.44125,20010904,20010904,6065.0,20010904,422.0,267.0,344.0,0.0,1.9053915,49.0
520,0.1,A,33.910231,-116.554111,20000120,20000120,6065.0,20000120,228.0,106.0,167.0,0.0,1.7901203999999995,63.5
522,3.0,B,33.707786,-117.289756,20050904,20050904,6065.0,20050904,406.0,278.0,344.0,0.0,2.4601805,65.0
531,0.1,A,33.663969,-116.953731,20040807,20040807,6065.0,20040807,428.0,272.0,350.0,0.0,1.5976555,54.5
535,0.15,B,33.954581,-116.728411,19980629,19980630,6065.0,19980629,456.0,250.0,356.0,0.0,3.708505600000001,91.0
539,1.0,B,33.477461,-116.6428,19980917,19980917,6065.0,19980917,428.0,239.0,333.0,0.0,2.0752437,65.667
542,0.1,A,33.6348,-116.259361,19980917,19980917,6065.0,19980917,428.0,239.0,333.0,0.0,2.0752437,65.667
543,0.4,B,33.778789,-117.337989,20010912,20010912,6065.0,20010912,300.0,133.0,217.0,0.0,2.4804122000000004,49.0
544,0.1,A,33.730483,-117.290453,20050826,20050826,6065.0,20050826,406.0,278.0,344.0,0.0,2.5363944,66.5
545,0.1,A,34.011569,-117.48,20010912,20010912,6065.0,20010912,300.0,133.0,217.0,0.0,2.4804122000000004,49.0
546,0.1,A,33.895,-116.902869,20030625,20030625,6065.0,20030625,394.0,211.0,306.0,0.0,3.2897723,83.0
551,0.1,A,33.604881,-117.283639,20030626,20030626,6065.0,20030626,383.0,128.0,256.0,0.0,2.0229971,83.0
553,0.1,A,34.011569,-117.48,19980605,19980605,6065.0,19980605,361.0,156.0,261.0,0.0,1.7149421000000002,81.667
555,1.0,B,33.705731,-117.355339,20040510,20040510,6065.0,20040510,350.0,178.0,267.0,0.0,3.938649,105.0
556,0.1,A,33.707844,-117.232278,20050824,20050824,6065.0,20050824,406.0,278.0,344.0,0.0,2.2968204,66.5
557,0.1,A,33.735239,-117.283881,19980417,19980417,6065.0,19980417,278.0,100.0,189.0,0.0,1.5472807,130.667
558,0.1,A,33.807869,-117.304381,20010915,20010915,6065.0,20010915,389.0,256.0,322.0,0.0,2.4678168,49.0
560,0.1,A,33.939219,-116.58885,20040511,20040511,6065.0,20040511,344.0,189.0,267.0,0.0,4.1327276,105.0
562,0.1,A,33.925489,-116.65855,19990624,19990624,6065.0,19990624,428.0,150.0,289.0,0.0,3.8417296,90.0
565,25.0,C,33.822381,-117.442419,20010914,20010914,6065.0,20010914,356.0,272.0,317.0,0.0,2.6524007000000003,49.0
566,1.0,B,33.947,-116.6303,20050827,20050827,6065.0,20050827,406.0,278.0,344.0,0.0,2.755447,66.5
567,2.0,B,33.73475,-117.39005,20000116,20000116,6065.0,20000116,228.0,78.0,156.0,0.0,2.5955694,63.5
568,0.5,B,33.852689,-116.949431,20030626,20030626,6065.0,20030626,383.0,128.0,256.0,0.0,2.0229971,83.0
576,0.5,B,33.729867,-117.393517,20050829,20050829,6065.0,20050829,406.0,278.0,344.0,0.0,3.2825804,66.5
577,0.1,A,33.484539,-114.822239,20010907,20010907,6065.0,20010907,283.0,167.0,228.0,0.0,1.5045604,49.0
578,0.1,A,33.72135,-117.232089,20010908,20010908,6065.0,20010908,400.0,200.0,300.0,0.0,0.7736974,49.0
583,0.1,A,33.822961,-117.2526,20000120,20000120,6065.0,20000120,228.0,106.0,167.0,0.0,1.7901203999999995,63.5
586,0.1,A,33.96865,-116.50145,20010911,20010911,6065.0,20010911,306.0,133.0,222.0,0.0,1.7707103,49.0
587,0.1,A,33.895361,-116.6934,20030628,20030628,6065.0,20030628,456.0,256.0,356.0,0.0,2.2160358,83.0
601,100.0,D,33.734989,-117.30135,20010824,20010824,6065.0,20010824,417.0,200.0,311.0,0.0,1.586003,56.0
607,0.1,A,33.852469,-116.414861,20030703,20030703,6065.0,20030703,456.0,250.0,356.0,0.0,3.4258454,83.0
616,0.1,A,34.011431,-116.501589,19980713,19980713,6065.0,19980713,450.0,300.0,378.0,0.0,3.19011,77.0
619,0.1,A,33.7792,-117.287061,20010827,20010827,6065.0,20010827,417.0,217.0,317.0,0.0,1.2517619,56.0
625,0.4,B,33.736769,-116.207969,20010822,20010822,6065.0,20010822,394.0,233.0,317.0,0.0,2.3917575,56.0
630,0.1,A,33.8812,-116.501869,19981226,19981226,6065.0,19981226,217.0,11.0,117.0,0.0,0.39051208,60.667
636,5.1,B,33.619569,-117.249319,20010819,20010819,6065.0,20010819,417.0,261.0,339.0,0.0,3.507283,56.0
637,5.0,B,33.953881,-116.588881,20030704,20030704,6065.0,20030704,444.0,267.0,356.0,0.0,2.1472342,83.0
638,0.1,A,33.8812,-116.501869,20010820,20010820,6065.0,20010820,328.0,167.0,250.0,0.0,3.2074,56.0
639,5.0,B,33.707,-117.232089,19980607,19980607,6065.0,19980607,311.0,161.0,239.0,0.0,6.431869,81.667
641,102.0,D,33.77845,-117.459261,20030703,20030703,6065.0,20030703,456.0,250.0,356.0,0.0,3.4258454,83.0
642,0.1,A,33.83735,-117.217389,20010821,20010821,6065.0,20010821,417.0,267.0,344.0,0.0,2.9912677000000003,56.0
644,0.1,A,33.910231,-116.554111,20010821,20010821,6065.0,20010821,417.0,267.0,344.0,0.0,2.9912677000000003,56.0
652,0.1,A,33.517989,-116.1734,20000127,20000127,6065.0,20000127,228.0,78.0,156.0,0.0,2.6593194,53.5
661,0.1,A,33.925461,-116.711,20010830,20010830,6065.0,20010830,394.0,244.0,322.0,0.0,2.0359354,49.0
664,0.1,A,33.605011,-117.266889,20030701,20030701,6065.0,20030701,428.0,233.0,333.0,0.0,4.4319120000000005,83.0
667,1.0,B,33.663722,-115.863297,20050908,20050908,6065.0,20050908,406.0,278.0,344.0,0.0,2.3286278,65.0
669,0.5,B,33.925339,-116.641169,19990621,19990621,6065.0,19990621,278.0,122.0,200.0,0.0,2.803039,90.0
670,0.3,B,33.569961,-116.674697,20050907,20050907,6065.0,20050907,406.0,278.0,344.0,0.0,1.3086293,65.0
671,0.1,A,33.753606,-117.279764,20050906,20050906,6065.0,20050906,406.0,278.0,344.0,0.0,2.092465,65.0
672,0.1,A,33.561839,-116.190089,20000120,20000120,6065.0,20000120,228.0,106.0,167.0,0.0,1.7901203999999995,63.5
