,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,1.0,B,36.358633,-120.85685,20131229,20131229,6069.0,20131229,228.0,44.0,111.0,0.0,5.016009,31.25
2,2.0,B,36.555661,-120.840653,20150627,20150627,6069.0,20150627,222.0,144.0,167.0,0.0,1.3793114,37.4
7,60.0,C,36.580931,-120.735389,20020906,20020906,6069.0,20020906,222.0,128.0,178.0,0.0,2.3385756,48.0
9,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011014,322.0,111.0,217.0,0.0,1.2101594,62.667
10,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011013,261.0,128.0,194.0,0.0,2.4148004000000003,62.667
11,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010804,222.0,139.0,183.0,0.0,2.30972,64.0
13,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010921,161.0,111.0,139.0,0.0,2.1931684,57.0
14,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010726,194.0,128.0,161.0,0.0,2.4429512000000004,66.667
16,23.8,D,36.333561,-120.737911,20040809,20040813,6069.0,20040812,206.0,139.0,172.0,0.0,2.1510284,56.667
17,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011109,256.0,89.0,172.0,0.0,1.6505142,62.667
18,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010918,178.0,117.0,150.0,0.0,1.9313226000000003,57.0
19,0.1,A,36.744569,-121.336369,20040503,20040503,6069.0,20040503,239.0,100.0,172.0,0.0,3.2172072,93.0
20,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010803,189.0,122.0,156.0,0.0,2.2877896,64.0
21,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010920,172.0,117.0,144.0,0.0,1.4361831,57.0
22,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010816,200.0,111.0,156.0,0.0,1.8722531,64.0
24,23.8,D,36.333561,-120.737911,20040809,20040813,6069.0,20040811,211.0,128.0,172.0,0.0,2.62131,56.667
25,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010814,172.0,117.0,144.0,0.0,3.2275867000000003,64.0
26,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010905,194.0,122.0,161.0,0.0,3.2643514,58.667
27,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010906,211.0,100.0,156.0,0.0,2.3773942000000003,58.667
28,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010815,161.0,111.0,139.0,0.0,2.465317,64.0
30,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010916,161.0,128.0,144.0,0.0,3.0881176,57.0
31,0.1,A,36.667139,-120.922261,20040903,20040903,6069.0,20040903,278.0,89.0,183.0,0.0,4.7852297,51.333
32,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010919,183.0,111.0,150.0,0.0,1.7380749,57.0
33,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010917,178.0,122.0,150.0,0.0,2.0280595,57.0
34,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010805,244.0,133.0,189.0,0.0,2.612218,64.0
35,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010930,372.0,117.0,244.0,0.0,1.8352071,60.667
36,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010915,200.0,117.0,161.0,0.0,2.5453105,57.0
37,2.0,B,36.358428,-120.782131,20050624,20050624,6069.0,20050624,200.0,139.0,172.0,0.0,2.2537527,74.0
38,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011006,178.0,111.0,144.0,0.0,2.3282049,60.667
39,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010927,189.0,128.0,161.0,0.0,3.9741337,60.667
40,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010808,200.0,128.0,167.0,0.0,2.1992114,64.0
41,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010910,222.0,128.0,178.0,0.0,0.98615944,57.0
42,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010928,217.0,100.0,161.0,0.0,3.7540715,60.667
43,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010729,183.0,128.0,156.0,0.0,2.7523150000000003,64.0
44,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011005,206.0,144.0,178.0,0.0,2.0338438,60.667
45,23.8,D,36.333561,-120.737911,20040809,20040813,6069.0,20040810,189.0,133.0,161.0,0.0,2.6726236,56.667
46,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010911,239.0,150.0,194.0,0.0,1.2332864,57.0
48,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010912,206.0,122.0,167.0,0.0,2.4363253,57.0
49,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010913,217.0,133.0,178.0,0.0,2.1900868,57.0
50,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011015,222.0,111.0,167.0,0.0,1.5492282,62.667
51,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011003,206.0,100.0,156.0,0.0,1.8534906,60.667
52,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20011002,172.0,122.0,150.0,0.0,2.7056289,60.667
53,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010801,200.0,117.0,161.0,0.0,2.414815,64.0
55,0.0129870129870129,B,36.378419,-120.913139,20010726,20011226,6069.0,20010730,211.0,133.0,172.0,0.0,2.5478854,64.0
57,23.8,D,36.333561,-120.737911,20040809,20040813,6069.0,20040809,206.0,139.0,172.0,0.0,2.795085,56.667
