,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,33.32111111,-116.90277778,20150718,20150718,6073.0,20150718,278.0,178.0,217.0,262.0,1.2067518,60.667
1,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150730,267.0,217.0,232.0,0.0,1.6048753999999998,58.0
3,0.1,A,32.82194444,-116.64194444,20141105,20141105,6073.0,20141105,328.0,122.0,198.0,0.0,4.2722945,55.5
4,0.1,A,33.3275,-116.88722222,20150718,20150718,6073.0,20150718,278.0,178.0,217.0,262.0,1.2067518,60.667
6,0.1,A,32.78805556,-116.495,20130914,20130914,6073.0,20130914,239.0,183.0,208.0,0.0,1.7585468,49.0
8,0.1,A,33.32833333,-116.90194444,20150718,20150718,6073.0,20150718,278.0,178.0,217.0,262.0,1.2067518,60.667
10,0.1,A,33.25305556,-116.79277778,20140124,20140124,6073.0,20140124,194.0,144.0,160.0,0.0,3.508917,64.0
11,0.1,A,33.32138889,-116.90388889,20150718,20150718,6073.0,20150718,278.0,178.0,217.0,262.0,1.2067518,60.667
12,0.6,B,32.75472222,-116.46194444,20150730,20150730,6073.0,20150730,267.0,217.0,232.0,0.0,1.6048753999999998,58.0
13,0.1,A,33.32388889,-116.88555556,20150718,20150718,6073.0,20150718,278.0,178.0,217.0,262.0,1.2067518,60.667
14,0.1,A,33.29027778,-116.81527778,20150527,20150527,6073.0,20150527,206.0,161.0,176.0,0.0,3.1001008,70.5
15,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150731,261.0,211.0,230.0,0.0,3.4428368,58.0
16,0.2,A,32.90333333,-116.47888889,20140821,20140821,6073.0,20140821,256.0,211.0,227.0,0.0,1.4869139999999998,44.0
17,0.1,A,32.72722222,-116.62111111,20151025,20151025,6073.0,20151025,256.0,194.0,231.0,0.0,1.4630874,56.0
18,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150729,256.0,206.0,222.0,0.0,0.7057797,58.0
19,0.1,A,32.85444444,-116.74194444,20150218,20150218,6073.0,20150218,194.0,144.0,164.0,0.0,0.8488964,95.0
20,0.05,A,33.34416667,-116.88277778,20140910,20140911,6073.0,20140911,278.0,222.0,246.0,0.0,1.8064911,51.167
24,135.0,D,32.81388889,-116.49277778,20140308,20140309,6073.0,20140309,283.0,139.0,216.0,0.0,4.2443852,53.0
27,0.1,A,32.61721,-116.24114,20140219,20140219,6073.0,20140219,183.0,133.0,157.0,0.0,2.8588135,70.0
28,0.3,B,32.62125,-116.74544,20130910,20130910,6073.0,20130910,233.0,194.0,209.0,0.0,4.181204,53.0
29,0.25,A,33.32583333,-116.87166667,20140821,20140821,6073.0,20140821,256.0,211.0,227.0,0.0,1.4869139999999998,44.0
30,0.1,A,33.15972222,-116.80833333,20140907,20140907,6073.0,20140907,300.0,228.0,252.0,0.0,1.0295577,57.0
31,0.1,A,32.6925,-116.47388889,20150730,20150730,6073.0,20150730,267.0,217.0,232.0,0.0,1.6048753999999998,58.0
32,0.25,A,32.82333333,-116.59944444,20140106,20140106,6073.0,20140106,239.0,83.0,161.0,0.0,5.906992,68.0
35,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150801,250.0,211.0,222.0,0.0,2.8950388,58.0
36,0.1,A,33.65222222,-117.455,20140720,20140720,6073.0,20140720,250.0,211.0,222.0,0.0,2.646221,47.0
37,0.1,A,32.83583333,-116.70583333,20150311,20150311,6073.0,20150311,222.0,156.0,182.0,0.0,2.2810361,54.0
39,13.8,C,32.755,-116.45722222,20130902,20130902,6073.0,20130902,267.0,206.0,227.0,0.0,2.1915524,47.0
41,0.1,A,32.9,-116.44222222,20141026,20141026,6073.0,20141026,222.0,178.0,206.0,0.0,4.0503087,45.5
44,0.1,A,33.411111,-116.818889,20141026,20141026,6073.0,20141026,222.0,178.0,206.0,0.0,4.0503087,45.5
46,0.1,A,33.32527778,-116.88055556,20140727,20140727,6073.0,20140727,267.0,211.0,230.0,0.0,3.0716357000000003,49.0
47,0.1,A,32.98694444,-116.65472222,20141103,20141103,6073.0,20141103,228.0,128.0,175.0,0.0,3.419521,62.0
48,0.1,A,32.730305,-116.936027,20131124,20131124,6073.0,20131124,194.0,117.0,158.0,0.0,1.682377,68.5
49,0.1,A,32.87722222,-116.44444444,20150703,20150703,6073.0,20150703,244.0,200.0,218.0,0.0,4.732996,65.5
50,0.1,A,33.33416667,-116.90944444,20150718,20150718,6073.0,20150718,278.0,178.0,217.0,262.0,1.2067518,60.667
52,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150724,267.0,217.0,233.0,0.0,2.7591891,64.0
53,0.1,A,32.6001,-116.68282,20130919,20130919,6073.0,20130919,211.0,178.0,195.0,0.0,1.6347758999999995,53.0
54,0.25,A,32.84111111,-116.70972222,20150331,20150331,6073.0,20150331,200.0,161.0,181.0,0.0,2.875978,110.5
55,0.1,A,32.84083333,-116.695,20150726,20150726,6073.0,20150726,256.0,200.0,235.0,0.0,3.7215586,64.0
56,0.05,A,33.34416667,-116.88277778,20140910,20140911,6073.0,20140910,267.0,217.0,244.0,0.0,1.2212245000000002,51.167
57,0.25,A,32.80666667,-116.63722222,20140718,20140718,6073.0,20140718,256.0,200.0,223.0,0.0,4.2369075,47.0
58,0.1,A,32.87777778,-116.75833333,20130901,20130901,6073.0,20130901,267.0,211.0,247.0,0.0,3.0077999,47.0
59,0.1,A,33.11277778,-116.81888889,20150203,20150203,6073.0,20150203,211.0,111.0,157.0,0.0,1.0680003999999998,90.0
60,0.1,A,32.88472222,-116.82166667,20150805,20150805,6073.0,20150805,289.0,211.0,240.0,0.0,2.9516945,57.0
61,0.1,A,32.88472222,-116.82166667,20150801,20150801,6073.0,20150801,250.0,211.0,222.0,0.0,2.8950388,58.0
63,0.1,A,33.3275,-116.89527778,20130906,20130906,6073.0,20130906,311.0,217.0,248.0,0.0,2.5668888,53.0
64,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150726,256.0,200.0,235.0,0.0,3.7215586,64.0
65,0.1,A,33.32361111,-116.90416667,20150723,20150723,6073.0,20150723,261.0,217.0,236.0,0.0,2.175,64.0
66,0.1,A,32.8825,-116.82222222,20130808,20130808,6073.0,20130808,222.0,183.0,198.0,0.0,3.6145418,61.5
68,0.1,A,33.09893,-116.59504,20140730,20140730,6073.0,20140730,272.0,217.0,238.0,0.0,3.9853952000000006,49.0
69,1.0,B,33.181,-116.97444,20141024,20141024,6073.0,20141024,289.0,167.0,223.0,0.0,0.35355338,45.5
70,16.811111111111114,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150727,239.0,200.0,214.0,0.0,3.9507122,64.0
72,0.1,A,32.73333333,-116.47027778,20141024,20141024,6073.0,20141024,289.0,167.0,223.0,0.0,0.35355338,45.5
73,0.1,A,33.12277778,-116.84972222,20141214,20141214,6073.0,20141214,183.0,100.0,141.0,0.0,1.3612953,61.0
74,0.1,A,32.75722222,-116.56611111,20130902,20130902,6073.0,20130902,267.0,206.0,227.0,0.0,2.1915524,47.0
75,0.1,A,33.10916667,-116.82222222,20141221,20141221,6073.0,20141221,200.0,128.0,166.0,0.0,2.7101662,61.0
76,0.1,A,32.73,-116.48333333,20141108,20141108,6073.0,20141108,278.0,144.0,216.0,0.0,2.2261233,55.5
77,11.0,C,32.68527778,-116.52583333,20150724,20150725,6073.0,20150724,267.0,217.0,233.0,0.0,2.7591891,64.0
81,0.1,A,32.85666667,-116.52305556,20150326,20150326,6073.0,20150326,289.0,156.0,208.0,0.0,3.4252737,92.0
83,0.25,A,32.85472222,-116.67166667,20140115,20140115,6073.0,20140115,278.0,111.0,183.0,0.0,5.871233999999999,56.4
84,0.1,A,33.34333333,-116.95944444,20130915,20130915,6073.0,20130915,250.0,194.0,213.0,0.0,1.378737,49.0
85,0.1,A,32.636191,-116.127688,20140902,20140902,6073.0,20140902,256.0,211.0,226.0,0.0,1.8399262,57.0
88,0.1,A,33.35555556,-116.90416667,20150806,20150806,6073.0,20150806,267.0,206.0,230.0,0.0,2.408319,57.0
89,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150725,278.0,206.0,233.0,0.0,3.3433702000000003,64.0
90,0.1,A,32.83194444,-116.63027778,20131202,20131202,6073.0,20131202,244.0,117.0,175.0,0.0,1.4142071000000005,69.0
91,0.1,A,32.8525,-116.43555556,20140908,20140908,6073.0,20140908,322.0,233.0,263.0,0.0,1.6233672,57.0
92,11.0,C,32.68527778,-116.52583333,20150724,20150725,6073.0,20150725,278.0,206.0,233.0,0.0,3.3433702000000003,64.0
93,0.05,A,32.70694444,-116.57972222,20140801,20140802,6073.0,20140802,256.0,211.0,224.0,18.0,1.8736103,49.0
95,0.1,A,33.12388889,-116.79861111,20140824,20140824,6073.0,20140824,250.0,194.0,219.0,0.0,2.5743816,44.0
96,0.25,A,33.3775,-116.82555556,20150801,20150801,6073.0,20150801,250.0,211.0,222.0,0.0,2.8950388,58.0
97,0.2,A,32.88055556,-116.42333333,20150207,20150207,6073.0,20150207,211.0,106.0,161.0,0.0,1.5350081,90.0
99,0.2,A,33.4225,-117.06777778,20140829,20140829,6073.0,20140829,261.0,211.0,241.0,0.0,3.2760565,55.0
101,0.2,A,32.618473,-116.783208,20130811,20130811,6073.0,20130811,222.0,178.0,193.0,0.0,3.0735846,61.5
102,16.711111111111112,D,33.38361111,-116.86777778,20150724,20150801,6073.0,20150728,250.0,194.0,216.0,0.0,2.5605175,64.0
104,0.25,A,33.38888889,-116.92777778,20150630,20150630,6073.0,20150630,261.0,194.0,217.0,10.0,2.5112247,67.5
105,0.1,A,32.99,-116.73027778,20130902,20130902,6073.0,20130902,267.0,206.0,227.0,0.0,2.1915524,47.0
106,0.1,A,32.97916667,-116.6575,20140901,20140901,6073.0,20140901,239.0,200.0,217.0,0.0,1.7923521,57.0
107,0.2,A,32.63755,-116.1128,20150623,20150623,6073.0,20150623,267.0,183.0,213.0,0.0,3.6104884,76.5
108,0.1,A,32.73083333,-116.4725,20151117,20151117,6073.0,20151117,206.0,94.0,146.0,0.0,4.8314075,60.0
109,0.1,A,32.71277778,-116.56888889,20140801,20140801,6073.0,20140801,256.0,206.0,227.0,0.0,2.9800045,49.0
110,0.1,A,32.84527778,-116.46138889,20130905,20130905,6073.0,20130905,289.0,217.0,248.0,0.0,2.5104802000000004,53.0
111,0.05,A,32.70694444,-116.57972222,20140801,20140802,6073.0,20140801,256.0,206.0,227.0,0.0,2.9800045,49.0
112,1.0,B,33.40055556,-117.08361111,20140827,20140827,6073.0,20140827,289.0,211.0,241.0,0.0,2.7464178,55.0
114,0.25,B,33.00583333,-116.60333333,20140716,20140717,6073.0,20140716,250.0,206.0,219.0,0.0,4.3185687,47.0
115,0.5,B,32.659111,-116.840139,20141123,20141123,6073.0,20141123,217.0,133.0,175.0,0.0,3.25,64.5
116,0.1,A,32.83361111,-116.73027778,20150217,20150217,6073.0,20150217,189.0,150.0,168.0,0.0,1.2499999,87.0
120,0.5,B,32.6169,-116.7272,20140309,20140309,6073.0,20140309,283.0,139.0,216.0,0.0,4.2443852,53.0
121,0.1,A,32.79916667,-116.80027778,20141127,20141127,6073.0,20141127,294.0,128.0,205.0,0.0,2.0615528000000003,69.0
122,0.3,B,32.59005,-116.62183,20150713,20150713,6073.0,20150713,256.0,189.0,215.0,0.0,3.1256998,60.25
124,0.1,A,32.85083333,-116.43361111,20141201,20141201,6073.0,20141201,211.0,139.0,174.0,0.0,0.5129570999999999,48.0
126,0.1,A,32.65502,-116.81037,20150316,20150316,6073.0,20150316,306.0,189.0,246.0,0.0,1.3100573,138.0
127,0.1,A,32.61807,-116.49608,20150629,20150629,6073.0,20150629,256.0,206.0,221.0,0.0,1.9692955,67.5
128,0.1,A,32.72472222,-116.44583333,20140723,20140723,6073.0,20140723,272.0,194.0,230.0,0.0,4.2266994,47.0
129,0.1,A,32.85416667,-116.575,20131022,20131022,6073.0,20131022,206.0,150.0,174.0,0.0,1.5001334,55.0
130,0.2,A,33.35333333,-116.875,20130907,20130907,6073.0,20130907,289.0,211.0,248.0,0.0,0.7716261,53.0
132,0.6,B,32.87944444,-116.44111111,20141130,20141130,6073.0,20141130,206.0,167.0,182.0,0.0,1.4577379,69.0
134,0.1,A,32.71166667,-116.55722222,20140223,20140223,6073.0,20140223,211.0,94.0,157.0,0.0,0.4850773,53.0
136,135.0,D,32.81388889,-116.49277778,20140308,20140309,6073.0,20140308,278.0,122.0,183.0,0.0,5.1613927,53.0
137,1.0,B,32.72388889,-116.44694444,20131022,20131022,6073.0,20131022,206.0,150.0,174.0,0.0,1.5001334,55.0
140,1.3,B,32.586148,-116.769385,20140120,20140120,6073.0,20140120,222.0,106.0,159.0,0.0,2.2365954,64.0
141,0.1,A,32.84777778,-116.5325,20140801,20140801,6073.0,20140801,256.0,206.0,227.0,0.0,2.9800045,49.0
142,0.1,A,32.86944444,-116.41388889,20141101,20141101,6073.0,20141101,211.0,150.0,198.0,64.0,4.536656400000001,52.5
143,0.25,B,33.00583333,-116.60333333,20140716,20140717,6073.0,20140717,250.0,206.0,224.0,0.0,5.2696576,47.0
144,0.1,A,32.765,-116.68972222,20140724,20140724,6073.0,20140724,272.0,206.0,233.0,0.0,2.7973132,47.0
145,0.1,A,32.93222222,-116.49583333,20140821,20140821,6073.0,20140821,256.0,211.0,227.0,0.0,1.4869139999999998,44.0
147,0.1,A,32.88583333,-116.44277778,20150819,20150819,6073.0,20150819,261.0,211.0,231.0,0.0,5.279796,59.5
148,0.4,B,32.64053,-116.77452,20140513,20140513,6073.0,20140513,344.0,183.0,265.0,0.0,5.2294664000000015,94.5
149,0.25,A,32.71055556,-116.675,20150426,20150426,6073.0,20150426,211.0,150.0,173.0,0.0,5.385455,76.5
150,0.1,A,32.99,-116.78027778,20130324,20130324,6073.0,20130324,189.0,133.0,163.0,0.0,1.0912322,88.0
151,4.75,B,32.83861111,-116.70277778,20150829,20150829,6073.0,20150829,306.0,233.0,264.0,0.0,3.6169739,58.0
152,0.1,A,33.3275,-116.89527778,20150925,20150925,6073.0,20150925,294.0,228.0,251.0,0.0,1.1524431999999998,57.0
153,0.1,A,32.88611111,-116.82555556,20130316,20130316,6073.0,20130316,189.0,133.0,163.0,0.0,3.2062407000000004,87.4
154,0.1,A,33.345,-116.88,20130706,20130706,6073.0,20130706,228.0,194.0,206.0,0.0,2.13712,49.333
155,0.3,B,32.555,-116.8892,20130624,20130624,6073.0,20130624,222.0,178.0,190.0,0.0,4.5543966,70.0
156,0.1,A,33.38111111,-116.87416667,20130830,20130830,6073.0,20130830,317.0,217.0,264.0,0.0,1.2093368,47.0
157,0.1,A,32.88583333,-116.44277778,20150812,20150812,6073.0,20150812,261.0,156.0,199.0,0.0,1.6031219,52.0
158,0.4,B,33.25472222,-116.75916667,20130704,20130704,6073.0,20130704,244.0,189.0,209.0,0.0,3.9258845,49.333
161,0.1,A,32.99,-116.72888889,20140424,20140424,6073.0,20140424,206.0,156.0,179.0,0.0,2.3010683,65.5
162,0.1,A,32.99,-116.73027778,20130302,20130302,6073.0,20130302,189.0,144.0,162.0,0.0,1.3036115,88.0
164,0.1,A,33.34138889,-116.87666667,20140425,20140425,6073.0,20140425,189.0,156.0,173.0,3.0,3.6599064,65.5
165,0.1,A,32.85861111,-116.73333333,20150825,20150825,6073.0,20150825,261.0,217.0,226.0,3.0,1.4783859,58.0
166,0.1,A,32.84,-116.71277778,20130301,20130301,6073.0,20130301,189.0,133.0,163.0,0.0,3.3527422,88.0
167,0.1,A,32.78388889,-116.49444444,20151208,20151208,6073.0,20151208,244.0,117.0,174.0,0.0,1.2351618999999998,75.5
169,0.5,B,32.695,-116.7558,20140317,20140317,6073.0,20140317,211.0,150.0,197.0,0.0,4.5708675,53.0
170,3.0,B,32.63588,-116.43152,20140513,20140513,6073.0,20140513,344.0,183.0,265.0,0.0,5.2294664000000015,94.5
172,0.1,A,35.99111111,-116.73694444,20130324,20130324,6073.0,20130324,189.0,133.0,163.0,0.0,1.0912322,88.0
174,0.1,A,32.83944444,-116.61444444,20150819,20150819,6073.0,20150819,261.0,211.0,231.0,0.0,5.279796,59.5
176,0.1,A,33.12361111,-116.87888889,20140312,20140312,6073.0,20140312,194.0,150.0,169.0,0.0,3.2825665,53.0
177,44.0,C,32.679215,-116.978524,20130729,20130729,6073.0,20130729,228.0,178.0,193.0,0.0,3.5057094,54.5
