,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,34.82888889,-119.50638889,20151014,20151015,6083.0,20151015,261.0,189.0,213.0,0.0,1.6662083,57.667
1,0.25,A,35.1,-120.12694444,20140728,20140728,6083.0,20140728,294.0,178.0,205.0,0.0,2.2224507,55.0
2,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150801,250.0,156.0,196.0,0.0,2.651061,62.0
3,0.1,A,34.73694444,-119.99194444,20151108,20151108,6083.0,20151108,206.0,44.0,128.0,15.0,3.447191000000001,57.667
4,0.1,A,34.48222222,-119.77305556,20150913,20150913,6083.0,20150913,278.0,172.0,212.0,0.0,2.3251345000000003,57.0
5,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151102,172.0,111.0,157.0,61.0,2.1982946,57.667
6,1984.0,F,34.54916667,-119.80138889,20130527,20130527,6083.0,20130527,228.0,100.0,149.0,0.0,7.322742999999999,70.5
7,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151031,306.0,122.0,197.0,0.0,1.1426395,57.667
8,0.05,A,34.48111111,-119.63222222,20151029,20151030,6083.0,20151030,267.0,89.0,164.0,0.0,5.552308,57.667
9,0.1,A,34.51111111,-119.82305556,20130626,20130626,6083.0,20130626,256.0,144.0,187.0,0.0,2.7679927,65.333
10,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150803,250.0,150.0,196.0,0.0,4.878332,62.0
11,0.2,A,34.49138889,-119.795,20150622,20150622,6083.0,20150622,222.0,100.0,151.0,0.0,5.587150599999998,74.667
12,0.1,A,34.54972222,-119.81638889,20150216,20150216,6083.0,20150216,178.0,106.0,137.0,0.0,1.3453624,126.667
13,0.05,A,34.48111111,-119.63222222,20151029,20151030,6083.0,20151029,244.0,117.0,177.0,0.0,8.182183,57.667
14,0.05,A,34.48305556,-119.90194444,20140620,20140621,6083.0,20140621,239.0,117.0,171.0,0.0,6.536444,66.667
16,0.1,A,34.5425,-119.81027778,20150909,20150909,6083.0,20150909,317.0,167.0,231.0,0.0,2.420873,57.0
17,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151030,267.0,89.0,164.0,0.0,5.552308,57.667
19,0.1,A,34.45888889,-119.56722222,20140211,20140211,6083.0,20140211,233.0,106.0,162.0,0.0,2.7891502,63.667
20,0.1,A,34.5325,-119.85388889,20141005,20141005,6083.0,20141005,339.0,144.0,242.0,0.0,3.1367571,50.0
21,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150731,267.0,161.0,203.0,0.0,2.720294,62.0
22,0.09,A,34.50583333,-119.79138889,20150409,20150409,6083.0,20150409,233.0,56.0,127.0,0.0,1.9006578,91.333
24,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151103,189.0,89.0,132.0,0.0,3.7513328,57.667
25,0.05,A,34.47805556,-119.62638889,20151029,20151030,6083.0,20151029,244.0,117.0,177.0,0.0,8.182183,57.667
26,0.05,A,34.48305556,-119.90194444,20140620,20140621,6083.0,20140620,244.0,122.0,166.0,0.0,5.089536,66.667
27,211.0,D,34.6933333,-120.4308333,20150629,20150629,6083.0,20150629,233.0,139.0,177.0,0.0,5.9788165,67.5
28,0.1,A,34.57972222,-119.95805556,20140816,20140816,6083.0,20140816,272.0,156.0,189.0,0.0,2.5283434,55.0
29,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150804,256.0,139.0,192.0,0.0,2.828648,62.0
31,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150802,256.0,156.0,195.0,0.0,5.4980106,62.0
32,0.05,A,34.47805556,-119.62638889,20151029,20151030,6083.0,20151030,267.0,89.0,164.0,0.0,5.552308,57.667
33,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151029,244.0,117.0,177.0,0.0,8.182183,57.667
34,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150730,256.0,161.0,193.0,0.0,2.3012226000000005,62.0
35,0.1,A,34.80972222,-119.54222222,20151014,20151015,6083.0,20151014,289.0,189.0,232.0,5.0,1.2311072,57.667
36,0.05,A,34.78916667,-119.95027778,20151015,20151016,6083.0,20151015,261.0,189.0,213.0,0.0,1.6662083,57.667
37,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151101,239.0,111.0,171.0,0.0,2.1308742,57.667
38,0.1528571428571428,B,35.07638889,-120.17027778,20150729,20150804,6083.0,20150729,250.0,156.0,188.0,0.0,2.740894,62.0
39,0.1,A,34.93777778,-119.47638889,20151121,20151121,6083.0,20151121,294.0,94.0,183.0,0.0,2.4373398,57.0
40,0.1,A,34.51027778,-119.82277778,20140104,20140104,6083.0,20140104,178.0,50.0,116.0,0.0,2.7578572999999995,62.0
42,2.1,B,34.48305556,-119.50027778,20130907,20130907,6083.0,20130907,244.0,117.0,174.0,0.0,1.2220082,54.667
43,0.05,A,34.80972222,-119.54222222,20151014,20151015,6083.0,20151015,261.0,189.0,213.0,0.0,1.6662083,57.667
44,0.01,A,34.50777778,-119.81944444,20150413,20150413,6083.0,20150413,194.0,100.0,142.0,0.0,2.6443336,91.333
46,0.05,A,34.78916667,-119.95027778,20151015,20151016,6083.0,20151016,250.0,183.0,199.0,0.0,2.9411943,57.667
47,3.0,C,34.48027778,-119.63861111,20151029,20151104,6083.0,20151104,200.0,61.0,123.0,0.0,7.1573825,57.667
48,0.1,A,34.51,-119.82333333,20150609,20150609,6083.0,20150609,294.0,122.0,171.0,8.0,1.4020075,63.333
49,0.9,B,34.50472222,-119.86694444,20151129,20151129,6083.0,20151129,194.0,11.0,101.0,0.0,2.5106025,60.333
121,0.065,A,34.50416667,-119.80694444,20130922,20130923,6083.0,20130923,333.0,144.0,218.0,0.0,2.8972017999999995,56.333
154,0.065,A,34.50416667,-119.80694444,20130922,20130923,6083.0,20130922,239.0,100.0,172.0,0.0,6.2339697,56.333
