,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,1874.8235294117649,G,40.99972222,-121.61638889,20140730,20140815,6089.0,20140810,378.0,178.0,277.0,0.0,0.5646281999999999,76.0
3,0.3272727272727272,B,40.95861111,-122.16694444,20150709,20150719,6089.0,20150718,378.0,244.0,317.0,0.0,0.90138775,109.0
4,0.05,A,41.0525,-122.33555556,20140805,20140806,6089.0,20140806,344.0,183.0,241.0,0.0,2.6779335,76.0
6,0.1,A,40.80361111,-121.51472222,20140620,20140620,6089.0,20140620,350.0,144.0,258.0,0.0,3.0290914,164.5
7,1918.32,G,40.71944444,-121.55222222,20140731,20140824,6089.0,20140806,344.0,183.0,241.0,0.0,2.6779335,76.0
8,0.1,A,40.88055556,-121.39388889,20130704,20130704,6089.0,20130704,428.0,289.0,352.0,0.0,3.1784441,131.5
10,791.25,G,40.41967,-122.7295,20140711,20140726,6089.0,20140723,311.0,167.0,246.0,0.0,3.0016663,4.0
11,1918.32,G,40.71944444,-121.55222222,20140731,20140824,6089.0,20140808,378.0,211.0,300.0,0.0,2.3124506,76.0
12,0.1,A,40.36972222,-122.98055556,20140321,20140321,6089.0,20140321,239.0,50.0,157.0,0.0,3.3282578000000003,171.0
13,1874.8235294117649,G,40.99972222,-121.61638889,20140730,20140815,6089.0,20140813,311.0,172.0,249.0,0.0,2.326482,76.0
15,3.0,B,41.15833333,-122.21666667,20130727,20130727,6089.0,20130727,406.0,222.0,317.0,0.0,2.1834397,131.5
16,0.7142857142857143,B,41.18194444,-122.35416667,20140322,20140328,6089.0,20140322,244.0,83.0,169.0,0.0,1.6007811,171.0
17,0.3272727272727272,B,40.95861111,-122.16694444,20150709,20150719,6089.0,20150711,322.0,194.0,246.0,0.0,2.2667432,109.0
18,0.25,A,40.69777778,-121.13055556,20140808,20140808,6089.0,20140808,378.0,211.0,300.0,0.0,2.3124506,76.0
19,0.2,A,40.91916667,-122.12333333,20130618,20130618,6089.0,20130618,278.0,150.0,228.0,0.0,3.0700183,140.0
20,791.25,G,40.41967,-122.7295,20140711,20140726,6089.0,20140715,367.0,222.0,314.0,0.0,1.3661649,99.0
21,2.0,B,40.9125,-122.14166667,20130703,20130703,6089.0,20130703,450.0,256.0,358.0,0.0,2.732648,131.5
