,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.4,B,40.38527778,-121.49666667,20130616,20130616,6103.0,20130616,344.0,156.0,263.0,0.0,4.193443299999998,103.75
1,0.3,B,40.20555556,-121.49277778,20151009,20151009,6103.0,20151009,328.0,150.0,227.0,0.0,0.28504387,80.0
3,3.0,B,40.03833333,-121.82472222,20130704,20130704,6103.0,20130704,444.0,289.0,365.0,0.0,8.439713000000001,156.0
4,0.25,A,40.20027778,-121.36527778,20130827,20130827,6103.0,20130827,350.0,161.0,244.0,0.0,1.4671053,71.0
5,0.2,A,39.95944444,-122.71638889,20130703,20130703,6103.0,20130703,467.0,244.0,352.0,0.0,5.0809846,156.0
6,0.1,A,40.37722222,-121.52277778,20130704,20130704,6103.0,20130704,444.0,289.0,365.0,0.0,8.439713000000001,156.0
8,0.25,A,40.36083333,-121.48055556,20150718,20150718,6103.0,20150718,361.0,228.0,298.0,0.0,2.007019,85.0
10,0.1,A,40.20444444,-121.47055556,20150610,20150610,6103.0,20150610,311.0,211.0,268.0,0.0,3.9466758,83.0
11,0.02,A,40.19388889,-122.95611111,20150730,20150803,6103.0,20150731,389.0,222.0,326.0,0.0,3.328851,85.0
13,0.02,A,40.19388889,-122.95611111,20150730,20150803,6103.0,20150802,350.0,228.0,277.0,0.0,3.6257758,85.0
16,1.0,B,40.00694444,-122.89194444,20150807,20150807,6103.0,20150807,356.0,222.0,292.0,0.0,3.1667216,85.0
22,0.1,A,40.06944444,-121.67138889,20151019,20151019,6103.0,20151019,233.0,106.0,162.0,0.0,4.935648400000002,80.0
23,0.0833333333333333,A,40.14055556,-122.95805556,20150731,20150802,6103.0,20150731,389.0,222.0,326.0,0.0,3.328851,85.0
24,0.05,A,40.14027778,-122.95444444,20150730,20150803,6103.0,20150802,350.0,228.0,277.0,0.0,3.6257758,85.0
25,0.1,A,40.38055556,-121.45555556,20130819,20130819,6103.0,20130819,378.0,233.0,303.0,0.0,4.921975,71.0
26,0.0833333333333333,A,40.14055556,-122.95805556,20150731,20150802,6103.0,20150802,350.0,228.0,277.0,0.0,3.6257758,85.0
27,0.01,A,40.15194444,-121.50777778,20130915,20130915,6103.0,20130915,306.0,156.0,241.0,0.0,2.5622287,80.0
29,0.1666666666666666,B,40.14888889,-122.96638889,20150730,20150801,6103.0,20150731,389.0,222.0,326.0,0.0,3.328851,85.0
30,0.1999999999999999,B,40.14888889,-122.96638889,20150730,20150801,6103.0,20150730,444.0,217.0,329.0,0.0,1.2992786,85.0
31,0.7,B,40.32722222,-121.64222222,20131018,20131018,6103.0,20131018,283.0,100.0,191.0,0.0,2.6826777,80.0
32,0.05,A,40.14027778,-122.95444444,20150730,20150803,6103.0,20150730,444.0,217.0,329.0,0.0,1.2992786,85.0
33,0.21,A,40.29472222,-121.41777778,20151030,20151030,6103.0,20151030,306.0,94.0,182.0,0.0,4.1941180000000005,80.0
34,0.05,A,40.14027778,-122.95444444,20150730,20150803,6103.0,20150803,356.0,189.0,269.0,0.0,2.747385,85.0
35,0.02,A,40.19388889,-122.95611111,20150730,20150803,6103.0,20150730,444.0,217.0,329.0,0.0,1.2992786,85.0
38,0.2,A,40.28638889,-121.56333333,20140721,20140721,6103.0,20140721,294.0,206.0,256.0,0.0,1.1217905,89.0
41,0.1,A,40.36416667,-121.52972222,20140810,20140810,6103.0,20140810,361.0,183.0,269.0,0.0,3.3351054,101.0
43,0.0333333333333333,A,40.13527778,-122.98333333,20150730,20150801,6103.0,20150731,389.0,222.0,326.0,0.0,3.328851,85.0
