,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150805,361.0,156.0,273.0,0.0,2.1037169,89.75
1,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150916,294.0,128.0,218.0,0.0,2.6925824,64.25
2,0.3999999999999999,B,36.06416667,-118.33583333,20140816,20140818,6107.0,20140818,367.0,117.0,265.0,0.0,2.2780063,61.0
3,0.55,B,36.25666667,-118.6125,20140721,20140722,6107.0,20140722,378.0,156.0,282.0,0.0,2.2327752,62.0
4,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20151002,267.0,111.0,178.0,0.0,3.0105023,68.0
6,0.0147058823529411,A,36.17527778,-118.46333333,20150705,20150721,6107.0,20150709,256.0,111.0,193.0,53.0,2.687936,61.25
7,0.0333333333333333,A,36.2475,-118.62944444,20140720,20140722,6107.0,20140722,378.0,156.0,282.0,0.0,2.2327752,62.0
9,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150725,361.0,122.0,253.0,0.0,2.6632922000000003,88.25
10,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140128,206.0,11.0,111.0,0.0,1.1499939,76.0
11,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140208,161.0,-21.0,68.0,0.0,2.9693246,76.0
12,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150821,378.0,133.0,277.0,0.0,2.8792357,67.75
13,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140217,200.0,-21.0,90.0,0.0,1.4509677,76.0
14,0.0333333333333333,A,36.45305556,-118.28861111,20140813,20140815,6107.0,20140814,350.0,117.0,248.0,0.0,2.809798,61.0
15,0.1,A,36.71694444,-118.83361111,20150531,20150531,6107.0,20150531,361.0,106.0,255.0,0.0,2.7596424,57.75
16,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140129,200.0,-10.0,86.0,0.0,2.0511806,76.0
17,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140209,239.0,28.0,118.0,0.0,2.7613466,76.0
18,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20151026,244.0,11.0,108.0,0.0,1.0350121,68.333
19,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150804,361.0,122.0,267.0,0.0,2.9943697,89.75
20,0.4705882352941176,C,36.08777778,-118.08472222,20140921,20141110,6107.0,20141010,294.0,50.0,185.0,0.0,0.92649776,61.75
22,0.0064102564102564,A,36.25138889,-118.55083333,20150615,20150723,6107.0,20150713,356.0,156.0,256.0,0.0,2.3591576,61.25
23,0.2,B,36.25277778,-118.60111111,20150503,20150504,6107.0,20150504,294.0,61.0,191.0,0.0,3.225,75.25
24,0.5,B,36.20888889,-118.64694444,20141029,20141029,6107.0,20141029,267.0,6.0,127.0,0.0,1.1230539,58.5
25,0.5,B,36.26861111,-118.21861111,20140824,20140825,6107.0,20140824,339.0,133.0,254.0,0.0,1.7270856,61.0
26,0.05,A,35.85166667,-118.53638889,20151004,20151005,6107.0,20151004,178.0,78.0,158.0,18.0,3.677295,61.75
27,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150817,411.0,161.0,294.0,0.0,2.7555625,43.75
28,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20151021,211.0,72.0,141.0,0.0,4.631752,81.5
29,0.4705882352941176,C,36.08777778,-118.08472222,20140921,20141110,6107.0,20140926,317.0,100.0,239.0,0.0,2.708002,64.0
30,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20151020,211.0,72.0,146.0,0.0,3.7447464,81.5
31,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140207,150.0,-49.0,21.0,0.0,2.8182456,76.0
33,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150802,356.0,133.0,231.0,0.0,3.169385,89.75
34,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20151012,322.0,89.0,215.0,0.0,0.859142,61.75
35,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140314,244.0,-38.0,101.0,0.0,1.2999972,113.5
36,0.1,A,35.9975,-118.41222222,20130722,20130722,6107.0,20130722,356.0,194.0,265.0,79.0,3.703638,69.5
37,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150729,383.0,133.0,272.0,0.0,0.8403868,88.25
39,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20151004,178.0,78.0,158.0,18.0,3.677295,61.75
40,0.0333333333333333,A,36.45305556,-118.28861111,20140813,20140815,6107.0,20140813,356.0,133.0,256.0,0.0,2.5969944,61.0
42,0.4705882352941176,C,36.08777778,-118.08472222,20140921,20141110,6107.0,20141027,211.0,39.0,132.0,0.0,1.8562396,58.5
43,54.375,G,36.23527778,-118.53555556,20150719,20151123,6107.0,20150723,333.0,139.0,251.0,0.0,3.1664255,88.25
44,0.1,A,35.82833333,-118.37972222,20140814,20140814,6107.0,20140814,350.0,117.0,248.0,0.0,2.809798,61.0
45,0.0211161387631974,A,36.25138889,-118.55083333,20150615,20150723,6107.0,20150712,333.0,111.0,237.0,0.0,2.1023798,61.25
46,0.14,A,36.00027778,-118.39222222,20130821,20130821,6107.0,20130821,344.0,156.0,252.0,0.0,1.9024473,62.0
48,0.1,A,35.96555556,-118.14611111,20130605,20130605,6107.0,20130605,372.0,111.0,255.0,0.0,1.3793093,90.5
49,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140127,194.0,-16.0,86.0,0.0,1.0248871,76.0
50,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140126,172.0,-49.0,49.0,0.0,2.3753990000000003,76.0
52,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140307,183.0,33.0,122.0,0.0,4.1595416,113.5
53,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140226,189.0,-5.0,106.0,13.0,1.4681302,76.0
54,0.01,A,36.23805556,-118.18666667,20130929,20130929,6107.0,20130929,239.0,22.0,144.0,0.0,1.706607,61.0
55,0.4705882352941176,C,36.08777778,-118.08472222,20140921,20141110,6107.0,20141014,283.0,33.0,174.0,0.0,2.273724,58.5
56,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140212,217.0,-16.0,91.0,0.0,1.1795276,76.0
57,20.797101449275363,F,36.20138889,-118.51805556,20140113,20140322,6107.0,20140319,194.0,-43.0,85.0,0.0,2.8391757,113.5
