,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141025,129.0,43.0,90.0,0.0,2.7323296000000004,6.0
1,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150810,237.0,45.0,150.0,0.0,2.3511965,4.0
2,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150811,231.0,73.0,161.0,0.0,1.9525623,4.0
4,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141012,131.0,12.0,70.0,0.0,1.7913396,79.0
5,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150812,212.0,52.0,128.0,0.0,1.2010412,7.0
6,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141003,236.0,5.0,101.0,0.0,1.6918848000000002,59.5
7,0.01,A,38.37666667,-120.03305556,20141005,20141005,6109.0,20141005,188.0,48.0,106.0,0.0,1.5776216,59.5
8,1.5,B,38.33027778,-119.84916667,20150630,20150630,6109.0,20150630,223.0,123.0,160.0,25.0,1.6,71.25
9,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141004,186.0,51.0,109.0,0.0,1.5069431,59.5
10,0.005,A,37.875,-119.8625,20150922,20150923,6109.0,20150923,193.0,55.0,122.0,0.0,1.2311072,7.0
11,0.01,A,38.20111111,-120.07972222,20141024,20141024,6109.0,20141024,148.0,58.0,101.0,0.0,1.8022556,6.0
12,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141124,54.0,-78.0,-21.0,0.0,1.3786316,6.0
13,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141128,53.0,0.0,34.0,0.0,0.6864765,6.0
14,0.1,A,38.13055556,-120.25111111,20151029,20151029,6109.0,20151029,33.0,-22.0,-3.0,0.0,2.5353749,12.0
15,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141010,143.0,24.0,76.0,0.0,1.5371709999999998,59.5
16,0.005,A,37.875,-119.8625,20150922,20150923,6109.0,20150922,189.0,86.0,134.0,0.0,2.4063718,36.0
17,0.04,A,38.19083333,-119.985,20150422,20150422,6109.0,20150422,99.0,1.0,31.0,0.0,2.5811818,96.2
18,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141009,158.0,45.0,87.0,0.0,2.3780062,59.5
19,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141127,150.0,-2.0,81.0,0.0,0.814325,6.0
20,5.1,A,38.19166667,-119.97055556,20150421,20150421,6109.0,20150421,123.0,9.0,49.0,0.0,2.9068885,96.2
21,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141125,112.0,11.0,58.0,0.0,1.5495968,6.0
22,0.11,A,38.32222222,-119.82527778,20150722,20150722,6109.0,20150722,166.0,69.0,106.0,0.0,2.8802128,60.5
23,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141129,15.0,-46.0,-16.0,229.0,1.9661192,6.0
24,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150813,198.0,99.0,144.0,0.0,1.4637282,7.0
25,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150814,190.0,108.0,143.0,0.0,1.703856,7.0
27,0.005,A,38.22194444,-119.90388889,20141003,20141006,6109.0,20141003,236.0,5.0,101.0,0.0,1.6918848000000002,59.5
28,0.1,A,37.81111111,-119.87222222,20150721,20150721,6109.0,20150721,171.0,81.0,112.0,76.0,3.321333,60.5
29,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141122,29.0,-58.0,3.0,152.0,1.5402921,6.0
30,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150815,213.0,82.0,152.0,0.0,0.7017835,7.0
31,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141024,148.0,58.0,101.0,0.0,1.8022556,6.0
32,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141130,15.0,-29.0,-13.0,51.0,2.7323296000000004,6.0
33,1.1111111111111112,C,38.33388889,-119.93222222,20150730,20150816,6109.0,20150816,221.0,109.0,161.0,0.0,1.4508618999999998,7.0
34,0.25,A,38.10583333,-120.23361111,20150922,20150922,6109.0,20150922,189.0,86.0,134.0,0.0,2.4063718,36.0
35,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141023,127.0,45.0,83.0,0.0,0.57008773,6.0
36,0.05,A,38.3225,-119.93694444,20150702,20150703,6109.0,20150702,231.0,112.0,151.0,0.0,3.7007601,71.25
37,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141011,235.0,12.0,104.0,0.0,1.0394198,59.5
38,0.01,A,38.22527778,-119.98833333,20151009,20151009,6109.0,20151009,217.0,72.0,138.0,0.0,1.0003124,10.0
39,0.0579710144927536,B,38.35666667,-119.78944444,20141003,20141210,6109.0,20141121,43.0,-57.0,-3.0,0.0,1.4977065,79.0
