,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,39.99944444,-105.38638889,20140712,20140712,8013.0,20140712,206.0,78.0,132.0,25.0,3.232854,33.0
1,0.1,A,40.2438889,-105.411389,20100607,20100607,8013.0,20100607,265.0,89.0,175.0,0.0,1.1819079,30.0
2,1.3,B,40.11638889,-105.33444444,20120305,20120305,8013.0,20120305,53.0,-66.0,-2.0,0.0,5.031199,26.0
3,0.05,A,40.07666667,-105.50472222,20150904,20150905,8013.0,20150904,179.0,89.0,121.0,25.0,2.2276669,42.6
4,0.1,A,39.94944444,-105.61555556,20120928,20120928,8013.0,20120928,111.0,-1.0,42.0,0.0,1.1541308,25.2
5,0.1,A,40.13194444,-105.53305556,20150919,20150919,8013.0,20150919,166.0,-5.0,88.0,0.0,1.6326741000000002,42.6
6,0.01,A,39.95861111,-105.39083333,20141021,20141021,8013.0,20141021,135.0,13.0,65.0,25.0,3.3057714,30.6
7,0.1,A,40.0527778,-105.4525,20100905,20100905,8013.0,20100905,208.0,90.0,155.0,0.0,4.965886,28.4
8,0.1,A,40.04166667,-105.45944444,20120628,20120628,8013.0,20120628,242.0,112.0,155.0,51.0,0.4016279,25.0
9,0.1,A,40.1652778,-105.47,20100905,20100905,8013.0,20100905,208.0,90.0,155.0,0.0,4.965886,28.4
10,0.1,A,39.94055556,-105.51638889,20140721,20140721,8013.0,20140721,241.0,126.0,173.0,0.0,2.7450507,33.0
11,375.4176470588236,G,40.03919,-105.39331,20100906,20100922,8013.0,20100907,213.0,3.0,121.0,0.0,3.1886382,28.4
12,375.5176470588236,A,40.1255556,-105.549444,20100908,20100908,8013.0,20100908,172.0,30.0,102.0,25.0,3.7233622,28.4
13,375.4176470588236,G,40.03919,-105.39331,20100906,20100922,8013.0,20100909,193.0,19.0,104.0,0.0,4.458803,24.8
14,0.5,B,39.95361111,-105.41805556,20120801,20120801,8013.0,20120801,201.0,78.0,129.0,51.0,1.6322938,35.6
15,0.1,A,40.1319444,-105.395833,20100910,20100910,8013.0,20100910,283.0,-1.0,63.0,0.0,4.070629,24.8
16,375.4176470588236,G,40.03919,-105.39331,20100906,20100922,8013.0,20100906,119.0,-13.0,67.0,0.0,4.9150057,28.4
17,375.4176470588236,G,40.03919,-105.39331,20100906,20100922,8013.0,20100910,283.0,-1.0,63.0,0.0,4.070629,24.8
18,0.1,A,40.07416667,-105.39694444,20140531,20140531,8013.0,20140531,215.0,58.0,129.0,0.0,1.4713908000000002,26.6
19,0.6,B,40.0613889,-105.448333,20100601,20100601,8013.0,20100601,153.0,-1.0,81.0,0.0,1.8214853,26.5
