,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0166666666666666,A,38.28944444,-105.71777778,20140715,20140720,8015.0,20140718,188.0,40.0,111.0,25.0,1.3781816999999998,41.6
1,0.1,A,38.56053,-106.12406,20150918,20150918,8015.0,20150918,156.0,8.0,81.0,0.0,1.6165162,46.2
2,0.05,A,38.45361111,-105.9475,20140713,20140716,8015.0,20140716,191.0,53.0,109.0,25.0,2.236064,41.6
3,0.0499999999999999,B,38.8382,-106.093497,20140824,20140829,8015.0,20140826,167.0,34.0,91.0,76.0,1.7996941000000002,41.6
4,0.05,A,38.45361111,-105.9475,20140713,20140716,8015.0,20140713,197.0,55.0,118.0,0.0,1.8513149,41.6
5,0.02,A,38.7256,-106.052803,20100805,20100809,8015.0,20100805,209.0,39.0,99.0,25.0,1.0124221,42.6
6,0.0499999999999999,B,38.8382,-106.093497,20140824,20140829,8015.0,20140824,165.0,42.0,89.0,0.0,1.9572664,41.6
7,0.6,B,39.0052778,-106.346667,20100630,20100630,8015.0,20100630,210.0,29.0,112.0,25.0,2.4505072,42.6
8,0.0166666666666666,A,38.28944444,-105.71777778,20140715,20140720,8015.0,20140719,180.0,52.0,104.0,76.0,1.8940477,41.6
9,0.1,A,38.80833333,-106.26333333,20120626,20120626,8015.0,20120626,238.0,68.0,132.0,76.0,3.7326782,37.3
10,0.1,A,38.9016667,-106.115278,20100703,20100703,8015.0,20100703,198.0,42.0,107.0,0.0,3.8232024,42.6
11,0.0499999999999999,B,38.8382,-106.093497,20140824,20140829,8015.0,20140828,128.0,30.0,72.0,25.0,2.4769797,41.6
13,0.02,A,38.7256,-106.052803,20100805,20100809,8015.0,20100809,168.0,44.0,103.0,25.0,1.7184080000000002,53.286
14,0.05,A,38.45361111,-105.9475,20140713,20140716,8015.0,20140715,186.0,53.0,101.0,102.0,1.7156432,41.6
15,0.1,A,38.88777778,-106.10888889,20120506,20120506,8015.0,20120506,96.0,-12.0,36.0,25.0,1.5116165,36.333
16,0.1,A,38.9866667,-106.447778,20100727,20100727,8015.0,20100727,217.0,72.0,132.0,25.0,1.6100983999999998,42.6
17,0.25,A,38.38305556,-106.18083333,20130615,20130615,8015.0,20130615,187.0,15.0,107.0,0.0,2.0715528,38.9
