,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,38.91108,-107.57969,20150624,20150624,8029.0,20150624,221.0,67.0,132.0,0.0,1.9256492,62.333
1,0.0125,A,38.7264,-107.8619,20100920,20100927,8029.0,20100927,200.0,47.0,114.0,0.0,1.7415177,85.0
2,0.1,A,38.78047,-107.85241,20140525,20140525,8029.0,20140525,78.0,6.0,29.0,102.0,1.1462041,110.333
3,0.1,A,39.11027778,-107.57444444,20120628,20120628,8029.0,20120628,230.0,93.0,159.0,0.0,2.6836154,77.0
4,0.1,A,38.8906,-107.5603,20100830,20100830,8029.0,20100830,130.0,56.0,97.0,76.0,4.964617700000002,101.667
5,0.025,A,38.7289,-107.8036,20100920,20100927,8029.0,20100925,176.0,10.0,85.0,0.0,2.0,85.0
6,0.0125,A,38.7289,-107.8036,20100920,20100927,8029.0,20100926,197.0,31.0,109.0,0.0,0.5048772,85.0
7,0.85,A,39.07694444,-107.57805556,20120629,20120629,8029.0,20120629,234.0,86.0,146.0,0.0,2.1370108,77.0
8,12.666666666666666,C,38.84813,-107.51432,20140518,20140520,8029.0,20140518,151.0,5.0,85.0,0.0,2.9880438,111.667
9,0.0125,A,38.7289,-107.8036,20100920,20100927,8029.0,20100921,174.0,35.0,100.0,0.0,2.4865227,95.667
10,0.1,A,38.8158,-108.2975,20121026,20121026,8029.0,20121026,11.0,-128.0,-66.0,0.0,0.35355338,80.333
11,0.1,A,38.8663,-107.763,20150630,20150630,8029.0,20150630,252.0,89.0,165.0,25.0,0.12500003,121.4
12,0.0333333333333333,A,38.862,-107.755997,20150630,20150702,8029.0,20150702,231.0,93.0,154.0,0.0,0.47762433,108.333
13,0.3333333333333333,B,38.87883,-107.53522,20100816,20100818,8029.0,20100817,191.0,52.0,112.0,0.0,1.871075,101.667
