,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.6666666666666666,B,37.82055556,-108.57944444,20140712,20140714,8033.0,20140714,200.0,92.0,133.0,0.0,0.35355338,66.143
2,0.1,A,37.38436,-108.71812,20130719,20130719,8033.0,20130719,194.0,62.0,124.0,0.0,0.22359997,71.429
4,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140530,154.0,26.0,79.0,25.0,1.5700348999999998,96.1429999999999
5,0.3,B,37.67359,-108.86189,20130722,20130722,8033.0,20130722,203.0,83.0,137.0,25.0,2.588609,71.429
6,0.1,A,37.72,-108.8492,20120602,20120602,8033.0,20120602,221.0,34.0,120.0,0.0,2.350538,68.857
7,0.02,A,37.77052,-108.74465,20140715,20140719,8033.0,20140717,233.0,55.0,133.0,0.0,1.6282798,66.143
8,0.02,A,37.77052,-108.74465,20140715,20140719,8033.0,20140716,159.0,74.0,112.0,51.0,3.8052626,66.143
9,0.1,A,37.855,-108.3483,20120602,20120602,8033.0,20120602,221.0,34.0,120.0,0.0,2.350538,68.857
11,0.02,A,37.77052,-108.74465,20140715,20140719,8033.0,20140718,233.0,46.0,134.0,0.0,2.2030196,66.143
13,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140531,211.0,30.0,118.0,0.0,2.3360012,96.1429999999999
14,0.1,A,37.65833333,-108.65416667,20120608,20120608,8033.0,20120608,192.0,32.0,126.0,0.0,4.0315967000000015,68.857
17,0.05,A,37.64138889,-108.11694444,20150814,20150815,8033.0,20150814,222.0,56.0,132.0,0.0,1.0819542,104.5
18,0.3,B,37.65263,-108.92318,20140707,20140707,8033.0,20140707,222.0,67.0,131.0,0.0,1.2756605,68.333
19,0.2,A,37.75333333,-108.70527778,20140727,20140727,8033.0,20140727,183.0,85.0,123.0,25.0,0.82540923,66.143
20,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140605,153.0,54.0,104.0,0.0,1.6207666,96.1429999999999
21,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140529,158.0,47.0,99.0,0.0,2.969663,96.1429999999999
23,0.1,A,37.3447,-108.415,20120810,20120810,8033.0,20120810,202.0,50.0,123.0,0.0,2.0223753,74.143
24,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140601,201.0,14.0,106.0,0.0,3.8833013,96.1429999999999
25,0.1,A,37.8,-107.93972222,20121017,20121017,8033.0,20121017,103.0,-11.0,43.0,0.0,4.762654,85.429
27,0.1,A,37.70666667,-108.17083333,20150704,20150704,8033.0,20150704,196.0,57.0,110.0,76.0,2.0336237,78.857
28,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140604,186.0,9.0,101.0,0.0,2.482943,96.1429999999999
30,0.1,A,37.71444444,-108.23111111,20150718,20150718,8033.0,20150718,146.0,63.0,96.0,0.0,4.0159836,78.857
31,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140606,153.0,57.0,103.0,0.0,1.289491,96.1429999999999
32,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140603,204.0,24.0,127.0,0.0,3.812931,96.1429999999999
33,0.6666666666666666,B,37.82055556,-108.57944444,20140712,20140714,8033.0,20140713,214.0,69.0,142.0,0.0,1.8378808,66.143
34,0.15,B,37.7672,-108.4378,20140528,20140606,8033.0,20140528,186.0,21.0,113.0,25.0,1.2200011999999998,96.1429999999999
35,0.02,A,37.77052,-108.74465,20140715,20140719,8033.0,20140719,239.0,62.0,136.0,0.0,2.40601,66.143
37,0.05,A,37.64138889,-108.11694444,20150814,20150815,8033.0,20150815,215.0,77.0,144.0,0.0,1.3259431000000002,104.5
39,0.1,A,38.0942,-108.9804,20140714,20140714,8033.0,20140714,200.0,92.0,133.0,0.0,0.35355338,66.143
