,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,39.65083333,-106.38527778,20150711,20150711,8037.0,20150711,200.0,69.0,114.0,0.0,2.6201146,96.2
1,0.1,A,39.55027778,-106.81888889,20140629,20140629,8037.0,20140629,196.0,90.0,148.0,0.0,2.8640015,130.75
2,0.1,A,39.66,-106.8108,20150818,20150818,8037.0,20150818,185.0,68.0,124.0,0.0,2.0359273,84.2
4,0.1,A,39.5491667,-106.406111,20100629,20100629,8037.0,20100629,206.0,95.0,142.0,0.0,1.8973665,121.25
5,0.2,A,39.4022,-107.078,20100720,20100720,8037.0,20100720,223.0,94.0,163.0,0.0,0.99034935,107.5
6,0.1,A,39.5663889,-106.394722,20100911,20100911,8037.0,20100911,148.0,21.0,83.0,0.0,2.0718386000000004,97.5
7,0.1,A,39.6547,-106.9025,20120719,20120719,8037.0,20120719,222.0,117.0,154.0,51.0,0.5411986,103.0
8,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150720,212.0,64.0,121.0,76.0,0.27041635,101.5
9,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150724,197.0,86.0,132.0,0.0,1.541509,101.5
10,0.1,A,39.658,-106.9561,20100815,20100815,8037.0,20100815,253.0,92.0,164.0,25.0,1.8732096,97.5
11,0.1,A,39.55027778,-106.81972222,20140629,20140629,8037.0,20140629,196.0,90.0,148.0,0.0,2.8640015,130.75
12,0.01,A,39.43555556,-106.80638889,20140817,20140817,8037.0,20140817,197.0,105.0,151.0,0.0,1.6469336,93.4
13,0.1,A,39.6222,-106.905,20150703,20150703,8037.0,20150703,200.0,96.0,153.0,0.0,1.6994485,96.2
14,0.15,B,39.65666667,-106.39972222,20140707,20140708,8037.0,20140708,259.0,95.0,174.0,0.0,2.3576262000000003,94.0
15,0.1,A,39.6767,-107.093,20100816,20100816,8037.0,20100816,167.0,70.0,113.0,76.0,0.51419723,97.5
16,0.1,A,39.5033333,-106.511111,20100627,20100627,8037.0,20100627,229.0,75.0,145.0,0.0,0.38326827,121.25
17,0.3,B,39.91397,-106.68642,20140628,20140630,8037.0,20140629,196.0,90.0,148.0,0.0,2.8640015,130.75
18,0.05,A,39.8739,-106.885,20140522,20140523,8037.0,20140523,125.0,31.0,71.0,25.0,1.2924352,130.75
19,0.2,A,39.6511,-106.9219,20150824,20150824,8037.0,20150824,229.0,100.0,161.0,0.0,0.84038687,84.2
20,0.1,A,39.4416667,-106.395833,20100816,20100816,8037.0,20100816,167.0,70.0,113.0,76.0,0.51419723,97.5
21,0.2,A,39.6231,-106.9067,20150819,20150819,8037.0,20150819,164.0,32.0,103.0,0.0,0.325,84.2
22,0.1,A,39.55027778,-106.2,20150925,20150925,8037.0,20150925,223.0,76.0,133.0,0.0,0.7040063,83.667
23,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150725,238.0,75.0,149.0,0.0,2.0223749,101.5
24,0.1,A,39.4827778,-106.682778,20100627,20100627,8037.0,20100627,229.0,75.0,145.0,0.0,0.38326827,121.25
26,0.1,A,39.6127778,-106.394722,20100711,20100711,8037.0,20100711,194.0,67.0,108.0,0.0,2.503378,107.5
27,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150703,200.0,96.0,153.0,0.0,1.6994485,96.2
28,0.2,A,39.5033333,-106.514444,20100718,20100718,8037.0,20100718,246.0,128.0,179.0,0.0,1.389167,107.5
29,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150723,205.0,90.0,150.0,0.0,3.2650611,101.5
30,0.1,A,39.6219,-106.9069,20150817,20150817,8037.0,20150817,226.0,86.0,136.0,25.0,1.4450346,84.2
31,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150713,177.0,81.0,124.0,203.0,1.6524603,96.2
32,0.05,A,39.5892,-107.0094,20140723,20140724,8037.0,20140723,267.0,122.0,169.0,25.0,2.5094423,93.4
34,0.3,B,39.91397,-106.68642,20140628,20140630,8037.0,20140630,244.0,98.0,165.0,0.0,2.985028,130.75
35,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150622,260.0,119.0,182.0,0.0,1.5821267,119.2
36,0.1,A,39.5047222,-106.682778,20100718,20100718,8037.0,20100718,246.0,128.0,179.0,0.0,1.389167,107.5
37,0.1,A,39.6803,-106.7897,20120721,20120721,8037.0,20120721,253.0,109.0,155.0,25.0,0.83570325,103.0
38,0.1,A,39.6897222,-106.422778,20100718,20100718,8037.0,20100718,246.0,128.0,179.0,0.0,1.389167,107.5
39,0.1,A,39.6094,-106.8036,20120720,20120720,8037.0,20120720,251.0,111.0,167.0,0.0,0.9204871,103.0
40,0.1,A,39.4925,-106.839722,20100627,20100627,8037.0,20100627,229.0,75.0,145.0,0.0,0.38326827,121.25
41,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150705,155.0,90.0,115.0,152.0,2.3476052000000003,96.2
42,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150702,194.0,118.0,152.0,0.0,0.36912057,96.2
43,0.1,A,39.6411,-106.88,20100721,20100721,8037.0,20100721,185.0,103.0,135.0,76.0,3.1312895,107.5
44,0.2666666666666666,B,39.6653,-106.8717,20100823,20100825,8037.0,20100825,248.0,81.0,152.0,0.0,1.3416407,97.5
45,0.1,A,39.6925,-106.9564,20140819,20140819,8037.0,20140819,177.0,79.0,115.0,25.0,1.1494843,93.4
46,0.0333333333333333,A,39.71528,-106.69373,20150720,20150722,8037.0,20150721,156.0,71.0,107.0,102.0,1.1227756000000002,101.5
47,0.1,A,39.5633333,-106.819722,20100713,20100713,8037.0,20100713,211.0,117.0,158.0,0.0,4.0566510000000005,107.5
48,0.1,A,39.675,-106.6375,20130813,20130813,8037.0,20130813,207.0,69.0,122.0,25.0,0.8091961,99.25
49,0.3,B,39.6583,-106.8192,20100714,20100714,8037.0,20100714,218.0,109.0,158.0,0.0,2.5982456000000003,107.5
50,0.1,A,39.6511,-106.783,20140816,20140816,8037.0,20140816,246.0,71.0,153.0,0.0,1.353848,93.4
51,0.1,A,39.698,-107.0728,20100808,20100808,8037.0,20100808,195.0,99.0,138.0,0.0,1.5700348999999998,97.5
52,0.1,A,39.7375,-106.7125,20140722,20140722,8037.0,20140722,284.0,97.0,186.0,0.0,0.6519295999999999,93.4
53,0.1,A,39.6966667,-106.436667,20100620,20100620,8037.0,20100620,237.0,82.0,153.0,0.0,2.4189653,121.25
54,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150708,129.0,68.0,99.0,76.0,1.1632391000000002,96.2
55,0.1,A,39.762396,-107.096287,20120711,20120711,8037.0,20120711,260.0,99.0,170.0,0.0,0.8052309,103.0
56,0.1,A,39.4802778,-106.788611,20100906,20100906,8037.0,20100906,128.0,43.0,84.0,0.0,3.7895746,97.5
57,0.1,A,39.4461111,-106.395278,20100808,20100808,8037.0,20100808,195.0,99.0,138.0,0.0,1.5700348999999998,97.5
58,0.05,A,39.67,-107.0003,20150616,20150617,8037.0,20150617,212.0,90.0,150.0,0.0,0.37583244,119.2
59,0.1,A,39.5033333,-106.680833,20100808,20100808,8037.0,20100808,195.0,99.0,138.0,0.0,1.5700348999999998,97.5
60,0.1,A,39.5019444,-106.678333,20100906,20100906,8037.0,20100906,128.0,43.0,84.0,0.0,3.7895746,97.5
61,0.15,A,39.6117,-106.9192,20140522,20140522,8037.0,20140522,171.0,51.0,104.0,0.0,2.1006043,130.75
62,0.1,A,39.055433,-106.9049,20150822,20150822,8037.0,20150822,190.0,102.0,144.0,0.0,3.1820786,84.2
63,0.1,A,39.5016667,-106.676389,20100620,20100620,8037.0,20100620,237.0,82.0,153.0,0.0,2.4189653,121.25
65,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150620,211.0,123.0,167.0,0.0,2.05,119.2
66,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150728,179.0,76.0,130.0,0.0,3.1819806,101.5
67,0.1,A,39.6014,-106.8664,20140816,20140816,8037.0,20140816,246.0,71.0,153.0,0.0,1.353848,93.4
68,0.1,A,39.6925,-106.426944,20100620,20100620,8037.0,20100620,237.0,82.0,153.0,0.0,2.4189653,121.25
69,0.1,A,39.66361111,-106.40222222,20140816,20140816,8037.0,20140816,246.0,71.0,153.0,0.0,1.353848,93.4
70,0.2,A,39.4913889,-106.658889,20100620,20100620,8037.0,20100620,237.0,82.0,153.0,0.0,2.4189653,121.25
71,0.1,A,39.5136111,-106.8125,20100904,20100904,8037.0,20100904,241.0,79.0,148.0,0.0,2.850006,97.5
72,0.1,A,39.5052778,-106.682778,20100906,20100906,8037.0,20100906,128.0,43.0,84.0,0.0,3.7895746,97.5
73,0.2666666666666666,B,39.6653,-106.8717,20100823,20100825,8037.0,20100824,190.0,74.0,129.0,0.0,2.0924609,97.5
74,0.3666666666666666,B,39.6653,-106.8717,20100823,20100825,8037.0,20100823,231.0,83.0,156.0,0.0,2.629622,97.5
75,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150712,231.0,74.0,152.0,0.0,4.3451843,96.2
76,0.0333333333333333,A,39.71528,-106.69373,20150720,20150722,8037.0,20150722,156.0,66.0,114.0,0.0,2.9488347000000004,101.5
77,0.1,A,39.68416667,-107.26666667,20150614,20150614,8037.0,20150614,160.0,66.0,110.0,0.0,1.502082,119.2
78,0.1,A,39.648,-106.7678,20100812,20100812,8037.0,20100812,220.0,76.0,133.0,0.0,4.0680857,97.5
79,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150721,156.0,71.0,107.0,102.0,1.1227756000000002,101.5
80,0.3,B,39.6792,-107.0997,20140702,20140702,8037.0,20140702,193.0,72.0,138.0,0.0,2.0715477,130.75
81,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150704,196.0,104.0,147.0,0.0,1.0049875,96.2
82,0.1,A,39.7255,-107.0453,20100812,20100812,8037.0,20100812,220.0,76.0,133.0,0.0,4.0680857,97.5
83,0.1,A,39.6167,-106.9203,20130818,20130818,8037.0,20130818,251.0,98.0,147.0,25.0,1.8668133,99.25
84,0.1,A,39.6222,-106.905,20150704,20150704,8037.0,20150704,196.0,104.0,147.0,0.0,1.0049875,96.2
85,0.1,A,39.4722222,-106.366667,20100606,20100606,8037.0,20100606,242.0,99.0,175.0,0.0,1.193651,92.8
87,0.1,A,39.4133333,-106.428889,20100909,20100909,8037.0,20100909,155.0,58.0,97.0,0.0,5.126657,97.5
88,0.1,A,39.655,-106.975,20150704,20150704,8037.0,20150704,196.0,104.0,147.0,0.0,1.0049875,96.2
89,0.1,A,39.703,-106.9633,20140627,20140627,8037.0,20140627,132.0,40.0,94.0,25.0,3.1048357,130.75
90,0.1059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150726,184.0,116.0,148.0,0.0,1.9680257,101.5
91,0.05,A,39.67,-107.0003,20150616,20150617,8037.0,20150616,192.0,82.0,127.0,25.0,2.5720859000000003,119.2
92,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150729,211.0,81.0,146.0,0.0,1.3865424,101.5
93,0.1,A,39.6622222,-106.403056,20100619,20100619,8037.0,20100619,237.0,83.0,156.0,0.0,1.7755286,121.25
94,0.1,A,39.65638889,-106.56638889,20130617,20130617,8037.0,20130617,203.0,75.0,136.0,0.0,1.6906797999999998,146.5
95,0.1,A,39.6503,-106.9733,20150601,20150601,8037.0,20150601,168.0,76.0,117.0,0.0,2.6563604,128.8
96,0.1,A,39.565,-106.818889,20100822,20100822,8037.0,20100822,235.0,114.0,162.0,0.0,3.855228700000001,97.5
97,0.3,B,39.91397,-106.68642,20140628,20140630,8037.0,20140628,192.0,59.0,128.0,0.0,4.3219633,130.75
98,0.1,A,39.5033333,-106.680556,20100822,20100822,8037.0,20100822,235.0,114.0,162.0,0.0,3.855228700000001,97.5
99,0.1,A,39.89777778,-107.05944444,20150621,20150621,8037.0,20150621,240.0,118.0,185.0,0.0,3.335135,119.2
101,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150727,199.0,91.0,150.0,0.0,4.0459857,101.5
102,0.1,A,39.6147,-106.8072,20150702,20150702,8037.0,20150702,194.0,118.0,152.0,0.0,0.36912057,96.2
103,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150621,240.0,118.0,185.0,0.0,3.335135,119.2
104,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150722,156.0,66.0,114.0,0.0,2.9488347000000004,101.5
105,0.1,A,39.5013889,-106.675556,20100822,20100822,8037.0,20100822,235.0,114.0,162.0,0.0,3.855228700000001,97.5
106,0.1,A,39.5025,-106.676111,20100606,20100606,8037.0,20100606,242.0,99.0,175.0,0.0,1.193651,92.8
108,0.75,B,39.6844,-106.8622,20100915,20100916,8037.0,20100915,171.0,74.0,117.0,0.0,2.546081,97.5
109,0.0166666666666666,A,39.79555556,-106.44277778,20151009,20151014,8037.0,20151014,195.0,38.0,100.0,0.0,3.1860046000000004,83.667
110,0.0059523809523809,A,39.90027778,-107.04805556,20150620,20150731,8037.0,20150718,188.0,77.0,120.0,51.0,1.0307765,96.2
111,0.05,A,39.5892,-107.0094,20140723,20140724,8037.0,20140724,194.0,91.0,147.0,25.0,4.6040626,93.4
112,8.0,B,39.7042,-106.82,20120628,20120628,8037.0,20120628,260.0,120.0,169.0,0.0,2.9970944,103.0
