,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,39.17972222,-105.11805556,20140704,20140705,8041.0,20140704,322.0,150.0,222.0,20.0,1.4727246,31.5
2,0.1,A,38.87527778,-104.98805556,20130707,20130707,8041.0,20130707,311.0,144.0,218.0,3.0,0.70879394,44.4
4,0.1,A,38.9625,-105.00277778,20140518,20140518,8041.0,20140518,261.0,56.0,140.0,0.0,2.9932227000000005,40.375
6,0.1,A,39.07083333,-104.96055556,20150503,20150503,8041.0,20150503,239.0,72.0,158.0,0.0,1.6211493,51.6
7,0.875,B,39.04472222,-104.98388889,20140125,20140126,8041.0,20140125,133.0,-21.0,57.0,0.0,4.8050394,40.4
8,0.1,A,38.92305556,-105.035,20140305,20140305,8041.0,20140305,117.0,-21.0,47.0,0.0,2.2804391,40.8
11,0.1,A,38.85222222,-104.9375,20140705,20140705,8041.0,20140705,333.0,133.0,237.0,0.0,1.16055,31.5
13,0.1,A,38.97083333,-105.00638889,20140615,20140615,8041.0,20140615,250.0,61.0,154.0,0.0,1.9163595,31.25
14,0.875,B,39.04472222,-104.98388889,20140125,20140126,8041.0,20140126,150.0,-60.0,57.0,0.0,5.7118297,40.4
16,0.1,A,39.01666667,-104.98305556,20140628,20140628,8041.0,20140628,300.0,106.0,199.0,0.0,4.1964703000000005,42.733
17,0.1,A,38.96194444,-104.99944444,20140705,20140705,8041.0,20140705,333.0,133.0,237.0,0.0,1.16055,31.5
18,0.1,A,39.02805556,-105.0,20130406,20130406,8041.0,20130406,178.0,28.0,124.0,0.0,3.9317784,34.667
19,0.05,A,38.98333333,-104.96638889,20140715,20140716,8041.0,20140715,178.0,139.0,160.0,28.0,2.6725495,49.333
21,0.1,A,39.08888889,-104.90611111,20150528,20150528,8041.0,20150528,239.0,83.0,168.0,58.0,2.1931713,56.5
23,0.1,A,38.77333333,-104.91472222,20130713,20130713,8041.0,20130713,306.0,183.0,239.0,0.0,0.5590184,44.4
24,0.25,A,39.09027778,-104.91333333,20140326,20140326,8041.0,20140326,189.0,-21.0,75.0,0.0,5.133758,42.8
25,0.1,A,38.92,-104.96777778,20130707,20130707,8041.0,20130707,311.0,144.0,218.0,3.0,0.70879394,44.4
26,0.1,A,39.0275,-105.00388889,20140901,20140901,8041.0,20140901,256.0,111.0,183.0,0.0,1.263845,46.2
27,0.05,A,38.98333333,-104.96638889,20140715,20140716,8041.0,20140716,256.0,117.0,166.0,198.0,0.84853673,49.333
28,0.05,A,39.17972222,-105.11805556,20140704,20140705,8041.0,20140705,333.0,133.0,237.0,0.0,1.16055,31.5
29,0.1,A,38.96666667,-104.99972222,20140629,20140629,8041.0,20140629,356.0,122.0,237.0,0.0,1.7755264,42.733
33,0.1,A,39.07111111,-104.95166667,20151018,20151018,8041.0,20151018,239.0,72.0,143.0,0.0,2.971216,29.0
36,0.0333333333333333,A,39.18722222,-104.95555556,20130813,20130815,8041.0,20130814,256.0,117.0,176.0,20.0,0.711967,42.273
40,2.0,B,38.66526,-104.92055,20050724,20050725,8041.0,20050724,328.0,156.0,244.0,13.0,0.56824493,53.25
43,0.05,A,39.02361111,-104.98055556,20130824,20130825,8041.0,20130825,294.0,144.0,226.0,0.0,2.5446584,30.5
48,0.125,A,39.2,-105.13333333,20130616,20130617,8041.0,20130617,267.0,100.0,189.0,3.0,1.6475527,19.833
50,0.05,A,39.06777778,-104.95333333,20130616,20130617,8041.0,20130616,261.0,106.0,184.0,0.0,0.42521054,19.833
51,0.125,A,39.0725,-104.95305556,20130608,20130609,8041.0,20130609,300.0,94.0,199.0,0.0,1.5701346,25.5
55,2.0,B,38.66526,-104.92055,20050724,20050725,8041.0,20050725,306.0,156.0,233.0,36.0,1.2179447,53.25
66,0.05,A,39.06777778,-104.95333333,20130616,20130617,8041.0,20130617,267.0,100.0,189.0,3.0,1.6475527,19.833
71,0.1,A,39.08194444,-104.89472222,20050816,20050816,8041.0,20050816,328.0,183.0,256.0,0.0,1.8502493,75.333
74,0.05,A,39.12888889,-105.30888889,20130914,20130915,8041.0,20130915,200.0,117.0,154.0,389.0,1.8195871,33.833
87,0.0333333333333333,A,39.18722222,-104.95555556,20130813,20130815,8041.0,20130813,239.0,111.0,168.0,236.0,0.37335867,42.273
94,0.125,A,39.2,-105.13333333,20130616,20130617,8041.0,20130616,261.0,106.0,184.0,0.0,0.42521054,19.833
100,0.05,A,39.12888889,-105.30888889,20130914,20130915,8041.0,20130914,239.0,117.0,173.0,10.0,1.9233832,33.833
111,0.0333333333333333,A,39.18722222,-104.95555556,20130813,20130815,8041.0,20130815,289.0,111.0,196.0,0.0,0.65145427,42.273
114,0.125,A,39.0725,-104.95305556,20130608,20130609,8041.0,20130608,272.0,100.0,200.0,0.0,2.2840612,25.5
115,0.05,A,39.02361111,-104.98055556,20130824,20130825,8041.0,20130824,289.0,128.0,217.0,0.0,2.3753990000000003,30.75
