,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,5.0,C,39.9953,-106.5,20100521,20100524,8049.0,20100522,135.0,11.0,77.0,0.0,4.7601805,193.0
1,0.05,A,39.90527778,-105.78916667,20150702,20150703,8049.0,20150703,221.0,41.0,137.0,0.0,1.6994485,107.25
2,0.1,A,40.21805556,-105.88722222,20121012,20121012,8049.0,20121012,113.0,-24.0,32.0,152.0,2.8200781000000004,80.0
3,128.6,E,40.0514,-106.1478,20150824,20150828,8049.0,20150828,147.0,46.0,84.0,0.0,1.4285045,105.0
4,0.0333333333333333,A,40.15166667,-106.24916667,20140725,20140727,8049.0,20140726,194.0,62.0,109.0,0.0,1.2078483,100.0
5,0.1,A,39.90083333,-105.81555556,20130704,20130704,8049.0,20130704,189.0,55.0,122.0,0.0,0.76485175,95.0
6,0.025,A,40.00138889,-105.99083333,20150504,20150507,8049.0,20150507,85.0,-20.0,14.0,102.0,1.520074,96.75
7,0.0166666666666666,A,40.05111111,-105.77805556,20140917,20140922,8049.0,20140919,224.0,45.0,124.0,0.0,1.822752,92.0
8,5.0,C,39.9953,-106.5,20100521,20100524,8049.0,20100521,139.0,-16.0,85.0,0.0,1.4773303999999998,193.0
9,0.1,A,40.05114,-106.34353,20141019,20141019,8049.0,20141019,119.0,9.0,48.0,0.0,1.0325938,79.25
10,0.1,A,40.16694444,-106.58722222,20130815,20130815,8049.0,20130815,174.0,55.0,113.0,0.0,0.7582270999999999,85.25
11,0.1,A,40.0256,-105.8397,20140726,20140726,8049.0,20140726,194.0,62.0,109.0,0.0,1.2078483,100.0
12,0.01,A,40.25388889,-105.89388889,20140705,20140705,8049.0,20140705,201.0,45.0,112.0,0.0,1.3064853,89.8
13,128.6,E,40.0514,-106.1478,20150824,20150828,8049.0,20150827,117.0,58.0,82.0,25.0,3.6784847,105.0
14,0.1,A,40.1458,-106.0028,20120714,20120714,8049.0,20120714,197.0,67.0,112.0,51.0,2.4331157,91.0
15,0.025,A,40.00138889,-105.99083333,20150504,20150507,8049.0,20150506,114.0,0.0,48.0,51.0,2.9801428,96.75
16,0.1,A,40.15972222,-105.83722222,20140718,20140718,8049.0,20140718,234.0,61.0,141.0,0.0,2.118961,100.0
17,190.0,D,40.0533,-106.1442,20101016,20101016,8049.0,20101016,122.0,-10.0,46.0,0.0,1.3465925,74.5
18,0.05,A,40.09533,-106.07591,20100719,20100720,8049.0,20100719,236.0,79.0,144.0,25.0,3.6189694,93.75
19,0.0166666666666666,A,40.05111111,-105.77805556,20140917,20140922,8049.0,20140917,175.0,39.0,99.0,0.0,1.6807799,92.0
20,0.1,A,40.2225,-105.93611111,20120819,20120819,8049.0,20120819,186.0,36.0,108.0,0.0,1.1199951,81.5
21,0.1,A,40.12972222,-105.76777778,20140603,20140603,8049.0,20140603,148.0,45.0,106.0,0.0,2.6463938,93.25
22,0.05,A,40.09533,-106.07591,20100719,20100720,8049.0,20100720,211.0,89.0,134.0,0.0,0.99034935,93.75
23,0.0166666666666666,A,40.05111111,-105.77805556,20140917,20140922,8049.0,20140921,119.0,51.0,69.0,178.0,2.5401797000000004,79.25
24,0.1,A,40.2216667,-105.887222,20100709,20100709,8049.0,20100709,185.0,5.0,94.0,0.0,1.021424,160.0
25,0.1,A,40.22527778,-105.88861111,20150705,20150705,8049.0,20150705,178.0,52.0,116.0,51.0,2.3476052000000003,107.25
26,0.1,A,39.99406,-106.2506,20150913,20150913,8049.0,20150913,174.0,72.0,117.0,0.0,2.813472,85.25
27,0.0333333333333333,A,40.15166667,-106.24916667,20140725,20140727,8049.0,20140725,206.0,79.0,122.0,0.0,2.621228,100.0
