,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.05,A,37.74222222,-105.44833333,20140702,20140703,8055.0,20140703,238.0,72.0,123.0,102.0,2.6879447,58.0
1,0.05,A,37.74222222,-105.44833333,20140702,20140703,8055.0,20140702,142.0,71.0,104.0,0.0,3.3920188,58.0
2,0.0166666666666666,A,37.8136,-105.058503,20150618,20150623,8055.0,20150623,228.0,118.0,159.0,0.0,3.3661926,69.875
3,0.1,A,37.90611111,-104.96472222,20130714,20130714,8055.0,20130714,211.0,99.0,129.0,457.0,2.2110875,54.375
4,0.0166666666666666,A,37.74898,-105.02902,20140711,20140716,8055.0,20140712,208.0,80.0,111.0,305.0,1.6477023000000002,60.0
5,0.0166666666666666,A,37.8136,-105.058503,20150618,20150623,8055.0,20150620,219.0,115.0,166.0,0.0,1.5890248,69.875
6,0.0166666666666666,A,37.8136,-105.058503,20150618,20150623,8055.0,20150619,218.0,78.0,157.0,0.0,1.9080423,69.875
7,0.0166666666666666,A,37.74898,-105.02902,20140711,20140716,8055.0,20140711,215.0,65.0,133.0,432.0,1.8332559,60.0
8,0.12,A,37.93916667,-105.19777778,20120426,20120426,8055.0,20120426,152.0,-2.0,88.0,0.0,2.2730522,42.143
9,0.02,A,37.8725,-104.9533,20100627,20100701,8055.0,20100628,168.0,72.0,103.0,0.0,2.525334,60.5
10,0.02,A,37.8725,-104.9533,20100627,20100701,8055.0,20100630,185.0,65.0,122.0,0.0,3.592042,60.5
11,0.0166666666666666,A,37.74898,-105.02902,20140711,20140716,8055.0,20140715,208.0,80.0,122.0,25.0,2.0402262,60.0
12,0.1,A,37.88138889,-105.0125,20150627,20150627,8055.0,20150627,210.0,91.0,139.0,0.0,1.4055693,69.875
13,0.02,A,37.8725,-104.9533,20100627,20100701,8055.0,20100701,202.0,81.0,136.0,0.0,3.6040177,60.5
14,0.0166666666666666,A,37.8136,-105.058503,20150618,20150623,8055.0,20150621,248.0,128.0,185.0,0.0,1.4317821000000002,69.875
15,0.02,A,37.8725,-104.9533,20100627,20100701,8055.0,20100629,182.0,69.0,124.0,0.0,2.9601588,60.5
16,0.0166666666666666,A,37.74898,-105.02902,20140711,20140716,8055.0,20140716,193.0,70.0,132.0,51.0,1.5109317,60.0
17,0.1,A,37.32416667,-105.16083333,20150917,20150917,8055.0,20150917,192.0,91.0,137.0,0.0,3.959561,59.25
18,0.0166666666666666,A,37.74898,-105.02902,20140711,20140716,8055.0,20140713,171.0,87.0,123.0,51.0,1.5621738,60.0
19,0.02,A,37.8725,-104.9533,20100627,20100701,8055.0,20100627,175.0,69.0,106.0,0.0,1.5089437,60.5
20,0.0166666666666666,A,37.74898,-105.02902,20140711,20140716,8055.0,20140714,195.0,78.0,124.0,51.0,1.2257621,60.0
21,0.0166666666666666,A,37.8136,-105.058503,20150618,20150623,8055.0,20150618,226.0,50.0,131.0,127.0,0.6543127,69.875
22,0.0166666666666666,A,37.8136,-105.058503,20150618,20150623,8055.0,20150622,249.0,120.0,184.0,0.0,1.8750001,69.875
23,0.1,A,37.935,-105.18722222,20120708,20120708,8055.0,20120708,177.0,73.0,111.0,25.0,1.0113333,55.375
25,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130706,227.0,77.0,140.0,203.0,0.93941766,54.375
26,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130717,175.0,57.0,117.0,0.0,3.8158739,57.75
28,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080902,123.0,36.0,73.0,0.0,1.5414636999999998,65.375
29,0.0125,A,37.724244,-105.209291,20090917,20090924,8055.0,20090923,38.0,-11.0,4.0,51.0,3.3828104,60.286
30,0.0125,A,37.724244,-105.209291,20090917,20090924,8055.0,20090918,147.0,26.0,67.0,25.0,1.4637246000000002,60.286
31,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080901,170.0,93.0,123.0,0.0,3.8329349,65.375
32,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130718,205.0,92.0,148.0,0.0,3.0560396,57.75
33,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130704,227.0,78.0,149.0,0.0,2.0344262,54.375
34,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130629,216.0,73.0,120.0,51.0,0.8881483,52.5
35,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130619,223.0,84.0,156.0,0.0,3.8009038,52.5
36,15.0,C,37.8553,-104.9144,20050718,20050719,8055.0,20050718,210.0,55.0,126.0,0.0,1.8350393,66.0
37,9.285714285714286,C,37.82869,-104.70355,20080801,20080807,8055.0,20080802,256.0,126.0,182.0,25.0,3.0237277,66.25
40,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130630,208.0,63.0,112.0,0.0,2.6242921000000003,52.5
41,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130627,277.0,103.0,185.0,51.0,1.9981232,52.5
43,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130710,208.0,105.0,138.0,25.0,2.7825894,54.375
44,0.25,B,37.94722222,-105.14472222,20120613,20120614,8055.0,20120613,219.0,82.0,139.0,0.0,2.5072098,52.0
45,0.0125,A,37.724244,-105.209291,20090917,20090924,8055.0,20090924,63.0,-7.0,19.0,25.0,1.6954008000000005,60.286
46,0.0125,A,37.724244,-105.209291,20090917,20090924,8055.0,20090921,72.0,-35.0,12.0,102.0,2.6716712000000005,60.286
47,0.1,A,37.7743,-105.032203,20080814,20080814,8055.0,20080814,196.0,71.0,125.0,0.0,0.099990845,81.5
48,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080903,153.0,31.0,80.0,51.0,1.9006578,65.375
49,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130719,192.0,89.0,119.0,330.0,0.7381740999999999,57.75
50,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130705,244.0,119.0,163.0,0.0,2.137151,54.375
51,9.285714285714286,C,37.82869,-104.70355,20080801,20080807,8055.0,20080805,193.0,88.0,119.0,152.0,2.3200936000000003,66.25
52,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130624,209.0,118.0,156.0,0.0,3.0610585,52.5
53,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080830,180.0,73.0,110.0,0.0,2.9805045,65.375
54,0.0125,A,37.724244,-105.209291,20090917,20090924,8055.0,20090922,39.0,-51.0,-9.0,0.0,3.0808024,60.286
55,0.25,B,37.94722222,-105.14472222,20120613,20120614,8055.0,20120614,210.0,93.0,145.0,0.0,1.5979043,52.0
56,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080829,164.0,83.0,107.0,0.0,2.7446040000000003,65.375
57,9.285714285714286,C,37.82869,-104.70355,20080801,20080807,8055.0,20080806,199.0,84.0,125.0,51.0,1.3041843000000002,66.25
58,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080905,152.0,32.0,89.0,0.0,1.1650312,65.375
59,15.0,C,37.8553,-104.9144,20050718,20050719,8055.0,20050719,272.0,116.0,183.0,0.0,2.2549834,66.0
60,399.1764705882353,G,37.432225,-104.926517,20130619,20130722,8055.0,20130625,230.0,99.0,163.0,0.0,3.7055252,52.5
61,0.3333333333333333,B,37.85852,-104.55857,20120731,20120802,8055.0,20120801,234.0,86.0,164.0,0.0,1.5616957,51.625
62,0.25,A,37.7780556,-105.023333,20100427,20100427,8055.0,20100427,125.0,-24.0,64.0,25.0,1.2026608,63.5
63,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080828,181.0,92.0,128.0,0.0,0.52201355,65.375
64,0.3333333333333333,B,37.85852,-104.55857,20120731,20120802,8055.0,20120802,240.0,91.0,145.0,0.0,2.0470755,51.625
65,0.00625,A,37.42305556,-104.95722222,20080825,20080909,8055.0,20080904,171.0,32.0,101.0,25.0,1.4534508999999998,65.375
66,0.0333333333333333,A,37.74872,-105.02811,20090727,20090729,8055.0,20090728,213.0,82.0,130.0,0.0,1.594802,66.286
