,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0125,A,37.24805556,-107.51638889,20150902,20150909,8067.0,20150902,154.0,69.0,100.0,0.0,1.6481049,99.0
5,0.05,A,37.46472222,-107.57805556,20140725,20140726,8067.0,20140725,186.0,94.0,134.0,0.0,2.7118943,78.667
7,0.1,A,37.23777778,-107.53055556,20140910,20140910,8067.0,20140910,132.0,28.0,72.0,0.0,1.9723057,119.667
8,0.05,A,37.31233,-107.87757,20140517,20140518,8067.0,20140517,127.0,42.0,78.0,0.0,2.731466,99.0
9,0.1,A,37.34361111,-108.18944444,20130806,20130806,8067.0,20130806,134.0,51.0,87.0,330.0,1.9516374,97.167
10,0.0045454545454545,A,37.6525,-107.82972222,20150704,20150725,8067.0,20150714,137.0,61.0,92.0,0.0,1.975,97.5
11,0.1533333333333333,B,37.60777778,-107.94444444,20140721,20140804,8067.0,20140730,166.0,72.0,114.0,0.0,1.254002,78.667
12,0.009090909090909,A,37.47416667,-107.82361111,20140724,20140803,8067.0,20140724,167.0,58.0,109.0,152.0,3.436412,78.667
15,0.009090909090909,A,37.47416667,-107.82361111,20140724,20140803,8067.0,20140726,204.0,90.0,144.0,0.0,2.7973204,78.667
16,0.05,A,37.37416667,-107.67083333,20140712,20140713,8067.0,20140712,164.0,84.0,129.0,0.0,1.6101202,78.667
17,0.1166666666666666,B,37.25638889,-107.3625,20140709,20140714,8067.0,20140711,204.0,85.0,136.0,0.0,2.2322435,103.667
18,0.1533333333333333,B,37.60777778,-107.94444444,20140721,20140804,8067.0,20140725,186.0,94.0,134.0,0.0,2.7118943,78.667
19,0.05,A,37.31233,-107.87757,20140517,20140518,8067.0,20140518,129.0,41.0,89.0,0.0,4.9428067,99.0
20,0.0999999999999999,B,37.28861111,-107.41805556,20140709,20140711,8067.0,20140710,176.0,80.0,132.0,0.0,2.5028782000000005,103.667
23,0.05,A,37.37583333,-107.67722222,20140712,20140713,8067.0,20140712,164.0,84.0,129.0,0.0,1.6101202,78.667
24,0.0045454545454545,A,37.6525,-107.82972222,20150704,20150725,8067.0,20150717,169.0,65.0,111.0,0.0,2.474495,97.5
29,0.023076923076923,B,37.37416667,-107.80527778,20140917,20140929,8067.0,20140923,138.0,34.0,79.0,25.0,0.3201542999999999,119.667
30,0.1533333333333333,B,37.60777778,-107.94444444,20140721,20140804,8067.0,20140724,167.0,58.0,109.0,152.0,3.436412,78.667
34,0.1,A,37.44555556,-107.85138889,20140706,20140706,8067.0,20140706,197.0,119.0,156.0,0.0,1.7774704,103.667
35,6.0,B,37.63027778,-107.69638889,20120527,20120527,8067.0,20120527,68.0,-53.0,6.0,0.0,3.2534595,107.333
38,0.05,A,37.3272,-107.8608,20100416,20100417,8067.0,20100417,78.0,-6.0,19.0,51.0,1.5273885,103.667
41,0.05,A,37.46472222,-107.57805556,20140725,20140726,8067.0,20140726,204.0,90.0,144.0,0.0,2.7973204,78.667
42,0.05,A,37.37861111,-107.87472222,20150514,20150515,8067.0,20150514,89.0,2.0,36.0,0.0,3.2626677,94.8
45,0.1166666666666666,B,37.25638889,-107.3625,20140709,20140714,8067.0,20140714,170.0,86.0,131.0,0.0,0.35355338,78.667
46,0.05,A,37.38277778,-107.55638889,20140511,20140512,8067.0,20140511,30.0,-66.0,-21.0,178.0,4.1199203,99.0
47,0.0333333333333333,A,37.54138889,-107.79916667,20140712,20140714,8067.0,20140714,170.0,86.0,131.0,0.0,0.35355338,78.667
49,0.05,A,37.37861111,-107.87472222,20150514,20150515,8067.0,20150515,25.0,-22.0,-6.0,279.0,2.6725454,94.8
50,0.1,A,37.3958333,-107.533611,20100613,20100613,8067.0,20100613,97.0,15.0,44.0,0.0,1.9235328,164.0
51,0.1,A,37.37333333,-107.78055556,20120716,20120716,8067.0,20120716,154.0,80.0,112.0,0.0,1.9082161,103.5
52,0.05,A,37.37416667,-107.67083333,20140712,20140713,8067.0,20140713,168.0,78.0,118.0,76.0,1.8378808,78.667
53,0.1166666666666666,B,37.25638889,-107.3625,20140709,20140714,8067.0,20140712,164.0,84.0,129.0,0.0,1.6101202,78.667
54,0.0027777777777777,A,37.21666667,-107.5,20150903,20151008,8067.0,20150904,101.0,68.0,83.0,229.0,2.0859650000000003,99.0
56,0.009090909090909,A,37.47416667,-107.82361111,20140724,20140803,8067.0,20140801,145.0,61.0,92.0,51.0,0.5894159000000001,78.667
57,0.0125,A,37.24805556,-107.51638889,20150902,20150909,8067.0,20150904,101.0,68.0,83.0,229.0,2.0859650000000003,99.0
58,0.1533333333333333,B,37.60777778,-107.94444444,20140721,20140804,8067.0,20140729,163.0,85.0,106.0,25.0,2.4382243,78.667
59,0.1,A,37.36305556,-107.85861111,20130602,20130602,8067.0,20130602,168.0,63.0,113.0,0.0,1.7846581,86.8
61,0.0027777777777777,A,37.21666667,-107.5,20150903,20151008,8067.0,20150905,100.0,42.0,66.0,102.0,2.7943022,99.0
64,0.1,A,37.3625,-107.83083333,20130712,20130712,8067.0,20130712,186.0,92.0,129.0,25.0,3.0501506000000003,97.167
65,0.1,A,37.46083333,-107.81,20120423,20120423,8067.0,20120423,168.0,60.0,102.0,0.0,0.7244908,88.2
66,0.01,A,37.35305556,-107.96472222,20140725,20140803,8067.0,20140803,157.0,65.0,103.0,152.0,2.0831249,78.667
68,0.1,A,37.3467,-107.5894,20150824,20150825,8067.0,20150824,179.0,61.0,115.0,0.0,1.2013013,99.0
70,0.0045454545454545,A,37.6525,-107.82972222,20150704,20150725,8067.0,20150713,174.0,60.0,112.0,51.0,1.9775301,97.5
71,0.05,A,37.36416667,-107.73916667,20140712,20140713,8067.0,20140712,164.0,84.0,129.0,0.0,1.6101202,78.667
73,0.0333333333333333,A,37.54138889,-107.79916667,20140712,20140714,8067.0,20140712,164.0,84.0,129.0,0.0,1.6101202,78.667
74,0.1533333333333333,B,37.60777778,-107.94444444,20140721,20140804,8067.0,20140731,153.0,72.0,105.0,51.0,0.96177316,78.667
75,0.01,A,37.46861111,-107.53,20130620,20130620,8067.0,20130620,179.0,52.0,117.0,0.0,3.2973535000000003,85.0
76,0.1,A,37.4080556,-107.586389,20100721,20100721,8067.0,20100721,178.0,92.0,129.0,25.0,1.9948212,115.333
77,0.1,A,37.3944444,-107.538889,20100624,20100624,8067.0,20100624,196.0,58.0,128.0,0.0,2.1800983,137.333
78,0.0045454545454545,A,37.6525,-107.82972222,20150704,20150725,8067.0,20150718,155.0,83.0,119.0,0.0,4.0159836,97.5
79,0.0045454545454545,A,37.6525,-107.82972222,20150704,20150725,8067.0,20150721,155.0,59.0,100.0,0.0,2.3759208,97.5
