,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.01,A,40.74861111,-105.605,20130526,20130526,8069.0,20130526,170.0,51.0,98.0,0.0,1.8261789,93.75
1,0.1,A,40.68,-105.49444444,20150922,20150922,8069.0,20150922,192.0,45.0,105.0,0.0,3.6500857,67.0
2,0.9233333333333332,B,40.91138889,-105.45888889,20140924,20140926,8069.0,20140924,193.0,50.0,106.0,0.0,1.3892403,79.25
3,0.02,A,40.54194444,-105.60722222,20150908,20150912,8069.0,20150909,186.0,-22.0,72.0,0.0,1.6081822,66.8
4,0.1,A,40.57,-105.35055556,20150829,20150829,8069.0,20150829,224.0,52.0,131.0,0.0,2.8710842,105.0
5,0.05,A,40.35722222,-105.42472222,20140626,20140627,8069.0,20140626,249.0,56.0,159.0,0.0,2.6575432,87.75
6,0.01,A,40.84638889,-105.55416667,20130906,20130906,8069.0,20130906,220.0,100.0,153.0,51.0,0.46518517,78.8
7,0.1,A,40.79277778,-105.54833333,20151012,20151012,8069.0,20151012,152.0,25.0,78.0,0.0,4.840261,88.0
8,3.06,B,40.48611111,-105.25777778,20150813,20150814,8069.0,20150813,198.0,75.0,124.0,0.0,1.6974245,85.8
9,3.06,B,40.48611111,-105.25777778,20150813,20150814,8069.0,20150814,237.0,75.0,139.0,51.0,1.8683214,85.8
10,0.0333333333333333,A,40.54972222,-105.61666667,20151010,20151012,8069.0,20151011,149.0,54.0,99.0,0.0,5.87633,88.0
11,0.05,A,40.69,-105.95222222,20150924,20150925,8069.0,20150925,202.0,23.0,95.0,25.0,1.4214870000000002,89.25
12,10.2,C,40.9583333,-106.152222,20100812,20100812,8069.0,20100812,203.0,51.0,125.0,25.0,3.8385363,143.333
13,0.275,B,40.43916667,-105.31138889,20150809,20150810,8069.0,20150809,196.0,91.0,140.0,0.0,1.7327723999999998,85.8
14,0.1,A,40.37527778,-105.35083333,20140806,20140806,8069.0,20140806,209.0,70.0,138.0,0.0,0.91394246,105.75
15,0.05,A,40.56944444,-105.34611111,20150809,20150810,8069.0,20150809,196.0,91.0,140.0,0.0,1.7327723999999998,85.8
16,0.9233333333333332,B,40.91138889,-105.45888889,20140924,20140926,8069.0,20140926,218.0,69.0,128.0,0.0,1.3829399,79.25
17,0.1,A,40.8425,-105.54833333,20120526,20120526,8069.0,20120526,186.0,29.0,122.0,0.0,3.9385855,112.5
18,0.1,A,40.3016667,-105.378056,20100729,20100729,8069.0,20100729,201.0,110.0,145.0,51.0,1.6101202,157.0
19,0.02,A,40.54194444,-105.60722222,20150908,20150912,8069.0,20150908,164.0,90.0,120.0,0.0,0.9617692,66.8
20,0.16,B,40.68861111,-105.57777778,20150629,20150630,8069.0,20150629,210.0,66.0,141.0,0.0,1.4802872,107.25
21,0.325,B,40.43916667,-105.31138889,20150809,20150810,8069.0,20150810,195.0,5.0,102.0,0.0,2.390868,85.8
22,0.1,A,40.83583333,-105.64777778,20120615,20120615,8069.0,20120615,175.0,31.0,95.0,0.0,2.83196,91.375
23,0.1,A,40.67611111,-105.38777778,20150705,20150705,8069.0,20150705,198.0,71.0,128.0,127.0,2.1179292000000003,107.25
24,0.1,A,40.39416667,-105.42888889,20150914,20150914,8069.0,20150914,212.0,64.0,129.0,0.0,2.8001115000000003,85.25
25,0.1,A,40.74722222,-105.60444444,20140801,20140801,8069.0,20140801,153.0,15.0,86.0,0.0,2.1260297,105.75
26,0.0333333333333333,A,40.54972222,-105.61666667,20151010,20151012,8069.0,20151010,166.0,67.0,112.0,0.0,3.6292214,88.0
27,0.02,A,40.54194444,-105.60722222,20150908,20150912,8069.0,20150911,171.0,11.0,89.0,0.0,1.9692956,66.8
28,0.05,A,40.31333333,-105.40111111,20150915,20150916,8069.0,20150915,152.0,47.0,90.0,0.0,5.448681,85.25
29,0.01,A,40.60555556,-105.86555556,20130805,20130805,8069.0,20130805,186.0,30.0,90.0,76.0,1.0394266,96.25
30,1.6,B,40.39722222,-105.44972222,20140620,20140621,8069.0,20140621,198.0,70.0,128.0,0.0,1.5939914,100.0
31,0.02,A,40.54194444,-105.60722222,20150908,20150912,8069.0,20150912,203.0,25.0,99.0,0.0,0.31324908,85.25
32,0.05,A,40.31333333,-105.40111111,20150915,20150916,8069.0,20150916,174.0,39.0,107.0,0.0,4.1821795,85.25
33,0.1,A,40.7475,-105.526389,20100908,20100908,8069.0,20100908,171.0,64.0,112.0,51.0,3.7233622,91.714
34,0.1,A,40.46083333,-105.34583333,20150919,20150919,8069.0,20150919,141.0,-3.0,66.0,0.0,1.6326741000000002,67.0
35,0.71,B,40.5975,-105.57972222,20150812,20150812,8069.0,20150812,199.0,84.0,146.0,0.0,1.6303756,85.8
36,1.6,B,40.39722222,-105.44972222,20140620,20140621,8069.0,20140620,218.0,15.0,127.0,0.0,1.0307764,100.0
37,0.01,A,40.74861111,-105.60472222,20130526,20130526,8069.0,20130526,170.0,51.0,98.0,0.0,1.8261789,93.75
38,0.05,A,40.69,-105.95222222,20150924,20150925,8069.0,20150924,194.0,6.0,91.0,0.0,1.3100573,67.0
39,0.05,A,40.35722222,-105.42472222,20140626,20140627,8069.0,20140627,142.0,42.0,88.0,25.0,2.238060700000001,87.75
40,0.1,A,40.97,-105.69,20140816,20140816,8069.0,20140816,196.0,34.0,115.0,0.0,0.9196758,99.75
41,0.1,A,40.69194444,-105.33833333,20150726,20150726,8069.0,20150726,214.0,55.0,129.0,0.0,2.3928277,98.5
42,0.1,A,40.2358333,-105.498333,20100723,20100723,8069.0,20100723,228.0,-656.0,-60.0,0.0,1.3946027,93.75
43,0.1,A,40.74166667,-105.62888889,20120527,20120527,8069.0,20120527,79.0,-19.0,19.0,0.0,5.5610285,87.25
44,0.02,A,40.54194444,-105.60722222,20150908,20150912,8069.0,20150910,196.0,56.0,133.0,0.0,1.4493532,66.8
45,0.01,A,40.81611111,-105.56888889,20120610,20120610,8069.0,20120610,102.0,-16.0,40.0,0.0,5.225647,91.375
46,0.2,A,40.56277778,-105.36333333,20130828,20130828,8069.0,20130828,228.0,66.0,140.0,0.0,1.2809751,92.0
47,0.1,A,40.75972222,-105.51138889,20140830,20140830,8069.0,20140830,207.0,53.0,105.0,25.0,3.2175324,103.25
48,2.7,B,40.41972222,-105.23583333,20120905,20120905,8069.0,20120905,177.0,14.0,100.0,0.0,0.8321616,70.5
49,0.1,A,40.27666667,-105.32972222,20120518,20120518,8069.0,20120518,169.0,5.0,75.0,0.0,3.268846,91.0
50,0.1,A,40.84472222,-105.53277778,20120916,20120916,8069.0,20120916,171.0,-29.0,70.0,25.0,3.3988886,79.25
51,0.1,A,40.77861111,-105.60166667,20120922,20120922,8069.0,20120922,159.0,-1.0,66.0,0.0,2.0041873,67.667
52,0.1,A,40.68527778,-105.485,20150913,20150913,8069.0,20150913,179.0,17.0,95.0,0.0,2.3690715,85.25
53,0.1,A,40.40194444,-105.41027778,20150909,20150909,8069.0,20150909,186.0,-22.0,72.0,0.0,1.6081822,66.8
54,0.16,B,40.68861111,-105.57777778,20150629,20150630,8069.0,20150630,268.0,75.0,147.0,51.0,1.6387876,107.25
55,0.1,A,40.4494444,-105.353056,20100711,20100711,8069.0,20100711,216.0,25.0,114.0,0.0,2.609106,160.0
56,0.9233333333333332,B,40.91138889,-105.45888889,20140924,20140926,8069.0,20140925,207.0,31.0,105.0,0.0,2.371029,79.25
57,3498.0,F,40.361111,-105.563333,20121009,20121009,8069.0,20121009,99.0,21.0,52.0,0.0,1.428044,80.0
58,0.75,B,40.64194444,-105.56472222,20120811,20120811,8069.0,20120811,191.0,43.0,117.0,51.0,2.9272654,110.667
59,0.1,A,40.4497222,-105.353333,20100711,20100711,8069.0,20100711,216.0,25.0,114.0,0.0,2.609106,160.0
60,0.1,A,40.61972222,-105.83972222,20141003,20141003,8069.0,20141003,73.0,-17.0,26.0,0.0,4.6261115,79.25
61,0.0333333333333333,A,40.54972222,-105.61666667,20151010,20151012,8069.0,20151012,152.0,25.0,78.0,0.0,4.840261,88.0
62,0.1,A,40.61666667,-105.51694444,20140530,20140530,8069.0,20140530,101.0,17.0,53.0,229.0,0.90049726,93.25
63,3967.045454545456,G,40.58944444,-105.40361111,20120609,20120630,8069.0,20120613,203.0,14.0,120.0,0.0,2.243566,91.375
64,9.22222222222222,C,40.57277778,-105.3525,20081124,20081202,8069.0,20081201,30.0,-56.0,-1.0,25.0,5.943094,94.5
65,0.15,B,40.44527778,-105.25472222,20050628,20050629,8069.0,20050629,145.0,20.0,74.0,0.0,3.7884624,143.333
66,2.9333333333333336,B,40.70944444,-105.26861111,20090723,20090725,8069.0,20090725,213.0,-656.0,-420.0,25.0,2.7628376,102.4
67,0.5,B,40.94916667,-105.64472222,20020607,20020608,8069.0,20020608,232.0,47.0,158.0,0.0,3.9980958,130.714
68,1.5,B,40.97194444,-105.52305556,20080930,20081001,8069.0,20081001,159.0,17.0,74.0,0.0,1.1101723999999995,68.0
69,0.275,B,40.71861111,-105.28583333,20071103,20071106,8069.0,20071106,93.0,38.0,61.0,25.0,1.7160801,63.8
70,0.005,A,40.43166667,-105.25083333,20130903,20130904,8069.0,20130903,221.0,90.0,141.0,0.0,0.69999695,78.8
71,0.875,B,40.7125,-105.305,20070621,20070624,8069.0,20070623,263.0,18.0,128.0,0.0,2.326482,194.667
72,395.27272727272725,F,40.28555556,-105.38222222,20020717,20020727,8069.0,20020725,179.0,49.0,93.0,51.0,1.5221082,93.286
73,3967.045454545456,G,40.58944444,-105.40361111,20120609,20120630,8069.0,20120614,208.0,30.0,109.0,0.0,1.7843933999999997,91.375
74,19.5,D,40.94555556,-106.09444444,20120827,20120901,8069.0,20120831,202.0,59.0,131.0,0.0,2.082403,93.25
75,0.2666666666666666,B,40.68833333,-105.565,19980701,19980703,8069.0,19980701,240.0,29.0,121.0,0.0,3.734835,102.5
76,0.25,B,40.78305556,-105.53722222,20030705,20030708,8069.0,20030707,231.0,59.0,122.0,0.0,2.7330024,190.0
77,0.05,A,40.93611111,-105.57416667,20120921,20120922,8069.0,20120922,159.0,-1.0,66.0,0.0,2.0041873,67.667
78,0.05,A,40.66333333,-105.41361111,20030729,20030730,8069.0,20030730,216.0,49.0,124.0,76.0,0.73926103,90.5
79,0.6,A,40.7875,-105.52666667,20020607,20020607,8069.0,20020607,205.0,17.0,101.0,0.0,2.534919,130.714
80,0.3,B,40.6947222,-105.452222,20100428,20100428,8069.0,20100428,98.0,6.0,54.0,203.0,5.8926625,193.0
81,0.2666666666666666,B,40.90611111,-105.52888889,20060618,20060620,8069.0,20060619,240.0,67.0,157.0,0.0,2.965025,121.0
82,45.45454545454545,E,40.705,-105.31527778,20020417,20020427,8069.0,20020427,42.0,-41.0,-21.0,102.0,2.9306808,108.0
83,0.09,A,40.66361111,-105.49861111,20030726,20030730,8069.0,20030730,216.0,49.0,124.0,76.0,0.73926103,90.5
84,11.25,C,40.78,-105.65861111,20050721,20050724,8069.0,20050722,281.0,68.0,159.0,0.0,3.1980379,123.667
85,0.15,B,40.45083333,-105.28138889,20020622,20020623,8069.0,20020622,218.0,17.0,122.0,0.0,2.5562575,95.75
86,0.35,B,40.61388889,-105.53833333,20070616,20070617,8069.0,20070617,203.0,42.0,133.0,0.0,4.3583620000000005,79.8
87,0.05,A,40.975,-105.60194444,20030707,20030708,8069.0,20030707,231.0,59.0,122.0,0.0,2.7330024,190.0
88,0.005,A,40.81527778,-105.67138889,20130807,20130808,8069.0,20130808,157.0,32.0,78.0,51.0,1.3209895,96.25
89,0.275,B,40.71861111,-105.28583333,20071103,20071106,8069.0,20071105,94.0,-7.0,44.0,0.0,2.385564,63.8
91,0.35,B,40.69111111,-105.69388889,20090904,20090904,8069.0,20090904,211.0,70.0,123.0,0.0,2.1592734,72.2
92,395.27272727272725,F,40.28555556,-105.38222222,20020717,20020727,8069.0,20020718,250.0,49.0,127.0,0.0,1.7917565,118.667
93,1.0,B,40.84805556,-105.52361111,20050719,20050720,8069.0,20050719,260.0,115.0,182.0,0.0,1.1727827,123.667
94,0.05,A,40.27805556,-105.43666667,20130518,20130519,8069.0,20130518,240.0,-3.0,33.0,25.0,2.8359327000000003,90.2
95,0.005,A,40.81527778,-105.67138889,20130807,20130808,8069.0,20130807,188.0,54.0,112.0,0.0,2.640075,96.25
96,853.8888888888889,G,40.725,-105.26805556,20120514,20120522,8069.0,20120521,193.0,-3.0,100.0,0.0,1.5473860000000002,112.5
97,0.275,B,40.71861111,-105.28583333,20071103,20071106,8069.0,20071104,71.0,-37.0,20.0,0.0,6.3531547,63.8
98,0.05,A,40.64777778,-105.50527778,20060522,20060523,8069.0,20060523,73.0,-9.0,27.0,25.0,4.7657623,142.333
99,0.1,A,40.55527778,-105.61555556,20060809,20060809,8069.0,20060809,229.0,61.0,148.0,0.0,1.1573293,116.667
100,0.0625,B,40.30583333,-105.41638889,20020727,20020811,8069.0,20020806,187.0,33.0,92.0,0.0,3.1835144,93.286
101,0.1,A,40.97861111,-105.47277778,20030717,20030717,8069.0,20030717,231.0,69.0,124.0,0.0,1.7523748,102.0
102,0.2,A,40.27805556,-105.37416667,20060721,20060721,8069.0,20060721,193.0,91.0,139.0,0.0,2.3762105,83.0
103,0.02,A,40.72,-105.59,19980908,19980912,8069.0,19980908,202.0,44.0,103.0,0.0,2.6276176,115.667
104,1.0,B,40.84805556,-105.52361111,20050719,20050720,8069.0,20050720,262.0,70.0,145.0,25.0,1.1625061,123.667
105,9.22222222222222,C,40.57277778,-105.3525,20081124,20081202,8069.0,20081129,-48.0,-90.0,-65.0,76.0,7.135487599999999,94.5
107,0.1,A,40.70416667,-105.55277778,20080815,20080815,8069.0,20080815,78.0,23.0,45.0,254.0,3.6798353,111.667
108,0.0333333333333333,A,40.60694444,-105.82027778,20120702,20120704,8069.0,20120703,235.0,33.0,134.0,0.0,0.7705884,92.0
109,0.05,A,40.66972222,-105.33,20080802,20080803,8069.0,20080803,221.0,75.0,140.0,0.0,0.17464267,134.667
110,0.1,A,40.71222222,-105.28333333,20020615,20020615,8069.0,20020615,155.0,-2.0,72.0,0.0,2.3721042000000003,98.25
111,0.1,A,40.76222222,-105.66722222,20050723,20050723,8069.0,20050723,254.0,82.0,147.0,51.0,1.0697681,123.667
112,0.1,A,40.3975,-105.29638889,20060522,20060523,8069.0,20060523,73.0,-9.0,27.0,25.0,4.7657623,142.333
113,9.22222222222222,C,40.57277778,-105.3525,20081124,20081202,8069.0,20081130,-50.0,-70.0,-60.0,51.0,8.564502000000001,94.5
114,3.85,C,40.43416667,-105.28777778,20060816,20060819,8069.0,20060817,224.0,58.0,126.0,0.0,2.846924,82.8
115,0.005,A,40.42944444,-105.25888889,20130903,20130904,8069.0,20130903,221.0,90.0,141.0,0.0,0.69999695,78.8
116,2.8,C,40.41555556,-105.35055556,20050717,20050721,8069.0,20050719,260.0,115.0,182.0,0.0,1.1727827,123.667
117,1.1800000000000002,B,40.33638889,-105.36694444,20050717,20050721,8069.0,20050720,262.0,70.0,145.0,25.0,1.1625061,123.667
118,1.1800000000000002,B,40.33638889,-105.36694444,20050717,20050721,8069.0,20050719,260.0,115.0,182.0,0.0,1.1727827,123.667
119,1.0,B,40.31138889,-105.40444444,20020718,20020718,8069.0,20020718,250.0,49.0,127.0,0.0,1.7917565,118.667
120,0.05,A,40.70944444,-105.29666667,20060522,20060523,8069.0,20060522,377.0,12.0,62.0,76.0,4.002816999999999,142.333
121,0.5,B,40.73194444,-105.25833333,20030819,20030822,8069.0,20030822,240.0,71.0,132.0,0.0,3.4442077000000006,121.0
122,0.15,B,40.70694444,-105.36166667,20080622,20080623,8069.0,20080623,167.0,33.0,93.0,0.0,0.7844803000000001,82.0
123,0.25,B,40.61,-105.52916667,20030731,20030801,8069.0,20030731,208.0,48.0,116.0,0.0,1.3441682,90.5
124,0.0625,B,40.30583333,-105.41638889,20020727,20020811,8069.0,20020801,185.0,47.0,91.0,0.0,2.058014,93.286
125,853.8888888888889,G,40.725,-105.26805556,20120514,20120522,8069.0,20120515,171.0,-41.0,72.0,0.0,1.300003,91.0
126,2.8,C,40.41555556,-105.35055556,20050717,20050721,8069.0,20050720,262.0,70.0,145.0,25.0,1.1625061,123.667
127,9.22222222222222,C,40.57277778,-105.3525,20081124,20081202,8069.0,20081202,57.0,-40.0,-4.0,25.0,6.371226999999998,94.5
129,0.05,A,40.46472222,-105.50083333,20081108,20081109,8069.0,20081108,6.0,-40.0,-17.0,25.0,3.5934036,94.5
130,3967.045454545456,G,40.58944444,-105.40361111,20120609,20120630,8069.0,20120627,199.0,64.0,125.0,0.0,1.9553308,106.0
131,0.25,B,40.44055556,-105.25416667,20030726,20030729,8069.0,20030729,155.0,34.0,85.0,51.0,1.6560130000000002,90.5
133,0.05,A,40.81333333,-105.55222222,20060522,20060523,8069.0,20060523,73.0,-9.0,27.0,25.0,4.7657623,142.333
134,0.0333333333333333,A,40.46777778,-105.45388889,20020601,20020606,8069.0,20020605,164.0,-25.0,71.0,25.0,2.35646,130.714
135,0.2,A,40.67972222,-105.41027778,20030514,20030514,8069.0,20030514,164.0,-27.0,58.0,0.0,1.3408222,182.0
136,0.0625,B,40.30583333,-105.41638889,20020727,20020811,8069.0,20020804,237.0,35.0,131.0,25.0,1.7204661,93.286
137,0.01,A,40.42944444,-105.25888889,20130903,20130904,8069.0,20130904,232.0,100.0,144.0,51.0,1.2614629,78.8
138,0.05,A,40.67166667,-105.35833333,19980727,19980728,8069.0,19980728,194.0,57.0,120.0,0.0,1.7711549,143.333
139,0.14,A,40.66333333,-105.41361111,20030729,20030730,8069.0,20030729,155.0,34.0,85.0,51.0,1.6560130000000002,90.5
140,0.05,A,40.7277778,-105.636389,20100824,20100825,8069.0,20100825,205.0,28.0,111.0,0.0,2.4266825,91.714
141,2.833333333333333,B,40.89666667,-105.50888889,20120424,20120426,8069.0,20120424,161.0,73.0,110.0,0.0,3.8006477,90.0
142,3967.045454545456,G,40.58944444,-105.40361111,20120609,20120630,8069.0,20120619,214.0,33.0,132.0,0.0,2.6560118,91.375
143,0.05,A,40.45333333,-105.35333333,20050707,20050708,8069.0,20050708,269.0,39.0,154.0,0.0,0.6351316999999999,143.333
144,0.0333333333333333,A,40.46777778,-105.45388889,20020601,20020606,8069.0,20020604,52.0,3.0,34.0,0.0,2.0661225,130.714
145,1.6666666666666667,B,40.63527778,-105.5075,20060522,20060524,8069.0,20060524,297.0,11.0,67.0,51.0,3.777088200000001,142.333
146,3.5,B,40.71027778,-105.61583333,20020831,20020901,8069.0,20020901,187.0,4.0,118.0,0.0,2.7097752,84.0
147,2.833333333333333,B,40.89666667,-105.50888889,20120424,20120426,8069.0,20120425,161.0,34.0,94.0,0.0,2.91761,90.0
148,0.15,B,40.70694444,-105.36166667,20080622,20080623,8069.0,20080622,196.0,65.0,140.0,0.0,2.050613,82.0
149,0.875,B,40.7125,-105.305,20070621,20070624,8069.0,20070624,252.0,107.0,189.0,0.0,3.5205686000000003,194.667
150,2.6666666666666665,B,40.92555556,-105.47472222,20060630,20060702,8069.0,20060630,175.0,50.0,102.0,0.0,1.2349021,74.8
151,45.45454545454545,E,40.705,-105.31527778,20020417,20020427,8069.0,20020425,115.0,-8.0,46.0,0.0,2.5825953,108.0
153,45.45454545454545,E,40.705,-105.31527778,20020417,20020427,8069.0,20020424,61.0,-59.0,-3.0,0.0,4.332017,108.0
154,0.05,A,40.54694444,-105.33333333,20020823,20020824,8069.0,20020823,187.0,13.0,103.0,0.0,2.02485,93.667
155,0.05,A,40.40805556,-105.38861111,20081005,20081006,8069.0,20081006,53.0,-28.0,5.0,0.0,5.0644727,68.0
157,1.1,B,40.97555556,-105.49888889,20060818,20060819,8069.0,20060819,144.0,40.0,81.0,0.0,2.9133108,82.8
158,0.1,A,40.62027778,-105.81777778,20080622,20080622,8069.0,20080622,196.0,65.0,140.0,0.0,2.050613,82.0
159,5.68,C,40.71166667,-105.29527778,20040712,20040716,8069.0,20040713,215.0,51.0,122.0,25.0,3.1184998,178.333
160,0.05,A,40.70944444,-105.29666667,20060522,20060523,8069.0,20060523,73.0,-9.0,27.0,25.0,4.7657623,142.333
161,0.1,A,40.90833333,-106.08944444,20090916,20090916,8069.0,20090916,149.0,52.0,93.0,0.0,2.8282146,100.0
162,0.0625,B,40.30583333,-105.41638889,20020727,20020811,8069.0,20020730,240.0,36.0,139.0,0.0,0.8062275999999999,93.286
163,0.1,A,40.43888889,-105.49527778,20070717,20070718,8069.0,20070717,219.0,87.0,136.0,0.0,1.3532941,139.0
164,1.1,B,40.43083333,-105.25916667,20050720,20050723,8069.0,20050722,281.0,68.0,159.0,0.0,3.1980379,123.667
165,0.2666666666666666,B,40.68833333,-105.565,19980701,19980703,8069.0,19980703,192.0,31.0,88.0,0.0,1.9656273,158.333
166,0.05,A,40.45805556,-105.3575,20070623,20070624,8069.0,20070623,263.0,18.0,128.0,0.0,2.326482,194.667
167,853.8888888888889,G,40.725,-105.26805556,20120514,20120522,8069.0,20120522,223.0,31.0,119.0,0.0,4.4969482,112.5
168,0.05,A,40.23916667,-105.49833333,20050629,20050630,8069.0,20050629,145.0,20.0,74.0,0.0,3.7884624,143.333
169,0.0333333333333333,A,40.60694444,-105.82027778,20120702,20120704,8069.0,20120702,231.0,76.0,154.0,0.0,1.4847591,92.0
170,0.4666666666666666,B,40.88361111,-105.58861111,20050704,20050706,8069.0,20050706,244.0,68.0,151.0,0.0,2.3560164,143.333
